,Date,Company,Article
254,,Airtel,
233,2018-01-08,Airtel,"'Borrow' Airtel broadband data for mobile


at




at


Bharti Airtel home broadband customers can ""borrow"" 5GB additional data on their Airtel postpaid mobile as part of Airtel's ‘myHome Rewards’ programme.
In a statement, Airtel said customers could claim the additional data through myAirtel App on any one Airtel postpaid number linked to the Airtel Home broadband account.
The additional data benefit would be over and above the existing postpaid plan benefit of the customer.
Under ‘myHome Rewards’, Airtel home broadband customers would get additional data of 10 GB for free on their home broadband for every Airtel postpaid and Airtel digital TV connection that they link to their Airtel home broadband account, the statement said.
To check the plans on which the 5GB free mobile data is available customers can log on to https://www.airtel.in/broadband/"
234,2018-01-08,Airtel,"Airtel, Samsung tie up to offer 4G smartphones with cashback offers
The country’s largest telecommunications services provider, Bharti Airtel, and Samsung, India’s No. 1 smartphone and consumer electronics brand, on Thursday partnered to bring in a range of affordable 4G smartphone options to customers.
Four top models from Samsung’s Galaxy J-series range – J2 (2017), J5 Prime, J7 Prime, and J7 Pro — will be available with attractive cashback offers, bringing down the effective price of the device and making them affordable for customers.
All devices will come bundled with Airtel’s special recharge pack of ₹199 that offers 1GB data/day and unlimited calling to enable best-in-class experience on India’s leading smartphone network, the companies said.
For instance, for Galaxy J2 which is available for ₹6,990, the company will give a cashback of ₹1,500 making the effective price of the smartphone at ₹5,490. Similarly, Samsung Galaxy J7 Pro that costs ₹19,900, would be offered at ₹18,400 with the cashback offer.
“The ₹1,500 cashback will be disbursed to customers over 24 months. At the end of 12 months, customers who have done recharges (in any denomination of their choice) worth ₹2,500 will be eligible for the first instalment of ₹300,” Airtel said.
They will be eligible for the second instalment of ₹ 1,200 provided they complete another set of recharges worth ₹2,500 over the next 12 months, it said.
“With this partnership, we are also stepping up the range of devices we offer to our customers. In particular, this new range of affordable smartphones will serve the aspirations of young customers who are looking to make a one-time investment to own a large screen smartphone with latest features and enjoy a great 4G experience,” Ajai Puri, Chief Operating Officer – India & South Asia, Bharti Airtel, said.
The partnership is part of Airtel’s ‘Mera Pehla Smartphone’ initiative, under which it aims to partner device manufacturers to build an open ecosystem of affordable smartphones."
235,2018-01-08,Airtel,"Airtel, Vodafone offer ₹1,500 cashback on select Samsung phones
Aimed at broadening their consumer base in smartphone segment, country’s two leading telecom players Bharti Airtel and Vodafone have tied up with Samsung for cashback offers worth ₹1,500 on select Galaxy J-series devices over a period of two years.
Airtel will offer the scheme on Galaxy J2 (2017), Galaxy J5 Prime, Galaxy J7 Prime, and Galaxy J7 Pro priced in the range of ₹6,990 to ₹19,900.
Under the offer, Vodafone will give cashback on three models Galaxy J2 Pro, priced at ₹8,490; Galaxy J7 Nxt, ₹10,490; and Galaxy J7, ₹16,900.
Samsung smartphones for Airtel customers will come bundled with special recharge pack of ₹199 that offers 1GB data per day and unlimited calling within India.
While Airtel customers will need to recharge with a total value of ₹5,000, Vodafone users will have to recharge their account every month with ₹198 (total value ₹4,752 over a period of two years) to avail full benefit of cashback scheme, as per the companies’ statements.
“The ₹1,500 cashback will be disbursed to customers over 24 months. At the end of 12 months, customers who have done recharges, in any denomination of their choice, worth ₹2,500 will be eligible for the first instalment of ₹300.
They will be eligible for the second instalment of ₹1,200 provided they complete another set of recharges worth ₹2,500 over the next 12 months,” the Airtel statement said.
Airtel will credit the money in Airtel Payments Bank account of the customer.
Vodafone is also offering the facility for post-paid customers.
“Postpaid customers need to opt into any one of Vodafone’s attractive Red Plans. At the end of the first 12 months, users will receive a cashback of ₹600 and after another 12 months, a cashback of ₹900 respectively. The cashback will be credited to their Vodafone M-Pesa wallets,” the Vodadone statement said.
Telecom operators are coming up with such offers with an aim to capture smartphone users in the country as they consume more data compared to feature phone users.
As per a CLSA report, Reliance Jio has already captured 80 per cent of smartphone users in the country. The company had 13.9 crore subscribers in September while smartphone customer base stood at around 17.8 crore in the same month."
236,2018-01-08,Airtel,"Airtel, Samsung to offer affordable 4G smartphones with cashback offers


All devices will come bundled with Airtel’s special recharge pack of ₹199 that offers 1GB data/day and unlimited calling to enable best-in-class experience on India’s leading smartphone network.




All devices will come bundled with Airtel’s special recharge pack of ₹199 that offers 1GB data/day and unlimited calling to enable best-in-class experience on India’s leading smartphone network.


The country’s largest telecommunications services provider, Bharti Airtel (Airtel), and Samsung, India’s number one smartphone and consumer electronics brand, on Thursday partnered to bring in a range of affordable 4G smartphone options to customers.
Four top models from Samsung’s Galaxy J-series range – J2 (2017), J5 Prime, J7 Prime, and J7 Pro - will be available with attractive cashback offers, bringing down the effective price of the device and making them affordable for customers.
All devices will come bundled with Airtel’s special recharge pack of ₹199 that offers 1GB data/day and unlimited calling to enable best-in-class experience on India’s leading smartphone network, the companies said.
For instance, for Galaxy J2 which is available for ₹6,990, the company will give a cashback of ₹1,500 making the effective price of the smartphone at ₹5,490. Similarly, Samsung Galaxy J7 Pro that costs ₹19,900, would be offered at ₹18,400 with the cashback offer.
“The ₹1,500 cashback will be disbursed to customers over 24 months. At the end of 12 months, customers who have done recharges (in any denomination of their choice) worth ₹2,500 will be eligible for the first instalment of ₹300,” Airtel said.
They will be eligible for the second instalment of ₹1,200 provided they complete another set of recharges worth ₹2,500 over the next 12 months, it said.
“With this partnership, we are also stepping up the range of devices we offer to our customers. In particular, this new range of affordable smartphones will serve the aspirations of young customers who are looking to make a one-time investment to own a large screen smartphone with latest features and enjoy a great 4G experience,” Ajai Puri, Chief Operating Officer – India & South Asia, Bharti Airtel, said.
The partnership is part of Airtel’s ‘Mera Pehla Smartphone’ initiative, under which it aims to partner device manufacturers to build an open ecosystem of affordable smartphones. The company has already partnerships with companies like Celkon, Karbonn Mobiles and Intex for providing similar services."
237,2018-01-08,Airtel,"Telecom market heading towards duopoly


Reliance Jio will have 496.75 MHz of spectrum in the 800 MHz and 900 MHz bands compared to 368 MHz for Airtel and 283 MHz for Vodafone-Idea
   -  INDRANIL MUKHERJEE




Reliance Jio will have 496.75 MHz of spectrum in the 800 MHz and 900 MHz bands compared to 368 MHz for Airtel and 283 MHz for Vodafone-Idea
   -  INDRANIL MUKHERJEE


Indian telecom market is turning duopolistic after Reliance Jio has garnered additional strength with the decision to acquire Reliance Communications’ assets. Bharti Airtel and RJio are set for a prolonged battle of supremacy in one of the world’s fastest-growing telecom markets as Idea-Vodafone combine still seem at least a year away from a full-fledged operational merger.
“The market is turning duopolistic with just two major players. It will take at least 12-18 months for the entire Idea-Vodafone integration to come through and for them to optimise their resources, work like a single entity and be competitive. By then the market would have turned significantly,” says Jayanth Kolla, founder and partner at technology research firm Convergence Catalyst.
Already, in the last one year, RJio has garnered 14 per cent revenue market share and 160 million subscribers. And the numbers are going up every month, making survival difficult for weaker players.
“The moment they (RJio) achieve the critical mass of 300-350 million, they will be able to dictate terms and drive away competition barring Airtel and a very weak Idea-Vodafone,” he adds.
With RJio signing definitive binding agreements with RCom for buying spectrum, towers, fibre and media convergence node, it will have more access to the 800 MHz and 900 MHz spectrum, considered the best to deploy 4G and 2G, respectively. RJio would have 496.75 MHz of spectrum in these bands as compared to 368 MHz for Bharti Airtel and 283 MHz for Vodafone-Idea.
“Idea-Vodafone have to act much more aggressively than before as RJio now has unprecedented access to RCom’s assets like optical fibre criss-crossing the country and 43,000 towers where they can set up antennae now besides spectrum in the efficient 800 MHz band,” Kolla points out.
Moreover, dual branding could also be a challenge for Vodafone-Idea combine. While the companies have said both the brands would be retained, the strategy may make it difficult to fight the well-entrenched brand Airtel or popular RJio. “Lack of a merged brand may impact consumer acquisition,” says Kolla. The telecom industry has already seen the number of players reduce from 13 in FY 2013 to seven in FY 2018. Hetal Gandhi, Director, Crisil Research, says further reduction in the number of players and consolidation would bring India at par with global norms. “We believe this would improve pricing power of players in an industry which has the lowest ARPUs when compared to its peers.”
“It will also help improve returns for the industry over the long run and hence go a long way in improving credit profiles of players assuming other things remain constant,” she added.
Harsh Jagnani, Vice-President and sector head – Corporate Ratings at ICRA, agrees that reduction in the number of players will give better bargaining power and tariff control to operators. “This will improve their financials, which should get reflected in the long run.”
However, BK Syngal, telecom consultant and former CMD of VSNL (now Tata Communications), has a word of caution. He says a duopolistic market will be disastrous for consumers as well as public sector firms BSNL and MTNL. “In countries like the US, there is no government entity and there is a strong sector regulator and a very strong competition law. It is a mature market. This is not the case in India.”
In such a scenario, duopoly-like situation here can lead to cartelisation by the dominant players.
“And if that happens, consumer will be the loser,” he adds."
238,2018-01-09,Airtel,"Airtel-Celkon offer on smartphone
Bharti Airtel and Celkon will offer Star 4G Plus smartphone to customers under Airtel’s ‘Mera Pehla Smartphone’ initiative subjected to certain conditions. Celkon’s Star 4G Plus comes with a four-inch touch screen, dual camera, dual-SIM slots and FM radio.
The Android powered handset offers access to all apps on Google Play Store, including YouTube, Facebook and WhatsApp besides preloaded MyAirtel App, Wynk Music and Airtel TV, according to a release.
To avail of this offer, a customer needs to make a down payment of ₹2,749 for the 4G smartphone and make 36 continuous monthly recharges of ₹169. The customer will get a cash refund of ₹500 after 18 months and another ₹1,000 after 36 months, taking the total benefit to ₹1,500."
239,2018-01-09,Airtel,"Airtel Payments Bank CEO quits after controversy over Aadhaar e-KYC


Airtel Payments Bank Managing Director and CEO Shashi Arora (file photo)




Airtel Payments Bank Managing Director and CEO Shashi Arora (file photo)


Bharti Airtel’s Payments Bank Managing Director and Chief Executive Officer Shashi Arora has quit. In normal circumstances, this would have been just another top CEO exiting. But the circumstances under which he has left have generated much discussions.
While Arora and the company said he has resigned on his own two weeks ago, sources say he has been removed from his roles because of the last few days’ controversy on the process adopted to open payments bank accounts without subscribers ‘informed consent’. This had led the Unique Identification Authority (UIDAI) to take action.


BusinessLine contacted Arora on phone, and he said January 31 will be his last day in the company and he will be joining a new sector though still based in the Delhi-NCR.
“I quit a couple of weeks ago and I am on notice period till January 31. I will be joining a non-financial-non-banking industry post that. I have been serving notice period and incidentally I will be completing 12 years with the company on January 31,” Arora said.
Queried whether he was asked to leave by the company, owing to the allegations from UIDAI, Arora said that it was not true and his decision on resigning from the company was on work for long.
“It was on the works for long and I have been discussing with the company on the same,” he added.
When asked Airtel, a company spokesperson also said that Arora had ‘resigned and not sacked’, adding that he has been an asset for Airtel, and over the years has contributed to the company’s growth story. “Shashi Arora has been associated with Airtel in senior leadership roles since 2006. Having led the operations in key telecom circles followed by building a strong DTH business, he has laid the foundation for Airtel’s Payments Bank operations. Shashi has decided to move on to pursue opportunities outside of Airtel,” the company said.
Arora joined Airtel in February 2006 and was appointed as the CEO of Bharti Telemedia, a subsidiary of Bharti Airtel that provides DTH services in August 2011. Under his leadership, the DTH business had doubled its subscriber base as well as revenue, with over two-third of the new customers coming from rural India.
Prior to this, he was part of Airtel’s Mobile business, and has served as CEO of the Upper North cluster (Punjab, Haryana, Himachal and J&K) as well as CEO of the Delhi Circle.


UIDAI bars Airtel


In its allegations, the UIDAI had temporarily barred Airtel and Airtel Payments Bank from conducting Aadhaar-based SIM verification of mobile customers using e-KYC process as well as e-KYC of payments bank clients.
As per the allegations, the company was using the Aadhaar-eKYC based SIM verification process to open payments bank accounts of its subscribers without their ‘informed consent’.
However, after a temporary suspension, the UIDAI has allowed Airtel to resume Aadhaar-based e-KYC services till January 10."
240,2018-01-09,Airtel,"Consumer’s approval must for changing bank account receiving subsidy, says UIDAI


Ajay Bhushan Pandey, CEO of UIDAI




Ajay Bhushan Pandey, CEO of UIDAI


To avoid a repeat of Bharti Airtel-type fiasco, the Aadhaar-issuing authority UIDAI today directed banks to seek an explicit consent of the beneficiary before changing the account to which the government subsidy is being remitted.
Also, the banks have been asked to intimate the beneficiary about the change within 24-hours through SMS and e-mail as well as provide an option to the person to reverse the change, according to a Gazette notification issued by the Unique Identification Authority of India (UIDAI).
The notification follows complaints of government grants, particularly LPG subsidy, being credited into the last account authenticated using national biometric ID, Aadhaar.
The situation was worse in case of Bharti Airtel, which allegedly opened unsolicited payment bank accounts of its unsuspecting mobile customers who had used Aadhaar to verify their SIMs.
The government has made it mandatory for all bank accounts as well as SIMs to be verified by providing the 12- digit biometric identification number Aadhaar.
While subsidies totalling over ₹190 crore had flown into the ‘unsolicited’ accounts opened by Airtel Payments Bank, the accounts had also got changed for beneficiaries who had multiple bank accounts as the last account authenticated became the one meant for subsidy receiving.
The UIDAI, in the notification, said the National Payments Corporation of India (NPCI) shall allow override requests or change of subsidy-receiving account, only if it is accompanied by the name of the beneficiary’s current bank and a confirmation that explicit consent has been obtained for the switchover.
Till this provision is implemented, “NPCI shall disable the override feature” in the Aadhaar-based bank account mapping process, the notification said.
When contacted, UIDAI CEO Ajay Bhushan Pandey told PTI that “a very secure process has been evolved to put an effective stop to switching of bank accounts without” informing and seeking consent of consumers.
As per the new process, banks will send request for mapping of a new account or overriding an existing bank account to NPCI only after taking explicit and informed consent of their customers, it said. Further, the banks would also have to inform each account holder through SMS and email about the overriding request within 24 hours, providing name of the current bank on the mapper and the last four digits of the account number of the new bank along with the bank name.
In case, the consumer does not wish to link the DBT to the new account, the bank will have to provide the user with a method to reverse the mapping.
In absence of an SMS or email (for those consumer who do not have e-mail or mobile connection), the physical signature on the paper consent form will have to taken by the bank prior to sending the request on NPCI mapper."
241,2018-01-09,Airtel,"Bharti Airtel to acquire Millicom’s operations in Rwanda


“Airtel and Tigo have already merged their operations to create a strong viable entity in Ghana. Today, it has taken yet another important step to acquire Tigo Rwanda to become a profitable and a strong challenger in a two-player market,” says Bharti Airtel Chairman, Sunil Bharti Mittal.




“Airtel and Tigo have already merged their operations to create a strong viable entity in Ghana. Today, it has taken yet another important step to acquire Tigo Rwanda to become a profitable and a strong challenger in a two-player market,” says Bharti Airtel Chairman, Sunil Bharti Mittal.


Bharti Airtel has entered into an agreement with Millicom International Cellular S.A. to acquire the latter’s entire stake in Rwanda operations, Tigo Rwanda. The move will see the country’s telecom sector consolidating into a two-player market, with MTN being the other operator.
At present, Bharti is No.3 operator in the country. The merged entity - Bharti-Millicom – will have revenues of $80 million with a 40 per cent market share.
The acquisition would be conducted through its subsidiary Airtel Rwanda. The consideration for the transaction is based at about six times EBITDA multiple, payable over two years, the company said in a statement. Further financial details were not disclosed.
“Airtel has taken proactive steps in Africa to consolidate and realign the market structure in the last few remaining countries where its operations are lagging on account of lower market share and presence of too many operators. Airtel and Tigo have already merged their operations to create a strong viable entity in Ghana. Today, it has taken yet another important step to acquire Tigo Rwanda to become a profitable and a strong challenger in a two-player market,” Bharti Airtel Chairman Sunil Bharti Mittal said.
Following the acquisition, Tigo Rwanda existing customers will join Airtel’s network, which currently has more than 370 million customers across 17 countries.
Bharti’s Rwanda operations had generated $22.5 million in revenues in calendar year 2016.
With in-country acquisitions, Airtel has been solidifying its market position to become a key player in the continent. In the past, Airtel had acquired assets in Uganda (Warid) and Congo B (Warid), Kenya (yu Mobile) and consolidated operations in Ghana (Millicom).
With presence across 15 African countries, Airtel had close to 83 million customers as of September 30, 2017. Globally, Airtel is ranked as the third largest mobile services provider in terms of customer base.
“The Rwandan telecom market will significantly benefit from this acquisition, further reiterating our stand that in-market consolidations do not just help achieve better market positions but benefit customers and the industry as a whole,” Raghunath Mandava, MD and CEO, Airtel Africa, said.


rajesh.kurup@thehindu.co.in"
