,Date,Company,Article
34,,Asian Paints,
31,2018-01-09,Asian Paints,"An eco-friendly decorative paint inspired by Tamil culture
Asian Paints sees growth in the healthy and eco-friendly paints category with concerns about pollution increasing among consumers.
Speaking to mediapersons during the launch of ‘Vanna Kolangal’ style guide for the Pongal festival in Chennai on Friday, Amit Syngle, Chief Operations Officer, said the market for eco-friendly paints market is becoming big, as consumers are becoming more conscious of the environment and rising pollution, especially expectant mothers.


Products


 The company has launched Royal Atmos, which absorbs pollution, and has range of products in the pipeline to add to this category, such as anti-bacterial and anti-radiation paint. These products cost ₹450 per litre, which is almost three times that of the basic variety. But with increasing disposable income and rising awareness, the company is seeing customers and businesses such as hotels going in for such products.
The company also plans to create paints that have been inspired by rangoli, bharathanatyam and the temples of Tamil Nadu.
“We are looking at the concept of regionalisation as ‘one size fits all’ is not applicable for a country like India,” said Syngle."
33,2018-01-10,Asian Paints,"Picture is bright for Asian Paints


PO04_Paint_texture




0309AsianPaints_col




0309PidiliteIndustries_col




PO04_Paint_texture




0309AsianPaints_col




0309PidiliteIndustries_col


Here are answers to readers’ queries on the performance of their stock holdings.


What is the long-term outlook for Asian Paints and Pidilite Industries?




Sudhin




Asian Paints (₹1,214.5): The stock of Asian Paints jumped almost 4 per cent with good volume on Friday, breaching a key medium-term resistance at ₹1,170 levels. The rally has taken the stock's weekly gains to almost 7 per cent.
The stock is in an uptrend across all time-frames — long, medium and short term. Since taking support at ₹850 in December 2016, the stock has been in an intermediate-term uptrend. After four months of sideways movement, the stock resumed its uptrend last week. It trades well above its 21- and 50-day moving averages. However, it now tests a key resistance band between ₹1,200 and ₹1,230.
Strong break above this barrier will push the stock into the uncharted area, so that it can touch higher levels. The stock can trend upwards to ₹1,300 levels in the short-to-medium term. Envisaging a move beyond ₹1,300 levels needs to be reviewed after that.
Investors with a long-term perspective can continue to hold the stock with a stop-loss at ₹950 levels. Make use of declines to accumulate the stock.
Significant supports to note are placed at ₹1,170 and ₹1,100. Strong fall below ₹1,100 can find support at ₹1,050 levels.


Pidilite Industries (₹843.1): The stock of Pidilite Industries is also in an uptrend across all time-frames — long, medium and short term. Last week, the stock climbed 1.8 per cent, witnessing bullish momentum. It has recorded a new high of ₹849 on Friday.
The stock trades well above its 21- and 50-day moving averages. Nevertheless, the stock can experience selling pressure at higher levels and test resistance at ₹850 levels.
The weekly indicators and oscillators are displaying signs of weakness. A downward reversal from the key resistance band between ₹830 and ₹850 can pull the stock down to ₹800 and ₹780 levels.
The stock has been in an intermediate-term uptrend since taking support at ₹578 in December 2016. This uptrend will remain in place as long as the stock trades above ₹675 levels.
Investors with a long-term view can remain invested with a stop-loss at ₹650 levels. Key supports to note below ₹780 are at ₹750 and ₹700 levels


Send your queries to techtrail@thehindu.co.in


The Sensex and the Nifty 50 started the session marginally on positive note ...
The rupee (INR) began Tuesday’s session on a flat note at 74.7 versus ...
The stock of Tata Motors gained 5.4 per cent with above average volume on ...
 Since breaking out of the resistance at ₹137 in early June, the July ...
Taking positive cues from the bullish Asian markets, the bellwether ...
The rupee (INR) closed last week with a gain of about 1.3 per cent against ...
A decisive rally above ₹440 will pave the way for an up-move to the upper ...
Investors with a medium-term perspective can buy the stock of Petronet LNG ...
SBI (₹184.7)The stock of SBI ended last week on a flat note. Though it ...
Sensex and Nifty 50 extended their rally last week, face medium-term ...
The Sensex and the Nifty 50 started the session marginally on positive note ...
The rupee (INR) began Tuesday’s session on a flat note at 74.7 versus ...
The stock of Tata Motors gained 5.4 per cent with above average volume on ...
 Since breaking out of the resistance at ₹137 in early June, the July ...
Taking positive cues from the bullish Asian markets, the bellwether ...
The rupee (INR) closed last week with a gain of about 1.3 per cent against ...
A decisive rally above ₹440 will pave the way for an up-move to the upper ...
Investors with a medium-term perspective can buy the stock of Petronet LNG ...
SBI (₹184.7)The stock of SBI ended last week on a flat note. Though it ...
Sensex and Nifty 50 extended their rally last week, face medium-term ...
Nikon introduced the D750 in 2014, a super versatile full-frame camera that is best for serious enthusiasts ...
Anuradha Reddy recounts how she became an aviation historian instead, and gave her dream wings
‘Travel corridors’ enable resumption of flights between select destinations and are a good way to restart ...
Consark offers the entire gamut of financial, tax and risk advisory services through guaranteed partner-time
As temperatures go higher outside, the thoughts of many home owners turn to solar power. While the idea seems ...
The firm can ride out the auto slowdown with its presence in after-market sales
 Favipiravir’s potential is unclear; challengesin the US business need a watch 
On April 1, four years back, piqued by the incessant jokes in the village at his expense, Bandu Barve decided ...


Life in Mawsynram, known as the wettest place in the world, is shaped by the monsoon rains
A season that showered bountiful melodies, some lost, others still in vogue 
On July 4, 1845, Henry David Thoreau moved into a small cabin on Walden Pond in Concord. His account of his ...
Marketers and brands should know when it won’t do to talk but listen to customers
Brands could use positivity during crisis times
On the Creative Trail
Hygiene mask must engineer a cultural shift, to co-exist with Mukhaota, ghunghat 
The Centre’s moves to step up loan delivery to MSMEs and relax repayment terms may not be enough. Reverse ...
Pune district has over 1.3 lakh registered MSMEs and 650-700 large-scale units. Together, they employ 17 lakh ...
Done in by the coronavirus-induced lockdown, restaurants, travel agencies and small businesses have shut shop, ...
“There is no protection, across the world, for money against market investments; misinformation or violation ...


Big Story | Covid-19 market crash: Is the worst behind us?






 Subscribe to The Hindu BusinessLine to read more and understand from our trusted experts. 


Avail Invitation Pricing Now
. Offer closes soon.


More




Companies






TRENDING TODAY




TRENDING THIS WEEK




LATEST NEWS




SECTIONS




GROUP TOP TRENDS




The Hindu




Sportstar"
32,2018-01-10,Asian Paints,"Asian Paints Indonesia arm starts production
PT Asian Paints Indonesia, its indirect subsidiary, has commenced production with a capacity of 5,000 tpa on single shift basis. PT API was incorporated as a wholly-owned subsidiary of Berger International Private Limited, Singapore. The plant has a capacity of 24,550 tpa in Indonesia. None of the promoters/directors or key managerial persons have direct or indirect interest in the transaction, the company said. Investors will closely monitor the development."
30,2018-01-23,Asian Paints,"A steady quarter for Asian Paints
Asian Paints, one of the largest paint makers, is on the path to recovery post the implementation of GST in July 2017. Though revenue has remained flat for the December quarter 2017, on a (GST) comparable basis, the company reported revenue growth of about 11 per cent year-on-year to Rs 4,268 crore. Profit for the same period grew about 16 per cent year-on-year to Rs 567 crore.
The key segment of the company – decorative paints -- has registered single digit volume growth as demand conditions for the paint industry have not reached pre-GST levels. On the industrial front, automotive coatings witnessed good growth in the auto OEM, auto refinish and general industrial business segment. The company also reported good growth in powder coatings, leading to an overall good performance in industrial business. Overall, paint demand in the North and East has been good for the company, whereas in South it has not been good due to an extended monsoon.
The company is the largest player in the decorative segment which contributes 83 per cent of its revenue, while industrial coatings and home improvement business contributes 2 per cent each; the rest of the revenue, about 13 per cent, is contributed from the international business. Operating margins improved to 22 per cent in the December quarter, slightly higher than 21 per cent of the same period last year.
Raw material costs have increased nearly 14 per cent year-on-year for the quarter ended in December 2017, due mainly to an increase in the price of crude and titanium-di-oxide, key raw materials for the paint companies. The company has not taken any price hike in the December quarter although with the increase in raw material prices, the company might take price revisions going forward.
Considering the dependency on raw materials, the company is strongly moving towards water-based solvents, which would reduce the cost of raw materials such as crude or titanium-di-oxide to a greater extent in the coming years. For FY19, the company has outlined capex of Rs 1,000 crore for setting up two new plants, which will produce entirely water-based paints."
29,2018-05-11,Asian Paints,"Asian Paints hits 52-week high
 Shares of Asian Paints today surged nearly 6 per cent as the company has a reported 3.39 per cent increase in consolidated net profit for the quarter ended March 31, 2018.
The stock gained 5.95 per cent to Rs 1,287 - its 52-week high - on the BSE. On the NSE, the stock jumped 5.77 per cent to hit a one-year high of Rs 1,288. Asian Paints was the biggest gainer on both the Sensex and Nifty during the morning trade.
Asian Paints had on Thursday reported 3.39 per cent increase in consolidated net profit at Rs 495.91 crore for the quarter ended March 31, 2018 against a net profit of Rs 479.61 crore in the January-March quarter a year ago.
The company has reported a total income of Rs 4,531.52 crore in the fourth quarter against Rs 4,442.25 crore in the corresponding period a year ago, Asian Paints had said in a BSE filing."
28,2018-05-11,Asian Paints,"Asian Paints: Strong growth momentum 
The stock of Asian Paints has gone up about 6 per cent on the back of a strong quarterly performance. Healthy growth in decorative and industrial paints segment has kept the company’s March quarter performance in good stead.
The company has reported a revenue growth (excluding excise duty) of 14 per cent y-o-y to Rs 4,492 crore in the fourth quarter of FY18. With improved demand conditions, the decorative paints segment registered a double-digit volume growth in the recent March quarter.
According to the management, good growth was witnessed in adhesive, wall paper and water proofing segments as well. The company reported a profit growth of 4.2 per cent y-o-y.
Asian Paints is one of the largest players in the country having worldwide operations. The company is the market leader in decorative segment which contributes over 75 per cent of its revenue.
The company is largely dependent on crude-based raw materials such as titanium di oxide. Though increase in crude prices is a cause for concern, the company being a market leader, is able to mitigate the risk by increasing prices.
The company’s operating margin improved to 20 per cent in the recent quarter. It increased by 2 percentage points from the year-ago period. Asian Paints has effected about 1.4 per cent price increase with effect from March 1, 2018 and a further 2 per cent price increase across all its products, with effect from May 1, 2018.
Going ahead, the prediction of normal monsoon augurs well for the company. Continued focus on network expansion would help improve its sales. Construction of two new manufacturing plants in Vizag and Mysuru are progressing as per schedule which would provide additional capacity. The company currently has a total capacity of 1.1 million kilolitres."
27,2018-05-13,Asian Paints,"Asian Paints: Strong growth momentum


2010070451650201




2010070451650201


The stock of Asian Paints was up about 8 per cent last week on the back of a strong March quarter performance. The company reported revenue growth (excluding excise duty) of 14 per cent y-o-y to ₹4,492 crore in the fourth quarter of FY-18. Asian Paints is the market leader in decorative paints and over 75 per cent of its revenue comes from the segment. In the March quarter, with improved demand conditions, the decorative paints segment registered double-digit volume growth.








 
The company’s operating margin also improved to 20 per cent in the recent quarter, up by 2 percentage points from the year ago period. Though the steady increase in prices of raw materials has put pressure on the margin, the company was able to mitigate the challenge by taking price hikes. The company has effected about 2 per cent price increase across all its products, with effect from May 1, 2018. It reported profit growth of 4.2 per cent y-o-y."
26,2018-06-06,Asian Paints,"Podcast: Asian Paints
JMFL
Asian Paints (Hold)
CMP: ₹1,263.75
Target: ₹1,310
FY18 was no doubt a challenging year for Asian Paints as it had to contend with high input costs inflation and tax rates (unlike consumer staples, GST did not result in any saving for the Paints industry). 
On BS side, the company incurred huge capex on greenfield factories and acquisitions. The combination of above resulted in a 620 bps compression in ROIC (30.1 per cent versus 36.2 per cent in FY17) of which 290 bps was on account of gestating assets. Interestingly, the efficiencies that Asian Paints consistently displayed in managing its overheads until FY12 returned to help constrict operating margin decline to mere 67 bps in FY18 versus 220 bps decline in gross margin. Net cash position was down ₹830 crore on account of the huge capex spends that will up capacity by over 50 per cent by end-FY19E, and cost of acquisition of Sri Lanka’s Causeway Paints. 
Operating CF generation growth has, however been strong (+38.4 per cent) due to a negligible increase in working capital; FCFF, though, was down 18 per cent due to capex spends mentioned earlier. The company’s ability to sustain the recent recovery in volume growth to double-digit level would be key for the stock to sustain its premium valuation (51x NTM EPS) — we expect earnings to accelerate to c.20 per cent CAGR over FY18-20E versus 11.7 per cent over FY15-18."
25,2018-06-24,Asian Paints,"In largest capacity expansion, Asian Paints to invest Rs 4,000-cr this fiscal 


Asian Paints on expanding mode (stock photo)
   -  Mmaxer/shutterstock.com




Asian Paints on expanding mode (stock photo)
   -  Mmaxer/shutterstock.com


 Asian Paints is embarking on its largest capacity expansion this fiscal year, investing Rs 4,000 crore at its Visakhapatnam and Mysuru facilities to add 1.1 million kilo litre to its present output.
 The city-headquartered company is setting up plant with a 5 lakh KL per annum capacity at Visakhapatnam at an investment of Rs 1,785 crore and a 6 lakh KL plant at Mysuru pumping in Rs 2,300 crore.
“We are in the midst of our largest capacity expansion. In the first phase, two mega plants with initial capacities of 3,00,000 KL per annum each of water-based paints would be commissioned at Mysuru and Visakhapatnam in FY19,” Asian Paints managing director & chief executive KBS Anand said in the annual report.
 Asain Paints, which is the domestic market leader, operates in 16 countries and have 25 manufacturing facilities globally, catering to consumers in over 60 countries. 
Its industrial coatings business was badly affected in the second half of FY18 due to GST as well rising input costs. But launch of industrial tinting machines in the dealer networks, and the success of its direct-to metal coatings, it could not only retain market share but in fact increase it in the second half of FY18, Anand said.
 In the automotive paints segment, the company added Ford and Hyundai during the year. It could also gain market in share in the two-wheeler space.
 However, Anand said international business did not perform well. While a weak economy and a highly deflated currency hit its Egyptian operations, Ethiopia and Sri Lanka also did not do well. But higher sales in Nepal, Oman and Bahrain could contain some the impact of the poor show by the above markets.
 He said the greenfield operations in Indonesia as well as acquisition of Causeway Paints in Sri Lanka have increased its global revenue. Having completely existed the low growth Caribbean markets, Asian Paints is now focusing on expanding its portfolio into the emerging markets of Asia and Africa, chairman Ashwin Choksi said. 
He further said the uncertainty is likely to continue in the current financial year as well, citing the general elections and a slew of assembly polls. “While the economy gradually absorbs the impact of GST, impending elections across many states and the general elections will add to the instability, Choksi said."
