,Date,Company,Article
127,,Axis Bank,
126,2018-01-08,Axis Bank,"Axis Bank laggard in recognising NPAs: Moody’s
Days after the third largest private sector lender reported a sharp rise in dud loans, global ratings agency Moody’s today blamed Axis Bank for being a “laggard” and non-prudent in recognising asset quality stress and termed it as a credit negative.
“We believe that the bank has been laggard in recognising its asset quality problems, a credit negative for its credit quality,” it said in a note.
At its earnings update on October 17, Axis Bank, which is rated Baa3 with a stable outlook by Moody’s, reported a 24 per cent quarter-on-quarter increase in NPAs driven largely by a Rs 8,100-crore fresh slippage in the corporate front.
Because of the lower base, it could report a 36 per cent surge in profits as compared to the year-ago period.
The bank expanded its credit costs guidance, which denotes a jump in provisions it expects, by 0.35 per cent and also said it will take at least two more quarters for things to normalise on asset quality front.
“The extent of deterioration in the bank’s asset quality over the next 12-18 months may be more than what we previously expected,” Moody’s warned Today.
It said only half of the nine accounts identified by the RBI for “divergence” find a mention in the bank’s “watchlist” of accounts that can slip into NPA.
Moreover, there is also a trend of continuing material downgrades below investment-grade in its loan book, it said.
“The bank has not been prudent in identifying the extent of its asset-quality issues,” it said.
Elaborating on the non-prudence, the rating agency said the bulk of exposure in the below-investment-grade category was to sectors such as power, iron and steel, construction and roads, which are largely legacy issues, and not caused by recent developments.
“Hence, the continued high rate of downgrades into the below-investment-grade category is a delayed recognition of existing credit issues,” it said.
It said Rs 2,300 crore of loans were migrated to below investment grade in the September quarter and 3.9 per cent of the loan book was now in the below investment grade category of borrowers.
This 3.9 per cent of the loan book is double that of the watchlist, which narrowed down to Rs 6,000 crore as of September from the Rs 22,000 crore in March 2016.
“On average over the past five quarters, around 17 per cent of the outstanding below-investment-grade loans at the beginning of the quarter became NPAs during the quarter,” it added.
The Axis Bank scrip was trading 2.37 per cent up at Rs 483.90 a piece on the BSE at 1336 hrs, as against a 0.09 per cent gains on the benchmark."
125,2018-01-08,Axis Bank,"Slippages down, but weak earnings drag ICICI Bank
Private sector banks have been playing catch-up with public sector lenders, unfortunately even in piling up bad loans. Over the past several quarters, they are doing this at a much faster pace than their public sector counterparts.
Two large lenders — ICICI Bank and Axis Bank — that account for over 70 per cent of the NPA problem at private banks are mostly to blame for the asset quality picture getting gloomier. It was only expected, then, that markets would heave a sigh of relief when ICICI Bank reported lower slippages for the September quarter, even as Axis Bank and YES Bank saw steep additions to their bad loan book.
But unlike YES Bank, which had a strong core performance to offset some of the downside in earnings on account of rising delinquencies, ICICI Bank and Axis Bank reported weak core earnings as well. Also, while both YES Bank and Axis Bank reported huge bad loan divergences (pertaining to FY17) in the September quarter, for ICICI Bank the RBI’s report is still awaited, which raises the possibility of higher slippages ahead.
The RBI’s asset quality review (AQR) exercise, which led to a sharp rise in slippages six-seven quarters back for public sector banks, has been impacting private lenders in a different avatar. The RBI’s Annual Risk Based Supervision (RBS) has led to a steep rise in slippages for most private banks. ICICI Bank had reported divergence of ₹5,100 crore pertaining to FY16, and accounted for it in FY17.
On the face of it, ICICI Bank’s slippages, which have moderated to ₹4,674 crore in the September quarter from the peak of around ₹8,200 crore in the June 2016 quarter, may appear comforting. But the still sizeable additions to bad loans, and around ₹19,000 crore of outstanding accounts in the watchlist, suggest more pain in the coming quarters.
Remember, until the December 2015 quarter, when the slippages first shot up, ICICI Bank’s quarterly delinquencies were in the ₹1,600-2,200 crore range. At over ₹4,000 crore, the latest September quarter slippages (sans divergence) still remain elevated.
For Axis Bank, the asset quality picture is no different. After reporting bad loan divergences of ₹9,478 crore pertaining to FY16, it reported another ₹5,633-crore divergences for FY17 in the latest September quarter. YES Bank has declared sharp divergences (pertaining to FY17) of ₹6,355 crore, in the September quarter.


Core performance


While asset quality woes do not appear to be bottoming out for these players, there is a wide disparity in their core performance.
YES Bank saw a strong traction in loans that led to 33.5 per cent year-on-year growth in net interest income, and the bank still managed a 25 per cent growth in net profit in the quarter, despite a near-trebling of provisions.
For Axis Bank and ICICI Bank, which have a loan book nearly three times that of YES Bank, growth has been lower. ICICI Bank’s loan growth (domestic) stood at 13 per cent y-o-y in the September quarter, while for Axis Bank it was 16 per cent. While the loan growth is still noteworthy, given the general weak credit offtake, it has not translated to core earnings due to reversal of interest income owing to rise in bad loans.
Axis Bank reported a muted 1 per cent y-o-y growth in core interest income in the September quarter. ICICI Bank’s net interest income grew 9 per cent."
124,2018-01-09,Axis Bank,"Axis Bank shares rally 9% on Bain Capital's $1 bn investment plan
Shares of Axis Bank Ltd jumped as much as 9.2 per cent as a media report said that Bain Capital is in talks with Axis Bank Ltd to invest between $750 million and $1 billion (Rs4,800-6,400 crore).
The lender's shares ended higher by 8 per cent at Rs 523.05 on the BSE. On the NSE, the shares were up 8.52 per cent at Rs 525.25. In terms of equity volume, 23.36 lakh shares exchanged hands on the BSE.
According to the report, India’s third-biggest private lender is in talks to raise money amidst worsening asset quality and regulatory glare.
Bain’s proposed investment will come as a primary issuance of shares through a preferential allotment that will allow the PE fund to own up to 5% of Axis. Bain Capital and Axis Bank declined to comment.
Axis Bank stock has lost 5.7 per cent in two weeks, as of Monday's close, after reporting a rise in Q2 bad loans.


(With inputs from Reuters)"
123,2018-01-09,Axis Bank,"Axis Bank shares hit 52-week high
Shares of Axis Bank jumped to a 52-week high of Rs 551.55 on Tuesday as the bank will hold a board meeting on Friday to consider raising funds through sale of shares or equity-linked securities.
“A meeting of the board of directors of Axis Bank will be held on Friday, 10th November 2017 at Mumbai, to inter-alia, consider raising of funds by issue of equity/equity linked securities through permissible mode at an appropriate time,” Axis Bank had said in an exchange filing on Tuesday.
Any fundraising approved by its board would be put to shareholders for a vote, India's seventh-biggest lender by assets had said. It did not provide further details.
Last week, a media report said that Bain Capital is in talks with Axis Bank Ltd to invest between $750 million and $1 billion (Rs4,800-6,400 crore).
According to the report, India’s third-biggest private lender is in talks to raise money amidst worsening asset quality and regulatory glare.
Axis Bank had reported a nearly 36 per cent increase in net profit at Rs. 432 crore in the second quarter ended September despite a rise in bad loans. The bank had posted a net profit of Rs. 319 crore for the July-September period of 2016-17."
122,2018-01-09,Axis Bank,"Court accedes to Axis Bank, allows NCLT to pass order in mall developer insolvency case
The Karnataka High Court on Wednesday vacated an interim order in which it had directed the Bengaluru bench of the National Company Law Tribunal (NCLT) not to pass any adverse order against a private mall-developing company on insolvency proceedings initiated by Axis Bank.
Justice AS Bopanna passed the order on an application filed by the bank for vacating the interim order passed on August 28 on a petition filed by Lotus Shopping Centres challenging the insolvency proceedings, as well as the constitutional validity of sections 4 to 77, 214, 215, 231 and 238 of the Insolvency and Bankruptcy Code (IBC), 2016.
However, the court, in its order, observed that as per the judicial pronouncements made by other High Courts and the Supreme Court, the NCLT will have to provide reasonable opportunity of hearing to both the parties before taking a decision on the insolvency application filed by the bank as the proceeding is “adversarial in nature”.
The petitioner-company will have ample opportunity to defend itself before the NCLT, the court observed.
The court made these observations as the petitioner-company had pointed out that the NCLT, as per the IBC, was not required to hear the company’s point of view before admitting the proceedings.
On the contention of Lotus Shopping Centres, which has been classified as “corporate debtor” by the bank, that it will have no right of appeal if the NCLT decides to appoint insolvency professionals in place of company’s board of management, the court said that “any person” aggrieved from an NCLT order can appeal to the appellate tribunal. The court also pointed out that the petitioner-company’s investors too have the right to appeal."
121,2018-01-09,Axis Bank,"Axis Bank to raise ₹11,626 cr from Bain Capital, others


axis bank




axis bank


Axis Bank on Friday said it proposes to raise equity and equity-linked capital amounting to ₹11,626 crore from a set of marquee investors, including entities affiliated with Bain Capital Private Equity and the bank’s promoter Life Insurance Corporation of India (LIC).
India’s third-largest private sector bank, in a statement, said it proposes to issue equity for ₹9,063 crore and warrants for ₹2,563-crore.
Entities affiliated with Bain Capital, and public sector life insurer LIC propose to invest ₹6,854 crore and ₹1,583 crore, respectively, in the instruments, respectively.
The bank proposes to issue 172,630,639 equity shares on a preferential basis at ₹525 per share (at a premium of 2.4 per cent to the SEBI floor price as of the relevant date), and 45,357,385 warrants convertible into equity shares at ₹565 per share (at a premium of 10.2 per cent), adding ₹43.6 crore to the paid-up capital of the bank.
This would mean a dilution of 8.23 per cent for the existing shareholders.
Axis Bank said the funds will bolster the capital adequacy, thereby providing the impetus for the growth of the core business of the bank and its subsidiaries.
The capital-raise is subject to shareholders’ approval at the bank’s EGM on December 8. Once approved, this would be one of the largest private equity investments in the Indian banking sector, the statement said.
Sanjiv Misra, Chairman, Axis Bank, said: “Banking in India is at an inflection point right now. The credit growth trajectory in the country is turning. Axis is well positioned to participate in this development. This significant capitalisation of Axis Bank, and the interest shown by marquee investors, positions us for even greater strength.”"
120,2018-01-09,Axis Bank,"Axis Bank hits 13-1/2-month high
Shares of Axis Bank hit 13-1/2-month high on capital raising plan. The stock jumped as much as 3.7 per cent to its highest since September 23, 2016.


Axis Bank had on Friday said it proposes to raise equity and equity-linked capital amounting to ₹11,626 crore from a set of marquee investors, including entities affiliated with Bain Capital Private Equity and the bank’s promoter Life Insurance Corporation of India (LIC).
India’s third-largest private sector bank, in a statement, said it proposes to issue equity for ₹9,063 crore and warrants for ₹2,563-crore.
""We see this as a big confidence sign, and the overhang of a likely capital raise (FY19) goes away,” analysts at Deutsche Bank wrote, raising their price target to Rs 620 from Rs 575 with “buy” rating.
“We now expect stressed asset recognition to accelerate as the quantum of capital infusion adequately covers the provisioning requirement,” analysts at Nomura said, raising their price target to Rs 640 from Rs 610 and reiterating their “buy"" rating.
Sixteen of 48 analysts covering stock have “buy” or higher ratings, 18 have “hold"", 14 have “sell” or lower ratings; their median price target is Rs 522.5, according to Thomson Reuters data.
Shares of the bank had gained about 21 per cent this year as of Friday's close.
(With inputs from Reuters)"
119,2018-01-09,Axis Bank,"Bank stocks rally on Moody's rating upgrade
Bank stocks rose up to 6 per cent after the US-based Moody’s upgraded India’s sovereign credit rating by a notch to ‘Baa2’ with a stable outlook.
Shares of PNB surged 6 per cent, Bank of Baroda soared 5.17 per cent, YES Bank gained 4.16 per cent, SBI (3.91 per cent) and ICICI Bank (3.55 per cent) on the BSE. Axis Bank gained 2.64 per cent and HDFC Bank went up by 1.18 per cent.
The BSE bank index also rose 1.9 per cent to trade at 29,450.39. The broader market also cheered the news as the BSE Sensex jumped 331.72 points to trade at 33,438.54.
“Moody’s upgrade comes as a welcome move in the wake of slew of structural reforms in the economy which are expected to enhance the potential growth in the medium term,” said Upasna Bhardwaj, Senior Economist, Kotak Mahindra Bank.


Moody’s Investors Service has upgraded India’s sovereign credit rating by a notch to ‘Baa2’ with a stable outlook citing improved growth prospects driven by economic and institutional reforms.
“The decision to upgrade the ratings is underpinned by Moody’s expectation that continued progress on economic and institutional reforms will, over time, enhance India’s high growth potential and its large and stable financing base for government debt and will likely contribute to a gradual decline in the general government debt burden over the medium term,” Moody’s said in a statement.
Sovereign rating is a barometer of the country’s investment climate. It gives investors insight into the level of risks associated with investing in a particular country and also includes political risks.
For long, India was rated by other rating agencies at Baa3, the lowest investment grade and just a notch above the junk grade, which has now been upgraded a notch higher by Moody’s."
118,2018-01-09,Axis Bank,"Axis Bank launches blockchain-based international payment service
Private sector lender Axis Bank has launched an instant international payment services using Ripple’s enterprise blockchain technology solution for retail and corporate customers.
Though an international offer, the bank is offering the facility only to its retail customers in the country to receive payments from the UAE-based Rak Bank and for its corporate customers to receive payments from Standard Chartered, Singapore, the bank said in a statement today."
