,Date,Company,Article
106,,BPCL,
96,2018-01-09,BPCL,"Crude prices gallop on: OMCs to be in focus
Shares of oil marketing companies (OMCs) such as Hindustan Petroleum Corp, Bharat Petroleum Corp and Indian Oil may come under pressure with crude oil prices zipping past the $66 mark at NYMEX, and $60 at ICE.
Though a stable rupee (against the greenback) is a comforting factor, further rise in crude oil prices could impact these companies heavily. However, ONGC and Reliance Industries could benefit as their refining margins would improve."
97,2018-01-09,BPCL,"IOC, BPCL keen to acquire GAIL
Indian Oil Corp (IOC) and Bharat Petroleum Corp Ltd (BPCL) are both keen to acquire gas utility GAIL India Ltd to become fully integrated energy companies.
IOC and BPCL have separately indicated to the petroleum ministry their interest in taking over GAIL to help add natural gas transportation and marketing business to their kitty, official sources said.
GAIL, on the other hand, feels a merger with oil and gas producer ONGC would be more appropriate.
The merger options were indicated following Finance Minister Arun Jaitley’s announcement in the 2017-18 Budget speech on the government’s plan to create integrated public sector oil majors that will be “able to match the performance of international and domestic private sector oil and gas companies“.
ONGC, India’s largest oil and gas producer, proposed to acquire oil refiner and fuel marketing company HPCL, which was approved by the Cabinet. Oil and Natural Gas Corp (ONGC) is currently in the process of acquiring the government’s 51.11 per cent stake in HPCL, which at current prices is worth over Rs 33,000 crore.
Sources said IOC and BPCL gave separate options for the integration.
The government’s 54.89 per cent stake in GAIL is currently worth about Rs 46,700 crore.
Integration options suggested by other companies would be taken up only after ONGC-HPCL merger is complete, they said.
IOC, the largest oil refiner and fuel marketing company in the country, wanted to either acquire another refiner to add to its capacity or a gas company like GAIL.
The firm feels it already has a fledging gas business in under-construction LNG terminals, city gas distribution projects and gas marketing. GAIL, the nation’s biggest gas transporter and marketing company, would complement that, it felt.
BPCL on the other hand too has natural gas ambitions and wrote to the oil ministry saying GAIL was its number one choice for acquisition. It listed Oil India Ltd (OIL), the nation’s second largest exploration firm, as its number two choice."
98,2018-01-09,BPCL,"BPCL agrees to offer grants to start-ups
Bharat Petroleum Corporation Limited (BPCL) has agreed to provide grants and investments to two highly promising start-up ventures at Maker Village, the largest electronics incubator in Kerala managed by IITM-K.
The company is offering to support further development of an underwater drone created by EyeROV Technologies and a cattle milking machine that enables early detection of dairy cattle diseases, developed by Resnova Technologies.
Aravind Krishnaswamy, General Manager (Strategy) BPCL exchanged MoUs with Jijo Paul, CEO at Resnova Technologies and Johns T Mathai, CEO at EyeROV Technologies.
BPCL and Kerala Startup Mission are now working together to find promising new start-ups to support. KSUM helps the innovative ventures that are in need of funding, and the selected ones can earn grants.
The EyeROV drone can dive 50 meters deep into the water to gather data, and is expected to find applications in various fields, including police department, fire and rescue, and Navy.
Resnova’s cattle milking machine that doubles up as a disease diagnostic tool can potentially be of invaluable assistance to dairy farmers to tackle cattle diseases before they become full-blown epidemics."
99,2018-01-09,BPCL,"BPCL to offer grant to start-up ventures at Maker Village
Bharat Petroleum Corporation Ltd has agreed to provide grant to two highly promising start-up ventures at Maker Village, the largest electronics incubator in Kerala managed by IITM-K.
BPCL will support further development of an underwater drone created by EyeROV Technologies, and a cattle milking machine that enables early detection of dairy cattle diseases, developed by Resnova Technologies.
According to a company statement, Aravind Krishnaswamy, General Manager (Strategy), BPCL, exchanged MoUs with Jijo Paul, CEO, Resnova Technologies, and Johns T Mathai, CEO, EyeROV Technologies.
BPCL and Kerala Startup Mission are now working together to find promising new start-ups to support. Innovative ventures that are in need of funding can get in touch with KSUM and the selected ones could earn grants, it said
The EyeROV drone can dive 50 meters deep into the water to gather data, and is expected to find applications in various fields, including for the Police Department, Fire and Rescue, and Navy.
Resnova’s cattle milking machine that doubles up as a disease diagnostic tool could potentially be of invaluable assistance to dairy farmers to tackle cattle diseases before they become full-blown epidemics, the statement added."
105,2018-01-09,BPCL,"BPCL slumps 3.6% as net profit misses street views
Shares of BPCL fell as September-quarter profit missed street views.
The stock fell as much as 3.6 per cent, posting its biggest intraday percentage loss since September 26.
The company's September-quarter profit surged 81 per cent to Rs 2,357 crore ($360.76 million), state-run refiner had said on Friday.
Profit missed analysts' forecast of Rs 2,456 crore, according to Thomson Reuters data.
BPCL's profit missed estimates on lower inventory gains and weak refining performance, according to CLSA analysts.
Average GRM for the quarter was $7.97 per barrel. CLSA, which still sees a 4 per cent downside on the stock, has retained the stock's rating as “sell"".
Up to Friday's close, the stock was up 23.8 per cent this year."
101,2018-01-09,BPCL,"IOC, BPCL set rates for VLCC, Suezmax tanker


Size is everything In the last five years, VLCC rates have touched $57,750 per day for a one-year charter and $45,000 per day for a three-year charter




Size is everything In the last five years, VLCC rates have touched $57,750 per day for a one-year charter and $45,000 per day for a three-year charter


Indian Oil Corporation Ltd (IOCL) and Bharat Petroleum Corporation Ltd (BPCL) will benchmark the rates for a very large crude carrier (VLCC) and a Suezmax tanker, respectively, they plan to hire from local fleet owners for five years to the Clarksons index that are also subject to a floor (minimum rate) and a cap (maximum rate).
IOCL has set a floor rate of $18,000 per day and a cap of $40,000 per day for hiring a 10-year old VLCC that can carry as much as 265,000 million tonnes of Basrah light crude for five years with an option to extend the contract for two years, according to the tender reviewed by BusinessLine.
BPCL has set a floor rate of $15,000 per day and a cap of $27,000 per day for hiring a ten-year-old Suezmax tanker that can carry as much as 130,000 mt of crude oil for five years that is extendable by two years, according to the tender issued by BPCL.




The charter hire under the contracts will be linked to one-year time charter rates for 310,000 and 150,000 dead weight tonnes (dwt) vessels indicated in Clarksons Research’s Shipping Intelligence Weekly publication. This weekly market rate shall be averaged out considering all weekly publications during the preceding year from January 1 to Decmeber 31 to arrive at the base charter hire rate for the next year.
The fleet owners quoting the maximum discount or lowest premium in percentage on the base charter hire rate so determined will win the deal. The discount / premium agreed by ship owners shall be valid for the entire duration of contract including optional period. However, the base charter hire rate shall be reset every year based on immediate previous year’s average of one-year time charter rate indicated in Clarksons Research’s Shipping Intelligence Weekly publication.
For example, if the average of weekly market rates of one-year time charter published in Clarksons Research’s Shipping Intelligence Weekly publication during this yearthe year 2017 works out to $18,601 per day and the agreed premium is 10 per cent, the charter-hire payable to owners during 2018 shall be 18,601 + 10% = $20,461 per day. Assuming it to be discount, the payable charter-hire during 2018 shall be 18,601-10% = $16,741 per day.
However, if the charter hire net of agreed discount / premium works out to be less than floor rate, the charter hire payable shall be the floor rate. But, if the charter hire net of discount / premium works out to more than the cap rate, then the payable charter hire shall be the cap rate.
Such floor and cap rate will be valid for the entire contract period including optional period.
“It’s is a very aggressive floor and cap set by the state-run oil refiners,” says Pawan Gupta, an independent shipping consultant. “We had suggested a floor rate of $18,000 per day and a cap of $36,000 per day for the VLCC. IOCL made it $18,000 and $40,000. Actually, it is good for ship owners,” he said.
“It is not a win-win situation,” says another Mumbai-based shipping consultant. “It is not in favour of owners because if the market goes up, their ability to get a premium will be restricted to $40,000 for VLCC and $27,000 for Suezmax carriers”. Besides, for financing purposes, this model will be less attractive than a fixed rate. Banks will favour a fixed rate than the floor and cap rate because of the risks involved, he added.




The current market rate for hiring a VLCC for three years is $29,250 per day while the rate for a Suezmax carrier is $22,500 per day, according to Allied Shipping Research.
In the last five years, the VLCC rates had touched $ 57,750 per day for a one-year charter and $45,000 per day for a three-year charter.
In the case of Suezmax tankers, the rate had reached $42,500 per day for a one-year charter and $35,000 per day for a three-year charter."
102,2018-01-09,BPCL,"Oil marketing cos fall as crude prices hit 2-year high
Shares of oil marketing companies fell as crude prices hit 2-year high. OMCs were among the top percentage losers on the NSE index.
Hindustan Petroleum Corp Ltd shares fell as much as 2.3 per cent to Rs 420, lowest since November 23, while Bharat Petroleum Corp Ltd and Indian Oil Corp Ltd slipped as much as 1.8 per cent and 1.7 per cent, respectively.
US oil prices hit their highest levels in more than two years on Friday following the continued shutdown of the Keystone pipeline; the prices eased on Monday on the prospect of increased US output.
“Crude oil prices are moving up, which is negative for the oil marketing companies and that's pushing the stocks of OMCs down,” says Sudeep Anand, IDBI Capital.
Meanwhile, oil explorers such as Oil and Natural Gas Corp Ltd rose as much as 1.66 per cent to Rs 184, highest since November 14."
103,2018-01-09,BPCL,"Ready to supply Euro-VI fuel to Delhi from April: IOC
Euro-VI grade petrol and diesel will be supplied to the national Capital by three oil PSUs from their refineries at Mathura, Bina and Bhatinda from April to help it fight the alarming levels of air pollution.
“We will be able to meet the requirement of Delhi from April 1,” IOC Chairman Sanjiv Singh said here today.
“We will have to tweak the fuel production slate to produce BS-VI (equivalent to fuel meeting Euro-VI emission norms), he added.
The nation’s biggest oil firm, IOC will source the fuel from its Mathura refinery, while Hindustan Petroleum Corp Ltd (HPCL) will do so from its joint venture refinery at Bhatinda.
Bharat Petroleum Corp Ltd (BPCL) supplies the fuel from its Bina refinery.
“Meeting Delhi’s requirement of BS-VI grade petrol and diesel will not be a problem,” Singh said.
He added, however, that meeting the requirement of the National Capital Region (NCR) will be a challenge as it consumes about 10 per cent of the nation’s fuel.
India had in 2015 decided to leapfrog to Euro-VI emission norm compliant petrol and diesel from April 2020, from the Euro-IV grade at present.
While the deadline for the rest of the country stands, for Delhi, which is choking on thick toxic smog, the deadline for introduction of BS-VI, equivalent to Euro-VI grade, was last week preponed to April 2018.
Euro-VI grade fuel contains 10 parts per million (ppm) of sulphur as against 50 ppm in Euro-IV fuels.
Delhi consumed 906,000 tonnes of petrol and 1.26 million tonnes diesel in 2016-17, Singh said.
Oil firms have been asked to examine the possibility of introduction of BS-VI auto fuels in the entire NCR, which includes the adjoining cities of Ghaziabad, Noida, Gurgaon and Faridabad, from April 1, 2019.
In all likelihood, according to some industry players, supplies in the NCR may not begin by 2019.
The BS-IV emission norm was introduced across the country from April 1, 2017.
Oil refineries will need to invest Rs 28,000 crore in upgrading petrol and diesel quality to meet cleaner fuel specifications by 2020.
According to IOC, for petrol engines, one of the critical specifications is Research Octane No. (RON), which has improved from 88 in BS-II to 91. It is at par with regular 91 octane gasoline (petrol) required for Euro VI emission norms.
Sulphur specification for petrol and diesel will be reduced 50 times for a level of 500 ppm for BS-II fuel to 10 ppm in BS-VI.
Previously, the fuels meeting Euro-IV or Bharat Stage (BS)-IV specifications were to be supplied throughout the country by April 2017 and BS-V or Euro-V grade fuel by April 1, 2020.
But now the government plans to switch over directly from BS-IV to BS-VI auto fuels.
Oil refineries had previously upgraded their technology and invested over Rs 55,000 crore for production and supply of BS-III/IV fuels."
104,2018-01-09,BPCL,"BPCL (₹493)
Investors with a short-term perspective can consider selling the stock of Bharat Petroleum Corporation Ltd (BPCL) at current levels. The stock has been in a medium-term uptrend since taking support at ₹400 in late June 2017. But, this uptrend encountered a key resistance in the band between ₹540 and ₹550 in early September this year. This resistance band again capped the stock's rally in late October and has become a significant medium-term hurdle. The stock subsequently changed direction triggered by negative divergence in the daily relative strength index. For the past two weeks, the stock has been trending down. In last two days, the stock has tumbled almost 4 per cent breaching a key support at₹ 505. Moreover, the stock trades well below its 21 and 50-day moving averages. The daily RSI has entered the bearish zone from the neutral region. Both the daily and weekly price rate of change indicators feature in the negative territory implying selling interest. The short-term outlook is bearish for the stock. It can extend its downtrend and reach the price targets of ₹475 and ₹465 in the ensuing trading sessions. Sell the stock with a stop-loss at ₹502.


(Note: The recommendations are based on technical analysis. There is a risk of loss in trading.)


Investors with a short-term perspective can buy the stock of Mahindra & ...
The stock of GIC Housing Finance gained 10 per cent accompanied by above ...
Investors with a short-term perspective can buy the stock of Talbros ...
Following the breakout of Friday, the stock of EID-Parry has turned its ...
Investors with a medium-term perspective can buy the stock of Chennai ...
The Sensex and the Nifty 50 extend their rally; traders should remain ...
The stock of Max Financial Services jumped 6 per cent accompanied by above ...
The stock of Hindustan Unilever has turned positive as it has broken out of ...
Investors with a short-term perspective can buy the stock of NTPC at ...
Investors with a short-term perspective can buy the stock of Balmer Lawrie ...
Investors with a short-term perspective can buy the stock of Mahindra & ...
The stock of GIC Housing Finance gained 10 per cent accompanied by above ...
Investors with a short-term perspective can buy the stock of Talbros ...
Following the breakout of Friday, the stock of EID-Parry has turned its ...
Investors with a medium-term perspective can buy the stock of Chennai ...
The Sensex and the Nifty 50 extend their rally; traders should remain ...
The stock of Max Financial Services jumped 6 per cent accompanied by above ...
The stock of Hindustan Unilever has turned positive as it has broken out of ...
Investors with a short-term perspective can buy the stock of NTPC at ...
Investors with a short-term perspective can buy the stock of Balmer Lawrie ...
Saahil Goel, CEO & Co-founder of Shiprocket1.For physical and mental fitness, I run, meditate, listen to ...
Year 2020 has been remarkable for our frontline workers in the medical fraternity. As the pandemic continues ...
 Supportive care needs to be brought into focus
Covid costs stack up against patients but healthcare institutions are hurting too 
SWPs can help conservative investors get regular returns
Weak core earnings and higher NPA/Covid provisions would have dragged profits further, had it not been for the ...
Budget 2020 introduced the option for individual taxpayers to pay taxes at lower rates beginning FY21 if they ...
Merger pain may come to the fore in coming quarters


Life in Mawsynram, known as the wettest place in the world, is shaped by the monsoon rains
A season that showered bountiful melodies, some lost, others still in vogue 
On July 4, 1845, Henry David Thoreau moved into a small cabin on Walden Pond in Concord. His account of his ...
Marketers and brands should know when it won’t do to talk but listen to customers
Brands could use positivity during crisis times
On the Creative Trail
Hygiene mask must engineer a cultural shift, to co-exist with Mukhaota, ghunghat 
The Centre’s moves to step up loan delivery to MSMEs and relax repayment terms may not be enough. Reverse ...
Pune district has over 1.3 lakh registered MSMEs and 650-700 large-scale units. Together, they employ 17 lakh ...
Done in by the coronavirus-induced lockdown, restaurants, travel agencies and small businesses have shut shop, ...
“There is no protection, across the world, for money against market investments; misinformation or violation ...


Big Story | How to pick life insurance cover






 Subscribe to The Hindu BusinessLine to read more and understand from our trusted experts. 


Avail Invitation Pricing Now
. Offer closes soon.


More




Companies






TRENDING TODAY




TRENDING THIS WEEK




LATEST NEWS




SECTIONS




GROUP TOP TRENDS




The Hindu




Sportstar"
