,Date,Company,Article
79,2018-03-01,Bajaj Auto,"Broker’s Call: Bajaj Auto (Buy)
Arihant Capital
Bajaj Auto (Buy)
CMP: ₹3,025
Target: ₹3,220
Bajaj Auto is an India-based manufacturer of motorcycles, three-wheelers and parts. The company’s business segments include automotive, investments and others. The company’s vehicles include two-wheelers and commercial vehicles.
Bajaj Auto posted a good set of sales numbers, lead by domestic commercial vehicle sales. Domestic sales grew by 129 per cent y-o-y and the exports grew by 86 per cent y-o-y. However, if we compare on a month on month basis exports of commercial vehicles declined 13 per cent and domestic sales have declined marginally by 1 per cent. Domestic sales of commercial vehicles continue to show a good growth on back of rural focussed budget, exports will be the key going ahead. We have target of ₹3,220 on the stock."
78,2018-03-08,Bajaj Auto,"Firing on all cylinders, Bajaj upbeat about growth 


Rajiv bajaj, MD, Bajaj Auto




Rajiv bajaj, MD, Bajaj Auto


Rajiv Bajaj is confident that his company will have a good run through 2018-19 both here and in overseas markets.
“Exports have now fallen into place and three-wheelers are rocking,” says the Managing Director of Bajaj Auto. “Our motorcycles are also doing well.” These include the new Pulsar NS, Avenger, Dominar 400 and Discover. On the anvil is a new ‘V’, which was first launched two years ago as a 150cc commuter bike and followed, in more recent times, by its 125cc sibling.
Rise in numbers
The company’s bike numbers have been rising in recent times thanks to the relaunch of the Discover in January. Data for February shows that bike sales in the domestic market have jumped 23 per cent to 1.76 lakh units with exports up 19 per cent at 1.22 lakh units.
Three-wheelers have shown a much higher increase at over 38,500 units sold in India last month, which is more than double of what was reported in the same period last year. This is also same for exports that recorded nearly 22,000 units compared to over 11,700 three-wheelers in February 2017 when key markets such as Africa virtually imploded.
Additionally, it is only a matter of time before the Qute debuts in the Indian market a good six years after it was first displayed at the 2012 Delhi Auto Expo. If everything goes according to plan, this 216cc quadricycle will be offered as an upgrade to the autorickshaw in the public transport category.
From Bajaj Auto’s point of view, while there is some cause for cheer, these are still early days yet to celebrate, especially in the executive commuter motorcycle space. The recently launched Discover duo (110cc and 125cc) is averaging over 30,000 units each month. But still has a long way to go in a product segment where Hero and Honda are miles ahead.
With scooters also eating into the commuter pie, the Discover will have its work cut out though the initial market response has been quite encouraging. The key is to sustain this momentum and ideally grow monthly numbers to over 50,000 units. The company has been unable to make much headway in the executive commuter space despite the fact that it has pulled out all the stops over the years with brands such as the Discover and the more contemporary ‘V’ in recent times.
“We will continue to focus on our strategy of differentiation and steer clear of me-too products,” reiterates Bajaj. For instance, the objective of ‘V’ was to create the ultimate commuter bike even though its numbers have been modest at 10,000 units each month. It will be interesting to see how the new ‘V’ is positioned and whether it can strike the right chord with its targeted customer.
Three parameters
As Bajaj puts it, a product is defined by three parameters: styling and design; performance and function; and finally cost/price. When it comes to the brand, the first part is to be able to tell a story where, while taking the executive commuter segment as a case in point, the Discover and ‘V’ have something to say. In the case of the former, it was the first 125cc commuter launched 14 years ago while the ‘V’ has the association with INS Vikrant, the country’s firstaircraft carrier whose metal was recycled for the bike.
The next aspect of the brand is the experience and, finally, the product itself. When it comes to the Discover, even though it was in cold storage for a while, the brand had not been forgotten that explains its positive market reception. Of course, its manufacturer had also done careful market research to ensure the right mix of ingredients for the new Discover, which will also extend to the rejuvenated ‘V’.
Bajaj Auto is also confident about the Dominar 400, which was positioned as the alternative to Royal Enfield’s vice-like grip in mid-size motorcycles. While its numbers are still hovering around 4,500 units each month (including exports), the company believes that its potential is a lot more. Even here, differentiation was the guiding principle while offering a bike that was muscular and contemporary.
“Of course, we would like to see 10,000 units every month for the Dominar 400,” responds its MD. For now, the twin brand strategy across its motorcycle portfolio is working well, especially at the entry-level with the CT 100 and Pulsar and sports with the Pulsar and Avenger.
The challenge is to replicate this with the Discover and ‘V’ in the executive commuter space and this is especially critical since this product category accounts for a lion’s share of bikes sold in India.
It is also here that scooters, led by Honda Activa, have made a huge impact and successfully taken on established motorcycle brands like the Hero Splendor.
Making an impact
Bajaj Auto had realised years ago that the only way to make an impact here was to be different and this puts in context why it launched the Discover 125 way back in 2004 at a time when this arena was all about 100cc bikes. The brand had everything going in its favour except that, in hindsight, a needless detour could have been avoided in launching the XCD 125.
In all fairness, the company quickly set right its business plan and decided to focus on the Discover all over again along with the well established Pulsar. Here again, things started off on the right note but as a host of versions followed, the script went off track. With renewed market research/inputs, the new Discover is intended to set things right even while it has a long haul ahead with rivals such as Hero and Honda equally determined to grow their presence in this segment.
Beyond its own brands, Bajaj Auto also has the KTM range firing on all cylinders both in India and overseas markets.
The Austrian bike maker, in which Bajaj has a 48 per cent stake, has successfully leveraged its ally’s manufacturing skills for over a decade now to make 125-400cc bikes at Chakan near Pune, which are exported to a host of countries.
This plant will soon have a new resident in the form of Husqvarna, the Swedish brand that KTM acquired in 2013 and is now keen on seeing it go global too.
This is where the cost-competencies at Chakan will play a big role in catapulting the Husqvarna range to markets in the Asia-Pacific region.
The next big thing is the alliance with Triumph of the UK where the partners are “in the thick of product development”. If things go according to plan, the first range of mid-size motorcycles will be ready to roll out of the Chakan plant in 2020."
77,2018-05-02,Bajaj Auto,"Auto stocks vroom on strong April sales


Tata Motors' April domestic sales of commercial and passenger vehicles surged 86 per cent.




Tata Motors' April domestic sales of commercial and passenger vehicles surged 86 per cent.


 Shares of Indian auto companies rose on strong April sales. Tata Motors Ltd jumped as much as 3.3 per cent, and Maruti Suzuki India gained as much as 2.1 per cent. TVS Motor Co, Mahindra and Mahindra Ltd and Bajaj Auto rose between 0.7 per cent and 1.2 per cent.
Tata Motors' April domestic sales of commercial and passenger vehicles surged 86 per cent, with medium and heavy commercial truck segment jumping 317 per cent, helped by government’s focus on infrastructure development and road construction.
Maruti Suzuki India's April sales jumped 14.4 per cent. Sales of TVS Motor, Mahindra and Mahindra, and Bajaj Auto rose 22-26 per cent. Eicher Motors' April motorcycles sales rose 27 per cent, while trucks and buses sales climb 28 per cent.
JP Morgan analysts say 6-10 per cent growth “across segments is achievable” going into FY19. Macquarie analysts are optimistic on the auto industry to sustain healthy growth in 2018, “led by higher income growth, rural demand revival and rise in infrastructure spend”.
Maruti has remained as the top pick for at least two brokerages, Nomura and Macquarie, given its high volume visibility and market leading growth."
76,2018-05-17,Bajaj Auto,"Ashok Leyland, Bajaj Auto results
Close to 60 companies including Alphageo, Amara Raja, Ashok Leyland, Asian Granito, Bajaj Auto, Bajaj Holdings, Capacite, Dalmia Bharat, Den Networks, Future Lifestyle, Inox Wind, Kanoria Chem, Kirloskar Oil, Manappuram Finance, Mangalam Timber, Pennar Ind, Pennar Engineered, Prabhat Diary, Thermax, RattanIndia Infra, RattanIndia Power, Strides Shasun, Surya Roshini, Winsome Yarns and Union Bank will declare their quarter and full-year results for FY18."
75,2018-05-22,Bajaj Auto,"Bajaj Auto jumps nearly 3%


The company has posted 35 per cent increase in March-quarter net profit.
   -  REUTERS




The company has posted 35 per cent increase in March-quarter net profit.
   -  REUTERS


Shares of Bajaj Auto jumped as much as 2.78 per cent to Rs 2,796.05, and the brokerages were bullish on export outlook.
Nomura has raised the rating to “buy” from “neutral” and price target to Rs 3,395 from Rs 3,252. Exports outlook has improved, especially in African countries such as Nigeria, which benefit from rising oil prices, it says.
Credit Suisse has raised the price target to Rs 3,010 from Rs 2,940 and maintains “neutral” rating. It expects exports volumes to rise 10-12 per cent in FY19, with 3-wheeler volumes likely to continue to grow in near term.
The company had on Friday posted 35 per cent increase in March-quarter net profit. Of the 51 brokerages covering the stock, 25 have “buy” or higher ratings, 14 “hold” and 12 “sell” or lower; their median price target is Rs 3,200, according to Thomson Reuters Eikon data.
The stock had lost 18.4 per cent this year as of Monday's close, compared with a fall of 10.6 per cent in the Nifty Auto index."
74,2018-05-29,Bajaj Auto,"Bajaj’s e-mobility mantra: Start at the top with ‘irresistible’ products


Rajiv bajaj, MD, Bajaj Auto




Rajiv bajaj, MD, Bajaj Auto


Rajiv Bajaj believes it is important to push the envelope in the electric mobility space and make products that are “irresistible” to potential buyers.
The Managing Director of Bajaj Auto says it is important to “start at the top”, and not the bottom, while developing electric two- and three-wheelers. This is on the lines of what Telsa Motors has achieved and has now become a reference point for aspiration and pride of ownership.
Bajaj says he is only too aware of the realities of India’s electric mobility arena, which include uncertainties relating to charging infrastructure, reliability of batteries, costs, charging time, fuel and environmental concerns and so on.
Make a mark
While these are issues that cannot be wished away, he is of the view that his company can adopt a different approach and still make a mark. “By the end of the day, you cannot fight perception and need to use it to your advantage,” he says. It also puts in context why an emotional, and not logical, approach is perhaps the best way forward. This will mean developing world-class products that offer the best in styling, design and engineering. It is this differentiator strategy of starting at the top that has seen Tesla grow as a premium brand across the world. 
Likewise, if things work to plan for Bajaj product(s) in terms of range, charging time and reliability, word-of-mouth will soon create a snowballing effect where suppliers “start coming to you”. 
The government will then also do its bit by helping out with charging stations and all this will lead to the creation of a vibrant electric ecosystem. 
CNG experience
From Bajaj Auto’s point of view, this is just not misplaced optimism but based on actual experience. 
This was the time, a little over 15 years ago, when compressed natural gas was made mandatory in New Delhi and the company’s auto rickshaws had to fit into the new regime.
It was not a walk in the park since this involved a new fuel option as well as more work for Bajaj Auto on product development and R&D. Auto rickshaw drivers were apprehensive about the transition and range of the new vehicles.
As more retail outlets cropped up in Delhi, and CNG supplies increased, the script ended up working to perfection. This is what gives the company the confidence that something similar could happen in the electric space too.
e-scooter launch
Speculation has also been rife that Bajaj Auto is gearing up to launch its first electric scooter this year though its MD did not comment on the subject.
The news has been creating some excitement given that the company had stopped manufacturing geared scooters some years ago and decided to shift its two-wheeler focus solely to motorcycles. 
An electric scooter would, of course, be completely different in terms of volumes and its potential customer base. Yet, it will still revive fond memories of the ‘Hamara Bajaj’ era and the overwhelming presence of the Chetak scooter brand in the market.
What can be said with some certainty is that Bajaj Auto will put out its first electric product in the market by 2020, when Bharat Stage VI emission norms also become a reality. These electric two- and three-wheelers will, in all likelihood, be sold in India and other parts of the world.
By this time, Bajaj may also have in place its first range of mid-size motorcycles in the 300-650cc range jointly developed with Triumph of the UK.
These will be manufactured at the Chakan plant near Pune, already home to the KTM motorcycle range and soon to be joined by Swedish brand, Husqvarna, in 2019."
73,2018-06-24,Bajaj Auto,"Bajaj Auto aims for comeback in commuter bike segment


Stepping on the gas Two-wheeler companies will look to expand further




Stepping on the gas Two-wheeler companies will look to expand further


To regain its lost glory in the commuter motorcycle segment, Bajaj Auto plans to launch new products and strengthen the existing line-up in the next two years.
Though the company continued doing well at the entry-level segment — with its CT 100, Platina and Discover 100/110 — as also in sports and ‘super-sports’ segments, with its Pulsars, Avengers, the Dominar 400 and the KTMs, it could not perform adequately in the large ‘commuter’ segment and sold less than what was expected.
“Hopefully, this gap will be taken care of in the next couple of years through existing and new products. This is a critical segment,” Rahul Bajaj, Chairman, Bajaj Auto, said in the company’s latest annual report.
Bajaj’s offerings in the commuter segment include Discover 125 and the V. It is here that the company performed poorer than expected, and did not meet the tough targets that it had set for itself.
In FY2018, KTM was the fastest growing motorcycle brand for the company, logging a growth of 32 per cent at 46,321 units. This performance is partly on account of the success of the new MY17 product range, and the introduction of a new model, the KTM Duke 250.
Strong export growth
While Bajaj’s domestic motorcycle sales declined a tad in 2017-18, its exports reported a strong growth after two challenging years. In FY2017, motorcycle exports were hit on account of sharp currency devaluations in critical African markets. Thankfully, that was a thing of the past.
In FY2018, Bajaj’s motorcycle exports grew by 14.5 per cent to about 1.4 million units and its three-wheeler exports rose 38.9 per cent, at 267,820 units.
Total revenues from exports rose to $1.36 billion (about ₹9,703 crore) in FY18 as against $1.09 billion (₹7,880 crore) in FY17.
The growth in motorcycle exports in FY18 came on the back of robust sales in Africa, led by the economic recovery in Nigeria, as well as in the ASEAN region due to product launches in the Philippines and entry into Malaysia.
Its focus on the sports segment in countries like Argentina in the Latin American market is paying rich dividends. Incidentally, new markets, where BAL has entered in the last three years, now contribute to almost half of the growth of three-wheeler exports.
BAL is optimistic about export prospects in FY2019 and is investing in its key markets, said the report."
72,2018-07-11,Bajaj Auto,"Bajaj Auto hits 5-month high
Shares of Bajaj Auto today hit a 5-month high, and the chart indicates further upside. The company shares gained as much as 1.97 per cent to Rs 3,155, their highest since February 16.
The stock has broken above a resistance at Rs 3,101.2, the 23.6 per cent Fibonacci resistance level of the uptrend from April 30, 2015 low to February 2, 2018. The breakout suggests that the stock may now test the next resistance at Rs 3,299.7, the 38.2 per cent projection level of the uptrend.
Trend intensity (TI) indicator has gone up to 20, suggesting that the stock is in early stages of an uptrend. MACD is also positive and above its signal line. The stock's five-day average volume was 62 per cent higher than its 30-day average, seen favourable for an upward move.
The stock’s wave pattern suggests it is in the initial sub-wave of a five-wave uptrend that will form the third wave '(3)' of the primary five-wave uptrend. Bajaj Auto stock had fallen 7.2 per cent this year as of Tuesday, while the broader NSE Index was up 3.96 per cent in the same period."
71,2018-07-20,Bajaj Auto,"Bajaj Auto net up 24.5% at Rs 1,042 cr 
 Bajaj Auto Ltd has reported 24.5 per cent increase in consolidated net profit at Rs 1,041.78 crore for the first quarter ended June 30, 2018 on robust sales.
According to a BSE filing, the company had posted a consolidated net profit of Rs 836.74 crore in the same quarter of last fiscal.
Sales during the quarter under review stood at Rs 7,267.19 crore. It was Rs 5,740.3 crore in the year-ago period. The two figures are not comparable as sales for first quarter of this fiscal is net of tax after GST implementation in July last year.
Total sales volume stood at 12,26,641 units in the first quarter against 8,88,434 units in the same quarter last fiscal, a growth of 38 per cent. Overall motorcycles sales stood at 10,29,964 units compared with 7,75,714 units in the year-ago quarter, up 33 per cent.
Bajaj Auto said its domestic motorcycle sales during the quarter stood at 5,94,234 units against 4,26,562 units in the same period last fiscal, a growth of 39 per cent. Domestic commercial vehicle sales stood at 94,431 units against 52,347 units in the corresponding period last fiscal, up 80 per cent.
Motorcycle exports grew 25 per cent during the first quarter at 4,35,730 units against 3,49,152 units in the same period of the last fiscal, the filing said."
70,2018-07-20,Bajaj Auto,"Bajaj Auto shares skid over 9% 
 Shares of Bajaj Auto today plunged over 9 per cent, wiping out Rs 7,862 crore from its market valuation, after the company’s first quarter earnings came below market expectations.
 The stock tanked 8.73 per cent to settle at Rs 2,841.10 on the BSE. During the day, it tumbled 9.40 per cent to Rs 2,820. On the NSE, the stock plummeted 9.41 per cent to close at Rs 2,821.60.
 The stock was the worst hit among the blue chips on both the key indices. Led by the sharp decline in the stock, the company’s market valuation eroded by Rs 7,861.94 crore to Rs 82,212.06 crore. 
In terms of equity volume, 3.27 lakh shares of the company were traded on the BSE and over 49 lakh shares changed hands on the NSE.
“Bajaj Auto Q1 numbers were below our estimate,” said Abhishek Jain, Analyst, HDFC Securities.
According to a BSE filing, Bajaj Auto Ltd has reported 24.5 per cent increase in consolidated net profit at Rs 1,041.78 crore for the first quarter ended June 30, 2018 on robust sales. It had posted a consolidated net profit of Rs 836.74 crore in the same quarter of the last fiscal.
However, on a sequential basis, the net profit declined over 11 per cent from Rs 1,175.47 crore in the quarter ended March. Sales during the quarter under review stood at Rs 7,267.19 crore. It stood at Rs 5,740.3 crore in the year-ago period. The two figures are not comparable as sales during the first quarter of this fiscal is net of tax after GST implementation in July last year."
