,Date,Company,Article
24,,Bajaj Finserv,
18,2018-01-08,Bajaj Finserv,"Bajaj Finserv consolidated net up 13%
Buoyed by robust performance of its NBFC and general insurance subsidiaries, Bajaj Finserv logged a 13 per cent increase in second quarter consolidated net profit at ₹652 crore against ₹576 crore in the year-ago period.
Bajaj Finserv (BFS) is the holding company for the various financial services businesses under the Bajaj Group. The company has 55.13 per cent stake in Bajaj Finance (BFL) and 74 per cent stake each in Bajaj Allianz General Insurance Company (BAGIC) and Bajaj Allianz Life Insurance Company (BALIC).
The consolidated revenue of BFS in the reporting quarter was up 28 per cent year-on-year (y-o-y) at ₹7,561 crore.
A break-up of BFS’ consolidated profit components shows that BFL’s contribution to the bottomline was 49 per cent followed by BAGIC (29 per cent) and BALIC (21 per cent).
S Sreenivasan, CFO, Bajaj Finserv, said: “From the growth perspective we had all three engines (Bajaj Finance, Bajaj Allianz General Insurance, and Bajaj Allianz Life Insurance) firing very well in this quarter.
“Generally, the macro environment is favouring financial savings now much more than before. There is a lot of liquidity in the system… And if growth revives in India back to 7-8 per cent, then clearly we are on a strong wicket for quite a long time.”
BFL reported a 36.5 per cent jump in second quarter standalone net profit to ₹557 crore from ₹408 crore in the year-ago period.
Revenue from operations was up 32 per cent to ₹3,086 crore, and other income jumped to ₹16 crore.
Finance cost rose 20 per cent to ₹1,144 crore, and other expenses 42 per cent to ₹515 crore.
Loan losses and provisions were up 38 per cent to ₹228 crore.
Rajeev Jain, Managing Director, BFL, said: “Growth has been reasonably secular in the second quarter — the consumer lending business grew 42 per cent, SME 18 per cent, commercial 57 per cent and the rural segment 137 per cent.
“We are fundamentally running the business guided by data. If the data tells us some of the business lines are not doing well, we pull back and find another way to grow.”
Jain said he expects to end FY18 with AUM of ₹78,000-80,000 crore.
BAGIC reported 11 per cent increase in net profit to ₹260 crore in the second quarter from ₹234 crore in the year-ago period. Gross written premium was up 31 per cent y-o-y to ₹2,857 crore. Net earned premium grew 28 per cent to ₹1,589 crore.
BALIC reported 8 per cent decline in net profit to ₹186 crore (₹202 crore in the year-ago period). New business premium jumped 59 per cent to ₹1,271 crore, and renewal premium rose 15 per cent to ₹745 crore."
21,2018-01-11,Bajaj Finserv,"Bajaj Finserv’s consolidated net up 3% in fourth quarter


1805bl18Bajaj_col




1805bl18Bajaj_col


Diversified financial services group Bajaj Finserv’s consolidated net profit nudged up 3 per cent in the fourth quarter ended March 31, 2017, to ₹535 crore as against ₹518 crore in the year-ago quarter.
The consolidated net profit includes the results of Bajaj Finance (Bajaj Finserv holds 57.80 per cent stake in this retail finance company), Bajaj Allianz Life Insurance and Bajaj Allianz General Insurance (74 per cent each), Bajaj Financial Holdings (100 per cent), and Bajaj Allianz Financial Distributors (50 per cent).
In the full financial year ended March 31, Bajaj Finserv’s net profit was up 21 per cent at ₹2,262 crore (₹1,863 crore in FY16).
The company’s board of directors has recommended a dividend of ₹1.75 per share (35 per cent) of face value ₹5 for FY17.
A break-up of Bajaj Finserv’s consolidated bottomline in the reporting quarter shows that Bajaj Finance was the biggest contributor, accounting for 48.5 per cent, followed by Bajaj Allianz Life (27 per cent) and Bajaj Allianz General Insurance (23 per cent).
Shares of Bajaj Finserv closed at ₹4,473.80 apiece, down 1.78 per cent over the previous close on the BSE.


Bajaj Finance


Meanwhile, Bajaj Finserv’s retail finance subsidiary Bajaj Finance reported a 43 per cent jump in fourth quarter net profit at ₹449 crore as against ₹315 crore in the year-ago quarter.
In FY17, Bajaj Finance’s net profit shot up 44 per cent to ₹1,837 crore (₹1,279 crore in FY16).
Net interest income in the reporting quarter rose 49 per cent to ₹1,689 crore (₹1,137 crore). Total interest and fee income increased 38 per cent to ₹2,673 crore (₹1,943 crore).
Loan-loss provisions shot up 86 per cent to ₹290 crore (₹156 crore).
The company’s board has recommended a dividend of ₹3.60 per equity share (180 per cent) of face value ₹2.
Rajeev Jain, Managing Director, Bajaj Finance, said due to demonetisation gross and net non-performing assets have gone up by 20 basis points and 10 basis points, respectively.
“But we think it is transitory in nature, essentially caused by delinquencies in the two-wheeler and loan against property segments. The impact of demonetisation seems to be behind us,” he said.
Assets under management were up 36 per cent year-on-year to ₹60,194 crore.
Jain said the company’s balance sheet is expected to expand by 25 per cent in FY18.
Shares of Bajaj Finance closed at ₹1,322.80 apiece, down 1.59 per cent over the previous close on the BSE."
20,2018-01-11,Bajaj Finserv,"Bajaj Finserv, Viveks team up to launch co-branded EMI card
Bajaj Finserv and Viveks, a consumer electronics and home appliances store chain, have launched a co-branded EMI Privileges Card for buyers to get easy access to finance for purchases on instalment basis.
BA Kondaraman, Chairman and Managing Director, Viveks, said buyers have evolved over the last five decades that Viveks has been in business.
From being averse to buying on credit they now prefer to buy on instalments or by using credit cards.
Nearly half the purchases at Viveks’ 45-store chain are made via credit cards, he said. Last year Viveks’ sales were about ₹600 crore. The chain is spread across 18 cities in Tamil Nadu and one in Karnataka.
The Viveks-Bajaj EMI Privileges Card gives customers access to easy equated monthly instalment options, special schemes and a range of other facilities.
Amit Raghuvanshi, Group Business Head–B2B Consumer Business, Bajaj Finance, said the financial services company is tapping into the emerging trend of purchases in this segment.
Of the total of 90 lakh transactions last year by Bajaj Finserv, nearly 42 per cent was through EMI cards in consumer durables.
In the developed countries of the West, store cards are popular, he said.
With more than eight million EMI cards across the country, Bajaj Finserv is the largest issuer of cards for finance in a closed group.
Buyers are increasingly opting for such cards even for small purchases such as apparel and groceries, segments that the company entered into recently, he said."
19,2018-01-11,Bajaj Finserv,"Bajaj Finserv consolidated net up 22% in first quarter


2007bl20Bajaj_col




bajaj




2007bl20Fin_col




2007bl20Bajaj_col




bajaj




2007bl20Fin_col


Bajaj Finserv, the holding company for the various financial services businesses of the Bajaj group, has reported a 22 per cent increase in consolidated net profit in the first quarter on the back of strong financial performance of subsidiaries Bajaj Finance (BFL) and Bajaj Allianz General Insurance Company (BAGIC).
In the reporting quarter (Q1) ended June 30, 2017, Bajaj Finserv reported a consolidated net profit of ₹655 crore, compared with ₹538 crore in the year-ago quarter.
The company participates in the financing business through its 57.80 per cent holding in BFL and in the protection business through its 74 per cent holding in BAGIC and Bajaj Allianz Life Insurance Company (BALIC).
Total revenue of the firm rose 26 per cent year-on-year (y-o-y) to ₹6,581 crore. Total expenses were up 25 per cent to ₹5,118 crore.


Bajaj Finance


Bajaj Finance reported a 42 per cent jump in net profit to ₹602 crore in Q1 FY18, compared with ₹424 crore in the year-ago period.
The bottomline is up despite finance costs rising 22 per cent y-o-y to ₹1,078 crore and loan losses and provisions going up 59 per cent to ₹286 crore.
Total revenue rose 39 per cent ₹3,164.51 crore. Total expenses, which include finance costs and loan losses and provisions, climbed 37 per cent to ₹2,239 crore.
The assets under management (AUM) as of June-end 2017 rose 39 per cent y-o-y to ₹68,883 crore from ₹49,608 crore as of June-end 2016. The consumer finance business accounted for 46 per cent of the AUM, followed by SMEs (34 per cent), commercial (15 per cent), and rural (5 per cent).
During the reporting quarter, as required by RBI guidelines, the company moved its NPA recognition policy to 90 days overdue from 120 days overdue earlier.
Gross non-performing assets (NPAs) and net NPAs as of June 30 stood at 1.70 per cent and 0.53 per cent, respectively.
S Sreenivasan, Chief Financial Officer, BFS, said, “We are now going to push more on the mortgage side of the business. We are continuing to grow on the rural side of the business.”
The board of directors of BFL has approved, subject to the approval of its shareholders, issue of securities for an aggregate amount up to ₹4,500 crore through qualified institutional placement to qualified institutional buyers in accordance with SEBI regulations.


BAGIC


The general insurer reported a 62 per cent increase in net profit at ₹213 crore (₹132 crore in the year-ago quarter).
Gross written premium for Q1 FY18 rose 29 per cent to ₹1,973 crore (₹1,527 crore in Q1 FY17).
Sreenivasan said: “Our non-life business continues to do well. It is dependent on the capex cycle. The capex cycle has not yet picked up. Nevertheless, we are still growing. Once the capex cycle picks up, we should see further growth in the non-life sector because there is lot of under-penetration.”


BALIC


 Profit after tax during Q1 FY18 was 20 per cent lower at ₹196 crore (₹244 crore in Q1 FY17).
New business premium was up 18 per cent y-o-y at ₹683 crore, and renewal premium rose 11 per cent to ₹471 crore.
The BFS CFO explained that “in the life business the profit reflected is mostly from the old book. In the new business, in the first year, you always make a loss... Over two-three years as the renewal book swells, we would be seeing the profit starting to grow again at a healthier rate.”
Bajaj Finserv shares closed at ₹4,562.80 apiece, up 3.28 per cent over the previous close on the BSE. And, Bajaj Finance shares closed at ₹1,543 apiece, up 1.99 per cent."
22,2018-01-12,Bajaj Finserv,"Bajaj Finserv profit rises 41% in Q3
Bajaj Finserv, the holding company for the financial services businesses of the Bajaj group, grew its consolidated net profit 41 per cent year-on-year to ₹614 crore in the December quarter of FY17 (₹437 crore in Q3 FY16), thanks to strong performance by its general insurance and NBFC subsidiaries.
Bajaj Finserv holds 58 per cent in Bajaj Finance and 74 per cent each in Bajaj Allianz General Insurance) and Bajaj Allianz Life Insurance.
Bajaj Finance booked a net profit of ₹556 crore, a 36 per cent increase over the year-ago quarter while Bajaj Allianz General Insurance’s net rose 190 per cent to ₹197 crore. The life insurance business’ net profit, however, was flat at ₹192 crore, growing just ₹1 crore over that of the year-ago period.
Assets under management stood at ₹57,605 crore, a 33 per cent growth y-o-y while net NPA (bad loans) were 0.39 per cent. Capital adequacy ratio was 21.26 per cent as against the minimum regulatory requirement of 15 per cent.
The general insurance business saw gross written premium in Q3 FY17 increase 28 per cent y-o-y to ₹1,722 crore while the claims ratio stood at 70.8 per cent (77.3 per cent in Q3 FY16). Solvency ratio was 258 per cent, much above the regulatory requirement of 150 per cent.
For the life insurance business, gross written premium stood at ₹1,485 crore, a rise of 21 per cent. This was primarily contributed by a 45 per cent y-o-y increase in new business premium in the life insurance business to ₹782 crore.
Solvency ratio stood at a healthy 771 per cent during Q3 as against the minimum regulatory requirement of 150 per cent. Total investments stood at ₹46,806 crore, an 8 per cent increase y-o-y.
During the quarter, Bajaj Finserv converted 92.5 lakh warrants into equity shares of Bajaj Finance at an exercise price of ₹441.2 per warrant and thus increased its holding in Bajaj Finance from 57.28 per cent to 58 per cent."
23,2018-01-16,Bajaj Finserv,"Strong revenues boost Q2 net profit of Bajaj Finserv


Bajaj finserve eps




Bajaj finserve eps


Bajaj Finserv, the holding company for all financial services businesses under the Bajaj Group, saw a robust 31 per cent year-on-year growth in net profit for the second quarter of FY17 at ₹576 crore. This came on the back of strong gross revenue generation, which increased 33 per cent from the year-ago period to ₹6,912 crore. Income from operations grew 35 per cent y-o-y to ₹3,000 crore.
Commenting on the performance, S Sreenivasan, CFO, Bajaj Finserv, said: “We have a cohesive management team, focussed execution besides sensible strategising and a lot of passion for work. The quarterly results are strong also due to the feeling of empowerment and strategic support that we receive.”
Bajaj Finserv participates in the financing business through its 57.28 per cent holding in Bajaj Finance (BFL) and in the insurance business through its 74 per cent stake in Bajaj Allianz General Insurance Company and Bajaj Allianz Life Insurance Company. It holds 92.5 lakh warrants convertible into equity shares of Bajaj Finance on or before December 1, 2016. When exercised, its holding will increase to 58 per cent from 57.28 per cent.
The net profit of the company’s general insurance business grew 66 per cent to ₹234 crore in Q2 FY17, while the net profit of the life insurance business declined 6.48 per cent to ₹202 crore from ₹216 crore in the year-ago period."
17,2018-01-27,Bajaj Finserv,"GST can provide a significant boost to the economy: Bajaj Finserv MD


Sanjiv Bajaj, MD, Bajaj Finserv
   -  Debasish Bhaduri




Sanjiv Bajaj, MD, Bajaj Finserv
   -  Debasish Bhaduri


The “entire GST regime” should start working smoothly in the next three to four quarters, said Sanjiv Bajaj, Managing Director, Bajaj Finserv.
According to him, the GST committee is meeting regularly to ensure a smooth transition.
Moreover, a legislation like GST – which is being rolled out on a massive scale – is bound to go through “periods of correction”.
“You have to keep in mind that this is the single-biggest legislation that has been rolled out anywhere in the world. It is bound to go through periods of correction [or] change before it settles down,” he told BusinessLine on the sidelines of a financial conclave organised by the Bengal Chamber of Commerce and Industry.
According to Bajaj, GST has the potential to provide a “significant boost” to the economy.
“Once it [GST] settles down, this itself will cause a significant boost to the economy,” he added.
Bajaj Finserv, he says, has seen a slower growth (compared to earlier years) in select segments across its consumer financing business (Bajaj Finance Ltd).
The company finances one out of every three TVs bought on EMIs and is the largest financier of mobile phones.
“We are also seeing that consumers are moving to particular product categories such as mobile phones,” said Bajaj.
The consumer segment has seen a 30-35 per cent growth. As a strategy, Bajaj Finance will dial down on segments with higher risk. Being present in multiple consumer segments and multiple product lines is a part of its de-risking plan.
Growth in SME segment continues to be sluggish, and the company has accordingly tightened its credit policies there.
“We will lend to companies [SMEs] within annual revenues of ₹10 crore to ₹100 crore,” he said.


Listing


According to him, Bajaj Finserv does not have any immediate plans to list either of its two insurance companies – Bajaj Allianz Life Insurance and Bajaj Allianz General Insurance.
German insurance major Allianz holds a 26 per cent stake in each of the two companies.
“There is no reason for an IPO in the short-term,” he said, adding that the life and non-life insurance companies are well capitalised with their promoters remaining committed."
16,2018-02-05,Bajaj Finserv,"Bajaj Finserv consolidated net up 22% in Q3
Bajaj Finserv reported a 22 per cent increase in third quarter consolidated net profit at ₹749 crore against ₹614 crore in the year-ago period.
Bajaj Finserv (BFS) is the holding company for the various financial services businesses of the Bajaj Group. The company holds 55.13 per cent stake in Bajaj Finance (BFL) and 74 per cent stake each in Bajaj Allianz General Insurance Company (BAGIC) and Bajaj Allianz Life Insurance Company (BALIC).
BFL reported a 38 per cent increase in third-quarter net profit at ₹767 crore against ₹556 crore in the year-ago period. Net interest income rose 38 per cent to ₹2,372 crore (₹1,720 crore).
Net non-performing assets nudged up to 0.53 per cent of net advances from 0.39 per cent in the year-ago period.
As on December-end 2017, book (loan) size was up 35 per cent to ₹73,069 crore as on December 31, 2017 against ₹54,285 crore as on December-end 2016."
15,2018-02-15,Bajaj Finserv,"Sanjiv Bajaj is 2017’s EY Entrepreneur of the Year


Sanjiv Bajaj, MD, Bajaj Finserv




Sanjiv Bajaj, MD, Bajaj Finserv


 Sanjiv Bajaj, Managing Director, Bajaj Finserv, won the EY Entrepreneur of the Year 2017 award for solutions in lending, life and general insurance and wealth advisory, EY said in a press release here on Thursday.
The consulting firm also named nine other category winners for the Entrepreneur of the Year Program. E Sreedharan, widely acknowledged for his invaluable contributions transforming public transport in India, was honoured with the Lifetime Achievement Award. He was instrumental in the planning and executing the Kolkata Metro, Delhi Metro, Kochi Metro and Lucknow Metro.
Nithin Kamath, Founder and Chief Executive Officer, Zerodha, won in the Start-Up category; Ajay Singh, Chairman and Managing Director, SpiceJet, was recognised in the business transformation category; Puneet Dalmia , Managing Director, Dalmia Bharat Group, was recognised in the manufacturing category; Satheesh Kumar KR, CMD, Enzen Global Solutions, was recognised in the services category while Rashesh Shah, Chairman and Chief Executive Officer, Edelweiss Group, was honoured for his work in financial services; Sunder Genomal, MD, Page Industries, was awarded in consumer products and retail; Glenn Saldanha, Chairman and Managing Director, Glenmark Pharmaceuticals, for life sciences and healthcare; Akhil Gupta, Executive Chairman, Bharti Infratel, was named entrepreneurial CEO, and Sumant Sinha, Founder Chairman and Chief Executive Officer, ReNew Power Ventures, was honoured in energy, real estate and infrastructure segments. 
A nine-member jury, led by Dilip Shanghvi, Managing Director, Sun Pharmaceuticals Industries, selected the winners. The other jury members included Jalaj Dani, Co-Promoter, Asian Paints; Harsh Goenka, Chairperson, RPG Enterprises; Naina Lal Kidwai, Chairman, Max Financial Services; Meher Pudumjee, Chairperson, Thermax Ltd; Renuka Ramnath, Managing Director and Chief Executive Officer, Multiples Alternate Asset Management; Vijay Sankar, Deputy Chairman, Sanmar Group; MK Sharma, Chairman, ICICI Bank and Romesh Sobti, Managing Director and Chief Executive Officer, IndusInd Bank."
