,Date,Company,Article
28,,Bharti Infratel,
26,2018-04-23,Bharti Infratel,"Bharti Infratel posts profit of ₹606 crore in fourth quarter
Bharti Infratel has registered a consolidated net profit of ₹606 crore, up 2 per cent, for the quarter ended March 2018.
The company registered a consolidated net profit of ₹597 crore for the same period last year.
The company’s consolidated revenue stood at ₹3,662 crore, up 4 per cent, for the period January-March 2018 as opposed to ₹3,520 crore for the comparable quarter last year.
Consolidated revenues for the year ended March 2018 were ₹14,490 crore, up 8 per cent, over the previous year’s ₹13,423 crore.
The net profit for the year ending March 2018 was ₹2,494 crore, down 10 per cent, compared to ₹2,747 crore for the year ended March 2017.
Akhil Gupta, Chairman, Bharti Infratel Ltd, said that last fiscal saw a consolidation in the telecom industry with merger or shutdown of five operators.
The company reported loss of 22,134 co-locations on this account during the year, he added."
27,2018-04-23,Bharti Infratel,"Bharti Infratel Q4 net marginally up at ₹ 606 cr 


Bharti-Airtel's tower




Bharti-Airtel's tower


 Mobile tower firm Bharti Infratel today posted a 2 per cent rise in consolidated net profit at ₹606 crore for the fourth quarter ended March 2018, impacted by some telecom operators closing or merging their businesses.
 The company’s net profit for the January-March period of the previous 2016-17 fiscal stood at ₹597 crore.
 The revenue of the company for the fourth quarter of 2017-18 was ₹ 3,662 crore, 4 per cent higher over the year-ago period.
 “The year gone by saw unprecedented consolidation in the Indian telecom industry with five operators ceasing to exist either on account of mergers or outright shut down of operations,” Akhil Gupta, chairman, Bharti Infratel Limited, said in a statement.
 He added that the company saw a loss of 22,134 co-locations on this account during the year. 
”...despite this, the overall performance for the year versus last year has been robust...We believe that with rapidly growing data demand which would require large network rollouts, we are poised for a strong potential in the coming years,” he pointed out.
 Gupta added that the company is “fully prepared to exploit” the market demand and will move full stream ahead to meet requirements of customers for speedy rollouts.
 The statement further said the consolidation in the telecom services industry had resulted in “lower growth rates on a year-on-year basis” on parameters like revenue, operating profit and operating free cash flow during the said quarter for the company. 
 For the full year, the company’s net profit fell 9 per cent to₹2,494 crore, while the revenue was up 8 per cent to ₹ 14,490 crore over the previous financial year. 
 The Earnings before Interest, Tax, Depreciation and Amortisation (EBITDA) at ₹ 6,427 crore for the full year ended March 2018 was up 8 per cent over previous year. EBITDA is a measure of a company’s operational performance.
 The total tower base stood at 91,451 during the just ended quarter, compared to 91,007 in the December 2017 quarter.
 The consolidated results include the financials of the company and proportionate share of 42 per cent in Indus Towers. 
 Bharti Infratel also said its board of directors has recommended a dividend of ₹14 per equity share for the year ended March 2018."
25,2018-04-24,Bharti Infratel,"Bharti Infratel falls to over 1-year low 


Q4 net profit missed analyst estimates due to loss in tenancies with some Indian mobile carriers either shutting down or consolidating operations.




Q4 net profit missed analyst estimates due to loss in tenancies with some Indian mobile carriers either shutting down or consolidating operations.


 Shares of Bharti Infratel fell to over 1-year low due to loss in Q4 tenancies. The telecom tower company shares fell as much as 3.8 per cent to Rs 315.65, their lowest since March 28, 2017. The stock posted biggest daily percentage loss since March 19.
Bharti Infratel has registered a consolidated net profit of Rs 606 crore, up 2 per cent, for the quarter ended March 2018 against Rs 597 crore in the same period last year.
Q4 net profit missed analyst estimates due to loss in tenancies with some Indian mobile carriers either shutting down or consolidating operations.
Akhil Gupta, Chairman, Bharti Infratel Ltd, said that last fiscal saw a consolidation in the telecom industry with merger or shutdown of five operators. The company reported a loss of 22,134 co-locations on this account during the year.
Nomura analysts say while increasing tenancy exits and zero uptick in gross tenancy additions are dampeners, they are encouraged by the uptick in tower additions. The brokerage has kept the target price at Rs 354 with 'neutral' rating.
Bharti Infratel's exposure to smaller operators are now down to about 3 per cent by Morgan Stanley's estimates, and Morgan Stanley analysts expect it to affect the company in FY2019.
Nine of 26 brokerages have rated the stock “buy” or higher, 13 “hold” and four “sell” or lower; their median target price is Rs 375. 
(With inputs from Reuters)"
24,2018-04-25,Bharti Infratel,"Will evaluate strategic stake sale post completion of tower co merger: Airtel 
 Bharti Airtel today said it will engage with potential investors to evaluate a strategic stake sale in the new tower company, after the merger of Bharti Infratel and Indus Towers is completed.
 Earlier today, Airtel, Idea Cellular and Vodafone Group announced the merger of Indus Towers and Bharti Infratel to create a mobile tower juggernaut with over 1,63,000 towers across 22 telecom service areas.
 The combined company, which will fully own the respective businesses of Bharti Infratel and Indus Towers, will change its name to Indus Towers and will continue to be listed on the Indian stock exchanges.
 In a BSE filing today, Bharti Airtel said its board was presented with two options with regard to its stake in subsidiary Bharti Infratel and after due consideration it decided to approve the proposal for merger of Indus Towers into Bharti Infratel. “The board decided to engage with the potential investors for evaluating a strategic stake sale post the completion of merger,” Airtel added.
Sale in the offing?
 Merger was one of the options placed before the board. The other was an offer for sale of significant stake in Bharti Infratel from a consortium of leading Private Equity investors, which was not perused at this point.
 Indus Towers is jointly owned by Bharti Infratel (42 per cent holding), Vodafone (42 per cent), Idea Group (11.15 per cent) and Providence (4.85 per cent). Post the deal, Airtel and Vodafone will jointly control the combined company and the transaction is expected to close before the end of 2018-19, subject to statutory approvals.
 As per the contours of the deal announced today, Vodafone will be issued 783.1 million new shares in the merged entity in exchange for its 42 per cent stake in Indus Towers, and this could take its holding to 29.4 per cent in the new company depending on whether Idea and Providence decide to sell their holding for cash consideration.
 Similarly Airtel’s stake in new combined tower behemoth may be diluted to 37.2 per cent in combined entity from 53.5 per cent it holds in Bharti Infratel."
23,2018-04-25,Bharti Infratel,"Bharti Infratel board reappoints Akhil Kumar Gupta as Executive Chairman 
 Bharti Infratel board has reappointed Akhil Kumar Gupta as Executive Chairman of the company for five years with effect from August 1, 2018.
“The Board of Directors in its April 23, 2018 meeting has reappointed Akhil Kumar Gupta as the Executive Chairman of the company, not liable to retire by rotation, for a further term of five years with effect from August 1, 2018,” Bharti Infratel said in a BSE filing today.
His reappointment is however subject to shareholders’ approval.
Gupta also serves as Vice-Chairman of Bharti Group. He is also the Chairman of TAlPA (Tower and Infrastructure Providers’ Association) and President of TSSC (Telecom Sector Skill Council). 
Bharti Airtel, Idea Cellular and Vodafone Group today announced the merger of Indus Towers and Bharti Infratel to create the largest mobile tower operator in the world outside China with over 1,63,000 towers across 22 telecom service areas.
The combined company will own 100 per cent of Indus Towers. Indus Towers is jointly owned by Bharti Infratel (42 per cent holding), Vodafone (42 per cent), Idea Group (11.15 per cent) and Providence (4.85 per cent).
Bharti Infratel stock was trading at Rs 327.50, down 0.56 per cent on the BSE."
22,2018-04-25,Bharti Infratel,"Indus Towers agrees to merge with Bharti Infratel 
 Bharti Airtel, Idea Cellular and Vodafone Group on Wednesday said that they have agreed to merge Vodafone’s, Idea Group’s and Providence Equity Partners’ respective shareholdings in Indus Towers into Bharti Infratel, creating a combined company that will own 100 per cent of Indus Towers.
The combination of Bharti Infratel and Indus Towers by way of merger will create a pan-India tower company, with over 1.63 lakh towers, operating across all 22 telecom service areas in India. The combined company will be the largest tower company in the world outside China, Bharti Infratel said. 
Detailing out the structure of the deal, it said, Vodafone will be issued 783.1 million new shares in merged entity in exchange for its 42 per cent stake in Indus Towers, and this could take its holding to 29.4 per cent in new company depending on options finally taken by Idea and Providence. Similarly, Airtel’s stake in new combined tower behemoth may be diluted to 37.2 per cent in combined entity from 53.5 per cent it currently holds on Bharti Infratel.
Pro forma for the transaction, the combined company’s equity value would be ₹6,500 crore.
The final number of shares issued to Vodafone and the cash paid or shares issued to Idea Group and Providence will be subject to closing adjustments, including but not limited to movements in net debt and working capital for Bharti Infratel and Indus Tower, Airtel said in a statement.
Bharti Airtel and Vodafone will jointly control the combined company, in accordance with the terms of a new shareholders’ agreement and the transaction is expected to close before the end of 2018-19. 
The transaction will be structured as — Indus Towers will be merged with into Bharti Infratel through a scheme of arrangement; the merger ratio of 1,565 shares of Bharti Infratel for every one Indus Towers share is within the range recommended by the independent valuer.
Indus Towers is currently jointly owned by Bharti Infratel (42 per cent), Vodafone (42 per cent), Idea Group (11.15 per cent) and Providence (4.85 per cent).
Based on the SEBI pricing guidelines for Bharti Infratel, in relation to the proposed scheme, as of April 23 (₹363 per share), the merger ratio implies an enterprise value for Indus Towers of ₹71,500 crore.
It is intended that the Idea group will sell its 11.15 per cent shareholding for cash concurrent with completion of the scheme, the company said.
Executive Chairman 
Meanwhile, Bharti Infratel’s board has reappointed Akhil Kumar Gupta as Executive Chairman of the company for five years with effect from August 1.
Shares of Bharti Infratel closed at ₹325.90 on the BSE on Wednesday, down 1.05 per cent from the previous close."
21,2018-05-07,Bharti Infratel,"Bharti Infratel, Indus likely to invest ₹ 3,500 cr capex for FY’19 ahead of merger 
 Bharti Infratel and Indus Towers are likely to invest ₹ 3,500 crore in operations as capital expenditure for 2018-19 as they continue to operate on ‘business-as-usual’ mode till their merger happens before the fiscal-end, sources said.
 The two companies, last month, announced a merger deal that will create a $ 14.6 billion firm. The merged entity will have, in its fold, more than 1,63,000 towers across India - largest after China Tower.
The transaction is subject to regulatory and other approvals which the two companies will now pursue, starting with Competition Commission of India (CCI) and thereafter SEBI, NCLT and Department of Telecom (FDI approval). The companies have said the deal is expected to close before the end of 2018-19.
A source privy to the development said the annual financial planning continues on course for both the companies as it is ‘business-as-usual’, and that Infratel’s capex is expected to be in the ballpark range of ₹ 1,200 crore in 2018-19. 
Similarly, Indus Towers - where Infratel holds 42 per cent stake - is likely to infuse roughly ₹ 2,300-2,500 crore as capex this year, said the official who did not wish to be named.
Indus Towers is jointly owned by Bharti Infratel (42 per cent holding), Vodafone (42 per cent), Idea Group (11.15 per cent) and Providence (4.85 per cent).
The amount of investment is similar to last year’s levels and will go into “new towers, tenancies and replacement capital”, the official said adding that the investments are being funded from internal accruals of the two tower firms.
A Bharti spokesperson declined to comment on a detailed e-mailed query sent to the company. Indus Towers did not wish to comment.
“The capex amount will also be used for replacement of batteries, DG (diesel generators), power equipment...As the tenancies increase, the two companies will continue to increase their capacities of mobile towers ahead of their proposed merger,” said the source.
Last month, the two entities announced that, “Indus Towers will be merged with and into Bharti Infratel through a scheme of arrangement.” The merged entity, which will be called Indus Towers, will remain listed. 
Bharti Airtel, which owns 53.5 per cent in Bharti Infratel, will get 33.8-37.2 per cent stake in the combined entity. Its final shareholding depends on what Aditya Birla Group’s Idea and Providence do with their minority shareholding in Indus Towers.
Vodafone India will get between 26.7 per cent and 29.4 per cent of the Indus-Bharti Infratel combine.
."
20,2018-05-29,Bharti Infratel,"Bharti Infratel falls to over 1-year low


Technicals suggested that the stock may fall up to Rs 281.75, the 100 per cent retracement of the uptrend.




Technicals suggested that the stock may fall up to Rs 281.75, the 100 per cent retracement of the uptrend.


 Shares of telecom tower operator Bharti Infratel Ltd fell as much as 1.83 per cent to Rs 305, their lowest since March 20, 2017.
The stock has broken below a support at Rs 309.9, the 86.4 per cent Fibonacci retracement level of the uptrend from February 28, 2017 low to October 17, 2017.
Technicals suggested that the stock may fall up to Rs 281.75, the 100 per cent retracement of the uptrend. Break below the lower bollinger band after a squeeze in the band in the last one week suggested that a new decline has started.
The stock's RSI (relative strength index) line has faced resistance between 50 to 60 level for the last six months, which is seen as bearish. 
MACD is also negative and below its signal line. Bharti Infratel stock was down about 18 per cent this year as of Monday's close, while the broader NSE Index was up 1.5 per cent in the same period."
19,2018-07-02,Bharti Infratel,"Bharti Infratel gets CCI nod for Indus Towers merger
 
 Bharti Airtel-owned telecom tower company Bharti Infratel Limited said on Monday it has got an approval from the Competition Commission of India to merge with Indus Towers Limited.
Indus Towers is 42 per cent owned by Bharti Infratel and Vodafone each, while Idea Cellular Limited holds 11.15 per cent. The rest is held by private equity firm Providence. 
It is the largest tower company in India with around 27 per cent market share. 
“Pursuant to Regulation 30 of Sebi Regulations, we are pleased to inform you that the approval of the Competition Commission of India has been received for the proposed merger of Bharti Infratel Limited and Indus Towers Limited,” the company said in a stock filing.
As per the deal, Bharti Infratel will offer 1,565 shares for every one share of Indus Towers."
