,Date,Company,Article
16,,Britannia,
15,2018-05-21,Britannia,"Britannia to set aside ₹500 crore for a food manufacturing unit in Ranjangaon
Britannia Industries has assigned a capex of ₹500 crore this year for the setting up of a manufacturing base at Ranjangaon in Maharashtra. 
With the intention of transforming itself from a biscuits to a foods company, it has set up a food park in Ranjangaon, in the milk producing belt, to make its cakes, rusks, croissants and engage in dairy processing, apart from its mainstay, biscuits.
“Biscuit is still 85 per cent of our turnover of ₹10,200 crore, but we intend adding other products in the macro-snacking category. This year our largest capex will be for our Ranjangaon plant at ₹500 crore, which will get raised to ₹1,000 crore,’’ said Varun Berry, Managing Director.
Segments like dairy, where Britannia has been trying to make a mark, will also get a fresh impetus through its new manufacturing facility.
“Dairy is not going to be easy like the rest of the products, but the facility at Ranjangaon should be able to manufacture dairy products in the next two years. Today, dairy contributes 5 per cent of the turnover, but we should be able to take it to 10 per cent in the next three years with a turnover of ₹800 crore,’’ he said.
Considering itself as the Number 2 player after Amul in the cheese category, Britannia has pegged its product at a premium to its competitors. 
“Dairy is a large category but we have the ability to distribute and manufacture products like cheese and if we can also get into the back-end with milk processing, there is no reason why we cannot dominate the category,” he said. 
Recently, MNCs such as Kraft Heinz and Danone have either exited or scaled down their dairy operations.
Meanwhile, despite being a market leader in biscuits, Britannia has catching up to do in the value segment, where it is pitted against Parle and its dominant brand of Parle G in the mass glucose segment.
“The heat is medium in terms of competitive intensity. But, we are nowhere close to Parle in volume shares, as they are way ahead of us,’’ he admitted.
Celebrating its centenary year as a corporate entity, Britannia’s challenge now is to expedite its transformation from a biscuits to a foods company. As Berry says: “The challenge is how we can spread our wings and get into new categories and be looked upon as a foods company in the next three years.’’"
14,2018-08-06,Britannia,"Britannia announces share split, ₹720-crore bonus debentures


Good days Britannia said its Good Day is likely to become the country’s No 1 biscuit brand in a few years, beating ParleG. This file photo shows a Britannia biscuit factory in New Delhi.




To celebrate its 100 years of establishment, the company has opted for a new logo.




Good days Britannia said its Good Day is likely to become the country’s No 1 biscuit brand in a few years, beating ParleG. This file photo shows a Britannia biscuit factory in New Delhi.




To celebrate its 100 years of establishment, the company has opted for a new logo.


Britannia Industries, the country’s largest biscuit-maker, will invest ₹ 300 crore as capex towards its dairy business. While it will invest towards an integrated unit either in Maharashtra or Andhra Pradesh, a substantial investment will also go towards setting up of a cold chain network.  
According to Nusli Wadia, Chairman, Britannia Industries, the company is mulling the possibility of shifting its dairy unit from Maharashtra to Andhra Pradesh. Delayed clearances by the Maharashtra Government has been an issue for the company. 
“We are yet to take a call on whether to set up the dairy project in Maharashtra or Andhra,” he told reporters post the company’s 99th Annual General Meeting.
Britannia will not enter into fresh milk segment, but will look at value-added products. The company will also spend on capex and up the ante on new products that include rusk, cakes, croissants and dairy products. 
“We will grow by strengthening our brands. That is what we have done so far,” Wadia said. 
“Good Day is likely to be no 1 biscuit brand in the country, beating ParleG in the next few years,” he added.  
To celebrate its 100 years of establishment, the company has opted for a new logo. This apart, Britannia will also launch a slew of new products over the next six months. At least 50 new products have been lined up. 
The board of directors, meanwhile, has recommended and approved issue of secured redeemable non-convertible debentures as bonus debentures of ₹ 60 in the ratio of one bonus debenture for every one equity shares held. The scheme, however, needs the approval of NCLT. 
The board has also decided to consider a share split. A board meet on August 23 to consider sub-division of equity shares of the company will be held. The present face value of equity shares is Rs 2 each.  
Britannia Industries has reported a near 18 per cent jump in standalone net profit to ₹ 246 crore for the quarter ended June 30, 2018. Net profit for the corresponding quarter last fiscal stood at ₹ 209 crore. 
Net sales (standalone) for the quarter under ₹ 2387 crore. According to a notification to the bourses, the sales are not comparable on account of implementation of GST and a change in accounting standards. 
However, on a comparative basis, net sales saw a 15 per cent, year-on-year, jump."
13,2018-08-08,Britannia,"Britannia opens manufacturing units in new geographies as part of global expansion plan


Varun Berry, Managing Director, Britannia Industries
   -  Debasish Bhaduri




Varun Berry, Managing Director, Britannia Industries
   -  Debasish Bhaduri


Britannia Industries, the country’s second largest food company, is looking at an overseas expansion plan driven primarily through its own manufacturing facilities.
The company is evaluating countries such as Bangladesh, Myanmar, Nigeria, Kenya and Egypt to set up units.
It is likely to zero in on Africa. Parle already manufacture there and Britannia will compete in that market, Edelweiss Securities said in a report.
According to Britannia MD Varun Berry, the company’s strategy is to open a manufacturing facility every year in a new country.
“We are yet to finalise on a particular country for this year. (Bangladesh) is certainly one on our list. As of now, the focus is on Africa and SAARC,” he told BusinessLine in an interview.
The company currently has three manufacturing facilities outside India — one each in Dubai and Oman that it had acquired, and a greenfield one in Nepal. It also exports to the US and nearly 80 other countries across Asia, West Asia and Africa. Around 13 of these countries were added in FY18.
According to Berry, Britannia expects its international business to contribute 15 per cent of its turnover in five years.
Flattish growth
The international business accounts for 7 per cent of the company’s ₹9,906-crore turnover (consolidated). In Q1 FY19, its growth remained flat due to a slowdown in West Asia and Africa.
Other geographies such as Australia, the US and Canada, too, have seen a decline in demand; political troubles in countries such as Yemen and Libya have also had an impact.
According to Abneesh Roy, Senior Vice-President, Institutional Equities, Edelweiss Securities, it makes “long-term strategy sense” for Britannia to enter new markets and set up manufacturing facilities there.
“When you look at other Indian FMCG companies, you will see a substantial part of their revenues coming from Africa and overseas operations. Biscuit-makers too can look at these opportunities depending on the geographies they want to operate in,” he said.
Focus on profits
The company, Berry said, is open to inorganic growth and acquisitions or joint venture partnerships for setting up facilities overseas. While overseas expansion will be “slow and steady”, it will not be at the cost of profitability. Nepal for instance, is one market where operations are profitable.
“We are going to be aggressive as far as international expansion is concerned. But we are not going to break the bank on it,” he said, adding that the investment in these geographies have to pay back in five years.
“We are not in the market to say that we are okay with being profitable after 20 years. It is going to be payback in five years,” Berry said.
Earlier this year, Britannia commissioned a dedicated exports unit in Mundra, Gujarat."
11,2018-08-13,Britannia,"All you wanted to know about...Bonus Debentures
Indian investors love bonus shares and have a marked aversion to companies that raise debt. So, what should they make of companies that mix and match the two and issue bonus debentures? Last week, Britannia Industries announced a bonus debenture issue to mark its centenary year.
What is it?
Similar to bonus shares and dividends, companies issue bonus debentures to reward their equity shareholders. The company allots these debentures, free of cost, to its shareholders at face value. Shareholders receive interest on them at a pre-determined rate at fixed intervals until maturity. When the debentures mature, they are redeemed and the principal amount (the face value of the debenture) is paid out to shareholders. Bonus debentures may also be listed on the stock exchange in which case holders can sell them at market prices. Britannia Industries for example, is issuing one debenture of ₹60 each for every equity share of face value ₹2 for a tenure of three years, at an interest rate not exceeding 8 per cent, to be paid annually.
Issuance of bonus debentures is not as common as bonus shares or dividends as they are not expressly provided for in the Companies Act. They are issued under a ‘scheme of arrangement’ which involves approval from shareholders, the Court and the RBI and in some cases, the Ministry of Corporate Affairs.
Only a handful of companies such as Hindustan Unilever, Britannia Industries, Blue Dart Express, Dr Reddy’s Labs and NTPC have issued bonus debentures in the past.
Why is it important?
From the perspective of the company, issue of bonus debentures does not entail immediate cash outgo like dividends. Hence the money retained until the maturity of the instrument can be used to fund new projects or acquisitions. There is no question of equity dilution too unlike in the issue of bonus shares. Also, interest paid on the debentures can be claimed as an expense by the company for tax purposes, thereby helping reduce its tax incidence. Since the issue of bonus debentures involves transfer of money from the reserves of the company to debt, this move will boost its return on equity. At the same time, this will lead to an increase in the debt to equity ratio. While companies with low debt may benefit from leverage, for high-debt companies, this may not be an ideal route to reward shareholders.
Why should I care?
Bonus debentures aren’t exactly tax-payer friendly. The sums companies distribute by way of bonus debentures are treated as dividends under Sec 2(22) (b) of the Income Tax Act and hence are subject to dividend distribution tax in the hands of the company. Shareholders are taxed for dividends above ₹10 lakh and bonus debentures are taken into consideration for this calculation too. The interest you earn on the debentures attracts tax at your slab rate. If you choose to sell the debentures in the market, you will have to pay short-term capital gains tax on your gains if you sell within three years or else, long-term capital gains tax. When you sell bonus shares on the other hand, long-term capital gains up to ₹1 lakh is exempt from tax and gains above that are taxed at 10 per cent. This apart, liquidity may be a concern for bonus debentures as traded volumes may be thin and hence, you may not be able to sell the desired quantity at the desired price.
Once a company declares it, the wait for bonus debentures may be long, given the many regulatory approvals. For instance, from approval by its Board in March 2010 to actual allotment in March 2011, the bonus debenture issue of Dr Reddy’s Labs took a year to fructify.
The bottomline
Bonus debentures may appear to be win-win for both shareholders and the company, but there is more to it than what meets the eye."
12,2018-08-14,Britannia,"Big bonus for Britannia shareholders
Shareholders of Britannia Industries had reasons to smile last week. Apart from posting a double-digit growth in revenues and profits in the quarter-ended June 2018, the company announced ‘bonus debentures’ for its shareholders in a gesture to mark its centenary year in business. The company will issue one bonus debenture of ₹60 each for one equity share of ₹2 each, totalling ₹721 crore. The bonus debentures will carry a charge on certain immovable assets of the company, will have a maturity period of three years and will be traded both in the National as well as the Bombay Stock Exchanges. While the exact coupon rate on these instruments will be determined by the Board, it will not exceed 8 per cent. Interest will be paid annually. 
On a strong footing
After the dent due to demonetisation and GST, Britannia has been clocking double-digit top and bottom-line growth in the last few quarters. In the latest June quarter, its consolidated revenues grew by 13.6 per cent year-on-year to ₹2,527 crore, while net profits moved up by 19.4 per cent Y-o-Y to touch ₹258 crore. The company’s prospects appear bright. 
It is reinvigorating its dairy business by setting up a fully integrated dairy operation at Ranjangaon in Maharashtra. Focus on value-added products such as whey and skimmed milk powder in this facility will improve margins.
Britannia is also sprucing up its product portfolio and entering the croissants and snacks segments shortly. It has planned a host of premium biscuit launches this year as well. The company is working on improving its rural footprint and its presence in States such as Uttar Pradesh, Madhya Pradesh, Gujarat and Rajasthan, in which it has traditionally been weak. 
The bonus debenture issue will push up its debt. But this is not a cause for concern. The company has been able to reduce debt in the last five years. Its debt-to-equity ratio has come down from 0.39 in the year ended March 31, 2014 to 0.05 in fiscal 2018. 
Considering that only about one-fifth of the total of ₹1,000 crore envisaged for the dairy facility has been spent in fiscal 2018, the development of this facility would require more capital spending in the next two to three years. Unlike dividends, bonus debentures do not entail immediate outflow of cash, as the principal amount will be paid to the shareholders only on maturity. 
Thus, along with internal accruals, this amount will come in handy to fund the expansion. Besides, it also allows room for acquisitions or further capital spends.
Britannia’s retained earnings (P&L account balance and general reserves) have moved up from ₹750.5 crore five years ago to ₹3,318.6 crore as on March 31, 2018. The company’s cash and cash equivalents (including current investments), as of March 31, 2018 stood at ₹1,044 crore, more than three times higher than the previous fiscal.
The bonus debenture issue entails transfer of funds from reserves to debt. So, the company’s return on equity, which stood at 32.9 per cent in fiscal 2018 (against 36.9 per cent in fiscal 2017), could rise this year.
Rich valuation
The Britannia Industries stock, however, did not react much to the bonus debentures announcement last Monday, and closed the day with a 1 per cent fall. However, the stock has been the darling of the market in the last few years. 
Since the market rally that began in mid-2013, it has moved up eight-fold to about ₹6,336 now. It now trades at a rich valuation of over 70 times its trailing 12-month consolidated earnings. Considering the huge rise in the stock price, the company is considering a stock-split in its board meeting on August 23."
10,2019-02-26,Britannia,"HPCL shares decline 3 per cent; Britannia up over 1 per cent on NSE rejig 


HPCL’s shares opened the day on a weak note and further declined 2.95 per cent to Rs 221.40 on NSE. File photo




HPCL’s shares opened the day on a weak note and further declined 2.95 per cent to Rs 221.40 on NSE. File photo


 Shares of Hindustan Petroleum Corporation (HPCL) fell by nearly 3 per cent Tuesday after the National Stock Exchange (NSE) said Britannia Industries will replace the oil marketing company in the Nifty50 index from March 29.
 The company’s shares opened the day on a weak note and further declined 2.95 per cent to Rs 221.40 on NSE.
Shares of Britannia Industries on the other hand gained 1.20 per cent to Rs 3,085.
Britannia Industries will replace HPCL in the Nifty50 index from March 29, the NSE said on Monday.
 Bajaj Holdings and Investment, Divi’s Laboratories, HDFC Asset Management Company, Hindustan Petroleum Corporation, Page Industries and United Breweries will be included in the Nifty Next 50 index, the NSE said in a release.
 Besides, similar changes are made in Nifty500, Nifty 100, Nifty Midcap 150, Nifty Smallcap 250, Nifty Midcap 50 and Nifty Midcap 100, Nifty 200, Nifty Financial Services among others, the release added."
9,2019-04-05,Britannia,"Britannia Industries looks to expand ‘adjacencies’ portfolio 


Jayant Kapre VP & Head Adjecency Businesses, Britannia Industries Ltd
   -  Debasish Bhaduri




Jayant Kapre VP & Head Adjecency Businesses, Britannia Industries Ltd
   -  Debasish Bhaduri


Britannia Industries, the country’s second largest food company, is looking to strengthen its “adjacencies” portfolio. From cakes, rusk and breads, the adjacencies category has now been extended to include croissants, cream wafers and ‘salty’ snacks. More extensions will be looked at in the coming days.
The cream wafers were launched October 2018 onwards in South India markets and are now being launched nationally while the salty snacks portfolio is still restricted in the southern region. Plans are afoot to take it national soon.
On the other hand, croissant — one of the categories that the company has been focussing on — have had their national roll-out last month onwards. While they were extended to modern trade initially, offerings are now being taken to kirana shops and general trade.
Britannia’s core business continues to be its biscuits portfolio with approximately 70 per cent of its turnover coming from this vertical. This apart, it has a diary vertical that contributes around 5 per cent.
According to Jayant Kapre, Vice-President & Head Adjacency Businesses, Britannia Industries Ltd, the segment (adjacencies business) is expected to contribute 20 per cent of the company’s turnover in FY20.
Of these, new launches will see a revenue contribution of 3-5 per cent in the first full year of operations (April 2019 — March 2020).
“We are looking to expand the adjacencies portfolio and have added three new categories that include croissants, salty snacks and cream wafers. There are other products that are lined up and we can add another new category sometime soon,” he told BusinessLine.
For Britannia, increasing focus on the non-biscuit, non-diary business means an increase in R&D and additional capex.
The company’s Bengaluru R&D centre, Kapre says, is well geared to work on “accelerating into neighbouring categories”. Moreover, a new team of R&D personnel has been brought in to focus on development of the adjacencies segment.
Britannia has so far put in a ₹20-crore capex to set-up a plant for the salty snacks portfolio at Bengaluru. Capacities can be ramped-up “as required”, Kapre said.
The cream wafers are currently being made through contract manufacturing and the company “may look at expanding capacities” depending on the “response it gets”.
Incidentally, croissants will be Britannia’s big bet.
The company has entered into a 60:40 JV with Chipita of Greece. Around ₹100 crore has been invested to set up a new line at the Ranjangaon unit near Pune in Maharashtra.
Market sources say the business could be a ₹200-250 crore segment for Britannia in 2-3 years. But, a category market needs to be created first. Incidentally, there are no major national players in the segment.
“Croissant is a new market that we are building on, rather creating. However, we have, in the past, created markets for rusks and cakes,” he pointed out.
In fact, the company has opted for two flavours to flag-off the category while the greater focus will be to build the market."
8,2019-04-24,Britannia,"What to watch: Shah Foods may turn sour on Britannia exit
Shares of Shah Foods may remain under pressure, as the company said Britannia Industries has terminated the job work contract from June 30, 2019. Shah Foods said it has approached the concerned officials of Britannia and is trying hard to renew/continue the job work contract. Shareholders would be keenly watching the development, as Britannia is its principle customer. For FY18, the biscuit manufacturing company had posted a profit of ₹12 lakh and revenues of ₹5.39 crore."
7,2019-04-30,Britannia,"Gujarat Gas, Britannia results eyed
Wednesday will see companies such as Britannia Industries, DCM Shriram, Everest Industries, Future Lifestyle Fashions, Gujarat Gas and Mangalam Timber Products announcing their quarterly as well as annual results for the period ended March 2019. For financial year 2017-18, Britannia Industries had reported a net profit of ₹947.89 crore on revenues of ₹9,380.17 crore; for Q3 of FY19, it had posted a PAT of ₹302.70 crore and sales of ₹2,703.19 crore."
