,Date,Company,Article
91,2018-03-21,Coal India,"Shortage of coal continues to hit power generation


While eco mine tourism is a novel concept in India, other countries have been harnessing its potential for a while now
   -  REUTERS




While eco mine tourism is a novel concept in India, other countries have been harnessing its potential for a while now
   -  REUTERS


 
 
Coal India is slated to end the year with a mere 1.8 per cent production growth at 560-565 million tonnes against a target of 600 mt. Though the off-take increased by 7 per cent, it is barely sufficient to meet demand.
As on March 6, when the Central Electricity Authority (CEA) last published its coal position, power plants are left with just 10 days of stock on an average, and 20 out of the 113 power stations listed by CEA have critical stock (less than seven days). Out of the total, 14 have less than four days of stock.
The coal availability situation remains as bad for the last couple of months.
Non-power customers – fertiliser and cement companies – are also starving. They are getting less coal than last year and are dependent on imports.
Thankfully for them, the price of imported coal dropped and is expected to drop further.
Import price
“Coal prices are coming down as Chinese buying is slowing down.
Price of 4200 GCV (gross as received) Indonesian fuel, which touched $50 a tonne in early February, is now down to $40 a tonne,” says Deepak Kannan, Managing Editor, Asia Thermal Coal, at S&P Global Platts.
Prices fell as China went on a production spree to ensure availability of cheap fuel to power utilities. Coal prices at Quinhuangdao was down from yuan 750 to 600 (FOB) in a matter of days, said Kannan.
Indian importers, he said, were yet to start pre-monsoon stock building, as they are waiting for Indonesian prices to drop further.
Data available with the railways shows imported coal movement was up by nearly 22 per cent from 69 mt to 84 mt till February. This is not the total imports volume as coal moves by road to port-based users.
RE, a saviour
The coal crisis could have hit the power sector harder had not renewable energy (RE) generation, especially wind and solar power generation,increased significantly this year.
According to data available with CEA, renewable energy generation increased by nearly 49 per cent during April-December 2017 against the same period in the previous year. The share of RE in total generation increased from 5.42 per cent to 7.7 per cent.
Out of the total RE generation, 80 per cent came from solar and wind.
RE generation compensated the low 1.86 per cent growth in conventional (thermal, large hydro and nuclear) generation against a 4.4 per cent rise in total generation.
As of January, coal-based generation is a little below (99 per cent) the targeted levels, while large hydro (91 per cent) is way behind.
Nuclear generation increased significantly, but it contributes barely 2 per cent of demand.
Outlook
With off-take expected to reach somewhere near 585 mt, CIL is expected to end the year with approximately 50 mt of stock, down from 68 mt as on March 31, 2017.
It is to be seen to what extent the company is able to meet the additional demand for fuel in summer when electricity demand peaks, but coal production slows down (from the winter run rate of approximately 2 mt a day) due to restrictions imposed by producing States on outdoor work.
Company sources, however, feel the 18-km rail link between Tori and Bhalumath in Jharkhand, which was inaugurated earlier this year, would help evacuate 6-8 mt of fuel from the resource-rich Magadh and Amrapali mines in the next fiscal.
The scheduled opening of the 53 km Jharsuguda-Barapali rail link later this month, connecting the Ib Valley reserves in Odisha, will add another 6-8 mt of fuel."
89,2018-03-30,Coal India,"CIL to focus on bringing down output cost to stay market leader 


Gopal Singh, CMD, Coal India
   -  Debasish Bhaduri




Gopal Singh, CMD, Coal India
   -  Debasish Bhaduri


 
Coal India Ltd (CIL) is looking to bring down its cost of production in a bid to remain ‘competitive’ at a time when the Centre is opening up the coal sector to commercial mining by private entities.
According to Gopal Singh, Chairman and Managing Director of CIL, the company will focus on bringing down the cost of production by improving productivity and efficiency with a view to maintain its position as market leader.
‘No threat to CIL’
“We are market leaders and we’ll do whatever it takes to remain so,” Singh told newspersons at a press conference here on Friday.
Allowing commercial mining by private entities would not be a threat to CIL. On other hand, it will be an opportunity, he said. According to him, CIL enjoys a monopoly not by choice but by compulsion.
“This is not the first time that CIL’s monopoly is being challenged,” he said.
He was referring to the time when the coal sector was thrown open to the private sector, when they were offered close to 200 captive blocks. However, the exercise was a failure.
CIL, Singh said, will focus on mechanisation, automation and innovation to bring down cost of production. It will also focus on managing its inventory to keep costs lower.
In terms of pricing, CIL’s coal prices have been cheaper by 42-64 per cent compared with imported coal even after the price hike in January 2018, he said.
Capex
The State-owned miner is planning to increase its capital expenditure to ₹9,500 crore in 2018-19 to strengthen production capacity. For the current fiscal, CIL exceeded its planned capital expenditure at ₹8,693 crore; compared with a target of ₹8,500 crore.
According to Singh, a reduction in cost of production translated into 11 per cent increase in profit before tax for CIL during the third quarter of this fiscal.
“We did not take any price hike during the first three quarters this year, the improvement in profitability is mainly on account of reduction in cost of production,” he said."
88,2018-04-04,Coal India,"Broker's call: Coal India (Buy)
 
JMFL
Coal India (Buy)
CMP: ₹274.4
Target: ₹350
Coal India (CIL) reported 9.4 per cent production growth and 5.5 per cent offtake growth y-o-y in March 2018. Production jumped significantly in March versus the scanty 1-2 per cent growth seen in the previous months of the year. This may have been led by a) offloading of built-up stocks completed by January-February18; and b) low power plant coal stock (still at 10 days) building up on coal demand. Offtake growth remains strong at 5.5 per cent, due to higher coal demand and falling hydro power PLFs (seasonal). 
We remain bullish on the stock from a long-term perspective as even with 5-6 per cent volume growth, CIL can deliver higher earnings growth given the low FY17 base and operating leverage benefit. The recent round of price hikes will add further to the profits. Given the low base of FY17, we estimate PAT CAGR of 36 per cent in FY18-FY20 based on 6-7 per cent offtake growth in FY19-20. The volume pick-up coupled with a price hike to offset the wage hike impact augurs well for earnings growth."
87,2018-04-05,Coal India,"1 billion tonne coal output: Centre to relax deadline 


Railway Minister Piyush Goyal
   -  PTI




Railway Minister Piyush Goyal
   -  PTI


The Ministry of Coal is looking at a relaxed timeline for the 1 billion tonne coal production target it had set earlier for Coal India.
Speaking at a workshop to formulate the ‘Coal Vision 2030’, Minister for Coal Piyush Goyal said: “It is good news for us that demand has gone up. We can now once again aggressively pursue the 1 billion tonne target. Albeit now 2020 may not have much possibility or meaning because of the two years we lost when there was less demand. But we will work out a revised timeframe based on demand.”
Goyal’s statements come at a time when Coal India and the Railways are being heavily criticised for not supplying enough coal to power plants.
The government in early 2015 had set the target for Coal India to attain the 1 billion tonne of coal production by 2019-2020. A February 2015 official statement had said, “With the projected coal demand of the country hovering around 1,200 million tonnes by 2019-2020, at an envisaged growth rate of 7 per cent, CIL is expected to chip in 1 billion tonne, of which, 908 million tonne is the expected contribution from the identified projects.”
A January 2018 Coal Ministry statement said, “Coal India Limited (CIL) has envisaged enhancing its coal production to the level of 1 billion tonne by 2019-2020 from current level production of 554.14 million tonne in 2016-2017.”
A Coal Ministry official said, “We aim to study the coal demand in the country and accordingly set a target for Coal India. CIL will produce a billion tonne of coal as and when needed between 2020-2030.”
At the event, Goyal also launched the UTTAM App for coal quality monitoring. An official statement said that UTTAM stands for – Unlocking Transparency by Third Party Assessment of Mined Coal.
The portal would give detailed information for coal consumers regarding the Third Party Sampling parameters. The App will give access for monitoring coal quality to individual coal consumers, the statement added."
86,2018-04-11,Coal India,"Cabinet approves framework for Coal Bed Methane extraction by Coal India 


Methane gas plant (file photo) - By Special Arrangement




Methane gas plant (file photo) - By Special Arrangement


 Coal India and its subsidiaries will now be able to extract Coal Bed Methane from its mines without seeking approvals under the Petroleum & Natural Gas Rules 1959 (PNG Rules, 1959).
An official statement said that the Cabinet Committee on Economic Affairs has approved amending clause 3 (xiii) of the notification dated 03.11.2015 issued by the Ministry of Petroleum & Natural gas under Section 12 of the Oil Fields (Regulation and Development) Act, 1948 (ORD Act, 1948). 
“Due to this amendment relaxation is granted under the Petroleum & Natural Gas Rules 1959 (PNG Rules, 1959), to Coal India Limited (CIL) and its subsidiaries for not applying for grant of license/lease under the PNG Rules, 1959 for extraction of Coal Bed Methane (CBM) under their Coal Bearing Areas,” the statement added.
The government expects that this will expedite the exploration and exploitation of CBM, enhance the availability of natural gas and reduce the gap in demand and supply of natural gas. 
The government had earlier issued a notification on 03.11.2015 granted rights to CIL and its subsidiaries for exploration and exploitation of CBM from all coal bearing areas for which they possess mining lease for coal.
In another decision, the Cabinet approved the delegation of powers to the Minister of Petroleum and Natural Gas and Minister of Finance to approve the award of the Blocks/Contract Areas to successful bidders under HELP/OALP after International Competitive Bidding (ICB)."
85,2018-04-11,Coal India,"Relaxation in CBM rule bodes well for Coal India
 
The Union Cabinet on Wednesday relaxed rules for Coal India for extraction of natural gas lying below coal seams in its blocks in a bid to quickly boost production. 
Till now, Coal India had to apply to the oil ministry for a licence to extract coal-bed methane from its coal blocks. Now, the world’s largest coal producer does not need such a permission. 
This will expedite exploration and exploitation of coal-bed methane. The stock of Coal India will remain in focus."
90,2018-04-20,Coal India,"CIL ‘confident’ it can meet coal demand of power producers 


With elections round the corner, every State government is keen to take extra care of its electricity subscribers
   -  THE HINDU




With elections round the corner, every State government is keen to take extra care of its electricity subscribers
   -  THE HINDU


 
After struggling to meet coal requirements this financial year, Coal India Limited is now committed to meet demand from power generators for the next financial year.
“The Ministry of Power has raised coal demand of 560 million tonnes for the next financial year. Of this, 525 million tonnes is to be supplied by Coal India and we will meet the demand,” a senior Coal India official said.
“We are confident of meeting the demands of power producers as we ramp up our production facilities and improve the coal transportation infrastructure,” he added.
This is a tall claim considering that during financial year 2017-2018, CIL’s dispatch to the power sector stood at 454.30 million tonnes, 6.8 per cent higher than the 425.42 million tonnes it dispatched in 2016-2017.
CIL’s total coal production for financial year 2017-2018 stood at 568.02 million tonnes, while dispatches stood at 580.50 million tonnes. This includes production for non-coal sectors.
“The higher dispatch than production is due to existing inventory being liquidated,” the official added. “CIL opened financial year 2017-2018 with 68.421 million tonnes of coal inventory. This fell to 29.376 million tonnes during November 2017, when coal demand skyrocketed. On April 1, 2018, the inventory is expected to be 54.83 million tonnes.”
CIL aims to dispatch 155.36 million tonne of coal in the first quarter of 2018-2019, according to the company’s dispatch programme.
The company has reported an improvement in profit before tax over the last two sequential quarters of 2017-2018.
“The improvement in profitability is because of enhanced efficiencies. We have gone for a staggered day of rest for workers even as the mines operate all seven days of the week. We have achieved a ₹53 per tonne reduction in coal production costs,” the official said.
“The capital expenditure target for 2017-2018 has also been breached. This stood at ₹8,693 crore compared to a target of ₹8,500 crore for the current financial year,” he added."
84,2018-04-20,Coal India,"Coal Ministry official Suresh Kumar to head CIL


With elections round the corner, every State government is keen to take extra care of its electricity subscribers
   -  THE HINDU




With elections round the corner, every State government is keen to take extra care of its electricity subscribers
   -  THE HINDU


The Coal Ministry on Friday appointed Suresh Kumar, Additional Secretary of Coal, as the part-time Chairman and Managing Director of Coal India Ltd with immediate effect. 
He replaces Gopal Singh, whose term was scheduled to end on May 30.
Responding to a communication from the Ministry, the Appointments Committee of the Cabinet on Thursday approved appointment of Kumar as Chairman. 
The decision was conveyed to CIL on Friday. Singh is the Chairman and Managing Director of CIL’s Ranchi-based subsidiary Central Coalfields (CCL). 
He was given additional charge of CIL on September 1, 2017, following superannuation of the last full-time Chairman Sutirtha Bhattacharya in August, 2017. 
Initially, Singh was appointed for six months ending in February 2018.
 The tenure was later extended by three months as the search for a full-time chairman was not over.
It is not known what triggered the removal of Singh. 
But his selection as part-time chairman created controversy as he was part of the panel rejected by the Public Enterprises Selection Board (PSEB) for the CIL top job, in June 2017. “The board did not find any candidate suitable for the post and recommended that the government may choose an appropriate course of further action for selection,” PSEB opined. 
This, however, did not stop Singh and other candidates rejected by PSEB to throw their hat for the top job again. 
There were also unconfirmed reports of Singh being one of the nine candidates short-listed by the Appointments Committee for the CIL top job."
83,2018-05-16,Coal India,"Government allows one-time coal linkage rationalisation for power producers 
 
The government has issued the guidelines to allow power producers to swap coal supply assurances in exchange for lowering tariffs. A Coal Ministry statement said, “The one-time process of calling for the requests of the Independent Power Producers for linkage rationalisation shall be undertaken jointly by Coal India, South Eastern Coalfields and the Central Electricity Authority in a transparent manner.”
Only Independent Power Producers (IPPs) having coal linkages through the allotment route will be eligible to avail of this facility. “The IPPs shall also be stating the Minimum Order Quantity for which the linkage rationalisation shall be requested and their preferred mode of transportation after the linkage rationalisation,” the statement added.
The power producers will have to pass-through the savings achieved due to reduction in the landed price of coal, to the discom and consumers of power. The Fuel Supply Agreement (FSA) of the rationalised source from any coal company would be signed and implemented only after the appropriate Electricity Regulatory Commission approves the supplementary agreement. The reduced landed price of coal would lead to savings in cost of power generated and would reduce the transportation cost of coal, the statement added."
82,2018-05-27,Coal India,"Will ensure power plants have 22-day minimum fuel stock: CIL Chairman 


jha




jha




Coal India will ensure that power plants maintain minimum of 22 days fuel as is mandated by the Central Electricity Authority, to avoid future crisis, according to the company Chairman, Anil Kumar Jha. 
Low stocks maintained by the thermal plants for working capital management vis-a-vis sudden spurt in electricity demand had triggered a fuel crisis beginning July last year. Though CIL stepped up supplies to power plants on a war footing, the gap is yet to be bridged. 
In an interview to BusinessLine, Jha said: “Coal stock at power plants is now ruling at 11 days on an average. We are putting our best foot forward to push it to 22 days. And, power plants should henceforth maintain this stock, as it is logistically impossible to serve on demand.”
According to him, logistics is the prime challenge to serving consumers. 
“It is not correct to say there is a crisis of fuel, as we have 45 million tonnes (mt) of idle stock at pithead. The challenge is to reach this fuel to power plants,” he said. 
The company is now busy exploring transportation options to liquidate the stock. 
Jha, who was appointed for the top job on May 18, is hopeful that the demand-supply gap would be breached soon as CIL supplies are up 13 per cent so far this year and the monsoon is round the corner. 
According to the company, a 27-per cent drop in hydroelectric supplies is creating additional demand for fuel.
The scene is expected to get more comfortable on the coal supply front this year as the CIL-financed 53.5-km Jharsuguda-Barapali rail link was recently operationalised, connecting the resource rich Ib-valley reserves in Sundergarh district of Odisha. “We are now evacuating approximately two rake (of about 4,000 tonnes each) loads of fuel through this line. Once the rail operations are stabilised on this route, we can evacuate 4-5 rakes a day,” he said.
CIL has already opened a 13-mt mine in the area and capacity of another mine is escalated by four mt.
MCL production
Jha, who was Chairman of the Odisha-based mining subsidiary Mahanadi Coalfields (MCL), expects MCL’s production to increase by 19 mt (over 13 per cent) this year, contributing significantly to the plan to step up CIL’s total production from 567 mt in 2017-18 to 652 mt in 2018-19.
MCL is not alone. The recently opened rail-road connectivity to the prolific Magadh coalfield in Jharkhand is also expected to contribute in stepping up supplies significantly."
