,Date,Company,Article
66,2018-05-02,HCL,"HCL Tech profit falls 9.8% to ₹2,230 crore in Q4
 HCL Technologies reported a 9.8 per cent dip in consolidated net profit for the fourth quarter ended March 2018 at ₹2,230 crore against ₹2,474 crore for the same quarter in 2017.
The company’s revenue grew 2.2 per cent for the period at ₹13,480 crore as opposed to ₹13,183 crore for the same quarter in the previous fiscal.
Talking to media persons after the board meeting, C Vijayakumar, Chief Executive Officer, said that this revenue increase was backed by the strong broad-based growth across verticals, robust client additions, and accelerated revenues from Mode 2 and Mode 3 services. 
“We remain confident about the new fiscal in the light of increasing relevance of our business offering coupled with strategic investments in technology in future,” he added. For the year ended March 2018, the company registered a net profit of ₹8,722 crore, was up 1.3 per cent from ₹8,606 for the fiscal year 2017. Revenues grew 6.4 per cent from ₹48, 641 crore to ₹51,786 crore.
Revenues from Mode 2 and Mode 3, which focus on emerging technologies and IP creation, together grew 41.5 per cent for the fiscal 2018.
 Revenues from the two segments account for 23.4 per cent against 18.6 per cent for fiscal 2017.
Growth across verticals is driven by manufacturing at 18.3 per cent, financial services at 13.3 per cent, lifesciences and healthcare at 8.1 per cent, retail and CPG at 7.5 per cent and public services at 2.6 per cent on constant currency basis. 
For financial year 2019 revenues are expected to grow 9.5-11.5 per cent in constant currency. 
Total employee count stood at 1.2 lakh with gross addition of 8,476 people. Attrition rate for IT services was 15.5 per cent."
65,2018-05-02,HCL,"HCL will focus on next-gen tech: Vijayakumar


C Vijayakumar, Chief Executive Officer of HCL Technologies, is clear about where he wants the company to be positioned – at the cutting edge of disruptive technology.
In the last two years, the company invested $100 million in creating digital infrastructure such as experience design centres, IoT and Cloud labs. The company is investing in start-ups that offer cutting-edge technology as well. In a interview with BusinessLine, Vijayakumar shared the company’s future strategy, growth prospects and why India is not a focus market. Excerpts:
Start-ups are next big thing which all established players are looking at. Is HCL Technologies also proposing to work with any one of them?
The company has already started investing in couple of start-ups. HCL Technologies invested close to $2-3 million in Moogsoft, which offers AI solutions for IT operations.
It is also working on start-up venture partnerships through Morado Ventures, in which HCL has invested, for funding more start-ups. These are helping us gain some capability in cutting-edge disruptive technology.
What are the growth drivers for your company?
Though company’s major share of revenue comes from engineering, services, applications and infrastructure that constitute Mode 1, revenues from next-gen services (Mode 2) and IP offerings (Mode 3) are also on the rise. For the fiscal ended March 2018, Mode 2 and Mode 3 offerings accounted for 23.4 per cent of overall revenue compared to 18.6 per cent the previous fiscal.
As corporate enterprises re-image their businesses spending on traditional technologies will see a compression. But, it will be compensated by the investment in emerging technologies and IP offering. The company has invested close to $1.2 billion in IP partnerships, in-house IP creation and acquisition in the last two years.
Are you open to more acquisitions?
We are open to more acquisitions if opportunities were to arise and investments will be in line with previous years. The company is also looking to strengthen its presence in Germany, Australia, Canada and South Africa.
Does it mean India is not a focus market...?
India is not one of the focus market. Though there are projects in India, as a strategy we are reducing our focus. On the enterprise and niche segments, we will continue to participate, but we will be selective.
Though technology consumption is on the increase in the country, we have to figure out what it means for the company and how it fits in with their priorities.
The primary reason for reducing focus in India is the long-gestation period for SI projects and lot of capital gets stuck.
HCL has a large revenue base. Almost 99.9 per cent of the clients are global clients. So we want to focus on them, protect our revenues and also grow the revenues."
64,2018-05-02,HCL,"HCL delivers broad-based growth 


C Vijayakumar, CEO, HCL Tech




C Vijayakumar, CEO, HCL Tech


The March quarter results reiterated the pecking order of financial performance among the top four domestic IT players.
HCL Technologies delivered a better financial performance than what Infosys and Wipro reported, but fell short of TCS’ figures for the period.
The company’s revenues during the fourth quarter increased 2.5 per cent sequentially, compared to the 1.8-3.9 per cent growth delivered by peers.
Healthy client additions, stability in metrics such as utilisation and attrition, and traction across several verticals were positives during the period.
The operating margin was steady, at 19.6 per cent for the quarter.
The double-digit revenue growth guidance for FY19 should have given markets enough reason to cheer. Instead, the stock price corrected significantly(nearly 5 per cent), indicating concerns that much of the growth projection may be attributable to a series of acquisitions that HCL made in recent months and not its organic performance.








 
 
All-round performance
Revenues from segments such as financial services, public services, retail and telecom increased at a pace that equalled or exceeded the overall company’s revenue rate, indicating healthy broad-based growth.
HCL managed to add three customers in the $50-million category, two each in the $30-million and $20-million buckets and four clients in the $10-million segment. These additions were among the best in the industry during the period.
Utilisation, at 85.9 per cent and attrition, at 15.5 per cent compared quite favourably with the figures reported by peers. In FY18, HCL’s revenues grew at 12.4 over the previous fiscal, much higher than the 7-8 per cent growth rate for the industry. Trade body Nasscom has projected a 7-9 per cent growth rate for the IT industry in 2018-19. HCL has guided for 9.5-11.5 per cent revenue growth in FY19. Infosys gave projections for a 7-9 per cent increase.
But quite strangely, HCL’s stock trades at a little over 15 times its trailing 12 months’ per share earnings, lower than the valuation multiple demanded by Infosys and Wipro, despite growing at a much faster clip than these two companies. TCS, which trades at a price-earnings multiple of 25 times, is way ahead though.
HCL’s growth trajectory demands that it be accorded a price-earnings multiple that is at least equal, if not higher than what is given to Infosys and Wipro (17 times)."
63,2018-05-03,HCL,"HCL Technologies slumps to over 2-1/2 year low


The stock posted its biggest intraday percentage loss since October 2015, and was the top loser on the NSE index.




The stock posted its biggest intraday percentage loss since October 2015, and was the top loser on the NSE index.


Shares of HCL Technologies fell the most in 2-1/2 years. The stock extended its decline for a second session; it was down as much as 7.8 per cent at Rs 922.35, its lowest since March 23.
The stock posted its biggest intraday percentage loss since October 2015, and was the top loser on the NSE index.
The software services exporter's Q4 profit fell nearly 10 per cent, missing analyst estimates, according to Thomson Reuters data. The company expects FY19 revenue to rise 9.5-11.5 per cent in constant currency terms.
Q4 was a tad weaker than expected, and the revenue growth guidance doesn't reflect any acceleration in growth for the company, analysts at HSBC said, downgrading the stock to “hold” with a price target of Rs 1,050.
“While IMS deals have picked up, pricing compression at renewals continue,” says Macquarie; it has retained “outperform” rating with a price target of Rs 1,160.
Results were largely in-line, but organic revenue growth guidance for fiscal 2019 were disappointing, according to Morgan Stanley. It has kept “overweight” rating with a price target of Rs 1,060.
Analysts at Citi say guidance implies muted organic growth; it has maintained “neutral” rating with a price target of Rs 1,035. Key investor concern will be on IMS business growth and significant inorganic growth, according to Citi.
About 27 out of 43 brokerages have rated the stock “buy” or higher, 11 “hold” and 5 “sell” or lower; their median price target is Rs 1,055, Thomson Reuters data."
62,2018-05-22,HCL,"HCL Technologies joins hands with Blockchain in Transportation Alliance 
 
HCL Technologies has joined Blockchain in Transportation Alliance (BiTA), a consortium that works on blockchain-based solutions for the transportation industry, to develop blockchain-based solutions for the industry. BiTA’s members include Descartes, Daimler, FedEx, SAP and Uber Freight. 
Blockchain allows tracking of goods and freight across the supply chain effectively. It will also allow transportation and logistics companies to operate in a more seamless and transparent manner. It will help to create new revenue streams and value for customers by enabling a system of completing transactions, tracking shipments, and managing fleets. 
“HCL’s partnership with BiTA and working alongside other global industry leaders in transportation, logistics, and supply chain, will allow us to engage in the development of standards for how blockchain technology will be used in such transportation activities as track and trace, provenance, smart contract management, compliance management, and fraud detection,” said Ajay Bahl, Executive Vice-President and Head of Public Services and Manufacturing Business (North America) at HCL Technologies. 
“By helping to develop a common framework and standards by working with industry participants, we will promote broad adoption of this disruptive digital technology for transportation and logistics,” he added."
61,2018-05-27,HCL,"HCL Technologies: IT’s looking up
Among large IT companies, HCL Technologies (HCL) has almost always delivered growth rates that have been ahead of the industry. The company has been among the few in the domestic IT space to have consistently recorded double-digit revenue growth in dollar terms over the past several years.
The stock has corrected by nearly 15 per cent after its March quarter results were announced, as its revenue growth guidance for FY-19 disappointed the markets. A good part of its projected growth (9.5-11.5 per cent) is expected from the companies it acquired recently. But the correction may have been an overreaction, as the growth rates are still among the best in the industry.
Companies do need to take the inorganic route to grow and explore newer niche digital services areas and HCL has consciously made acquisitions that add to its offerings. To put HCL’s guidance in perspective, trade body Nasscom has projected a growth rate of 7-9 per cent for the IT industry in FY-19.
Strong expansion in revenues from digital offerings, healthy client additions and robust traction in key verticals such as financial services and manufacturing are positives for the company.








 
 
The fall in share price presents an even more attractive entry point for investors with a two-year horizon. At ₹915, the HCL stock trades at just 13 times its estimated per share earnings for FY-19, lower than peers such as Wipro and Tech Mahindra that trade at 15-17 times. This valuation discount does not appear justified, given that HCL has better operating margins and revenue growth rates compared to its peers. Even mid-tier IT players trade at much higher multiples.
In FY-18, HCL’s revenues increased by 8.2 per cent over the previous fiscal to ₹50,570 crore, while net profits rose by 3.8 per cent to ₹8,780 crore. In dollar terms, revenues increased by a healthy 12.4 per cent in 2017-18, which is the highest among top-tier IT players and also among the best in the industry.
Digital thrust
HCL classifies its service offering under three ‘modes’. Mode 1 is its traditional application and infrastructure services offering. Mode 2 refers to digital services, while mode 3 consists of products and platforms. The company has seen a massive ramp-up in revenues from mode 2 and mode 3 offerings.
HCL derived 23.4 per cent of its revenues from these modes in FY-18, up from 18.6 per cent in the previous fiscal. Revenues from both these modes are growing at a fast clip — mode 2 revenues rose by 29.4 per cent and mode 3 by 68.3 per cent in FY-18. Clearly, HCL has been able to tap into the digital spends of clients.
The company’s acquisition of Actian Corporation, through a joint venture with Sumeru Equity Partners, is expected to bolster its digital and cloud offerings.
The proportion of non-traditional revenues that HCL derives compares favourably with what other top-tier IT players have recorded.








 
Broad-based growth
Two of the HCL’s key verticals — financial services and manufacturing — which account for over 60 per cent of overall revenues have grown at 13.3 per cent and 18.3 per cent respectively in FY-18, higher than the overall company’s revenue rate.
Its engineering and R&D service line grew at a robust pace of 37.8 per cent during last fiscal. HCL’s key infrastructure management services offering, which had a few tepid quarters, has witnessed a revival in the March period.
Revenues from all its key geographies have expanded at a reasonable pace, with the US growing at a robust 13.8 per cent.
Clearly, the growth has been broad-based for the company, suggesting a fair degree of client traction. HCL added three customers in the $50-million category, six in the $40 million bucket and as many as 18 clients in the $10-30 million range. Thus, client addition appears quite robust for the company.
Operationally, many parameters are looking up for the company.
The company’s attrition rate has reduced from 16.9 per cent as of March 2017 to 15.5 per cent as of March 2018, thus lowering execution risks.
Utilisation for HCL was at 85.9 per cent in March 2018, which is among the highest in the industry, indicating optimal deployment of its workforce.
From a productivity standpoint, HCL’s revenue per employee, at $66,406 in FY-18, compares quite favourably with peers. The revenue per employee for Infosys is $54,600.
While acquisitions would drive growth in the near future, HCL’s core offerings, as seen from the above factors, appear to be on a revival path.
The stock may, thus, be a reasonable bet for long-term investors and those looking at defensives to hedge themselves during volatile times."
60,2018-06-02,HCL,"HCL Tech, JDA tie up for JDA Commerce, SofTechnics, PRM solutions 
 New Delhi, June 1
HCL Technologies has partnered with the US-based software and consultancy firm JDA Software Inc for development, product support and go-to-market initiatives of JDA Commerce, SofTechnics, and Pricing and Revenue Management (PRM) solutions.
According to a press release, the collaboration will modernise the solutions’ architecture and shift to a SaaS model.
This alliance will leverage the collective forces of both companies to increase the service capabilities for these solutions, enable new and enhanced product innovations, and allow expansions into new markets also leveraging other portfolio products. Existing JDA customers of these solutions will continue to engage with JDA as their primary partner but will be further complemented by HCL services and resources.
Salil Joshi, Executive Vice President, Cloud and Customer Success, JDA, said in the press statement that with this partnership JDA gains access to HCL’s market coverage and depth of experienced domain experts with a strong transformation record enabling both companies to enhance the product offerings with new features and functionality for new and existing customers.
Sukamal Banerjee, Head - IoT WoRKS at HCL Technologies, said in the press statement that HCL’s experience in product development and implementing technologies such as cloud into the supply chain and in retail applications will allow them to bring an immediate benefit to JDA customers."
59,2018-06-14,HCL,"HCL Tech inks deal with Falck for IT infra transformation 
 
HCL Technologies has signed an end-to-end IT infrastructure services deal with Falck, a leader in the ambulance and healthcare markets. 
Through this deal, HCL will support Falck’s business transformation by consolidating, simplifying and standardising the company’s IT infrastructure operations through a centralised global service delivery model. The new model will enable greater automation, improved cost transparency, enhanced operational efficiency and increased control.
The delivery hubs for this engagement will include HCL’s newly inaugurated Global Delivery Centre in Gothenburg, Sweden, and sites in the US and South America. 
“Our IT infrastructure is mission-critical as it underpins applications and processes that enable our teams to help people in need and to save lives,” said Poul Erbo Mortensen, Executive Vice-President and COO, Falck. “We chose HCL due to its proven track record in driving large-scale IT transformations for clients in the Nordics and around the world,” he added. 
Falck operates in 35 countries and has more than 37,000 employees. The business consists of three core business units: Ambulance, Healthcare and Assistance. Falck’s current IT landscape includes a web of data centres, networks and operating systems around the world."
57,2018-06-21,HCL,"HCL Tech , Nokia sign 5 -year IT infrastructure deal
HCL Technologies partners with Nokia to modernise its IT infrastructure and applications landscape. 
Under this five year deal, HCL will transition services from four incumbent vendors to establish an integrated IT services delivery and design framework, according to a press release.
HCL will leverage its next-gen technology services portfolio to provide Nokia with services around key transformational areas such as cloud orchestration, digital platforms, big data analytics, cybersecurity, autonomics and modern collaborative workplaces. 
Joerg Erlemeier, Chief Operating Officer, Nokia said, “This is an important development for Nokia and takes our digital transformation efforts to a new level.” 
“This expansion is yet another testament to the alignment of our services with our customers’ strategic imperatives and our impressive track record to deliver transformational services at scale,” said C Vijayakumar, President and Chief Executive Officer, HCL Technologies, in the statement.
“The telecom industry is at the forefront of today’s fast-paced digital-led change and HCL is proud to be Nokia’s transformation partner, powering them with the speed and agility required to meet the demands of a complex and transforming market,” he added."
58,2018-06-22,HCL,"HCL Tech, Nokia sign five-year deal


FILE PHOTO
   -  REUTERS




FILE PHOTO
   -  REUTERS


HCL Technologies has partnered with Finnish telecommunications company Nokia to modernise its IT infrastructure and applications landscape.
Under this five-year deal, HCL will transition services from four incumbent vendors to establish an integrated IT services delivery and design framework. It will also implement a transformation roadmap. The deal is intended to help Nokia drive operational efficiencies in line with previously announced targets, according to a press release.
HCL will leverage its next-gen technology services portfolio to provide Nokia with services around key transformational areas such as cloud orchestration, digital platforms, big data analytics, cyber security, autonomics and modern collaborative workplaces.
These solutions will help HCL meet the growing needs of a rapidly changing customer base and allow them to experience it better through digitalisation, automation and modernisation of key IT systems and processes.
Joerg Erlemeier, Nokia Chief Operating Officer, said, “This is an important development for Nokia and takes our digital transformation efforts to a new level.” It will enhance Nokia’s IT and operational efficiencies internally and enable the company to further elevate service delivery to our customers.
“This expansion of the HCL-Nokia relationship to include IT services is yet another testament to the alignment of our Mode 1-2-3 services with our customers’ strategic imperatives and our impressive track record to deliver transformational services at scale” said C Vijayakumar, President and Chief Executive Officer, HCL Technologies.
“The telecom industry is at the forefront of today’s fast-paced digital-led change and HCL is proud to be Nokia’s transformation partner, powering them with the speed and agility required to meet the demands of a complex and transforming market,” he added."
