,Date,Company,Article
101,2018-07-23,HDFC Bank,"HDFC Bank falls 2.3% as profit misses estimates
 Shares of India's biggest lender by market-cap, HDFC Bank, fell as much as 2.3 per cent to Rs 2,138.1, as Q4 profit missed estimates on higher provsioning. 
HDFC Bank had on Saturday reported an 18.2 per cent increase in its net profit for the fist quarter of the fiscal along with stable asset quality. The lender's net profit increased to Rs 4,601.44 crore for the quarter ended June 30, 2018, against Rs 3,893.84 crore in the same period last fiscal. 
Jefferies says that strong cost control offsets weaker topline trajectory, and it has retained buy with a target price of Rs 2,530.
Kotak Institutional Securities says that HDFC Bank has adequate levers to generate healthy operating profit, and earnings growth. However, quality has been disappointing as the bank had to slow down operating expenses to offset NIM pressure.
It has maintained 'reduce' rating, and raised the target price to Rs 2,000 from Rs 1,900. About 44 analysts have rated the stock either 'strong buy' or 'buy'.
HDFC Bank's smaller rival Kotak Mahindra Bank Ltd missed June-quarter profit estimates as provisions surged. Up to last close, the stock had risen 16 per cent ytd vs Nifty Bank Index's gain of 5.22 per cent."
100,2018-07-23,HDFC Bank,"HDFC Bank’s capital raising to lift capital buffers by 300 bps 


FILE PHOTO
   -  THE HINDU




FILE PHOTO
   -  THE HINDU


 The Rs 24,000-crore capital raising will increase HDFC Bank’s capital buffers by 3 percentage points and help support the lender’s over 20 per cent loan growth for the next few years, says a report.
The Rs 8,500-crore infusion last week through a preferential allotment to parent HDFC will increase the common equity tier 1 (CET1) ratio by about 1 percentage points to 13.3 per cent from 12.3 reported in March 2018, global rating agency Moody’s Investor Service said in a report today.
This is the first tranche of the Rs 24,000-crore capital raising plan announced last December.
“If the bank manages to raise the remaining planned capital, its CET1 ratio will increase by a total of 3 percentage points to 15.2 per cent,” it added.
The capital infusion is “credit positive” as it will strengthen its loss-absorbing buffers, while supporting balance-sheet expansion, the agency said.
 Moody’s vice-president for financial institutions group, Alka Anbarasu, further said even though HDFC Bank is more profitable than its peers, the internal capital generation “has lagged its risk-weighted assets growth” in the past five years.
 The preferential share sale to the parent is part of a Rs 24,000-crore capital raising plan announced earlier. The remaining money will be raised from overseas investors, for which the bank has got necessary government approvals.
 The bank has not yet revealed the exact timeline for raising the second tranche and the agency says it will not be difficult for the bank to raise the money from equity markets.
 “We expect that the capital raise will support HDFC Banks credit growth of 20-25 per cent over the next few years. HDFC Bank is growing at a faster pace than other banks: its average loan growth has been 22 per cent over the past three years, versus the average of 6.5 per cent for the system,” Anbarasu said."
99,2018-07-31,HDFC Bank,"How ICICI Bank, arms compare with peer HDFC group?
With most of the key subsidiaries listed now, comparison between ICICI Bank and HDFC group shares deserves attention or seems to be well-timed. HDFC and HDFC Bank have been definitely and consistently superior than ICICI Bank in terms of important financial metrics. Accordingly, their shares have significantly outperformed ICICI Bank with market capitalisation jumping more than five and 12 times, respectively, in the last one decade, compared to the latter’s three times, according to Capitaline data.
Even HDFC’s newly-listed subsidiary, HDFC Standard Life Insurance, has done better than ICICI Prudential Life Insurance though listing dates are different. The stock of ICICI Prudential Life Insurance has gained close to 42 per cent in almost two years of listing, while HDFC Standard Life is up 44 per cent in just eight months.
According to analysts, premium valuations of HDFC group’s shares are indeed justified but currently they are fairly valued and most offer limited upside.
On the other hand, ICICI Bank and its subsidiaries, which have underperformed HDFC group due to a variety of reasons, can be considered as value buy, they added.
“While the company (HDFC) is tracking steady core performance, its valuation at 3.1 times adjusted book value for core return on equity of 16.5 per cent appears to be fair,” said Kunal Shah, analyst at Edelweiss. He expects 9 per cent upside from current levels.
ICICI Bank may rise 18%
Prabhudas Lilladher has increased the target price on HDFC Bank by 9 per cent to ₹2,492 (to factor in fund-raising) and retained its ‘buy’ rating on the stock. ICICI Bank also offers similar upside of 18 per cent based on average target prices estimated by analysts on both stocks. If things go well at ICICI Bank financially and otherwise (read management and regulatory issues), then the upsides could be even more, given its rock bottom valuation of 1.2 times price-to-adjusted-book-value estimated for FY20.
“Core operating profit remains healthy (+13 per cent year on year); new NPA addition moderates (slippages at 3.1 per cent of loans) and loan growth (+11 per cent) gathers pace. We see provisions remain elevated in the near term (FY19E); however, we draw comfort in the pace of resolution and 69 per cent coverage ratio (combined) against list-1 and list-2 IBC accounts. Capital position remains healthy; subsidiaries remain profitable. Valuations continue to remain undemanding,” pointed out Centrum in its post-June quarter results.
HDFC Securities has a similar view and added: “Despite building in relatively lower recoveries and cutting earnings by 31 per cent and 5 per cent for FY19 and 20, respectively, ICICI Bank can yield return on average assets of 1.11 per cent in FY20. This, and inexpensive valuations, drive our positive view. Further dilution in subsidiaries and robust recoveries could push earnings upwards.”
Insurance segment
Between the life insurance subsidiaries, analysts are more bullish on ICICI Prudential Life insurance in the near term as they expect 21 per cent upside versus HDFC Standard Life’s 2 per cent. This is mainly due to time correction in the HDFC Standard Life stock thanks to its high valuation following robust listing and post-listing performance.
Also, though HDFC Standard Life is estimated to report higher growth in new business APE (annualised premium equivalent) and VNB (value of new business) over FY18-FY20, Motilal Oswal expects improvement in VNB margin for ICICI Prudential Life Insurance from the current 17.5 per cent, and the same to be sustained at 24 per cent in case of HDFC Standard Life.
HDFC Asset Management Company’s initial public offer got subscribed a whopping 83 times thanks to robust financial performance and superior brand image/market position. Even though the listing performance will be robust thanks to huge response from investors, it might again see a time correction later on as happened in HDFC Standard Life Insurance. At the upper end of the price band, it is already valued higher at 32 times FY18 earnings/7.8 per cent to FY18 AUM, compared to 26 times/5.6 per cent in case of Reliance Nippon Life AMC.
There are no fresh analyst views on ICICI Securities and ICICI Lombard General Insurance after their listings in April 2018 and September 2017, respectively."
98,2018-08-06,HDFC Bank,"HDFC Bank raises fixed deposit rates by up to 0.6% 
 Days after the Reserve Bank of India hiked the benchmark repo rate, HDFC Bank today increased fixed deposit rates on various maturities by up to 0.6 per cent. The revised rate of interest is effective today, according to information posted on HDFC Bank’s website.
The increase in fixed deposit rates is likely to put pressure on lending rates as well. The bank has raised the interest rate on term deposits with maturity ranging between 6 months and one day to 5 years. Deposits of a maturity of 6-9 months would earn 6.75 per cent, 40 basis points higher than the previous rate.
The interest rate on fixed deposits of a longer tenure of 9 months three days to less than 1 year has been raised by 60 basis points, while for one year it has been increased by 40 basis points to 7.25 per cent. However, fixed deposits beyond 2 years and 1 day to 5 years will earn 10 basis points more than the previous rate of interest.
RBI last week increased the benchmark short-term lending rate (repo rate) at which it lends to other banks by 0.25 per cent to 6.5 per cent on inflationary concerns. Retail inflation, which is factored in by the central bank’s Monetary Policy Committee, spiked to a five-month high of 5 per cent in June on costlier fuel.
The government has mandated RBI to keep inflation at 4 per cent (+/- 2 per cent)."
97,2018-08-08,HDFC Bank,"Why the run up in private banks may need watching


The fundamental performance of private sector banks does not mirror the market’s exuberance.




The fundamental performance of private sector banks does not mirror the market’s exuberance.


 It is not unknown that private sector banks—with better earnings visibility and a somewhat more resilient show—have been the darlings of the market in the recent past. In the last one year, while the stock prices of PSU banks have fallen sharply, a few private sector banks have continued their strong run. With too much money chasing too few stocks, valuations of some of the private bank stocks are at historical levels.
But interestingly, the fundamental performance of private sector banks does not mirror the market’s exuberance. For one, over the past four quarters, the core net interest income of private sector banks, has been moderating. Slowing loan growth in some of the larger banks, pressure on margins and sudden shocks on the asset quality front have impacted banks’ core income from lending. Two, bad loans have been creeping up too, leading to higher provisioning, impacting earnings. Three, the rise in government bond yields have led to treasury losses, eating into their core income. All of this has led to profit shrinking on a yearly basis for two consecutive quarters for the entire pack.
Core income moderates
While private banks have managed to grow their loan book through market share gains (as their PSU counterparts consolidate balance sheet), strong retail and SME focus and healthy capital base, the growth in core interest income has slipped. From 16 per cent levels in the June quarter last year, growth in net interest income slowed to 12 per cent in the March quarter. While growth has managed to inch up to 14 per cent in the June quarter, a low base and some one-off recoveries in few banks has helped. Sustainability of the trend needs to be seen.
For HDFC Bank, despite the healthy traction in loans, the growth in the bank’s net interest income has slowed in the last two quarters. From 24 per cent YoY growth in the December 2017 quarter, net interest income grew by a slower 17.7 per cent in the March 2018 quarter and by 15.4 per cent in the latest June quarter. For IndusInd, growth has slowed from 31 per cent levels in June quarter of last year to 20 per cent in the June 2018 quarter. From a robust 30-40 per cent growth last year, net interest income growth moderated to 23 per cent in the latest June quarter for YES Bank.
A consistent moderation in growth, not priced into valuations can weigh on stock prices, if markets turn volatile.
Big daddy banks under pressure
Axis Bank and ICICI Bank—two large private sector banks—have weighed heavily on the performance of the entire pack. Core income growth for these banks has in any case been tepid—at flat to low single-digits. Axis Bank’s net interest income growth that inched up to 12 per cent in the June quarter, has been aided by a one-time impact of interest realisation from recovery on an IBC account.
On the asset quality front, after the one-time hit in the March quarter, on account of the RBI’s diktat on stressed assets, slippages still remain elevated for both Axis and ICICI Bank. For Axis Bank, addition to its stressed assets pool remains a concern. For the rest of the private bank universe too, bad loans have been on the rise over the past four quarters.
YES Bank reported sharp divergences in the September 2017 quarter. There has also been a notable rise in gross slippages in the latest June quarter. IndusInd Bank, had reported bad loan divergences pertaining to 2016-17, in the March quarter.
HDFC Bank too has been reporting additions (though modest when compared to peers) to its bad loan book. While the GNPAs for the bank, in absolute terms, has gone up by 30-40 per cent YoY over the past few quarters, a healthy growth in loans has kept delinquency ratio at bay. 
Hence, the divergence report for FY18 will be a key factor to watch for, to assess the big picture on asset quality for private sector banks.
Overall the profit growth for private sector banks fell sharply from 23 per cent in March 2017 quarter to single digits in the December 2017 quarter. In the March and latest June 2018 quarter, profit has shrunk by 37 per cent and 16 per cent respectively for the entire private bank universe. Axis Bank, ICICI Bank, South Indian Bank, Karur Vysya Bank—all recorded a steep fall in profit in the latest June quarter."
96,2018-08-10,HDFC Bank,"PayPal enters into pact with HDFC Bank 


Anupam Pahuja, Managing Director, PayPal India (file photo)
   -  PAUL NORONHA




Anupam Pahuja, Managing Director, PayPal India (file photo)
   -  PAUL NORONHA


 Global technology platform and digital payments leader, PayPal, and HDFC Bank, the largest credit card issuer in India, have entered into a partnership that will result in a safer, faster and more convenient payment experience for HDFC Bank cardholders and help drive incremental digital spend. 
This agreement will take effect immediately, with new experiences available to customers that are designed to drive incremental digital spend. 
HDFC Bank has more than 35 million credit and debit cards issued in India, while PayPal is available across over 200 markets globally with a network of 19 million merchants. 
This partnership will create a number of joint growth opportunities that will boost PayPal and HDFC Bank’s shared vision of offering consumers greater choice and flexibility in managing their money. 
HDFC cards will be presented as a payment option during enrolment and subsequent payments, with the ability for consumers to easily open PayPal accounts and set it as their preferred payment method. 
Speaking about the partnership, Anupam Pahuja, Managing Director, PayPal India, said,“Offering choice to our customers has been at the core of our strategy, and the partnership with HDFC Bank is another step in this direction. Through this partnership, we’re enabling HDFC Bank to provide its customers with the ability to shop how, where and when they choose, by leveraging the power, safety and convenience of PayPal.” 
Parag Rao, Country Head of Card Payment Products, Merchant Acquiring Services and Marketing at HDFC Bank Ltd., said, “We are delighted to partner with PayPal. This agreement is about offering choice and partnering with companies in the payments ecosystem that we feel can help us create meaningful products that benefit both consumers and merchants. This partnership allows us to reach millions of existing and potential new PayPal customers across India"". 
Srivats.kr@thehindu.co.in"
95,2018-08-10,HDFC Bank,"HDFC Bank deputy MD Paresh Sukthankar resigns 


Paresh Sukthankar




Paresh Sukthankar


 Paresh Sukthankar has resigned as Deputy Managing Director of HDFC Bank today, the bank said without citing any reasons.
“We hereby inform you that Paresh Sukthankar has tendered his resignation as Deputy Managing Director of the bank, to be effective 90 days from the close of business hours of today,” HDFC Bank said in a regulatory filing.
The bank said its board of directors places on record its appreciation for the contribution made by Sukthankar in his long association with the bank.
Stock of the bank closed 0.17 per cent down at Rs 2,115 on BSE."
94,2018-08-10,HDFC Bank,"Will Sukthankar’s exit impact HDFC Bank stock?
 
Paresh Sukthankar, Deputy Managing Director of HDFC Bank, has resigned amidst speculation that he may be joining as the chief of another lender. Sukthankar was widely perceived as a potential successor to CEO and Managing Director Aditya Puri, who is likely to retire by October 2020. HDFC Bank did not give any reason for his exit. Sukthankar has been associated with HDFC Bank since its inception in 1994. Shareholders will follow the development quite closely."
93,2018-08-10,HDFC Bank,"HDFC Bank Dy MD Paresh Sukthankar resigns
 
 
Private sector HDFC Bank’s second-in-command and long-standing lieutenant Deputy Managing Director Paresh Sukthankar has put in his papers amid speculation that he may be joining as the chief of another lender.
“Paresh Sukthankar has tendered his resignation as Deputy Managing Director of the bank, to be effective 90 days from the close of business hours of today,” HDFC Bank said in a regulatory filing on Friday.
The country’s second largest lender said its board of directors has placed on record their appreciation for the contribution made by Sukthankar during his long association with the bank. Sukthankar was widely perceived as a potential successor to HDFC Bank’s CEO and Managing Director Aditya Puri, who is likely to retire by October 2020. The lender plans to finalise a replacement for him by October next year so that he can work alongside him for a year.
In its filing to the stock markets, HDFC Bank, however, did not give any reason for Sukthankar’s exit. According to industry experts, Sukthankar’s sudden resignation indicates that he may be joining as the head of another private sector lender.
Private sector Axis Bank is also in the midst of appointing a successor to its CEO and Managing Director Shikha Sharma. The bank had sent a list of three candidates to the Reserve Bank of India for approval last month.
Sukthankar, who is in his early 50s, has been associated with HDFC Bank since its inception in 1994. He was appointed as the lender’s Deputy Managing Director in December 2013.
In March 2017, the bank’s board had approved his re-appointment as Deputy MD for a three-year period till June 2020."
92,2018-08-13,HDFC Bank,"HDFC Bank shares fall 1.6% as Deputy MD resigns
Shares of HDFC Bank Ltd fell as much as 1.6 per cent to Rs 2,080, its lowest since July 4 as the lender had said on Friday that its Deputy Managing Director, Paresh Sukthankar, had resigned and will vacate his post in 90 days.
The resignation comes after the bank said in June it was seeking shareholders' nod for re-appointing Sukthankar as Deputy MD.
“We hereby inform you that Paresh Sukthankar has tendered his resignation as Deputy Managing Director of the bank, to be effective 90 days from the close of business hours of today,” HDFC Bank had said in a regulatory filing.
The bank said its board of directors places on record its appreciation for the contribution made by Sukthankar in his long association with the bank.
“Do not see any near-term concerns to business given the strength of the senior management team but it does appear that the successor is most likely an external candidate. We maintain our 'reduce' rating given the current valuations and preference for corporate banks,” says Kotak Securities.
“From HDFC Bank stock perspective, Sukthankar's resignation is a mild negative in the near term but the bank had built strong leadership and hence we do not expect any material change in the multiple for the bank,” says Nomura.
HDFC Bank stock has risen 12.9 per cent this year as of last close."
