,Date,Company,Article
204,2018-04-03,ICICI,"Disclose majority shareholder’s real identity: Whistleblower Gupta to NuPower 
NuPower Renewables — the company founded by ICICI Bank CEO Chanda Kochhar’s husband Deepak Kochhar — must disclose the real identity of its majority shareholder DH Renewables Holding Ltd of Mauritius, whistle-blower Arvind Gupta has demanded, alleging masked share transfers.
Videocon Group Chairman Venugopal Dhoot is said to have invested in NuPower Renewables and extended a ₹64-crore loan after Videocon secured a loan from a consortium of banks that included ICICI Bank.
Gupta, who identifies himself as an informed and vigilant investor owning shares both in ICICI Bank and Videocon Industries, alleged that NuPower Renewables was a 50:50 joint venture of Deepak Virendra Kochhar and Dhoots when founded in 2008.
Subsequently, “masked” share transfers were done to a trust called Pinnacle Energy, whose trustee is Deepak Kochhar, after Chanda Kochhar became the Managing Director and CEO of ICICI Bank in May 2009.
Gupta said the data he has gathered from the Registrar of Companies shows that Mauritius-based DH Renewables Holding is now the majority shareholder of NuPower with 54.99 per cent interest. Around 33.17 per cent is held by Pinnacle Energy, whose managing trustee is Deepak.
Pulls out of event
Facing allegations of wrongdoing in the loan extended to Videocon Group, ICICI Bank MD and CEO Chanda Kochhar has pulled out of the annual session of FICCI Ladies Organisation (FLO), where she was to be felicitated by President Ram Nath Kovind, according to the organiser. Kochhar was to be the Guest of Honour at the April 5 event and flyers sent out last month mentioned her name prominently. However, the revised ones did not carry her name."
203,2018-04-03,ICICI,"I-T notice to Deepak Kochhar 
 I-T Department has issued notice to Deepak Kochhar, husband of ICICI bank MD and CEO Chanda Kochhar, in connection with its tax evasion probe in the Videocon bank loan case, officials said. 
The notice had been issued to Deepak Kochhar under Section 131 of the I-T Act and he has been asked to furnish details of his personal finances, I-T Returns for the last few years and business transactions with NuPower Renewables.
 He has been asked, they said, to furnish details of his personal finances, Income Tax Returns (ITRs) for the last few years and business transactions with the firm apart from other financial details of the company.
 The department has also sent a detailed questionnaire, seeking details of the firm’s operations, to be answered by him.
 The tax department has launched a probe into the finances of the company and those associated with it, the officials said.
 Few more notices have been sent to the people associated with the firm and based on their replies, further action will be taken, they said.
 In a related development, the CBI officials said that Deepak Kochhar, who has been named in a preliminary enquiry, will be called for questioning soon.
 The CBI had questioned a few ICICI bank officials as part of a preliminary enquiry to find out if any quid pro quo was involved in the bank issuing a Rs 3,250 crore loan to the Videocon Group in 2012.
 The loan had recently made news after reports questioned it and linked it to a possible quid pro quo that Videocon group promoter Venugopal Dhoot allegedly had with NuPower Renewables, a company founded by Deepak Kochchar.
 The CBI enquiry had named Dhoot, Deepak Kochhar and unidentified others, officials said."
202,2018-04-05,ICICI,"ICICI Bank loan issue: CBI grills Chanda Kochhar’s brother-in-law at Mumbai airport 


ICICI Bank




ICICI Bank


Rajiv Kochhar, the brother-in-law of ICICI Bank MD & CEO Chanda Kochhar, was detained by immigration authorities at Mumbai airport when he was to leave for a Southeast Asian country and handed over to CBI sleuths, who questioned him in connection with the bank’s dealing with Videocon Group.
Kochhar was stopped from leaving the country at the Mumbai international airport by the authorities as the CBI had issued a Lookout Circular (LoC) against him, officials said.
He was handed over to a CBI team which is questioning him in connection with the case, they said.
Preliminary enquiry
The CBI has already questioned a few ICICI Bank officials as part of a preliminary enquiry to find if any quid pro quo was involved in the bank issuing a Rs 3,250-crore loan to Videocon Group in 2012.
Agency officials said they are also studying relevant documents of the transaction and if they come across any evidence that indicates wrongdoing, ICICI Bank managing director and chief executive officer Chanda Kochhar, her husband Deepak Kochhar along with others could be summoned for detailed questioning.
They said the statements of nodal officers of ICICI Bank, who were part of processing the loan of about Rs 3,250 crore, have been recorded as part of the preliminary enquiry or PE registered six weeks ago.
The PE has named Videocon Group promoter Venugopal Dhoot, Deepak Kochhar and unidentified others, they said.
A PE is a precursor before the agency lodges an FIR to probe criminal charges on the basis of evidence collected during the former exercise."
201,2018-04-07,ICICI,"Look-out notices issued for Kochhars, Venugopal Dhoot?


Chanda Kochhar, ICICI Bank MD and CEO
   -  PAUL NORONHA




Venugopal Dhoot, Chairman, Videocon Group
   -  PTI




Chanda Kochhar, ICICI Bank MD and CEO
   -  PAUL NORONHA




Venugopal Dhoot, Chairman, Videocon Group
   -  PTI


The Central Bureau of Investigation (CBI) on Friday is understood to have issued look-out notices at all major airports for ICICI Bank MD and CEO Chanda Kochhar, her husband Deepak Kochhar, and Videocon Group Chairman Venugopal Dhoot. Deepak Kochhar is the promoter of NuPower Renewables.
“This is misleading news,” Venugopal Dhoot told BusinessLine, when asked about the notice. He also declined to comment on the investigation over alleged irregularities in the grant of the loan.
On Thursday, the CBI had detained Chanda Kochhar’s brother-in-law Rajiv Kochhar, who is the Founder and CEO of Avista Advisory, to question him on possible links to ICICI Bank sanctioning a ₹3,250-crore loan to the Videocon Group in 2012.
The CBI continued its questioning of Rajiv Kochhar on Friday. He was let off in the evening, but may be summoned again next week, sources said.
The agency is also expected to summon some officials of ICICI Bank and the Videocon Group next week.
Rajiv Kochhar’s Avista Advisory is a financial services company with offices in Singapore and Mumbai. After the CBI issued a look-out notice for him, Kochhar was detained at the Mumbai airport on Thursday, just as he was about to leave for a South-East Asian country.
It is learnt that the CBI has already registered a preliminary probe naming Dhoot, Deepak Kochhar and unidentified others in connection with the loan.
Meanwhile, ICICI Bank on Friday said that its Board of Directors will meet on May 7. In a disclosure to the Bombay Stock Exchange, the bank said its Board will “consider the approval of the audited annual accounts for the financial year ended March 31, 2018.”
Earlier this week, the ICICI Bank Board had issued a statement reposing “full faith and confidence” in Chanda Kochhar and had said that a review found the the bank’s internal processes for credit approval to be robust."
200,2018-04-07,ICICI,"ICICI Bank: Govt changes its nominee on the Bank Board 
 
The Centre has replaced its nominee on ICICI Bank’s Board with effect from April 5.
Lok Ranjan, a joint secretary at Department of Financial Services in the Finance Ministry, has replaced Government nominee Amit Agrawal, sources said.
This move comes at a time when this private sector lender is facing a controversy over alleged irregularities in grant of Rs 3,250 crore loan to Videocon group.
It may be recalled that the Central Bureau of Investigation had a week back registered a preliminary inquiry against Deepak Kochhar, husband of ICICI Bank’s MD & CEO Chanda Kochhar. The investigating agency also named Venugopal Dhoot, Chairman of the Videocon Group, besides unidentified others in the preliminary inquiry
Earlier this week, the ICICI Bank Board had issued a statement reposing “full faith and confidence” in Chanda Kochhar and had said that a review found the bank’s internal processes for credit approval to be robust.
srivats.kr@thehindu.co.in"
199,2018-04-09,ICICI,"Allegations against ICICI Bank pose reputational risks: Fitch
 
An investigation into allegations that ICICI Bank has extended a loan with a potential conflict of interest raises questions over the bank's governance and creates reputational risks, according to Fitch Ratings. Other regulatory sanctions are also possible, depending on the outcome of the investigation, it added.
The global credit rating agency observed that the investigation could also undermine investor confidence in the bank, with potential implications for funding costs and liquidity in an extreme scenario, although its status as a systemically important bank implies it will benefit from some form of state support.
Fitch underscored that there is a potential risk of financial penalties as well as legal action if the investigation comes up with findings against the bank. “The allegation relates to a $500-million loan to Videocon Group, whose controlling shareholder co-founded a separate company with the spouse of ICICI's CEO. A significant portion of the loan has since become non-performing,” Fitch said.
ICICI's board has denied any wrongdoing, highlighting that the loan was underwritten in accordance with the bank's credit standards and was extended as part of a consortium involving over 20 banks. The bank has stressed that it has not given any credit to the borrower group outside of the consortium.
“Nevertheless, the presence of the bank's CEO on this credit committee - and the bank's reluctance to support an independent probe - have, in our opinion, created doubts over the strength of its corporate governance practices,” elaborated Fitch. The allegations come against a backdrop of high non-performing loans (NPLs) in the banking sector, some of which have been linked to fraudulent lending.
Fitch believes corporate governance at private banks such as ICICI is generally stronger than at state-owned banks due to better-qualified board members and more professional management. “Moreover, compensation structures at private banks are more performance-oriented, while a large and diversified investor base encourages greater management accountability. These assumptions could come under question if the investigations expose misconduct at ICICI,” said the agency.
Fitch said it will closely monitor developments, and would take appropriate rating action if risks to the banks' reputation and financial profile were to rise considerably. “That said, the banks' rating is underpinned by relatively strong capitalisation and profitability. Core capitalisation was 14.2 per cent in December 2017, among the highest in the sector.
“Losses on the loan in question would be unlikely to significantly undermine ICICI's financial profile - in particular, its core capitalisation would remain strong even if the loan were completely written off,” said the agency.
The CBI on Monday continued grilling ICICI Bank MD and CEO Chanda Kochhar’s brother-in-law Rajiv Kochhar for the fifth straight day."
196,2018-04-10,ICICI,"Under Chanda Kochhar’s watch, ICICI Bank shares lagged Nifty
Chanda Kochhar took over as Managing Director and Chief Executive Officer of ICICI Bank in May 2009. Since then, the bank’s performance on key parameters of deposits, advances, net interest income and adjusted net profit have been steady and have grown in the range of 13.5-15 per cent (compounded annual growth rate between FY10-FY17), according to standalone data provided by Capitaline.
But the growth in the bank’s share price at 7 per cent (CAGR in FY10-FY18) has lagged Nifty’s 10 per cent and Bank Nifty’s 14.4 per cent. This is because its non-performing assets (NPAs) jumped substantially, with gross and net NPAs rising at CAGR of 24 per cent and 31 per cent, respectively. These rates have slowed down to 22 per cent and 20 per cent year-on-year in the nine months ended December 2017. Even in terms of percentage, gross and net NPAs have been maintained at 7.8 per cent and 4.2 per cent, respectively.
 








 
 
Stable NII
However, the high corporate exposure of the past continues to haunt the bank’s financial performance. While growth in deposits and advances y-o-y in the nine months ended December 2017 has slipped to 10-11 per cent, rise in net interest income came off to 8 per cent and adjusted net profit declined 26 per cent (also due to lower other income).
Nevertheless, the bank’s current and savings deposit ratio (CASA) and net interest margin were maintained at about 50 per cent and 3 per cent, respectively, as on December 31. Good performance on these two key profitability factors is encouraging as they are at least almost the same as March 31, 2017 levels. So net-net, the bank’s financial performance is ‘slowly’ coming back on track.
Analysts turn cautious
The company is expected to announce its March 2018 quarter results on May 7. Given the concerns surrounding lending to Videocon and future outlook on NPAs, analysts expect the stock, which is off 21 per cent from the 52-week or all-time high level hit on January 29, to remain under pressure. Sharekhan revised its rating on the stock to ‘Hold’ given the uncertainties.
Fitch Ratings has highlighted concerns, such as the question over the bank’s governance and reputational risks. “There is a potential risk of financial penalties, as well as legal action, if the investigation comes up with findings against the bank,” it said. However it has negated its own view by adding that the bank has relatively strong capitalisation and profitability. “Losses on the loan in question would be unlikely to significantly undermine ICICI’s financial profile - in particular, its core capitalisation would remain strong even if the loan were completely written off,” it pointed out. However, Jeferries recommends to buy the stock, while IDFC Securities has rated it an outperformer."
198,2018-04-10,ICICI,"Kochhar under pressure to resign


Chanda Kochhar
   -  BusinessLine




Chanda Kochhar
   -  BusinessLine


 
Pressure seems to be mounting on ICICI Bank MD and CEO Chanda Kochhar to step down. While the bank’s board has previously come out in support of Kochhar, the issue could be taken up at its next meeting.
Institutional investors are already understood to be raising concerns over the alleged irregularities in the bank’s ₹3,250-crore loan to the Videocon Group in 2012.
On Monday, the private sector lender continued to face the heat as global rating agency Fitch said allegations over the loan to Videocon raise questions of corporate governance and pose reputational risks for the bank.
“Fitch will closely monitor developments, and would take appropriate rating action if risks to the bank’s reputation and financial profile were to rise considerably,” it said in a statement.
“That said, the bank’s rating is underpinned by relatively strong capitalisation and profitability,” it added.
The Finance Ministry is understood to be keeping close tabs on the issue but has decided to take a hands-off approach for now. “Investigative agencies are already probing the allegations. The government is being fully apprised of the matter on a daily basis,” said a source, adding that if required, it would take a proactive role. The government nominee on the board of ICICI Bank is Lok Ranjan, Joint Secretary in the Department of Financial Services. LIC Chairman VK Sharma is also on the board.
Meanwhile, the CBI questioned Kochhar’s brother-in-law Rajiv Kochhar for the fifth straight day. “He was questioned on more details relating to the loan,” said a source, adding that he is likely to be summoned again on Tuesday.
The CBI is expected to widen its investigation and question more officials from NuPower Renewables, which was founded by Deepak Kochhar, husband of the ICICI Bank chief.
Also read p6"
197,2018-04-11,ICICI,"Why Chanda Kochhar must resign


All gloom Dark clouds over Kochhar’s career PTI
   -  PTI




All gloom Dark clouds over Kochhar’s career PTI
   -  PTI


Nemesis for many celebrities comes through their offspring. A prodigal son or daughter can often, through their actions, demolish the carefully earned reputation of a lifetime. Sometimes that happens through a spouse. As in the case of Chanda Kochhar, Managing Director and CEO, ICICI Bank, who is in the eye of a storm, over a conflict of interest issue. 
Her husband Deepak Kochhar and some family members had a joint venture with Venugopal Dhoot of the Videocon group. The allegation against her is that ICICI Bank provided loans to the Videocon group (later declared NPA) even as there seemed to be a ‘sweetheart’ deal by which the Videocon group through its various arms invested in the joint venture of her husband.
For the past decade that she has been at the helm of ICICI Bank and even in the decade preceding it, she hardly ever put a foot wrong. She was the banking sector’s first telegenic star and as a woman making it to the top, was always seen as a role model for those striving to climb the corporate ladder. 
She often topped various surveys of the most powerful women in business or among the most admired bankers in the country. Shoot any question at her — whether on the credit crisis, interest rates, NPA issues, policy paralysis, slowdown or pick-up — and she would always produce the perfect quote.
 There would be no hemming and hawing. It would always be precise, neutral and politically correct. It could be frustrating for those trying to read too much meaning into those statements, but you couldn’t quarrel with them. As a strategy to be on the right side of the powers that be and not let her views affect the organisation in any way, it was flawless.
A question of propriety?
Now, for the first time, she has her back to the wall. And her silence is as surprising as it is eloquent. Yes, the board of directors has come to her support. Their defence is on these lines — there was no conflict of interest as Videocon was not an investor in NuPower, the joint venture; that the credit committee had many independent directors; that the loan was part of a consortium; and that she made disclosures as required under various laws. 
The arguments are cleverly worded but this is an issue that was never only about legality. It was about ethics. Propriety demanded that she should have disclosed to the board her ‘interest’ in the Videocon loan on the grounds that her husband had a business dealing with the group. 
Second, the highest standards of corporate governance demand that she should have recused herself from the discussion at the board and voting on the deal. 
To merely say that the board committee sanctioning the loan was chaired by someone else or that the committee had many independent directors doesn’t let her off the hook. A proposal worth ₹3,250 crore doesn’t get passed at the board level in any bank without it being backed or pushed by top officials. 
What next?
There is no easy way of saying it — but the way out of this whole mess is for her to resign. Perhaps the Board may have to suggest it to her informally and provide her an honourable exit. Place on record her considerable contributions towards building the organisation. But accept her resignation — with of course the deepest regret. The current climate of public resentment as well as intolerance for grey zones with regard to bad loans may demand nothing less. 
The damage to her as well as the bank’s reputation is colossal. Her moral standing and ability to demand total integrity from her staff and her effectiveness as a leader stands weakened. And the damage goes beyond just affecting the morale of the bank staff. What about those who looked up to her as a role model and aspired to reach the top? Think of the setback to those who have been arguing for privatisation of public sector banks on the grounds that they are cesspools of corruption and inefficiency. 
If this can happen in India’s top private sector bank, then how can we accuse public sector banks of crony capitalism? It might be entirely presumptuous to say it, but her seat at the high tables of various government and industry forums, as a trusted and valued voice of advice to finance ministers and RBI Governors, will now be shaky.
Chanda Kochhar was given the The Woodrow Wilson Award for Corporate Citizenship last year — an award that is given to executives who demonstrate a commitment to the common good that goes beyond the bottom line. Perhaps she will have to demonstrate that commitment to common good once more by leaving the scene. It is time for a new leadership to take over at the ICICI Bank."
195,2018-04-11,ICICI,"Kochhar likely to continue as ICICI Bank chief for now


Chanda Kochhar, MD and CEO, ICICI Bank




Chanda Kochhar, MD and CEO, ICICI Bank


If the Finance Ministry has its way, Chanda Kochhar is likely to continue as the CEO and Managing Director of ICICI Bank for now as the Ministry is against any immediate change.
According to sources, the Finance Ministry is not keen to get involved in the issue or support the call for a replacement for Kochhar. The RBI, too, has remained silent on the issue.
“There is no pressing need for a new CEO as of now. It is felt that this would add to the instability at the bank,” said the source, indicating that a knee-jerk reaction would not help as the banking sector is already under a lot of stress. The government is represented on the ICICI Bank board by Lok Ranjan, Joint Secretary in the Department of Financial Services. VK Sharma, Chairman of state owned Life Insurance Corporation, is also on the Board of the Bank.
Another source indicated that the investigation is still on and it may be too early to talk about a replacement. “It is for the RBI to first examine the whole issue before a concrete decision can be taken,” he said.
Institutional investors have raised concerns over the recent turn of events and about Kochhar continuing in her position. There is also a talk of an interim CEO.
Though a meeting of the board of directors of the bank is not in the offing this month, it cannot be ruled out. “Depending on the situation, a meeting could be called in the next few weeks,” said the first source.
Kochhar has been under siege over allegations of a conflict of interest in a ₹3,250-crore loan extended by ICICI Bank to the Videocon Group in 2012.
Her brother-in-law Rajiv Kochhar, founder and CEO of Avista Advisory, has been questioned by the Central Bureau of Investigation while her husband Deepak Kochhar, who is the founder and CEO of NuPower Renewables, is also under the scanner."
