,Date,Company,Article
99,2018-01-09,IOC,"Why IOC sees no e-vehicles threat
The talk of complete phase out of fossil fuel powered vehicles by 2030 and the possible dominance of the roads by electric vehicles does not seem to have ruffled India’s biggest oil refiner, Indian Oil Corporation, which says it will continue to make business-as-usual plans for its future.
“Give me one reason why you will buy electric vehicles,” said IOC’s Director-Finance, A K Sharma, in a chat with a select group of journalists here recently. He observed that the Indian customer is a “value buyer” and would look carefully at the economics of the purchase, pointing out that even diesel cars were not preferred as they cost more.
Providing a quick, back-of-the-envelope calculation of the economics of electric vehicles, Sharma said that only a few “high-end customers and environment enthusiasts” will buy electric vehicles.
“Where is the market?” Sharma wondered.
Defending the $40-billion, 55-million-tonne mega refinery that is being put up in the Ratnagiri district of Maharashtra jointly by IOC and two other government-owned refiners, HPCL and BPCL, Sharma noted that the demand for petroleum products were going up by 4.5 per cent every year. This, he said, works out to 8-9 million tonnes additional demand every year, or about 50-60 million tonnes before the new refinery comes up — in about six-seven years. “Who will meet the demand?” posed Sharma, adding that if the country’s refiners went by what was being said about electric vehicles and did not invest in creating additional refining capacity, the country would face a shortage of petroleum products.




Nor was Sharma too worried about Railways’ plans for phasing out diesel locomotives in five years, (as was mentioned by the Railways Minister Piyush Goyal, last month in his address to the Federation of Indian Chambers of Commerce and Industry). Sharma observed that electrification of the Railways had been going on and any drop in diesel demand due to electrification had been offset by increase in railway traffic.




IOC (like other oil refining companies) is facing a rather unique situation with regard to the new ‘goods and service tax’ regime. About 60 per cent of its products, including petrol, diesel, natural gas and aviation fuel, is outside the purview of GST, but the rest is within the ambit of the new taxation system. As a result, IOC is “saddled with dual compliance”, Sharma said.
However, more than the burden of dual compliance, IOC’s problem is that it gets no input tax credit on the GST paid on the raw material it uses for those products that are outside the GST regime. It also gets no input tax credit for some capital equipment it buys.
Sharma said the loss of this input tax credit works out to ₹2,000 crore for the products and another ₹2,200 crore for the capital equipment. IOC has approached both the central and state governments, with a proposal that the company should be allowed to offset the input tax against excise duty and state value-added tax.




Sharma said that IOC’s board has cleared the ₹27,000-crore, 9 million tonne refinery to be set up at Nagapattinam.
The existing 500,000-tonne Cauvery Basin Refinery, which belongs to IOC’s subsidiary, CPCL, will be scrapped and the new refinery will be put up there. As such, IOC foresees no land acquisition or environmental clearance issues. “The refinery will come up very fast,” Sharma said.
IOC’s LNG terminal, coming up at Ennore, north of Chennai, is also on track to be commissioned in December 2018, Sharma said."
93,2018-01-09,IOC,"Crude prices gallop on: OMCs to be in focus
Shares of oil marketing companies (OMCs) such as Hindustan Petroleum Corp, Bharat Petroleum Corp and Indian Oil may come under pressure with crude oil prices zipping past the $66 mark at NYMEX, and $60 at ICE.
Though a stable rupee (against the greenback) is a comforting factor, further rise in crude oil prices could impact these companies heavily. However, ONGC and Reliance Industries could benefit as their refining margins would improve."
94,2018-01-09,IOC,"Local ship-owners face heat over new global rule on low- sulphur bunker


Higher cost Compliant fuel is expected to cost atleast 50 per cent more than the fuel oil that most ships currently burn




Higher cost Compliant fuel is expected to cost atleast 50 per cent more than the fuel oil that most ships currently burn


Local ship owners looking to grab charter contracts of more than five years from state-run oil firms are staring at the uncertainty and cost implications arising from a new global rule on using low sulphur content fuel oil.
Beginning January 1, 2020, ships must use fuel oil on board with a sulphur content of not more than 0.5 per cent m/m (mass/mass), a steep cut from the current global sulphur cap of 3.5 per cent m/m. Ships can meet the requirement by using low-sulphur compliant fuel oil or continue to use high sulphur fuel oil by fitting exhaust gas cleaning systems or scrubbers.
Local oil refiners have said it is not possible to produce low sulphur fuel oil by January 1, 2020.
Indian Oil Corporation Ltd (IOCL) and Bharat Petroleum Corporation Ltd (BPCL), are looking to hire a very large crude carrier (VLCC) and a Suezmax carrier, respectively, for as much as seven years from local fleet owners in the first such long-term cargo support policy to be tried out in India.
Ships hired for the contracts will have to comply with the low sulphur regulations mandated by the International Maritime Organization (IMO) from 2020 and “any modification/retrofitting required on the vessel to be carried out by vessel owner at their cost and time”, according to the tender issued by the state-run refiners.
Fitting scrubbers costs anywhere between $3 million and $8 million depending on the size of the ship is an additional cost to the owner, said a shipping industry consultant.
The new IMO rule on low sulphur cap poses significant challenges to oil refiners and on the economics of shipping — compliant fuel is expected to cost between 50 and 100 per cent more than the fuel oil that most ships currently burn.
In time charter contracts such as those of IOCL and BPCL, the charterer has to pay/reimburse voyage-related costs such as bunker and port charges to the ship owner. The tender stipulates that IOCL and BPCL will only reimburse the cost of intermediate fuel oil (IFO) 380 centistokes (CST) having a sulphur content of 3.5 per cent m/m.
“Either the ship owners will have to put scrubbers to continue using high sulphur content fuel oil or use fuel oil of 0.5 per cent m/m sulphur content which costs as much as $200 per tonne more than the 380 CST used by ships currently,” the shipping industry consultant said.




Bunker costs account for as much as 45 per cent of the voyage/operating cost of a ship and any increase in fuel oil consumption per day would entail huge extra costs.
For a VLCC, 1-2 tonnes more of fuel oil consumption per day, makes a big difference. A VLCC typically burns about 70-75 tonnes of fuel oil a day. Fuel oil of 3.5m/m sulphur content is available in India and currently costs about $350-400 a tonne. Extra consumption of 2 tonnes per day means additional cost of about $700-800 per day.
But, low sulphur fuel oil — it will not be available in India by 2020 — costs about $550-600 a tonne. If the VLCC consumes 2 tonnes more per day, the extra costs would be about $1,100-1,200 per day.
Further, the owners will have to spend more on operating costs, mainly port charges, to lift bunker from foreign ports as low sulphur fuel oil will not be available in India.
Both, IOCL and BPCL, would feel the impact of such extra costs because it would have to reimburse the port costs to the ship owner. Besides, with IOCL and BPCL permitting ships to use high sulphur fuel oil after fitting scrubbers, there is no incentive for local oil refiners to adopt the technology to produce low sulphur content bunker, the industry official said.
IOCL and BPCL would have benefitted from producing low sulphur fuel oil because they can supply it at cost price and not market price to the time charter contracts as it is for internal consumption."
98,2018-01-09,IOC,"IOC, BPCL set rates for VLCC, Suezmax tanker


Size is everything In the last five years, VLCC rates have touched $57,750 per day for a one-year charter and $45,000 per day for a three-year charter




Size is everything In the last five years, VLCC rates have touched $57,750 per day for a one-year charter and $45,000 per day for a three-year charter


Indian Oil Corporation Ltd (IOCL) and Bharat Petroleum Corporation Ltd (BPCL) will benchmark the rates for a very large crude carrier (VLCC) and a Suezmax tanker, respectively, they plan to hire from local fleet owners for five years to the Clarksons index that are also subject to a floor (minimum rate) and a cap (maximum rate).
IOCL has set a floor rate of $18,000 per day and a cap of $40,000 per day for hiring a 10-year old VLCC that can carry as much as 265,000 million tonnes of Basrah light crude for five years with an option to extend the contract for two years, according to the tender reviewed by BusinessLine.
BPCL has set a floor rate of $15,000 per day and a cap of $27,000 per day for hiring a ten-year-old Suezmax tanker that can carry as much as 130,000 mt of crude oil for five years that is extendable by two years, according to the tender issued by BPCL.




The charter hire under the contracts will be linked to one-year time charter rates for 310,000 and 150,000 dead weight tonnes (dwt) vessels indicated in Clarksons Research’s Shipping Intelligence Weekly publication. This weekly market rate shall be averaged out considering all weekly publications during the preceding year from January 1 to Decmeber 31 to arrive at the base charter hire rate for the next year.
The fleet owners quoting the maximum discount or lowest premium in percentage on the base charter hire rate so determined will win the deal. The discount / premium agreed by ship owners shall be valid for the entire duration of contract including optional period. However, the base charter hire rate shall be reset every year based on immediate previous year’s average of one-year time charter rate indicated in Clarksons Research’s Shipping Intelligence Weekly publication.
For example, if the average of weekly market rates of one-year time charter published in Clarksons Research’s Shipping Intelligence Weekly publication during this yearthe year 2017 works out to $18,601 per day and the agreed premium is 10 per cent, the charter-hire payable to owners during 2018 shall be 18,601 + 10% = $20,461 per day. Assuming it to be discount, the payable charter-hire during 2018 shall be 18,601-10% = $16,741 per day.
However, if the charter hire net of agreed discount / premium works out to be less than floor rate, the charter hire payable shall be the floor rate. But, if the charter hire net of discount / premium works out to more than the cap rate, then the payable charter hire shall be the cap rate.
Such floor and cap rate will be valid for the entire contract period including optional period.
“It’s is a very aggressive floor and cap set by the state-run oil refiners,” says Pawan Gupta, an independent shipping consultant. “We had suggested a floor rate of $18,000 per day and a cap of $36,000 per day for the VLCC. IOCL made it $18,000 and $40,000. Actually, it is good for ship owners,” he said.
“It is not a win-win situation,” says another Mumbai-based shipping consultant. “It is not in favour of owners because if the market goes up, their ability to get a premium will be restricted to $40,000 for VLCC and $27,000 for Suezmax carriers”. Besides, for financing purposes, this model will be less attractive than a fixed rate. Banks will favour a fixed rate than the floor and cap rate because of the risks involved, he added.




The current market rate for hiring a VLCC for three years is $29,250 per day while the rate for a Suezmax carrier is $22,500 per day, according to Allied Shipping Research.
In the last five years, the VLCC rates had touched $ 57,750 per day for a one-year charter and $45,000 per day for a three-year charter.
In the case of Suezmax tankers, the rate had reached $42,500 per day for a one-year charter and $35,000 per day for a three-year charter."
96,2018-01-09,IOC,"Green tribunal dismisses plea against IOC’s LPG terminal at Puthuvypeen


A view of the LPG storage at Puthuvypeen. Indian Oil is stated to have suffered a loss of ₹1 crore per day on account of the delay caused




A view of the LPG storage at Puthuvypeen. Indian Oil is stated to have suffered a loss of ₹1 crore per day on account of the delay caused


The National Green Tribunal on Friday dismissed the application of the LPG Virudha Samara Samithi against Indian Oil Corporation’s LPG import terminal at Puthuvypeen near here.
In the application, the leaders of the Samara Samithi, wanted the tribunal to direct IOCL not to implement the project. However, the tribunal refused to countenance the demand.


No substance


The tribunal found no substance in the allegation that the project posed safety threats to the residents of the area.
It was also alleged in the application that the project site is closer to the High Tide Line than envisaged under the environmental clearance. Based on the submissions made before it, the Tribunal set aside these arguments as well.
The tribunal upheld Indian Oil’s contention that storage of LPG is a permitted activity at the seashore under the CRZ norms and hence the project does not in any way offend those norms. However, the tribunal has observed that the company may undertake sea protection measures to arrest erosion at the project site, a statement said.
With this, IOC has overcome all the legal hurdles to the project. Earlier, the tribunal had also dismissed the Samara Samithi’s appeal against the extension of environmental clearance to the project.
Samara Samithi preferred an appeal before the apex court against this. The Supreme Court, however, dismissed the appeal even without admitting the same.


‘Substantial loss’


Though there was no stay against developing the project, the Samara Samithi had been obstructing the development of the project for more than 10 months now. Indian Oil is stated to have suffered a loss of ₹1 crore per day on account of the delay.
The project was conceived to meet the increasing demand for LPG in the country. For now, the oil major is transporting LPG by road in bulk LPG carrier trucks from a similar facility at Mangaluru."
95,2018-01-09,IOC,"IOC, BPCL keen to acquire GAIL
Indian Oil Corp (IOC) and Bharat Petroleum Corp Ltd (BPCL) are both keen to acquire gas utility GAIL India Ltd to become fully integrated energy companies.
IOC and BPCL have separately indicated to the petroleum ministry their interest in taking over GAIL to help add natural gas transportation and marketing business to their kitty, official sources said.
GAIL, on the other hand, feels a merger with oil and gas producer ONGC would be more appropriate.
The merger options were indicated following Finance Minister Arun Jaitley’s announcement in the 2017-18 Budget speech on the government’s plan to create integrated public sector oil majors that will be “able to match the performance of international and domestic private sector oil and gas companies“.
ONGC, India’s largest oil and gas producer, proposed to acquire oil refiner and fuel marketing company HPCL, which was approved by the Cabinet. Oil and Natural Gas Corp (ONGC) is currently in the process of acquiring the government’s 51.11 per cent stake in HPCL, which at current prices is worth over Rs 33,000 crore.
Sources said IOC and BPCL gave separate options for the integration.
The government’s 54.89 per cent stake in GAIL is currently worth about Rs 46,700 crore.
Integration options suggested by other companies would be taken up only after ONGC-HPCL merger is complete, they said.
IOC, the largest oil refiner and fuel marketing company in the country, wanted to either acquire another refiner to add to its capacity or a gas company like GAIL.
The firm feels it already has a fledging gas business in under-construction LNG terminals, city gas distribution projects and gas marketing. GAIL, the nation’s biggest gas transporter and marketing company, would complement that, it felt.
BPCL on the other hand too has natural gas ambitions and wrote to the oil ministry saying GAIL was its number one choice for acquisition. It listed Oil India Ltd (OIL), the nation’s second largest exploration firm, as its number two choice."
97,2018-01-09,IOC,"Oil marketing cos fall as Brent crude hits over 2-year high


Shares of Hindustan Petroleum Corp Ltd, Bharat Petroleum Corp Ltd and Indian Oil Corporation Ltd fell as much as 2.10-2.90 per cent.




Shares of Hindustan Petroleum Corp Ltd, Bharat Petroleum Corp Ltd and Indian Oil Corporation Ltd fell as much as 2.10-2.90 per cent.


Shares of oil marketing companies fell as Brent crude hit over 2-year high. Hindustan Petroleum Corp Ltd, Bharat Petroleum Corp Ltd and Indian Oil Corporation Ltd fell as much as 2.10-2.90 per cent.


Brent crude oil prices jumped above $65 per barrel for first time since June 2015 after a shutdown of Forties North Sea pipeline knocked out significant supply.
Brent crude futures, the international benchmark for oil prices, were at $65.07 a barrel at 0211 GMT, up 37 cents, or 0.6 per cent from their last close. It was the first time Brent rose above $65 since June 2015.
Shares of Hindustan Petroleum posted biggest intraday percentage fall since November 10. Indian Oil Corporation has gained 24.4 per cent this year as of Monday's close."
92,2018-01-18,IOC,"IndianOil in tie-ups with Israeli firms
Indian Oil Corporation has signed letters of intent (LoI) with Phinergy, an Israeli start-up, and YEDA, a technology spin-off from Israel’s Weizmann Research Institute.
A company statement said the agreement with Phinergy allows IndianOil to work on adoption of advanced energy systems for the domestic market for both mobility and stationary industrial applications. This association could lead to the setting up of manufacturing units for these energy systems, initially in India.
The LoI signed with YEDA will allow research collaboration between both the organisations for developing solar to green fuel technologies through concentrated solar thermal route."
91,2018-01-23,IOC,"ONGC gets govt nod to sell stake in IOC, GAIL to fund HPCL buy
State-owned Oil and Natural Gas Corp (ONGC) has got approval from the government for selling its stake in IOC and GAIL to help fund the ₹36,915 crore acquisition of HPCL.
ONGC holds 13.77 per cent stake in nation’s biggest refiner Indian Oil Corp (IOC), which at today’s trading price is worth over ₹26,200 crore. It also holds 4.86 per cent stake in gas utility GAIL India Ltd, which is worth over ₹3,847 crore.
Top sources with direct knowledge of the issue said the government gave ONGC nod to sell its shareholding in IOC and GAIL earlier this month but the company is waiting for the right price to offload the shares.
For the moment, ONGC is funding the ₹36,915-crore acquisition of government’s 51.11 per cent stake in oil refining and marketing firm Hindustan Petroleum Corp Ltd (HPCL) from the about ₹12,000 crore cash it has and short-term borrowing.
Sources said ONGC is a zero-debt company and wants to retain that status. The short-term loan it is availing have provision to pre-pay without any penalty.
It plans to pre-pay the one-year tenure loan it is taking for HPCL buy by selling IOC and GAIL shares in due course, they said.
Sources said ONGC had held talks with Life Insurance Corp of India (LIC) for selling IOC and GAIL shares but the state-owned insurer insisted on buying them at 10 per cent discount to the prevailing price.
So, ONGC has decided to offload the shares in open market.


Integrated oil company


ONGC acquiring HPCL would create India’s first integrated oil company. This would be ONGC’s biggest acquisition and second buyout this fiscal after its ₹ 7,738 crore acquisition of 80 per cent stake in Gujarat State Petroleum Corp’s KG basin gas block.
ONGC Chairman and Managing Director Shashi Shanker had on Sunday stated that the company’s board has approved raising of the borrowing limit from ₹ 25,000 crore to ₹ 35,000 crore.
This will be the company’s first ever debt.
“We will use our (₹ 12,000-13,000 crore) cash first and then the liquid assets and debt will be last,” Shanker had said.
“This order can change, because we won’t sell the liquid assets in distress. Also, we have offers for over ₹50,000 crore debt at very competitive rates, both foreign currency and local.”
Shanker had said the company paid less than the acquisition price recommended by the company’s valuation adviser, EY.
He, however, refused to share details.


HPCL share valuation


The ₹473.97 per share ONGC is paying to the government is 14 per cent higher than Friday’s closing price of HPCL and over 10 per cent of the 60-day weighted average of the HPCL scrip.
Sources said while the government was seeking as much as ₹69,000 crore for selling controlling stake in HPCL, EY had put HPCL’s valuation at ₹475 a share plus a premium for getting the controlling stake. The outside advice the company took from Citi put the price at ₹500 per share.
The stake sale will help the government cross its sell-off target for the first time and would help stick to the fiscal deficit target of 3.2 per cent of GDP.
The government had set a target of ₹72,500 crore from disinvestment proceeds this fiscal. Before the ONGC-HPCL deal, it had collected ₹54,337.60 crore.
HPCL will add 23.8 million tonnes of annual oil refining capacity to ONGC’s portfolio, making it the third-largest refiner in the country after IOC and Reliance Industries.
ONGC already is majority owner of MRPL, which has a 15-million tonne refinery."
90,2018-01-24,IOC,"SCI, Great Eastern, Essar Shipping bid for IOC and BPCL’s long-term tanker charter
Despite scepticism on the terms of the tender, ship owners such as Shipping Corporation of India Ltd, Great Eastern Shipping Co Ltd and Essar Shipping Ltd have applied on separate tenders issued by Indian Oil Corporation Ltd (IOC) and Bharat Petroleum Corporation Ltd (BPCL) to hire an oil super tanker and a Suezmax tanker, respectively, for five years each.
The tenders for the first long-term cargo support contracts to be tried out in India at the behest of the Central government, closed on January 22. The five-year contracts are designed to help shipowners raise funds at low rates to expand fleet.
The tenders incorporate a so-called right of first refusal to Indian shipowners — if Indian fleet owners are not the lowest bidders to haul the cargo, they are offered an opportunity to match the lowest rate quoted by a foreign ship-owner and take the contract.
IOC and BPCL will benchmark the rates for a very large crude carrier (VLCC) and a Suezmax tanker, respectively, they plan to hire to the Clarksons index which are also subject to a floor (minimum rate) and a cap (maximum rate).
IOC has set a floor rate of $18,000 a day and a cap of $40,000 a day for hiring a 10-year old VLCC that can carry as much as 265,000 million tonnes (MT) of Basrah light crude for five years with an option to extend the contract for two years, according to the tender reviewed by BusinessLine.
BPCL has set a floor rate of $15,000 per day and a cap of $27,000 per day for hiring a 10-year old Suezmax tanker that can carry as much as 130,000 mt of crude oil for five years which is extendable by two years, according to the tender issued by BPCL.
The charter hire under the contracts will be linked to one-year time charter rates for 310,000 and 150,000 dead weight tonnes (dwt) vessels indicated in Clarksons Research’s Shipping Intelligence Weekly publication. This weekly market rate shall be averaged out considering all weekly publications during the preceding year from January 1 to December 31 to arrive at the base charter hire rate for the next year.
The fleet owners quoting the maximum discount or lowest premium in percentage on the base charter hire rate so determined will win the deal.
The discount / premium agreed by ship owners shall be valid for the entire duration of contract, including optional period. However, the base charter hire rate shall be reset every year based on immediate previous year’s average of one-year time charter rate indicated in Clarksons Research’s Shipping Intelligence Weekly publication.
Besides, the state-run oil refiners have set a 10-year age limit for qualifying ships because by the time the five-year contract ends, the ships will be 15-years-old, reaching the threshold prescribed by most of the crude oil loading terminals globally, particularly for VLCCs.
To be sure, fleet owners who don’t have the requisite ships while submitting offers are allowed by IOC and BPCL to participate in the tender by showing relevant proof of acquisition of such ships, which should be converted into Indian flag within six months of winning the contract.
“The returns matrix will not work out for this type of floating rate contracts,” said an executive with an Indian shipping company that has rented ships to oil refiners. “It is not a financially viable proposal for anybody including the banks,” he said."
