,Date,Company,Article
67,2018-01-08,IndusInd,"IndusInd Bank, BFIL merger: Not a sweet deal for IndusInd shareholders


For Investment World : IndusInd Bank.Photo : Bijoy Ghosh




sks-microfinance




For Investment World : IndusInd Bank.Photo : Bijoy Ghosh




sks-microfinance


The board of IndusInd Bank and Bharat Financial Inclusion (erstwhile SKS Microfinance), approved the merger of the two entities, in an all-stock transaction. Shareholders of Bharat Financial Inclusion (BFIL) will get 639 shares in IndusInd Bank for every 1000 shares held. The share swap ratio implies 11-12 per cent premium to the BFIL’s current price and a multiple of over 6 times its book value as of June 2017 quarter. Kotak Mahindra Bank and IDFC Bank acquired microfinance businesses at 1.9-2.0 times trailing book to value. This makes IndusInd’s acquisition of BFIL an expensive one, leaving very little upside in the near term for IndusInd shareholders; BFIL shareholders, though have been handed a sweet deal.
But expensive acquisition aside, the success of the deal rides on the potential earnings synergies, which we believe is riddled with long term challenges and risks. While IndusInd would benefit from BFIL’s dominant market position and higher yielding loan book, it exposes itself to the vagaries in the MFI space; the underlying structural risks withiin the industry became pronounced post demonetisation.
Given that IndusInd Bank on a standalone basis itself, is trading at a steep valuation of 4.4 times one year forward book, upsides will be limited in the stock over the medium term.


Headwinds in MFI business


While BFIL is the largest MFI in terms of gross loan portfolio (Janalakshmi Financial Services which was the largest MFI, recently received final licence to set up a small finance bank), growth challenges that have emerged post-demonetisation within the MFI industry is a cause for worry. BFIL’s gross loan portfolio stood at ₹9,631 crore as of the June 2017 quarter, a growth of 14 per cent year-on-year. In the same quarter last year, BFIL had registered 76 per cent YoY growth.
Post demonetisation, cash crunch and rising defaults have impacted growth for MFIs. While the sector is slowly limping back to normalcy, it may not return back to high growth of 50 per cent levels anytime soon. Many of the MFIs that have transitioned to small finance banks have been trying to diversify away from MFI lending, given the risks within the portfolio.
BFIL recognises more than 8 weeks overdue loans as NPAs (against RBI’s 90-day norms). In the June quarter, GNPA stood at 6 per cent of loans. While the company has been conservative on provisioning and the management has stated that it has taken much of the hit in the June quarter itself, returning to pre-demonetisation levels of GNPAs looks unlikely.
Acquiring an MFI business, when the sector is facing headwinds could weigh on IndusInd Bank’s earnings.


Many ifs and buts in synergies


Microfinance forms about 2.5 per cent of IndusInd’s loans, which would inch up to about 7 per cent of loans, according to the management. The increase in IndusInd’s market share in microfinance should boost its overall growth. IndusInd’s decision to transfer BFIL’s employees and operations into a wholly owned subsidiary, making it a captive business correspondent, is also a positive. BFIL has a cost to income ratio of around 52 per cent (as of June 2017), higher than that of IndusInd’s at 45-odd per cent. Hence keeping physical assets in a separate entity, makes sense. Lower risk-weights for MFI portfolio in IndusInd (75 per cent) as against BFIL’s 100 per cent, should also free up some capital.
But earnings synergies could be long-drawn and weighed by structural risks.
Key benefits of the merger touted by market players are improvement in yields, margins and hence return ratios. BFIL’s gross yield as on June 2017 stood at 19.7 per cent as against IndusInd’s 11.5 per cent (11.2 per cent as of September 2017). Hence there would be an improvement in yields post-merger. There could also be a fall in cost of funds (by 3 per cent as indicated by the management).
But the cost to comply with cash reserve (CRR) and statutory liquidity (SLR) requirements, could eat away some of the margin gains. BFIL’s weaker asset quality would also increase the cost of provisioning.
One of the biggest arguments in favour of the merger, has been the leveraging of BFIL’s large customer base for deposits. But mobilising deposits from existing MFI customers will be a tall task, given the weak savings pattern within this segment. Other MFI players transitioning into small finance bank such as Bandhan etc. have faced similar challenges. Incremental cost savings could accrue if IndusInd, is able to raise lower cost bulk deposits to replace BFIL’s current borrowings, which would be long-drawn.
Also, IndusInd has been growing its loan book by 25-30 per cent over the last couple of quarters. Funding BFIL’s loan book through its existing customer deposit base would be difficult."
59,2018-01-08,IndusInd,"Paytm Payments Bank, IndusInd tie up for FD facility
Paytm Payments Bank today said it has partnered Induslnd Bank to introduce a facility to create a fixed deposit when the customer balance exceeds Rs 1 lakh at the end of day.
Paytm Payments Bank customers can redeem their deposits instantly, anytime without paying any pre-closure or miscellaneous charges and can earn up to 6.85 per cent annual interest, the company said in a statement. Additionally, if a customer becomes a senior citizen before the maturity period, the account will be auto renewed under the senior citizen scheme, thus earning higher interest, it added.
“Majority of Indians prefer safer investment options that offer them higher earning potential. Our offering will add the much-needed convenience of zero paperwork, instant redemption and no charges to one of India’s most preferred investment methods,” Paytm Payments Bank MD and CEO Renu Satti said."
60,2018-01-08,IndusInd,"IndusInd Bank concludes $500 million syndicated term loan facility
IndusInd Bank on Monday said it has concluded a $500-million three-year syndicated term loan facility from a group of overseas lenders. The private sector lender said the proceeds of the loan will be used for general banking purposes.
""This funding along with the funds raised during this financial year from multilateral institutions -- Asian Development Bank and Overseas Private Investment Corporation -- will help the bank in expanding its lending to clients,"" said IndusInd Bank in a stock exchange notice."
66,2018-01-08,IndusInd,"BFIL merger with IndusInd: A testimony to rural banking’s potential
IndusInd Bank’s takeover of Bharat Financial Inclusion Ltd (BFIL) is indicative of the potential in rural banking and of microfinance, which now appears to have become a viable model for financial inclusion.
The merged entity will have over 3,600 branches and outlets and a customer base of 16.3 million. IndusInd Bank will have an increased outreach of 1,400 MFI outlets and 6.8 million borrowers, as per available data. The net worth of the merged entity will be ₹23,921 crore while total assets will stand at ₹2 lakh crore. IndusInd Bank (IBL) has a comfortable Capital to Risk Weighted Assets Ratio (CRAR) of 16.18 per cent, and the corresponding figure for BIFL is 31.8 per cent.
IBL is now likely to focus on rural banking as it transfers BFIL’s employees and operations into a wholly-owned captive Business Correspondent subsidiary.
For BFIL, which, in its earlier avatar as SKS Microfinance Ltd, lost out on a chance to become a small finance bank — the RBI had denied it a licence in 2015 — the merger with IBL has proved a ‘short-cut’. BFIL’s clients will now have access to all the benefits of a ‘universal bank’, said MR Rao, its Managing Director and CEO.
The cost of funds has been coming down for BFIL in the recent past, allowing the micro lender to charge the lowest interest rates among NBFC-MFIs. As part of IndusInd Bank, it can now look forward to lower cost of funds.


A new journey begins


For BFIL, the deal marks the end of a roller-coaster ride, if one takes into consideration its journey to fame and prominence as the country’s first MFI to go public. Before it morphed into an microfinance institution, SKS was an NGO founded by Vikram Akula, who later became a poster boy for the MFI sector.
But soon, crisis enveloped SKS and other MFIs due to allegations of harassment of clients by recovery agents in Andhra Pradesh, and the high rates of interest charged. The AP Regulation of Money Lending Act 2010 and subsequent shrinking of the MFI sector contributed to SKS’ tumble.
Incidentally, Saturday was the seventh anniversary of the Andhra Pradesh MFI Act, which created mayhem in the sector but brought about much-needed protection of the poor borrowers into focus. The legislation helped weed out irregularities in the sector. The RBI, too, chipped in with a new regulatory regime. Both actions restored the credibility and viability of the MFI model.
But SKS survived all these, and staged a comeback by a slew of measures aimed at cost-optimsation, better corporate governance and self-regulation.
With the merger, the microfinance model is on the threshold of a new journey. With corporate lending under a cloud due to NPAs and micro-loans exhibiting a near-99 per cent repayment rate, others players will surely be watching."
64,2018-01-08,IndusInd,"IndusInd Bank launches m-wallet with MobiKwik
IndusInd Bank, in association with MobiKwik, today announced the launch of a co-branded wallet ‘IndusInd MobiKwik’ that allows its customers to pay at the MobiKwik merchant network using their accounts, with a ’Direct Debit Feature’
The direct debit feature will allow IndusInd Bank account holders to link their accounts just once and pay using the co-branded app as and when required, thereby eliminating the need to load the MobiKwik prepaid wallet separately.
“The transaction is authorised with an additional factor of authentication, in line with mobile banking guidelines,” a release said.
Ritesh Raj Saxena, Head-Savings, Digital and Payments Business, IndusInd Bank, said the partnership with MobiKwik is to leverage the synergies in the payments business between banks and fintechs, to bring the customers the best of both worlds in a seamless fashion.
“The latest PPI guidelines of RBI reinforce the roadmap for wallet operators and partnerships with banks...,” he said.
As on September 30, private sector lender IndusInd Bank had 1,250 branches and 2,146 ATMs spread across 690 locations in the country.
Upasana Taku, co-founder, MobiKwik said this special wallet created by MobiKwik will enable 10 million IndusInd Bank customers to “easily perform digital payments by seamlessly transferring money from their bank accounts to the merchant, at the press of a button without loading money in their wallet“.
MobiKwik app is a leading mobile payment platform with a network of over 20,00,000 direct merchants and 65 million plus users."
65,2018-01-08,IndusInd,"Bharat Financial hits near 7-year high
Shares of Bharat Financial hit near 7-year high on merger with IndusInd Bank.
The stock rose as much as 3.8 per cent to its highest since November 1, 2010.
IndusInd Bank Ltd has agreed to an all-share deal to buy Bharat Financial for close to Rs 15,500 crore ($2.40 billion).
IndusInd Bank will give Bharat Financial's shareholders 639 of its shares for every 1,000 shares they own in the microfinance lender.
""We believe that the merger is clearly a sweet deal for Bharat Financial shareholders,'' say analysts at Motilal Oswal.
Morgan Stanley estimates that the deal will lead to increase in Bharat Financial's earnings by about 36 per cent for FY 2019 and 42 per cent for FY 2020.
Shares of IndusInd Bank were down 2.4 per cent. shares of Bharat Financial Inclusion has gained about 71 per cent this year up to Friday's close."
62,2018-01-09,IndusInd,"CCI clears IndusInd Bank-Bharat Financial merger; shares end lower


The Competition Commission of India has approved the merger of IndusInd Bank and Bharat Financial Inclusion.




The Competition Commission of India has approved the merger of IndusInd Bank and Bharat Financial Inclusion.


Shares of IndusInd Bank and Bharat Financial Inclusion were listless in Wednesday's trade despite the Competition Commission of India approving the scheme of amalgamation between the two.
IndusInd Bank stock ended down by 0.23 per cent at Rs 1,668.40, while Bharat Financial stock closed down 0.86 per cent at Rs 1,000.60.
According to a filing with the stock exchanges, the Competition Commission of India had yesterday approved the merger of IndusInd Bank and Bharat Financial Inclusion. The scheme remains subject to the receipt of approval from the RBI and regulatory approval, including approval of the stock exchanges, SEBI, the National Company Law Tribunal and respective shareholders.


In October, IndusInd Bank had announced the takeover of micro finance lender Bharat Financial Inclusion. Chairman of the bank, R. Seshasayee, had said the acquisition would help develop reach and would be a strong partnership. The two institutions had worked together for many years and were, therefore, comfortable with each other's people and culture, he said.
The board of directors of IndusInd Bank had in September entered into a ‘confidentiality, exclusivity, and standstill agreement’ with Bharat Financial Inclusion to evaluate a potential merger between the two companies.
IndusInd Bank, had in a notice to stock exchanges, said its management has been authorised to explore strategic opportunities for the expansion of its business and to assess the viability of strategic partnership, collaboration, or restructuring opportunities.
BFIL, formerly SKS Microfinance, had a customer base of 68 lakh and loan portfolio of Rs 7,709 crore as of June 30. However, the microfinance company suffered a loss of Rs 37 crore for the quarter to June against Rs 236 crore in the same period a year ago. For 2016-17, the company had recorded a profit of Rs 290 crore.


(With inputs from PTI)"
61,2018-01-09,IndusInd,"SLCM ties up with HDFC, IndusInd for collateral services
Warehouse service provider Sohan Lal Commodity Management (SLCM) has tied up with HDFC Bank and IndusInd Bank for collateral management services, which would further widen farmers’ choice for availing post-harvest loans.
Farmers, traders and millers who are availing the services of over 2,100 warehouses managed by SLCM would be able to get more efficient post-harvest credit from these two banks, which join a list of six banks that are working with the warehouse service provider, a release from the company said. SLCM already has similar partnerships with six other banks, including State Bank of India and ICICI Bank, and non-banking financial institution L&T Finance."
58,2018-01-09,IndusInd,"IndusInd Bank to roll out battery-powered payment cards
IndusInd Bank and Dynamics Inc on Tuesday announced plans to introduce the first battery-powered, interactive payment cards in the Indian market in 2018.
The new IndusInd Bank card from Pennsylvania-based Dynamics, which designs and manufactures intelligent, battery-powered payment cards, has multiple buttons that let the consumer use a single card to pay in multiple ways. “With the touch of a button, consumers can select credit points or monthly instalments as payment option.
“A different colour light will activate based on the selected payment option,” IndusInd Bank said in a statement.
The solution requires no changes to the payment infrastructure or merchant systems. Consumers can pay using points or via instalment method wherever MasterCard is accepted."
63,2018-01-09,IndusInd,"YES Bank, IndusInd Bank shares jump on Sensex inclusion
Shares of YES Bank and IndusInd Bank gained on Monday as both the private sector lenders will join the BSE stock exchange’s 30-member Sensex index, effective December 18.
Following a positive open, YES Bank shares jumped as much as 2.5 per cent to Rs 314 against the previous close of Rs 306.45. Similarly, IndusInd Bank opened at Rs 1,647 against the previous close of Rs 1,630.85, touched the day's high of Rs 1,658.50 and a low of Rs 1,630.
YES Bank stock ended higher by 2.2 per cent at Rs 313.20 on the BSE and IndusInd Bank stock closed up by 1.17 per cent at Rs 1,649.90.
Lupin Ltd and Cipla Ltd will make way for the two banks, according to a statement from Asia Index Pvt Ltd.
YES Bank has gained nearly a third so far this year, while IndusInd Bank has added more than 45 percent. Lupin has shed 44 per cent, while Cipla has gained about 4 per cent in 2017.
(With inputs from Reuters)"
