,Date,Company,Article
287,2018-01-08,Infosys,"Weekly Trading Guide: SBI, ITC, Infosys, Tata Steel, RIL

ITC seeks for a direction

ITC is stuck in a narrow range for the third consecutive week. The support at ₹260 and resistance at ₹267 are key levels to watch in the coming days. A breakout on either side of these two levels will decide the next leg of move for the stock and give a cue on the upcoming trend. If the stock sustains above ₹260 and breaks above ₹267 decisively, the downside pressure will ease. Such a break can take it higher to ₹272 and will also give an early indication that the downtrend that has been in place since July 2017 could be ending. A decisive break and close above ₹272 will confirm the trend reversal and can target ₹277 and ₹280 thereafter. But if ITC declines below ₹260, it can dip to test the significant support level of ₹257. A further fall below ₹257 will then increase the possibility of the stock extending its down-move towards ₹252. Traders can hold the long positions and accumulate on dips at ₹257. Retain the stop-loss at ₹254 for the target of ₹275. Revise the stop-loss higher to ₹265 as soon as the stock moves up to ₹270.

Infosys can dip ahead of results

After a strong rally for four consecutive weeks, Infosys fell sharply last week by 2.6 per cent. Support is at ₹1,010. A break below it will increase the likelihood of the stock extending its current down-move to ₹980 or ₹975 this week, well ahead of the third quarter results announcement on Friday. The outcome of the quarterly results will then determine the next trend for the stock. If Infosys manages to bounce from ₹980-₹975, an upmove to ₹1,010 will be possible. But a fall below ₹975 can drag the stock further lower to ₹950 levels. On the other hand, if the stock sustains above ₹1,010 this week, a bounce to ₹1,035 and ₹1,045 is possible again. In such a scenario, a range-bound move between ₹1,010 and ₹1,045 can be seen for some time. A strong break and a decisive weekly close above ₹1,045 is now needed for the stock to gain fresh momentum and rally further. The next target above ₹1,045 is ₹1,070. Investors can hold the long positions and can accumulate if the stock falls towards ₹980 in the coming days.

RIL is stuck in a narrow range

RIL has been stuck in a narrow range over the last couple of weeks. The immediate outlook is unclear. Support is at ₹908 and resistance is at ₹937. A breakout on either side of ₹908 or ₹937 will determine the next trend. Until then the stock can continue to trade sideways between ₹908 and ₹937. A strong break above ₹937 can ease the downside pressure. Such a break can take the stock higher to the crucial resistance level of ₹960. A strong break above ₹960 can boost the momentum and take the stock further higher to ₹1,000 levels thereafter. On the other hand, if RIL declines below ₹937 in the coming days, a fall to ₹895 or ₹890 is possible. A break below ₹890 will then increase the likelihood of the stock extending its down-move to ₹880 or ₹875. As being reiterated over the last few weeks, the region between ₹880 and ₹875 is a crucial support zone. A decisive break below ₹875 will increase the possibility of a double-top reversal pattern on the chart. In such a scenario, the possibility of the stock falling to ₹854 will increase.

Short-term view is bearish for SBI

SBI fell last week as expected to touch a low of ₹301.65. Though it managed to reverse higher from the week’s low, the bounce-back move lacks strength. The stock made a high of ₹311.8 on Friday and came off from there to close 1 per cent lower. The short-term outlook remains bearish. A cluster of resistances in the broad ₹310-₹320 region can cap the upside in the short term. An intermediate bounce to this resistance zone if seen can see fresh sellers coming into the market. A fall to ₹294 or ₹292 is likely in the coming days. A strong break below ₹292 will increase the likelihood of the stock extending its fall to ₹285. Traders who have taken short positions last week can hold them. Add more short positions at ₹314 if an intermediate bounce breaking above ₹310 is seen in the near term. Retain the stop-loss at ₹317 for the target of ₹294. Revise the stop-loss lower to ₹305 as soon as the stock moves down to ₹299. The outlook will turn positive only on a strong break above ₹320. But such a strong move looks less probable.

Uptrend is intact in Tata Steel

Tata Steel rose for the third consecutive week and was up over 5 per cent last week. The strong surge rally last week strengthens the overall uptrend. Support at ₹735 can limit the downside in the near term. Dips to this support may find fresh buyers coming into the market. The downside could be limited to the next significant support levels of ₹715 and ₹690 even if the stock declines, breaking below ₹735. But such a fall looks less likely. As such, the possibility of the stock sustaining above ₹735 is high . A rally to ₹800 is likely. A strong break above ₹800 will increase the likelihood of the up-move extending to ₹825 and ₹850 levels. An intermediate pull-back move from ₹850 levels to ₹800 or ₹750 cannot be ruled out. But the overall uptrend will continue to remain intact. Tata Steel is now all set to revisit ₹930 and ₹950 levels from a medium to long-term perspective. Investors can hold the long positions. Revise the stop-loss higher to ₹640. Consider booking partial profits around ₹900 levels."
288,2018-01-08,Infosys,"Seven of 10 most valued companies see Rs 26,971-cr drop in m-cap
The combined market valuation of seven of the 10 most valued companies dropped by Rs 26,970.7 crore last week. At the end of the trading week on Friday, Tata Consultancy Services (TCS), HDFC Bank, ITC, HUL, Maruti Suzuki India, SBI and Infosys were the ones to suffer losses in their market valuation, while Reliance Industries Ltd (RIL), HDFC and ONGC made gains.
Maruti’s market capitalisation (m-cap) plunged Rs 8,980.84 crore to Rs 2,84,983.84 crore. The m-cap of Infosys slumped Rs 5,940.34 crore to Rs 2,21,037.56 crore and that of HDFC Bank dipped Rs 3,393.06 crore to Rs 4,81,879.55 crore. TCS’s valuation slipped by Rs 3,053.29 crore to Rs 5,13,880.93 crore and that of SBI declined by Rs 2,848.57 crore to Rs 2,64,313.49 crore. The m-cap of Hindustan Unilever Ltd (HUL) fell by Rs 2,510.79 crore to Rs 2,93,611.52 crore and that of ITC went down by Rs 243.81 crore to Rs 3,20,487.11 crore.
On the other hand, ONGC added Rs 3,914.14 crore to reach Rs 2,53,713.06 crore in valuation. HDFC’s mcap jumped Rs 2,484.25 crore to Rs 2,75,736.30 crore and that of RIL advanced Rs 1,235.03 crore to Rs 5,84,582.37 crore.
In the ranking of top-10 firms, RIL stood at number one position, followed by TCS, HDFC Bank, ITC, HUL, Maruti, HDFC, SBI, ONGC and Infosys. During the first week of 2018, the Sensex notched up a rise of 97.02 points, or 0.28 per cent, while the broader Nifty gained 28.15 points, or 0.26 per cent."
289,2018-01-08,Infosys,"Infosys partners Belgium company Proximus
Software major Infosys today announced it has been selected by Belgium-based telecommunications major Proximus to implement a business transformation programme aimed at delivering superior digital customer experiences for its enterprise clients.
As part of this programme, Infosys has been entrusted with the joint overall responsibility and ownership of the Greenfield Excite programme, which includes simplifying and remodelling the company’s portfolio of products for the professional services market, the company said.
Infosys President and Head of Energy, Utilities, Telecommunications and Services, Rajesh Krishnamurthy, said through this programme, the company will be leveraging its core capabilities and expertise across its service offerings to help Proxmius simplify and digitise its processes, while streamlining its product offerings and driving efficiencies.
The multi-year programme will strengthen Proximus’ leadership in professional services market by replacing legacy IT systems, streamlining processes and deploying advanced tools for quoting, the Bengaluru-headquartered Infosys said.
It will also strengthen selling, ordering, billing, invoicing and more, the company said.
“We have embarked on the Excite business transformation programme that will further enhance and deliver new digital experiences for our enterprise clients,” Proximus Chief Enterprise Market Officer Bart Van Den Meersche said in a statement here.
“In the course of the next years, we want to manage all professional products through easy-to-use digital interfaces,” he added.
The programme also includes realigning business processes and organisation around it, and digitising business transactions, Infosys said. To achieve this, the programme will consolidate more than 40 legacy IT systems into six new robust platforms to enable better product lifecycle management, it said."
290,2018-01-08,Infosys,"Infosys CEO Salil Parekh to get a fixed salary of Rs 6.5 cr

File Photo of Infosys CEO Salil Parekh.
   -  BusinessLine


File Photo of Infosys CEO Salil Parekh.
   -  BusinessLine

Infosys CEO Salil Parekh will be paid a fixed salary of Rs 6.5 crores and would be eligible for variable pay of Rs 9.75 crores at the end of the 2018-2019 fiscal year, according to a top company executive. “
Infosys CEO Salil Parekh will be paid a fixed salary of Rs 6.5 crores. He would be eligible for variable pay of Rs 9.75 crores at the end of the fiscal year,” independent board member at Infosys Kiran Mazumdar Shaw told PTI here.
Former CEO Vishal Sikka earned USD 6.75 million in FY17 much to disliking of Infosys founder NR Narayana Murthy. Wipro CEO Abidali Neemuchwala is getting a bit over USD 2 million.
Shaw, who is part of the Nomination and Remuneration Committee (NRC), said Parekh will also receive Rs 3.25 crores in restricted stock units. “He will also get Rs 13 crores in annual performance equity grants,” she said. Parekh will also get a one-time equity grant of Rs 9.75 crores, Shaw said. The stock compensation will vest at different points over Parekh’s term. He has been appointed for a 5-year term.
Parekh’s employment contract also comes with a non- compete clause, Shaw said. Parekh’s contract also specifies the amount he will be paid should he fail to meet minimum performance targets, company said in a postal ballot, Shaw said.
The company said in a postal ballot that Parekh will not work with named competitors for six months from the day he leaves the company. He will also not work with or for a client to whom he has rendered service for the last 12 months, Infosys said."
291,2018-01-08,Infosys,"Salil Parekh to take charge as Infy CEO today
Salil Parekh, 53, will take over as the new CEO & MD of Infosys on Tuesday bringing to an end months of acrimony, wiff of scams and exit of the previous CEO and a few other directors on the company’s board.
Salil Parekh — who was a group executive board member with global consulting firm Capgemini — will formally join the $10-billion IT giant, Infosys on Tuesday. His appointment was announced by Infosys on December 2. Stakeholders including the shareholders will keenly watch the performance of Parekh whose main task will be to see that the company is able to shake off the controversies surrounding it and restore the confidence of its employees and investors.
Nandan Nilekani, Chairman of the Board in a statement last month, said that Parekh has a strong track record of executing business turnarounds and managing very successful acquisitions. “The board believes that he is the right person to lead Infosys at this transformative time in our industry.”
Kiran Mazumdar-Shaw, Chairperson of the Nomination & Remuneration Committee, said that Parekh was selected after a comprehensive global search effort and was the top choice from a pool of highly qualified candidates. The new CEO has a Master of Engineering degrees in Computer Science and Mechanical Engineering from Cornell University, and a Bachelor of Technology degree in Aeronautical Engineering from the Indian Institute of Technology, Bombay.
UB Pravin Rao will step down as the interim CEO and Managing Director effective January 2 and will continue as Chief Operating Officer and a whole-time Director of the company."
300,2018-01-09,Infosys,"SEBI issues show-cause notice to Infosys
Tech services giant Infosys has been issued a show-cause notice by SEBI seeking clarification on whether the company failed to follow proper process for related party transactions and disclosure norms under stock exchange listing agreement.
Sources close to the development told BusinessLine that it is following this show-cause notice that Infosys approached SEBI for a settlement under consent mechanism.
Infosys is under SEBI scanner for alleged lax in corporate governance practices and non-disclosure of key information to its shareholders. Among the aspects that SEBI is looking at includes sequence of events that led to the resignation of its former CEO Vishal Sikka followed by a major stock price crash on the back of huge built-up in derivative positions.
Non-disclosure of information with regard to severance pay to its former CFO Rajiv Bansal is also on the market regulator’s radar, the sources said.
Infosys agreed to pay ₹23.02 crore severance pay, salary and other benefits to Bansal in 2015 and while such an information was disclosed to the market regulator in US, it was not disclosed to exchanges in India. Around ₹5 crore was paid to Bansal but the rest was held back after objections were raised by Infosys co-promoter Nayarana Murthy.
Controversy first erupted after a whistle-blower letter to SEBI had highlighted that Bansal’s pay was ‘hush money’ being paid to him as he had reservations about Infosys acquisition of Panaya, an Israeli firm.
Murthy sought full details of the probe and wanted complete disclosure on the relationship between executives of Infosys and investors of Panaya. This issue first came up when an anonymous email was sent to SEBI and the US Securities and Exchange Commission alleging that the acquisition was overvalued and that there was a possibility of some Infosys executives benefiting from the deal. This year, Sikka resigned as Infosys CEO as the Panaya and Bansal controversy dragged.


The share price of Infosys crashed by 10 per cent in a single trading session in August this year just a day after Sikka resigned wiping out ₹22,500 crore in investor wealth. The shares fell another 5 per cent in the following session despite a buy back announcement. There were reports that a few foreign investors sold the shares ahead of Sikka’s resignation and also there was a built-up of huge short position in the counter. After Sikka’s resignation, SEBI chairman Ajay Tyagi had said that the regulator was tracking the price movement in Infosys shares closely.
“SEBI seems to have woken up a little late in the day to the happening in Infosys,” said Anil Singhvi, Chairman, Ican Investment Advisors. “The happenings at Infosys are an iconic case and delayed action has only hurt minority shareholders. Also, it is not understood as to why Infosys has a Brahminical treatment for regulators in the US and untouchable like treatment for shareholders in India when it comes to following disclosure norms.”
Infosys said it did not want to comment on email seeking its response to SEBI’s show casue notice.
In a filing to stock exchanges, Infosys last week said it has approached SEBI with an application to settle the issues under consent arising out of alleged disclosure lapses on the severance package paid to Bansal."
299,2018-01-09,Infosys,"Infosys to announce Q3 results on January 12

infosys_554352f


infosys_554352f

IT major Infosys has said a meeting of its board of directors will be held on January 11 and 12, 2018 to consider the audited consolidated financial results of the company and its subsidiaries for the quarter and nine months ending December 31, 2017. The financial results would be finally approved by the Board of Directors on January 12, 2018, Infosys, India’s second largest IT company, said in a BSE filing.
The company will close the trading window for the earnings release of the quarter ending December 31, 2017 in compliance with SEBI (Prohibition of Insider Trading) Regulations, 2015, it said. Accordingly, the trading window will be closed from December 16, 2017 and will re-open on January 15, 2018, the Bengaluru-based company added. However, the trading window restrictions shall not apply to shares tendered under the on-going buyback offer of the company, Infosys said.
The company will hold investor and analyst calls on January 12 to discuss the financial results for the quarter ending December 31, 2017, it added."
286,2018-01-09,Infosys,"Infosys signs APA with US IRS; to get $225-million tax reversal
Infosys has concluded an Advance Pricing Agreement (APA) deal with the US Internal Revenue Service.
In accordance with the APA, Infosys expects to reverse tax provisions of about $225 million made in previous years which are no longer required under International Financial Reporting Standards as well as Indian Accounting Standards.
Further, in line with the APA, the company expects to pay out approximately $233 million due to the difference between the taxes payable for prior periods as per the APA and the actual taxes paid for such periods, the company said.
The agreement covers financial years from 2011 to 2021, and the amount is expected to be paid over the next few quarters, said company executives. The reversal of the tax provisions of approximately $225 million will have a positive impact on the consolidated basic Earnings Per Share for the quarter ended December 31, 2017, by approximately $0.10.
Further, on account of the APA methodology, Infosys expects its overall effective tax rate to be lower by about 100 basis points or 1 per cent for future periods covered under the APA. MD Ranganath, CFO, said the APA provides greater predictability of the company’s taxes and minimises uncertainties.
Preliminary discussions with the IRS on the APA were initiated by Infosys in 2015, according to company executives. The APA will enhance the predictability of the company’s tax obligations in respect of its US operations."
295,2018-01-09,Infosys,"Infosys shares hit 52-week high
Shares of Infosys rose as much as 2.23 per cent to Rs 1,044.80, its highest since October 20, 2016. At about 2 pm, Infosys shares were trading 1.75 per cent or Rs 17.85 higher at Rs 1,039.90 on the NSE. The stock broke above a resistance at Rs 1,020, the 38.2 per cent Fibonacci retracement level of the downtrend from June 3, 2016 high of Rs 1,279.3 to August 22, 2017 low of Rs 860.
A golden cross happened last week on the chart when the stock's 50-day exponential moving average (EMA) crossed above its 200-day EMA, a bullish sign from a longer-term perspective. Some analysts have turned bullish on the stock in the last one month, with 'strong buy' recommendations rising by two to 11 and buy ratings by one to 11. The stock has 17 hold recommendations, seven sell and one strong sell.
Infosys has underperformed the sector so far this year; the stock is up 1.13 per cent for the year as of Thursday's close, against a 9.38 per cent gain on the Nifty IT Index."
294,2018-01-09,Infosys,"Infosys completes Rs 13,000 cr buyback
IT services major Infosys today said it has completed its Rs 13,000 crore buyback programme that saw participation from Sudha Gopalakrishnan, Rohan Murty and LIC among others. The buyback scheme - a first in the company’s over three decade history - commenced on November 30 and closed on December 14.
“(A total of) 11,30,43,478 equity shares were bought back under the Buyback at a price of Rs 1,150 per equity share. The total amount utilised in the Buyback is Rs 13,000 crore excluding transaction costs...” Infosys said in a regulatory filing.
The programme saw participation from Life Insurance Corporation of India, Singapore government, Sudha Gopalakrishnan (wife of co-founder S Gopalakrishnan) and Rohan Murty (son of co-founder NR Narayana Murthy’s son) among others.
The filing showed that of all the equity shares tendered in the buyback, 5.41 per cent were by LIC and 2.18 per cent by Singapore government. Similarly, 15 lakh shares of Sudha Gopalakrishnan and 13.92 lakh shares held by Murty were accepted under the buyback.
As of September this year, Sudha Gopalakrishnan held the largest share in individual capacity among promoters group members with 2.14 per cent shareholding. The founders and families — classified as promoters group — held 29.28 crore shares, or 12.75 per cent, in Infosys at the end of September 2017.
After the buyback, the promoter group now holds 12.90 per cent share, as per the filing. The buyback had been a long-standing demand by some of the founders and high-profile former executives, who have been pushing Infosys to return surplus capital to shareholders.
Share buybacks typically improve earnings per share and return surplus cash to shareholders, while supporting share price during period of sluggish market condition. Earlier this year, its larger rival Tata Consultancy Services completed a Rs 16,000-crore mega buyback offer. Other competitors like Cognizant, Wipro and Mindtree had also made similar announcements."
