,Date,Company,Article
49,2018-04-12,JSW,"JSW’s Vijayanagar steel plant faces heat as Mormugao terminal shuts operations
JSW Group-owned South West Port Ltd has stopped cargo handling operations at Mormugao Port Trust from April 1, after the Goa State Pollution Control Board (GSPCB) revoked consent to operate the facility citing non-compliance with approval terms.
The two multi-purpose berths run by South West Port from 2004 play a key role in bringing raw materials and shipping finished products for JSW’s 12 million tonne (mt) steel plant at Vijayanagar in neighbouring Karnataka.
South West Port has filed an application with the National Green Tribunal (NGT) requesting permission to re-start the facility for handling 5.48 mt of cargo, the maximum volume set by GSPCB while granting permission to operate initially. South West Port, according to GSPCB, has been handling cargo in excess of this limit, sometimes even double the cap, posing health hazards to people of Vasco town. The excess cargo handled can invite a penalty of ₹5,000 a day.
South West Port has refuted the charge that handling more than the GSPCB cap was raising pollution levels since most of the cargo is evacuated by rail wagons. “We run the facility in a safe and clean manner. We don’t use road at all for evacuating coal; we use only rail,” a JSW official said.
Since shutting Momugao operations, JSW has been shipping its cargo through Krishnapatnam port and New Mangalore Port Trust, entailing extra costs. “Despite hardships, we are meeting the requirements of the steel plant,” the JSW official said.
“The steel plant is yet to feel the impact of the terminal shut down. But production could be impacted if a solution is not found soon,” said a steel industry official. JSW said its “first priority” is to get the Mormugao cargo via some other ports/terminals. “In parallel, our mergers and acquisitions team is in full swing, exploring potential opportunities in South India. We will pick the best option based on landed costs. Steel is not a high margin business. Logistics cost is a big component, so we will be impacted if the price is high. It will reduce our export competitiveness,” the JSW official said.
Port experts say that JSW’s acquisition options in the South are limited given the high revenue share some of the available facilities pay government-owned ports and huge asset valuations.
South West Port shares 18 per cent of its annual revenue with the Mormugao Port Trust, while other similar facilities such as the one at Kamarajar Port near Chennai, the revenue share exceeds 50 per cent. This was the main reason that led JSW to call off talks to buy the coal terminal run by Chettinad Group at Kamarajar Port which shares 52.524 per cent of its annual revenue with the government-owned port company."
48,2018-04-12,JSW,"JSW-AION Capital team gets letter of intent for Monnet Ispat
The consortium led by Sajjan Jindal-promoted JSW Steel and AION Capital has received the letter of intent for acquiring the stressed asset of Monnet Ispat and Energy.
The committee of creditors (CoC) of Monnet Ispat and Energy, which is going through insolvency proceedings, had on Tuesday approved the resolution plan submitted by the consortium. Incidentally, the consortium was the only bidder for the bankrupt asset of Monnet Ispat.
The consortium was declared the successful resolution applicant by the Committee of Creditors of MIEL on April 10, and received a Letter of Intent dated April 12, said JSW Steel in a statement on Thursday.
“The consortium has accepted the terms of the LoI. The closure of the transaction shall be subject to obtaining necessary regulatory approvals, including from the National Company Law Tribunal and the Competition Commission of India,"" JSW Steel added.
Earlier, ArcelorMittal questioned the selection of JSW Steel-led consortium as the winning bid for Monnet Ispat. Taking a swipe at JSW Steel promoter Sajjan Jindal in a tweet said: “Interesting what decision is being taken on Monnet today given it’s clear JSW runs afoul of (Section) 29A (of IBC) as they are related to the existing promoter….who is making the mockery here?""
In response, JSW Steel tweeted to say the company has gone through the rigorous scrutiny. 
After the thorough examination of facts, JSW Steel is declared as qualified resolution applicant as per the Insolvency and Bankruptcy Code not only in Monnet but in other stressed accounts."
47,2018-04-12,JSW,"JSW dismisses ArcelorMittal’s allegations on eligibility 
The war of words between ArcelorMittal and JSW Steel intensified with the latter claiming that ArcelorMittal was questioning the wisdom of Resolution Professionals and the entire IBC under which JSW’s eligibility to bid for Monnet Ispat was confirmed. 
Reacting to ArcelorMittal tweet on Wednesday terming the selection of JSW Steel as winning bidder for Monnet Ispat as mockery, Seshagiri Rao, Joint Managing Director, JSW Steel, told BusinessLine that the company's eligibility has been tested and approved by the resolution professionals of two bankrupt companies Bhushan Steel and Monnet Ispat.
Whereas, he added, ArcelorMittal bid for Essar Steel has been rejected in the first round and is fighting a legal battle to prove its eligibility.
ArcelorMittal is trying to take out its frustration without getting its facts right and relying on some old data which has been clarified by JSW when the IBC was first made a law last year, he said.
A source close to ArcelorMittal said the main issue is about the need for consistency in how the IBC is applied. ArcelorMittal strongly believes that if JSW is eligible to bid for Monnet Ispat then ArcelorMittal should also be eligible to bid for Essar Steel,the source added.
Rao said JSW’s case is not similar to that of ArcelorMittal because neither has JSW Steel promoter invested in Monnet Ispat nor Monnet Ispat has any investment in JSW.
In the case of ArcelorMittal, Rao said its promoter has not only invested in bankrupt Uttam Galva but also signed agreement with banks as sponsor for Uttam Galva's loan. 
However, a judgment on ArcelorMittal eligibility is expected to be pronounced by NCLT on Monday, said Rao."
46,2018-04-15,JSW,"Essar battle: JSW says ArcelorMittal did not disclose facts on Uttam Galva
The battle to acquire Essar Steel is spiralling into a full blown war, with Sajjan Jindal-promoted JSW Steel accusing ArcelorMittal of suppressing facts related to the non-disposal agreement signed with lenders of Uttam Galva. 
Terming as illegal the move by ArcelorMittal, to transfer its shares in debt-laden Uttam Galva, Seshagiri Rao, Joint Managing Director, JSW Steel, told BusinessLine that the application for promoter declassification has a column seeking details on promoter's shares in encumbrance, pledge, lien, non-disposal undertakings. But ArcelorMittal had left this column blank when it sought to declassify itself as a promoter of Uttam Galva.
Being a promoter of Uttam Galva in 2011, he said ArcelorMittal had agreed not to sell its shares in Uttam Galva without the permission of a consortium of banks, led by SBI, that had provided a ₹1,400-crore loan to the latter.
“If ArcelorMittal had disclosed the agreement stock exchanges would have asked for a lenders' no objection certificate, which it would not have got without repaying the defaulted loan. The suppression of fact is not only a breach of trust, but also makes the share transfer illegal,” he said.
While SEBI norms permit transfer of shares within the promoters group, Rao said that this could have happened in this case had Uttam Galva not defaulted on its loan.
“ArcelorMittal is trying to take cover behind JSW Steel. It is drawing a parallel with JSW Steel's eligibility to bid for sick companies under the Insolvency and Bankruptcy Code by throwing out dissimilar facts,” he said.
ArcelorMittal denies
However, ArcelorMittal has denied the JSW Steel's allegation saying its disqualification in the first round of Essar Steel bidding was technical.
The company's spokesperson said: “The allegation made by JSW has nothing to do with the reason why the Resolution Professional deemed ArcelorMittal ineligible”.
“JSW is making that up. It was a pure technical reason as we had not yet been declassified (as promoter of Uttam Galva) then. Nothing else. Also, there is no breach (of law),” he added.
JSW Steel's fresh salvo against ArcelorMittal comes even as the Ahmedabad Bench of the National Company Law Tribunal is expected to deliver on Monday its ruling on the eligibility of both ArcelorMittal and Numetalfor Essar Steel bidding."
45,2018-04-23,JSW,"NCLT allows Liberty House bid for Bhushan Steel


Liberty House had moved the NCLT on February 26 against the rejection of its bid on account of late submission.
   -  REUTERS




Liberty House had moved the NCLT on February 26 against the rejection of its bid on account of late submission.
   -  REUTERS


 The National Company Law Tribunal (NCLT) today asked the lenders of Bhushan Power & Steel, led by PNB, to consider the bid submitted by UK-based Liberty House for the debt-ridden company. Allowing the plea of Liberty House, the tribunal has directed the committee of creditors (CoC) to complete its resolution proceedings by June 23.
A two-member NCLT bench, headed by President Justice M M Kumar, said that Liberty House bid cannot be disqualified only on the ground of being submitted after the deadline of the resolution professional. “We hope that CoC takes an appropriate commercial decision as per the Insolvency and Bankruptcy Code (IBC),” said NCLT.
The tribunal’s order came over a petition filed by Liberty House, challenging the rejection of its bid by the RP for Bhushan Power and Steel on account of late submission.
Liberty House had moved the NCLT on February 26 against the rejection.
The CoC had in February rejected Liberty House’s bid to acquire Bhushan Power and Steel, leaving Tata Steel and JSW Steel in the race for taking over the assets of the bankrupt firm. Liberty House had submitted before the NCLT that RP rejected its bid to acquire Bhushan Power and Steel without even opening the seal of its offer.
Bhushan Power and Steel owes about ₹45,000 crore to its lender."
44,2018-04-23,JSW,"JSW Steel wants lenders’ panel to invite fresh bids for Essar Steel 


Seshagiri Rao, Joint Managing Director, JSW Steel




Seshagiri Rao, Joint Managing Director, JSW Steel


Firing a fresh salvo, JSW Steel has written a letter to the Committee of Creditors on Monday to consider the option of calling fresh bids for Essar Steel as observed by the National Company Law Tribunal in its landmark judgment last Friday.
The Ahmedabad Bench of NCLT in its order had observed that resolution professional’s suggestion made to the CoC for inviting bids from all interested parties would have been a sound reasonable and legally transparent option keeping in view of amendment to Section 29 of the Insolvency and Bankruptcy Code when the resolution plan was considered.
While asking the CoC to reconsider the proposals, the Tribunal observed the CoC may relook the option of recalling fresh bids as discussed in its March 21 meeting and take appropriate decision looking to time constrain.
Responding to this suggestion, Seshagiri Rao, Joint Managing Director, JSW Steel, in a letter to the CoC, said the lenders would have done a world of difference then if they had called for bids from all the interested parties rather than restricting it to companies that had submitted expression of interest in the earlier stage.
More competition would not only result in extracting higher value for the stressed asset but also bring in the much-needed transparency in the entire process, said Rao in the letter.
The meeting of CoC to consider the NCLT order was postponed to Tuesday, said sources.
Last month, JSW Steel had written a similar letter to CoC seeking permission to bid for Essar Steel without asking for any additional data, but it was reject as lenders did not want to re-do the entire process for inviting bids right from issuing advertisements in the newspapers.
Having been rejected, JSW Steel joined the race for Essar Steel in the second round by tying-up with Russian VTB Bank-promoted Numetal India consortium, but the NCLT on Friday order CoC to consider the first round of bids and gave 30-days’ time for both ArcelorMittal and Numetal to cure deficiency and prove their eligibility for bidding.
While presence of Rewant Ruia, Essar Steel promoter Ravi Ruia’s son, in Numetal consortium kicked up a controversy, ArcelorMittal bid was rejected as it was not re-classified as non-promoter of Uttam Galva and KSS Petron, which had defaulted on their loan.
In order to become eligible, the Tribunal said the overdue amount to the lenders in both KSS Petron and Uttam Galva should be paid off by ArcelorMittal before being eligible to bid, as provided in Section 29A of IBC."
43,2018-04-27,JSW,"Consider our bid for Essar Steel, Vedanta tells Committee of Creditors


After JSW Steel, billionaire Anil Agarwal-owned Vedanta has said that its bids placed for Essar Steel should be considered before a final decision is taken.
In a letter written to the Committee of Creditors of Essar Steel, Vedanta has said it would be really unfair on CoC’s part to reject the superior bid submitted by the company after a lot of effort even without considering. JSW Steel had also asked the Essar Steel lenders to consider its bid. 
Vedanta had placed its bid in the second round after the CoC rejected the initial bids of Numetal Mauritius and ArcelorMittal. However, the National Company Law Tribunal ordered the CoC to reconsider the first bid placed by Numetal and ArcelorMittal after providing them 30-day time to cure their deficiencies.
The Tribunal also asked the CoC to scrap the bids received in the second round. 
Second round
Earlier, JSW Steel — which had tied-up with Numetal in the second round of bidding — had written to CoC asking them to call for a third round from all interested companies.
It also questioned the CoC’s decision to restrict the second round of bidding only to companies that have placed Expression of Interest at the start of bidding process.
Meanwhile, the lenders of Essar Steel met on Friday but did not take any final decision. Some bankers are understood to have taken a view to go by the NCLT’s order to review the bids submitted by Numetal and ArcelorMittal. This could dampen the chances of Vedanta and JSW Steel. However, other bankers on the CoC are still in favour of inviting fresh bids. 
NCLAT hearing
In another development, the National Company Law Appellate Tribunal (NCLAT) has agreed to hear on May 17 the petitions filed by Numetal Ltd and ArcelorMittal, challenging eligibility criteria. 
The NCLAT issued notices to a committee of Essar Steel creditors, the resolution professional running an auction of the company and the two bidders on the cross petitions. Russian VTB Bank-promoted consortium, Numetal Mauritius, had moved the NCLAT on Thursday claiming that ArcelorMittal should not be given 30-days time to cure its deficiency in order to be eligible for acquiring Essar Steel. 
Numetal alleged that Arcelor Mittal has placed bid for Essar Steel after the insolvency rules were amended to ban promoters with loan defaults from bidding for stressed assets."
42,2018-05-08,JSW,"‘Steel stocks not yet factoring in spread expansion’


About 23 of 32 analysts covering JSW Steel rate it “buy” or higher with a median price target of Rs 323.50.




About 23 of 32 analysts covering JSW Steel rate it “buy” or higher with a median price target of Rs 323.50.


 Indian steel stocks are not yet factoring in spread expansion, Macquarie says, adding that domestic steel prices will remain on an uptrend with further hikes in May 2018.
Deutsche Bank (DB) says Indian steel companies had raised domestic steel prices by $12-$15 per tonne in May 2018. It adds that rising domestic steel prices and declining raw material prices have resulted in Indian steel spreads increasing by 18 per cent over last three months.
Macquarie says stocks are not yet factoring in the spread expansion and upside risk in earnings. DB says rising spreads on the back of increasing demand will help domestic steel players achieve robust profitability and JSW Steel Ltd is its preferred pick in the sector.
Macquarie believes Tata Steel Ltd offers best risk reward, adding cost inflation impacts co the least. It adds with stronger prices and downtrending raw material prices, Q1 2019 margins could see another $20/tonne Q-o-Q expansion and drive the earnings upgrades.
Macquarie retains 'outperform' on Tata Steel and JSW steel; DB maintains 'buy' on JSW Steel. About 23 of 32 analysts covering JSW Steel rate it “buy” or higher with a median price target of Rs 323.50, while 25 of 30 analysts recommend 'buy' or higher rating for Tata Steel with a median price target of Rs 818.94, according to Thomson Reuters data.
Tata Steel has lost about 10 per cent this year up to Monday's close, while JSW Steel has gained about 21 per cent."
41,2018-05-15,JSW,"ITC, Hindalco, JSW Steel results on Wednesday
 
Over 60 companies including Aarti Drugs, Alembic Pharma, Axis Bank, AIA Engineering, Balkrishna Paper, Brigade Enterprises, Birla Corp, Career Point, DB Corp, Dishman Carbogen, Gateway Distriparks, Geojit, GSFC, Hindalco, ITC, JSW Steel, Jyothy Labs, Muthoot Finance, Nesco, NIIT, Punjab & Sind Bank, PTC India, Prataap Snacks, Teamlease, TVS Motor, Welspun India and Zee Media will declare their quarter/full-year results for FY18 on Wednesday."
40,2018-05-16,JSW,"JSW Steel Q4 net jumps 3-fold to ₹ 2,879 cr 
 Sajjan Jindal-led JSW Steel today reported about three-fold jump in its consolidated net profit to ₹ 2,879 crore for the fourth quarter ended March 31, 2018. The company had posted a consolidated net profit of ₹1,008 crore in the year-ago quarter.
 The consolidated total income of the company increased by 16 per cent to ₹ 20,862 crore during the quarter as against ₹ 17,973 crore in the corresponding quarter of the previous fiscal.
 Its total expenses increased to ₹ 17,275 crore during the fourth quarter compared to ₹ 16,578 crore in the year-ago period.
 The company said it “achieved its highest ever crude steel production for the quarter at 4.31 million tonnes , up 5 per cent year-on-year. The company also achieved highest ever quarterly sales volume of 4.22 million tonnes aided by robust domestic demand“.
JSW Steel is a leading integrated steel company in India with an installed steel-making capacity of 18 million tonne per annum (MTPA).
 The shares of the company closed at ₹ 336.65 a scrip on the BSE, up 0.87 per cent from the previous close."
