,Date,Company,Article
52,2018-01-09,Kotak,"Rs 15 cr bank deposits made post note ban declared benami
Cash deposits of Rs 15.93 crore made in a Delhi bank post demonetisation have been held as ’benami’ property by a special court even as the depositor and the beneficial owner of the stash are “untraceable“.
The deposits were declared ‘benami’ in the ruling in one of the first adjudication cases of the new anti-black money law.
The Prime Minister Narendra Modi-led government had brought into force the new Benami Transactions (Prohibition) Amendment Act, 2016, from November 1 last year, as part of its multi-pronged strategy to curb illicit wealth.
The case pertains to one Ramesh Chand Sharma, reportedly a resident of Gali Laltain in Naya Bazar area of old Delhi.
The Income Tax Department, as part of its drive against black funds post the note ban, had conducted a survey at the Kotak Mahindra Bank branch on K G Marg in December last year and found that Sharma, post demonetisation, deposited Rs 15,93,39,136 cash in old notes of Rs 500 and Rs 1,000 in the account of three firms, suspected to be fake.
The taxman found that immediately after the cash deposits were made, “demand drafts were issued to a group of non- descript individuals with a view to alienate the cash.”
The department froze these DDs and attached these funds calling them ‘benami’
The department subsequently sent the order for confirmation to the Adjudicating Authority of the Act, as per the legal provision of this stringent law.
The Authority, sometime back, confirmed the I-T order, making it one of the first five cases of adjudication under this new law in the country till now.
“The material gathered through the survey, search, consequent enquiry clearly leaves no room to doubt that the said amount aggregating to Rs 15.93 crore (approx) in accounts of...is a benami property. The said Ramesh Chand Sharma is the benamidar and the identity of the beneficial owner is not known,” an order by the division bench of the Authority, Mukesh Kumar (Chairperson) and Tushar V Shah (Member-Law), said.
The order, accessed by PTI, said Sharma too has been “untraceable” since the action was launched against him by the I-T Department.
It added that Sharma “consistently remained absent in the proceedings before the investigating officer and also before the Authority in spite of several services (summonses) in accordance with law.”
The tax department’s charge sheet filed in the case states field enquiries revealed that Sharma was “holding this benami property (cash deposits) as a benamidar for some persons who are the beneficial owners of the properties and whose identity is not traceable or is fictitious.”
The department also found that Sharma has once filed an Income Tax Return (ITR) declaring income of Rs 3 lakh for the assessment year 2006-07.
Sharma, as per the I-T charge sheet, never responded to its summonses and his address given in the KYC (know your customer) documents of the bank “resulted in the revelation that no such person ever resided” in the given location of old Delhi.
“Enquiry by the Inspector revealed that nothing was known about such person in the neighbourhood also,” it said.
“The only possible reason for giving a wrong address could be that there was a pre-planned intention on the part of the account holder (Sharma) to engage in such activities after which he did not want any trace of his to be left behind.
“Apparently, his account was utilised by persons who were either not traceable or fictitious to bring their own unaccounted money in the form of demonetisation currency notes back into the banking channel,” the I-T charge sheet, also called prosecution complaint, said.
It added that no one claimed the money even after the taxman attached it as it was black and the person(s) concerned “decided to remain quiet and forego the amount rather than to reveal themselves to the law.”
“It is apparent that Sharma, a man of meagre means could not have the resources to raise such a huge amount,” it said.
After PM Modi’s declaration of the note ban on November 8 last year, the I-T department had warned people against depositing their unaccounted banknotes in accounts maintained by someone else.
Such an act, it had said, would attract criminal charges under the Benami Act, applicable on both movable and immovable properties.
The I-T department is the nodal department to enforce the Benami Act in the country.
The tax department, in a data updated till last month, had said that assets worth Rs 1,833 crore have been attached by it under this stringent new law, for which it issued over 517 notices and made 541 attachments.
The law provides for a maximum punishment of seven years in jail and a fine."
51,2018-01-09,Kotak,"For Kotak Mahindra Bank, ‘811 a/c’ is a winner


Shanti Ekambaram, President, Kotak Mahindra Bank




Shanti Ekambaram, President, Kotak Mahindra Bank


There is nothing called an unearthly hour when it comes to opening a bank account. This seems to the experience of Kotak Mahindra Bank. Customers are opening online ‘811’ savings deposit accounts from the comfort of their homes even in the wee hours, says Shanti Ekambaram, the bank’s President (Consumer Banking).
She underscored that her bank is experiencing tailwind in the opening of new deposit accounts (across channels — online as well as offline), with the number of accounts added in the first two quarters of FY18 being almost three times the number added in the year-ago period.
In the first two quarters of the current financial year, the private sector bank added 2.5 million accounts. As at September-end 2017, its customer base increased to 10.5 million.
“Obviously, ‘811’ has helped us (expand the customer base). It has given the customer a tool to open a banking account anytime….
“There is a lot of activity (account opening) post 7 pm and right up to 4 am because you can just sit in the comfort of your home and open an account in about two-three minutes (on an average),” said Ekambaram.
Kotak Mahindra Bank (KMB) had launched the ‘811 account’ on March 29, 2017. It is a online savings account that can be opened by downloading the bank’s app and authenticating oneself with Aadhaar credentials via a one-time password.
The account offers a zero-balance savings account with zero-charges for all digital transactions, where customers can earn 5 per cent on savings account balance up to ₹1 lakh; 6 per cent on balances above ₹1 lakh and up to ₹1 crore.
“It (811) has given a great fillip to our (customer) acquisition strategy. And we are getting customers from all walks of life.
“Roughly about 50 per cent of the customers who have come through this (811) route are from the salaried category. The remaining are professionals (self-employed), retired people, housewives, students, etc,” explained Ekambaram.
After the introduction of 811, the bank’s savings account (SA) deposits as a percentage of total deposits improved to 32.28 per cent as at September-end 2017 from 26.36 per cent as at March-end 2017.
Ekambaram said once the amalgamation of ING Vysya Bank with KMB was completed around September last year, on the consumer side KMB doubled the number of branches, doubled the base of customers, and there was a great opportunity to cross-sell into the bank’s network.
Now, 55-60 per cent of the bank’s incremental business (loan) comes through the branch network and the balance via the direct marketing side. The top KMB official pointed out that incremental business from the branch network was around 40 per cent about two years ago."
50,2018-01-19,Kotak,"Kotak Mahindra Bank net up 20%
Kotak Mahindra Bank reported a 20 per cent year-on-year (y-o-y) increase in standalone third quarter net profit at ₹1,053 crore against ₹880 crore in the year-ago quarter.
Net interest income (difference between interest earned and interest expended) was up 17 per cent to ₹2,394 crore.
Other income (including fee and services and others) increased 14 per cent to ₹1,040 crore.
As on December-end 2017, total deposits increased 21 per cent y-o-y to ₹1,80,826 crore. The proportion of current account, savings account (CASA) deposits in total deposits showed good improvement, rising to 46.7 per cent from 42 per cent.
Total advances were up 23 per cent to ₹1,59,071 crore. The proportion of retail advances in total advances improved to 41 per cent (from 40 per cent in the year-ago quarter), with the balance being accounted for by corporate advances.
Net interest margin declined to 4.2 per cent from 4.5 per cent in the year-ago quarter.
Gross non-performing assets were a bit lower at 2.31 per cent of total advances against 2.42 per cent in the year-ago quarter.


Consolidated net up 28%


The private sector bank’s consolidated net profit rose 28 per cent y-o-y to ₹1,624 crore (₹1,267 crore in the year-ago period).
In addition to the bank, major subsidiaries which contributed to the consolidated bottomline are: Kotak Mahindra Prime (₹148 crore), Kotak Securities (₹154 crore), Kotak Mahindra Life Insurance (₹97 crore) and Kotak Mahindra Investments (₹50 crore).
Consolidated advances were up 24 per cent to ₹1,95,652 crore (₹1,57,801 crore as at December-end 2016)."
49,2018-02-20,Kotak,"Growth has been satisfactory across all products: Kotak Mahindra Life MD


G MURLIDHAR, MD & CEO, Kotak Mahindra Life Insurance Company




G MURLIDHAR, MD & CEO, Kotak Mahindra Life Insurance Company


It’s the busiest period of the year for life insurance companies as sales teams try to push their products. Historically, most of the sales of life policies are done during the last few weeks of the fiscal — partly for tax purposes and, of course, the pressure to achieve targets.
Like many other CEOs, G Murlidhar, MD and CEO of Kotak Mahindra Life Insurance Company, says to his team often, “Keep the faith and be at it.”
That, he says, is done to reiterate the message that the life insurance business is a marathon and not a sprint. His team certainly appears to have taken that to heart and delivered the numbers needed. Premium income for the current year is expected to cross ₹6,500 crore, a growth of nearly 27 per cent over the previous year.
Up to December 2017, individual new business premium grew 38 per cent while renewal premiums grew 27 per cent. The company, which is the seventh largest among the 25-player life insurance industry, has been consistently growing faster than the market during the past few years.
The growth for the company has been satisfactory across all products, Murlidhar said, adding that about 35 per cent of the premium comes from ULIP products while another 60 per cent from traditional products. He said that the company would strive to broadly retain this balance in the coming years with perhaps a slightly higher emphasis on traditional products.
Individual premiums have contributed about 48 per cent and group business 43 per cent of the premium so far this year.
Murlidhar said that the company was looking at growth from both agency and bancassurance channels.
About 35 per cent of business comes from individual agents while about 55 per cent comes from corporate agents (principally banks). And about half of that is through its parent — Kotak Mahindra Bank.
The recurring theme in Murlidhar’s conversation is the need for ‘balance’ in all ways — whether it is in the way the income is earned or spent — and which, he is quick to emphasise, doesn’t come by accident but due to careful planning.
There is constant monitoring to see that there is no risk of being ‘overweight’ on a particular channel or product. The focus on quality has also resulted in improved persistency ratios for its policy sales. The 13th month persistency ratio which was around 66 per cent in 2013 is around 82 per cent now and the effort now is to increase this further.
Asked about the possibility of going for a public offer and listing as some of its competitors have done, Murlidhar makes clear that for the company there is no requirement for capital right now. The solvency ratio is twice the 150 per cent required by regulators. “It is a call for the shareholders to take,” is how he puts it.
Asked about consolidation in the industry and whether the company would be looking at some acquisitions, Murlidhar laughs away the query."
48,2018-03-20,Kotak,"Private banks’ market share will equal PSBs’ in 5 years: Uday Kotak 


Uday Kotak, Executive Vice-Chairman & Managing Director, Kotak Mahindra Bank, and Nandan Nilekani, Founding Chairman, Unique Identification Authority of India, and co-founder and Chairman of Infosys, at a press conference in Mumbai on Tuesday
   -  SHASHI ASHIWAL




Uday Kotak, Executive Vice-Chairman & Managing Director, Kotak Mahindra Bank, and Nandan Nilekani, Founding Chairman, Unique Identification Authority of India, and co-founder and Chairman of Infosys, at a press conference in Mumbai on Tuesday
   -  SHASHI ASHIWAL


Private sector banks’ market share will go up significantly and be on a par with that of public sector banks in the next five years, according to Uday Kotak, Executive Vice-Chairman and Managing Director, Kotak Mahindra Bank.
The top banker’s observations come in the backdrop of public sector banks reeling under bad loans. Huge provisioning due to this could constrain their ability to lend, say experts.
“If you look at the numbers, for example, on a delta basis, nearly the entire growth in loans is happening in private sector banking, whose share is growing pretty significantly.
“I am happy to make a statement that in the next five years, the 70:30 ratio will move towards 50:50. This major mega trend in the redefinition of the industry structure is something which is playing out as we talk,” said Kotak.
Replying to a specific question from Nandan Nilekani, Co-founder and Non-Executive Chairman of Infosys, on the recent happenings in banks, “LoUs and what not”, Kotak said: “Indian banking is going through one of the significant challenges as we talk. In the banking business, you must have a focussed approach to ensure that the money you give out comes back.”
“Banking is fundamentally a high-risk business. For example, out of a ₹100 loan given, a bank’s equity is only ₹10, the balance is depositors’ money.”
Kotak elaborated that banking is one single business where errors of commission are far more expensive than errors of omission.
“And in that kind of a business, you have to have fundamental quality of prudence, simplicity, etc., or else this is one of the most difficult businesses in the world,” he said.
Kotak explained that banks and borrowers went into a bout of exuberance with banks putting out a lot of money in 2006-2010 with very questionable underwriting.
Evergreening
“And then between the period 2010-11 till 2018, I think, the game of basically postponing without recognising (bad loans) effectively bloated the loans to disproportionately high levels because we were accumulating the interest (banks were effectively evergreening).
“So, what was originally a ₹100 loan in 2011 has become a ₹200 or ₹250 loan today and this just kept on bloating for a period of seven or eight years. So, we are here now with a huge bloat. And at this stage I am embarrassed to say that we are amongst the top three countries in the world when it comes to levels of stress; and who are our companions — Greece and Italy,” said the Kotak Bank chief.
With the recent fraud coming to light, banking is (to put it in cricket terminology), becoming a tricky wicket, Kotak said, adding that the whole narrative of Indian finance is under a significant catharsis.
SME business
“At this stage, the belief is that a lot of the challenges in the banking system are essentially on the large businesses. I think, we have also a pretty sensitive underbelly of the SMEs business, which has not fully revealed its hand yet,” Kotak said.
“And the underwriting standards in that will also come up for questioning as we go down this path of much faster (loan default) disclosure being required by the RBI. This (revised framework for resolution of stressed assets) will have its implications not only for the big guys but also for the SME sector.”"
47,2018-04-06,Kotak,"Kotak Mahindra Bank’s focus is to ‘digitise all processes’


DEEPAK SHARMA, Chief Digital Officer, Kotak Mahindra Bank




DEEPAK SHARMA, Chief Digital Officer, Kotak Mahindra Bank


Digitisation has been closely aligned with Kotak Mahindra Bank’s core strategy. In an interview to BusinessLine, Deepak Sharma, Chief Digital Officer, explains how the private sector bank has benefited by adopting digital initiatives and how it has helped customers transact in a transparent manner. Excerpts:
How has Kotak Mahindra Bank’s digital journey panned out so far?
Digital is closely aligned with Kotak’s core strategy and our digital initiatives are focussed on customer and revenue growth, efficiency, customer experience, digital payments, risk management, security innovation and future readiness.
Various tech initiatives and transformation projects are directed towards this.
How much of Kotak Bank’s revenues come from the digital channel and what are the expenses involved?
The bank’s digital channel works as a horizontal layer, thereby creating value for different customer segments and business verticals. While some are direct revenue, cost and efficiency initiatives, others are linked to innovation, security and customer experience.
We track and measure the impact of the initiatives across various parameters which are not necessarily cost and revenue centric.
Most recently, we concluded our maiden payment co-creation programme, where we selected six innovative companies from over 130 entries that we received to work with us in the digital payments space for different segments like SME, modern trade, consumers and rural customers.
The twin objectives of this Kotak Payment Co-creation Programme are to provide an impetus to fintech-bank partnerships and build an ecosystem of collaboration and innovation for start-ups and fintechs in the digital payments space.
What is the time taken for conversion of customers from physical to digital mode?
We saw early success due to the rich features in our mobile banking app, which has over 100 features like banking, payments, shopping, loans, investments, etc.
By educating and on-boarding customers early on to our digital channels, we have seen higher adoption levels, greater engagement and higher number and value of transactions.
As of now, over two-thirds of our customers are digitally active, our log-in frequency is amongst the highest in the industry, and with a 2 per cent share of India’s deposits, we command around 8 per cent of India’s mobile banking transaction value.
What is the level of digitisation now, and what is the target set by the bank?
Kotak Mahindra Bank last week announced its digital-first organic growth strategy that will be driven by its ABCD charter — AI-enriched app; biometric-enabled branch; context enhanced customer experience; and data empowered design.
Our focus is to digitise all processes and make them paperless, frictionless using straight-through processing. Some of our initiatives, such as biometric-based account opening, API-based paperless processing of service requests and robotic process automation are all a part of this journey.
We continue to leverage technology like API, Artificial Intelligence, cognitive OCR, machine learning, design thinking, and data science and analytics to make progress on a transformation journey, wherein over the next couple of years the majority of processes at the consumer bank shall become paperless and straight-through processing.
How much more profitable are digital customers as compared to those who need physical assistance?
A majority of our digitally -ctive customers are omni-channel customers. Such customers are highly engaged and we see higher product holdings and relationship value with such customers.
What has been the bank’s innovations and its engagement with industry bodies like Nasscom?
We started the Kotak Innovation Lab and Fintech partnership programme early on to focus on future tech and value creation. We have completed over 100 POC (proof of concept) and onboarded over 60 fintechs to work with us in areas like lending, robotic automation, payments, artificial intelligence, customer experience and blockchain, among others.
We have also partnered with various accelerators, innovation hubs and VC firms in this process. We have partnered with the Nasscom 10,000 Startups initiative to support and co-create solutions which are relevant for India."
46,2018-04-09,Kotak,"Kotak Bank shares hit record high
Shares of Kotak Mahindra Bank on Monday hit a record high. The stock rose as much as 1.4 per cent to hit a record high of Rs 1,134.9.
Deutsche Bank has raised the stock rating to “buy” from “hold” and price target to Rs 1,208 from Rs 1,100 amid higher confidence on growth.
Confidence arises due to weakening competition, rising credit demand, and the company’s capabilities to capture the market share “without impacting its profitability and pristine asset quality”, say DB analysts.
The bank has now reached an inflection point in its liability strategy, DB analysts said, adding that strong customer growth and digital initiative were expected to drive strong profitability.
At least 22 of 32 brokerages rate the stock as “buy” or higher, eight “hold” and two “sell” or lower; their median price target is Rs 1,200."
45,2018-04-09,Kotak,"Kotak Mahindra Bank ‘confident of increasing share in commercial vehicle financing’


NARAYAN SA, President-Commercial Banking at Kotak Mahindra Bank




NARAYAN SA, President-Commercial Banking at Kotak Mahindra Bank


Narayan SA, President-Commercial Banking, at Kotak Mahindra Bank, believes the government’s decision to increase minimum support price (MSP) of crops is good news for rural India, and it would give a push to rural demand. Narayan, who oversees agri business, tractor and commercial vehicles/construction equipment finance, and emerging corporate group businesses of the bank, shared his views with BusinessLine on a slew of issues. Excerpts:
Does the new minimum support price (MSP) of at least one-and-a-half times the cost of production for all rabi and kharif crops augur well for the rural economy? Will it be inflationary?
The decision to increase MSP to at least one-and-a-half times the cost of production is a welcome move. It augurs well for rural India, making more money available to farmers. This, in turn, will help boost rural demand. Higher MSP will push up the cost and may have a modest impact on inflation. The extent of impact depends on the formula that the government will use to determine the MSP.
Outstanding non-food bank credit stands at ₹82.11 lakh crore and food credit at ₹52,300 crore as on February 2. Do you expect this trend to continue in the next financial year?
With the stabilisation of GST, we expect uptake of credit in FY 2018-19. We have witnessed credit upswing in the services sector and anticipate demand to come from the manufacturing sector on the back of expected nominal GDP growth of 11-12 per cent.
Commodity prices have become volatile much like the financial markets. Where is the commodities market headed?
Agri-commodity prices have been volatile during 2017-18, with volatility ranging from 10-30 per cent, which made it challenging for agri-processors and traders to manage their business. We expect agri-commodity prices to be less volatile in FY 2018-19. Of course, my view is based on the expectation of a reasonably good monsoon.
Growth of commercial vehicles touched an eight-year high in December 2017. Has the tide finally turned positive for the CV market?
We have witnessed a good year-on-year growth in the commercial vehicles segment from December 2017 to March 2018. At Kotak, our disbursements in the sector have increased significantly this year, and our share of the pie has grown in the heavy, medium and light commercial vehicle sectors. Currently, there are about 7 million commercial vehicles on the road, and replacement demand itself contributes substantially to fresh demand every year. Besides, the government’s focus on infrastructure and better connectivity will create additional demand for vehicles.
We expect the sector to grow at 10 per cent next year as well. At Kotak, we are confident of increasing our share by growing more than the market. We have been in the CV segment for long, and so, have built up deep relationships in this business and sound ground-level knowledge. Post-2011-12, we reduced our disbursement, since we believed that things may not pan out well. But in the last two years, we have gone in aggressively into the segment.
What are your views on the Agri-Market Infrastructure Fund with a corpus of ₹2,000 crore? Will it help bring about a structural reform in agriculture markets?
The Agri-Market Infrastructure Fund is a good concept, and will link about 22,000 rural markets to the electronic national agricultural market platform. It will enhance efficiency and ensure better remuneration for farmers. It will, over a period, bring about a structural reform in the markets. The efficiencies following the linkage will eventually result in lowering the inflation.
However, there are issues even now affecting the farmers. There are various reasons for that, such as the number of agri-commodities being so large in India, making it difficult to manage; then there is standardisation, which is a challenge. But we believe that over the next three-five years, these issues should get sorted out. We should give credit to the government for this effort.
Post-demonetisation, the SME sector was the worst hit. Are you seeing a revival in this sector? How will it shape up in the next 12-18 months? Has GST impacted lending to SMEs? Has there been any change in the borrowing pattern? What does your SME book look like? How much growth are you expecting this financial year?
Post-demonetisation and the introduction of GST, the SME sector was impacted the most. There were teething issues immediately after the GST was rolled out, but these are now easing out. We witnessed some stress during 2017-18 in the SME books, which is now showing signs of stabilisation.
Now that GST is on the stabilisation track, the SME industry is transitioning towards the formal and organised sector. We are now seeing the formal SME gaining market share and investing for growth, resulting in demand for additional financing. We are already seeing some of the State-level SME players transforming into regional/national players after GST.
We are looking forward to a robust growth of our SME book during 2018-19. This year we are bullish because all disruptions [positive though] are over. Also, from the lending point of bank, we as a bank, are able to get better information, thanks to initiatives such as GST. We expect to grow above the nominal GDP number of 11-12 per cent. However, resolution of the NPAs need to be speeded up.
At the urban retail banking side, digital banking has captured everyone’s attention — both players and consumers. Are you using digital platform for your SME and agri clients?
Digital has become an important channel in staying connected with customers and offering seamless and quick services. We work with our SME clients on a continuous basis to offer innovative and digital products and value-added offerings. We have introduced cash management system, online banking and online uploading of data, to make the banking experience more enriching and also to improve the efficiency of our clients. Recently, we rolled out the Kotak GST platform, which facilitates them to file quarterly and annual returns and get consolidated reports.
The MFI sector has seen consolidation in the last couple of years, and with the growing interest of banks in it, do you see a significant change emerging in the sector? Kotak Mahindra Bank acquired BSS Micro Finance about 18 months back. Could you share with us your post-acquisition experience?
Microfinance institutions [MFIs] have seen consolidation in the last few months. Many of the mid-sized MFIs have become small finance banks, and some of them have been taken over by existing commercial private banks. The good part of microfinance lending is it makes both commercial and social sense. It helps the overall social cause of the country by making finance available to the lower strata of society.
We acquired BSS Microfinance Private Limited last year, and its financial closure took place in September 2017. Our experience so far has been good.
Our BSS-sourced microfinance book has grown by 50 per cent this year, and is expected to further grow by 50 per cent in FY 2018-19. We are also looking at expanding BSS’ footprint, which has so far been present in Karnataka and parts of Maharashtra, by setting up offices in other States, including Madhya Pradesh and Tamil Nadu."
44,2018-04-11,Kotak,"Nomura: Right time for Kotak Bank to buy Axis Bank


Nomura says it is a an opportune time for Kotak since Axis Bank has ramped up the NPA recognition process and majority of the bad news is now known.




Nomura says it is a an opportune time for Kotak since Axis Bank has ramped up the NPA recognition process and majority of the bad news is now known.


The time is ripe for Kotak Mahindra Bank to buy Axis Bank, says a report by brokerage firm Nomura Financial Advisory Services. 
On Wednesday, Axis Bank shares were trading down 1.59 per cent at Rs 537.30 after hitting a high of Rs 552 and a low of Rs 534.10 on the BSE in a negative market.  Kotak Bank shares were trading 0.38 per cent or Rs 4.20 higher at Rs 1,117.80 on the BSE at about 12 pm.
The brokerage’s call comes in the wake of Axis Bank CEO Shikha Sharma deciding to cut her tenure to the end of this year.  Sharma was appointed at Axis Bank in June 2009 by then Chairman PJ Nayak. On Monday, the bank in a filing to the bourses, announced that she has decided to cut down her fourth term and quit on December 31, 2018.
“With a very short time left in the CEO’s term at Axis Bank, RBI’s pressure on Axis Bank’s management and with an asset quality clean-up exercise continuing, we believe this is the best opportunity for Kotak Bank to acquire or merge with Axis Bank,” the brokerage said.
A likely deal between Kotak and Axis will make the combined entity the second largest private bank in the country in terms of loans and the largest in terms of branches. 
""Our assessment suggests that Axis Bank will have to look for an external CEO. We believe this presents a great opportunity for Kotak Mahindra Bank to buy Axis Bank, which has got one of the largest liability/retail asset franchises,"" it said in a research report.
""From Axis Bank’s perspective, we believe there will be limited push-back this time for any merger, given the loss of confidence that the regulator has expressed by not approving the renewal of the CEO’s term and a vacuum in top management,"" Nomura said.
Nomura said that it was an opportune time for Kotak since Axis Bank had ramped up on the NPA recognition process and the majority of the bad news was now known. ""Since the time of the last merger talks, Kotak Bank’s stock has outperformed Axis Bank’s by 30 per cent, making the acquisition more reasonable,"" it said.
“In case of M&A, the deal would be highly earnings per share-accretive for Kotak Bank even after paying a meaningful premium to Axis Bank shareholders,” the brokerage added.
Nomura also said Kotak Bank would gain liability and retail asset size enough to rub shoulders with HDFC Bank. Importantly from the promoter’s perspective, the acquisition should help in diluting the promoter’s stake down to the requirements stipulated by the RBI. The RBI requires promoters of private banks to bring down their holding to 15 per cent within 12 years of commencement of operations. The central bank has allowed Kotak Bank’s promoter Uday Kotak to bring down his holding in the bank to 15 per cent by March 2020. Uday Kotak and his family currently hold 30.06 per cent stake in the company.
(With inputs from agencies)"
43,2018-04-16,Kotak,"Kotak Mahindra becomes second-most-valued bank
Uday Kotak-led Kotak Mahindra Bank on Monday pipped SBI to become India’s second-most-valued lender after HDFC Bank in terms of market capitalisation.
The PNB scam that took a toll on India’s PSU banking stocks has pushed SBI, India’s largest government-promoted lender, a notch below in its ranking as the most-valued domestic bank. Kotak Mahindra Bank is now also among the top 10 most-valued companies on the BSE.
M-cap @ ₹2,22970.4 cr
Data from the BSE showed that Kotak Mahindra Bank now has a market capitalisation of ₹2,22,970.4 crore, after its shares closed at a record high of ₹1,170.05, up 1.88 per cent, on Monday. Intraday, the Kotak stock rose 2.22 per cent. The shares have gained 16 per cent so far this year.
HDFC Bank remained the country’s most-valuable bank with a market capitalisation of ₹5.04 lakh crore.
The market capitalisation of SBI stood at ₹2,22,043.74 crore. SBI’s share price fell 0.76 per cent on Monday to close at ₹249.3. The share price of SBI has declined by 10 per cent since the PNB fraud came to light in February. The Nifty PSU Bank index is down 18.4 per cent during the same period.
According to Bloomberg data, among the analysts covering the SBI stock, 42 have a ‘buy’ rating, six have a ‘hold’ rating and two have a ‘sell’ rating on it."
