,Date,Company,Article
94,2018-05-28,Larsen,"L&T Q4 net profit up 5% to Rs 3,167 cr 
 Infrastructure giant L&T today registered 4.72 per cent jump in consolidated net profit to Rs 3,167.47 crore for the fourth quarter ended March 31, 2017-18.
 It had clocked a net profit of Rs 3,024.61 crore in the January-March quarter of the preceding fiscal, 2016-17.
“The consolidated gross revenue in the quarter January to March 2018 totalled Rs 40,678 crore recording an increase of 10 per cent on a year-on-year basis,” Larsen and Toubro said in a statement.
 Its total expenses during the quarter under review grew to Rs 36,198.11 crore as against Rs 33,464.06 crore during the year-ago quarter.
The order intake grew 5 per cent to Rs 49,557 crore during the quarter, it said, adding that international order inflow at Rs 8,678 crore constituted 18 per cent of the order inflow for the 3-month period.
Consolidated order book of the group stood at Rs 2,63,107 crore as at March 31, 2018, with international order book constituting 24 per cent of the total order book.
Infra segment
During the quarter January-March 2018, the infrastructure segment recorded order inflow of Rs 33,455 crore registering a growth of 27 per cent over the corresponding quarter of the previous year. The order book of the segment stood at Rs 1,95,419 crore as of March 31, 2018.
 The company said, “Domestic reforms such as GST, RERA and the Insolvency and Bankruptcy Code have led to disruptions in the year gone by, though these are expected to lead to sustainable long term growth.” 
These reform measures along with increased flow of funds from multilateral institutions aided by supportive policies such as pursuance of ‘Make in India’ initiative, focus on infrastructure buildout, etc are likely to improve the investment climate in the country, it said.
“With tax revenues estimated to show buoyancy through nominal GDP growth and widening of the tax base, budgetary allocations for infrastructure are scheduled to increase although the short term focus of the government could well be on development of rural India through social welfare schemes,” it said in outlook.
Revival of stressed business through the IBC is targeted at progressive resolution of the twin balance sheet problems and is the first step in facilitating increased credit lines to kick start private sector capex, the company said.
 The order book of the company’s power segment stood at Rs 9,357 crore, a decline of 32 per cent.
 Heavy Engineering order book increased by 13 per cent to Rs 13,523 crore.
 The company said the order book of the hydrocarbon segment stood at Rs 26,590 crore as on March 31, up 7 per cent.
 For IT and technology services segment, the customer revenue during the March quarter stood at Rs 3,075 crore, up 24 per cent, it said.
 Larsen & Toubro is an Indian multinational engaged in technology, engineering, construction, manufacturing and financial services with over $ 18 billion in revenue.
 The shares of the company closed 2.52 per cent up at Rs 1,377.60 a piece on BSE."
93,2018-05-28,Larsen,"L&T consolidated net up 5% at ₹3,167 cr in Q4
Infrastructure major Larsen & Toubro Ltd (L&T) has reported a consolidated net profit of ₹3,167 crore in the fourth quarter ended March 2018, an increase of 5 per cent from ₹3,025 crore in the same quarter of the previous year. 
The company recorded a 10 per cent growth in consolidated gross revenue in the quarter to ₹40,678 crore against ₹36,620 crore in the corresponding period last year. Net profit for FY18 registered 22 per cent growth at ₹7,370 crore. 
The group's consolidated revenue for the year grew by 9 per cent to ₹119,862 crore.
The company expects to achieve 12-15 per cent revenue growth and 10-12 per cent growth in the order inflow during the current fiscal, said L&T CFO R Shankar Raman.
According to him, government reforms such as GST, RERA and the Insolvency & Bankruptcy Code (IBC) are among positive sentiments for the infrastructure space in the country and are likely to improve the overall investment climate in the country.
Public capex
During the year ended March 2018, the company has been focussing mainly on the domestic market from the government sector. L&T bagged fresh orders worth ₹152,908 crore at the group level during FY18 with international orders' share declining to 23 per cent in FY18 from 29 per cent to 23 per cent a year earlier. 
The company's total consolidated order book stood at ₹263,107 crore as at March 31, 2018.
“Despite limited opportunities, L&T has achieved 7 per cent growth in new orders,” Raman said. In November last year, the company has revised its target for order inflow, earlier set at 10-12 per cent, saying the order inflow “would remain flat”.
According to Raman, for FY19, L&T will remain dependent on orders from the public sector as private investments remain elusive.
SN Subrahmanyan, CEO and MD, said the company is becoming dependent on government orders with around 70 per cent of new orders believed to be coming from the public sector.
“It will take another two-three years for the private capex to come up,” he said, adding that, “so far, we are only seeing offshoots of private capex, mainly in the metals space”.
L&T has written off “non-moving” orders of up to ₹16,000 crore from its order book. These orders, according to the company's management, were mainly in the real estate space and across other infrastructure segments.
Infra focus
The infrastructure segment emerged as the leader among other businesses in terms of order inflow for L&T. 
During the Q4FY18, the segment recorded order inflow of ₹33,455 crore registering a growth of 27 per cent over the corresponding quarter of the previous year. The segment secured fresh orders of ₹87,277 crore during the enitre FY18, up by 11 per cent from the year earlier."
91,2018-05-29,Larsen,"Will re-think investments in forgings business and Kattupalli shipyard: L&T CEO Subrahmanyan 


SN Subrahmanyan, CEO & MD, Larsen & Toubro
   -  BusinessLine




SN Subrahmanyan, CEO & MD, Larsen & Toubro
   -  BusinessLine


 To remain “an EPC company with developmental orientation”, Larsen & Toubro plans to exit non-core projects as soon as the committed ones are complete, L&T CEO and MD SN Subrahmanyan told BusinessLine. 
For the past several years L&T has been offloading non-core assets. It has earlier this month sold its electric and automation business to French giant Schneider Electric for ₹14,000 crore. It is in the process of finalising sale of its Kattupalli port near Chennai to Adani Ports. 
Asked about other divestments, Subrahmanyan said L&T is looking at the special steels and heavy forgings business and the Kattupalli shipyard as the company has not been able to turn them around.
L&T Special Steels and Heavy Forgings, a joint venture with Nuclear Power Corporation of India where L&T has 74 per cent stake, runs a in Hazira a heavy forgings plant to supply mainly to the hydrocarbon and nuclear power sectors. The JV has invested around ₹1,700 crore in the first phase while the second has been put on hold. In FY17, the company reported a net loss of ₹255 crore on an operating income of ₹118 crore.
“...we don’t see the economy growing in such a way that it will bring many orders into that shop,” Subrahmanyan said. 
Kattupali shipyard, in which the company had invested around ₹5,000 crore, currently has a turnover of around ₹800; it has to be at least ₹2,500 crore to be viable, according to Subrahmanyan. “We designed it to be focussed on naval shipbuilding... so we need to see how the Indian Navy comes out with more orders. Unless some big programmes come, it (the investment) will not be revived,” he said.
Building and selling
L&T plans to exit several infrastructure projects, too, including Hyderabad Metro and 1,400 MW Nabha coal-fired power plant in Punjab.
“We have done our job in terms of EPC, we are operating these assets, we have proved they can be run very efficiently, we have built good leadership and teams there, but we are not a development kind of organisation,” Subrahmanyan said.
L&T recently offloaded five road assets through a private infrastructure investment trust (InvIT) IndInfravit Trust, sponsored by L&T Infrastructure Development Projects Ltd (L&T IDPL). The Canada Pension Plan Investment Board and Allianz Capital Partners (ACP) earlier this month announced acquiring 30 per cent and 25 per cent of IndInfravit units respectively. L&T IDPL will hold 15 per cent of the units. 
L&T raised around ₹4,700 crore through the InvIT and will continue to look for similar opportunities in the 10 road projects that are under construction."
92,2018-05-29,Larsen,"L&T jumps 3.4% on Q4 results


The stock has posted biggest intraday percentage gain since February 26.




The stock has posted biggest intraday percentage gain since February 26.


Larsen & Toubro shares jumped as much as 3.4 per cent to Rs 1,422.50, their highest in nearly four weeks on Q4 results.
The company had on Monday registered 4.72 per cent jump in consolidated net profit to Rs 3,167.47 crore for the fourth quarter ended March 31, 2017-18. It had clocked a net profit of Rs 3,024.61 crore in the January-March quarter of the preceding fiscal, 2016-17.
Click here to read more
Jefferies believes over the next 12 months L&T will benefit from macro tailwinds apart from company-specific improvements. It has kept “buy” rating with a price target of Rs 1,925. The brokerage believes domestic execution, which is better margin vs international, will lead to margins sustaining with some upward bias.
The stock has posted biggest intraday percentage gain since February 26. It has clocked sixth straight session of gains, up 9.4 per cent this year as of Monday's close. Over 1.8 million shares traded vs 30-day average of 1.7 million shares.
(With inputs from Reuters)"
90,2018-06-11,Larsen,"L&T infrastructure arm looking to acquire power transmission assets


The company currently operates the Kudgi Power Transmission Line project in Karnataka
   -  AFP




The company currently operates the Kudgi Power Transmission Line project in Karnataka
   -  AFP




 L&T Infrastructure Development Projects Limited (L&T IDPL), a subsidiary of infrastructure major Larsen & Toubro (L&T), is looking at expanding its power transmission portfolio by bidding for new projects and acquiring brownfield assets.
“We are currently looking to expand our power transmission portfolio, so we will be happy to lok at purchasing power transmission acquiring assets, including those of PowerGrid corportaion,” Shailesh Pathak, CEO of L&T IDPL said.
The company currently operates the Kudgi Power Transmission Line project in Karnataka and has been recently prequalified for projects tendered by Jharkand under Tariff Based Competitive Bidding (TBCB) route, Pathak added.
Funds raising
L&T IDPL last month raised over ₹3,000 crore through private placement of its infrastructure investment trust IndInfravit Trust where Canada Pension Plan Investment Board (CPPIB) and Allianz Capital Partners (ACP) has acted anchor investors. CPPIV had acquired 30 per cent of IndInfravit units for around ₹2,045 crore and ACP has acquired 25 per cent for ₹ 925 crore. L&T IDPL will hold 15 per cent of the InvIT units.
Canada Pension Plan Investment Board (CPPIB) has made investment of ₹2,000 crore in L&T IDPL in 2014.
IndInfravit Trust acquired five operational toll roads of its sponsor, IDPL, which prior to the transaction had 16 road assets in total, out of which two are annuity projects and 14 are toll projects. 
“We have to look for further monetization as time passes. We have just completed two highways , one in Orissa and one in Telangana, the moment two years cash flow behaviour passes, we could put these two projects into the InvIT,” Pathak said.
He added that in the road space, the company will continue exploring all existing opportunities -- from pure BOT (build-operate-transfer) to HAM (hybrid annuity model) and brownfield project. It will also look at participating in the next rounds of government tenders for operational national highways through the toll-operate-transfer (ToT) model.
Eye on margins
“We will be interested in everything provided it makes us money,” Pathak said adding that IDPL is not likely to bid aggressively as the era of “suicidal” bidding for road projects that used to happen in case of BOT tenders floated earlier is over. 
“Witht the IBC it is very diofficult to folow the earlier strategy of bidding to win at suicidal rates and then try to renegotiate, iu think that busioness model is over,” he noted."
89,2018-06-14,Larsen,"PEs, VCs pump in $3.2 bn investments in May: Report 
 Private equity and venture capital investments in the country reached $3.2 billion in May, helped by 10 large deals of value greater than $100 million, according to a report.
The the PE/VC investments crossed $3 billion in May for the second time this year, after January, consultancy firm EY said in its private equity monthly deal tracker report.
However, in volume terms, deals declined by 5 per cent in May this year to 53 deals, against 56 in May last year.
“There were 10 deals of value greater than $100 million accounting for almost 85 per cent of aggregate deal value ($2,746 million) in May 2018, compared to five ($2,675 million) in May 2017,” the report said.
The largest deals in the month included Temasek’s $761 million investment in Larsen & Toubro’s electrical and automation business for 35 per cent stake, and Partners group and Kedaara’s buyout of Vishal Mega Mart for $734 million.
“PE/VC investment activity in the country has continued its strong performance in 2018 despite some global headwinds, with both investments and exits exceeding the numbers recorded in the first five months of 2017,” said Vivek Soni, partner and national leader (PE services), EY.
From a sector point of view, industrial products and retail and consumer products posted record level of investments, according to the report.
Exits worth $1.6 billion were recorded in May, the second consecutive month with over $1 billion in exits this year.
 The reporting month witnessed four fund raises worth $368 million, while there were $600 million worth of fund raise plans announced, the EY report said.
The largest fund raise plan announcement of $300 million was made by Cerestra Advisors for investments into education infrastructure, it added."
88,2018-06-14,Larsen,"L&T bags orders; their execution eyed
Larsen & Toubro on Thursday said it has won orders worth ₹1,391 crore across business segments. The order has been bagged by its wholly-owned subsidiary L&T Hydrocarbon Engineering, the company said. The hydrocarbon arm won new orders in excess of ₹750 crore (construction services business), ₹209 crore (smart world and communication business) and ₹432 crore (water and effluent treatment business). Investors will monitor the execution."
87,2018-06-28,Larsen,"Adani Ports acquires 97% in Marine Infra for ₹1,950 cr
Adani Ports and Special Economic Zone Ltd of the Adani Group has acquired 97 per cent stake of Marine Infrastructure Development Pvt Ltd, a L&T Group company, for a consideration of ₹1,950 crore in cash, to takeover Kattupalli non-major port at Ennore. The balance 3 per cent will be held by the Tamil Nadu Industrial Development Corporation on behalf of the Tamil Nadu government.
On Wednesday, APSEZ signed share purchase agreement between Larsen and Toubro Ltd, Marine Infrastructure Developer Pvt Ltd, L&T Shipbuilding Ltd and Adani Kattupalli Port Pvt Ltd to acquire the stake of Marine Infrastructure Developer.
The acquisition will help the company develop the container terminal operation which it has been operating since November 2015. 
For the financial year 2017-18, the the terminal handled 500,000 TEUs (twenty foot equivalent units), up 44 per cent over the previous year’s volume of 348,000 TEUs. 
In 2015-16, the terminal handled 115,227 TEUs. APSEZ also plans to provide bulk terminal and marine operations.
The port comes under the administrative control of the Tamil Nadu Maritime Board
L&T will continue to own the adjacent shipbuilding facility at Katupalli.
Out of the ₹1,950 crore, a sum of ₹388 crore was to acquire the shares and the balance amount towards settlement of liabilities of Marine Infrastructure Developer, according to a communication issued by APSEZ to the BSE.
In February 2016, the Tamil Nadu government gave its approval for the Adani’s proposal to acquire the port. 
Subsequently, relevant approvals from the Ministry of Forest and Environment, Tidco, Tamil Nadu Maritime Board and SEZ authorities were obtained.
Kattupalli port, located 30 km north of Chennai, has the hinterland of North Tamil Nadu, Chennai and Bengaluru regions and the highly industrialised south Andhra Pradesh.
APSEZ scrip on the BSE closed at ₹362.40, down by 0.63 per cent."
86,2018-07-24,Larsen,"L&T Tech Services soars 14% on Q1 results
 Shares of engineering services firm L&T Technology Services Ltd climbed as much as 13.8 per cent to Rs 1,488.05, their highest since February 16, on June-quarter results.
The company's June-quarter net profit jumped to Rs 198 crore ($28.7 million) from Rs 98.2 crore a year earlier.
Large deals won by LTEH over past year have started to ramp up and should boost growth in FY19; pipeline remains healthy across most verticals, says CLSA Research. It has maintained “buy” rating and a price target of Rs 1,750. 
Of 13 brokerages covering the stock, 8 rate it “buy” while 3 rate “hold” and 2 “sell”; their median price target is Rs 1,43, according to Thomson Reuters data.
L&T Tech stock had gained 27.2 per cent this year as of last close."
85,2018-08-02,Larsen,"L&T’s offer-for-sale of L&T Tech opens on Aug 2
The offer-for-sale (OFS) by Larsen & Toubro of L&T Technology Services’ shares will open for non-retail investors on Thursday and for retail investors on Friday. It plans to sell up to 41 lakh shares (base offer) and additional shares of up to 25 lakh shares (oversubscription option). The floor price for the offer is ₹1,400 a share. 
Currently, promoters hold 87.10 per cent stake or 2.03 crore shares. The OFS will help the company meet SEBI’s minimum public holding norm."
