,Date,Company,Article
95,2018-02-19,Mahindra Mahindra,"M&M to raise monthly EV production to 4,000 units by next year
Mahindra & Mahindra is planning to increase its electric vehicles (EVs) production to 4,000 units a month by December 2019.
 The company has a capacity of about 400 EVs a month, said Managing Director of the company Pawan Goenka on Monday. 
He was interacting with the media persons on the sidelines of the summit. 
Goenka said that 4,000 EVs target would be scaled up to 5,000 EVs a month. The company already has invested about ₹600 crore on EVs in the last six years. 
Recently it has also announced its plans for investing ₹400 crore in Karnataka and ₹500 crore in Maharashtra over the next five years. 
It is a leap of faith, as today the demand for three and four wheeler EVs is 200 to 300 units a month. But M&M is taking that leap with a much higher capacity.
On the recent statement made by NITI Aayog CEO, Amitabh Kant about the country not requiring an EVs policy, Goenka said that the company was not waiting for any policy for implementing its plans. 
“To be a pioneer, you cannot wait for the road to be laid with a six-lane highway. You have to create your own road and make it happen,” he said. 
He pointed that the statement made by Kant about India not needing an EVs policy is over-analysed. 
The statement should be taken positively as already a lot of developments are going on in the EVs space. India is not going back on its commitment to EVs.
Every week State governments are announcing their EVs policies, recently Maharashtra announced its policy, which is one of the most aggressive ones, these are not signs of diminishing interest in EVs.
He said that the current level of subsidies are needed for the EVs to be price competitive and the infrastructure required for charging needs to come up a lot more rapidly. 
If these happen then in 2022, there will be a consumption of two lakh EVs vehicles in the country.
Goenka said that the cells for the EVs will not be made by M&M, but all other components would be made by the company. 
Making of cells, require much larger scale to justify those costs. All other parts and components will be made by M&M locally in the next two years."
94,2018-02-22,Mahindra Mahindra,"HSBC raises M&M's price target


HSBC says India's tractor industry has grown “strongly” in the past two years and it expects a continued growth of 10-12 per cent in FY19 as well.




HSBC says India's tractor industry has grown “strongly” in the past two years and it expects a continued growth of 10-12 per cent in FY19 as well.


 HSBC has raised the price target of Mahindra & Mahindra Ltd to Rs 840 from Rs 795, and it has maintained “buy” rating.
HSBC says India's tractor industry has grown “strongly” in the past two years and it expects a continued growth of 10-12 per cent in FY19 as well.
With Madhya Pradesh, Rajasthan and Karnataka due for elections this year, nearly 30 per cent of total tractor market can see higher spending this year, it adds.
Mahindra & Mahindra reported a better-than-expected Q3 profit earlier this month, with domestic tractor sales rising over 6 per cent. “Normal north-east monsoons and good reservoir levels helped in boosting the rural sentiment and demand for tractors,"" the company had said.
Up to Wednesday’s close, the stock had risen 8 per cent in 12 months versus 12 per cent gain in the Nifty Auto index. Thirty eight out of 42 brokerages covering the stock rate it ""buy” or higher and four “hold""; their median price target is Rs 880."
93,2018-02-23,Mahindra Mahindra,"Tractor industry on course to register highest-ever domestic sales in FY-18
Encouraged by the continuing momentum in sales, the tractor industry hopes to end the current fiscal with highest-ever domestic volumes close to 6.8 lakh units.
The industry’s previous highest domestic number was in 2013-14 when domestic sales stood at 6.34 lakh units.
Tractor companies and industry analysts project a growth rate of 17-18 per cent for the current fiscal. During the last fiscal, the industry registered domestic sales of 5.8 lakh units.
Tractor makers have said that while the industry’s Q3 performance was better than expected, the sales momentum continued in January, and hence, they expect Q4 to be equally good. Leading players such as Mahindra & Mahindra, Escorts and Sonalika Tractors reported more than 40 per cent growth in their January domestic volumes.
During the first 10-month period of this fiscal, the domestic tractor volumes are reported to have grown by about 18 per cent. During this period, Mahindra and Escorts reported a growth of 18 per cent and 17.5 per cent, respectively.
“In Q3, the tractor industry has performed better than what we had expected. When we started the quarter, we were thinking that it will be flat to may be just marginally positive. But, the industry ended with 8 per cent growth. This is obviously on the basis of very good production of kharif crop, positive sentiment in rural area and government’s thrust in agricultural and rural segments,” according to Pawan Goenka, Managing Director, Mahindra & Mahindra.
“January has seen a 38 per cent increase (domestic and export) and the industry growth will be between 15 per cent and 18 per cent in Q4. This year we expect the industry to end with highest-ever volume,” he said.
Escorts expects domestic tractor volumes to touch 6.80 lakh units in the current fiscal.
T Karthikeyan, Senior Analyst – Corporates, India Ratings & Research, said domestic tractor sales grew by 17 per cent at 6.59 lakh units during April 2017-January 2018 and the growth was on account of two consecutive years of normal-to-good monsoons, improved crop production, easy availability of credit to farmers and increasing use of tractors in non-agricultural sectors.
Rating agency Crisil has projected that the tractor industry will achieve domestic sales of 6.5 lakh units in FY-18 and attributed the volume boom to the prospects of a successive normal monsoon, declining interest rates and farm loan waivers by States."
92,2018-03-09,Mahindra Mahindra,"Mahindra unit moves to cut truck ownership cost
Mahindra & Mahindra’s Truck & Bus Division on Friday announced several new initiatives to reduce the total cost of ownership of its trucks and buses. 
These initiatives include a six-year/six lakh km warranty on Mahindra Blazo. The company said it has also increased oil change intervals leading to significant saving of 9 per cent per annum for transporters. 
“The above package of benefits is aimed at further increasing the customer confidence in Mahindra Blazo. This provides peace-of-mind for vehicle operation up to the end of the sixth year, thereby setting a new standard in the Indian trucking industry,” M&M said in a statement. 
Vinod Sahay, Chief Executive Officer – Mahindra Truck and Bus Division, said: “Today, as we roll out a never-before package of customer benefits, we are confident of significantly bringing down the cost of ownership and operation thereby, ensuring that our trucks are far more affordable. 
“For the transporter, this directly translates into better earnings due to savings of up to 20 per cent in servicing cost per annum for every Mahindra Blazo truck as well as a promise of hassle free ownership experience. We are confident that transporters will notice our industry first game-changing benefits and switch to Mahindra Blazo as their preferred brand of choice, to get the best value for money.”
The Mahindra Truck and Bus Division is a wholly owned subsidiary and part of the $19-billion Mahindra Group that provides an entire line of integrated trucking solutions."
90,2018-03-22,Mahindra Mahindra,"Mahindra reaffirms faith in e-mobility despite policy detour 


Mahesh Babu, CEO, Mahindra Electric




Mahesh Babu, CEO, Mahindra Electric


There are no two ways about the fact that Mahindra & Mahindra has been at the forefront of electric mobility even if its overall sales numbers don’t quite reflect this intent.
Since the time it acquired the Bengaluru-based operations of Reva in 2010 to kick off the journey, M&M has pulled out all stops to grow its electric vehicle (EV) business. During this time, the e2O Plus hatchback has become its best known mascot even while other models such as the Verito sedan as well as some of its small cargo carriers now have electric options.
If the big break in numbers has still been elusive, it is largely to do with the absence of fiscal sops across the country and, more importantly, charging infrastructure. In a country where affordability is still an issue, never mind all the brouhaha about the affluent middle-class, electric vehicles like the e2O Plus would hardly qualify as an entry-level option for the first-time car buyer.
Things seemed to be looking up when the Centre made known its intent to go all out with its e-mobility drive and announced its intent to have a 100 per cent electric ecosystem in place by 2030. It was clear that this was going to be a tall order even while some manufacturers hurriedly made known their plans to abide by this directive.
This was where Mahindra Electric would have rightly assumed that it had a headstart over the rest thanks to years of hard work in this direction. And even while the Centre subsequently shelved its EV policy, the company had already made up its mind to set up another unit in Chakan near Pune.
Eyeing global market
It was barely 10 days ago when Mahesh Babu, CEO, Mahindra Electric, made an elaborate presentation at Mahindra Research Valley (MRV) in Chennai along with his counterparts in other businesses. It was here that he spoke of the vision to ramp-up production at Chakan and Bengaluru from 12,000 to 70,000 units in the next three years.
“This is conditional on the demand for the different types of vehicles,” elaborates Babu in an email response to BusinessLine. While kits for three-wheelers and light vehicles are planned in Bengaluru, Chakan will be home to heavy-vehicle kits.
“The 70,000-unit capacity between the two facilities is forecasted to be split evenly, based on current volume projections,” he adds. From the company’s point of view, the strategy going forward will be twofold: EV drive train technology and EV products. “At Mahindra Electric, we will be producing the drive train kits that will power the vehicles made by M&M and SsangYong,” says Babu. “We are already following a similar model with the Supro and Verito platforms being electrified by LV (light vehicle) kits.”
The new products slated to be electrified were announced under the company’s EV 2.0 strategy and include two high performance vehicles — an SUV and a sedan — in addition to the eKUV. “The eCosmo bus was showcased at the Auto Expo earlier this year and other variants will be launched shortly,” says Babu.
The company is already producing the complete vehicle for the e2O Plus. In addition, the Treo electric three-wheeler will be produced in Bengaluru. Clearly, there is a well defined roadmap for the e-mobility business, which will balance business priorities between the two plants.
Incidentally, the EV Innovation centre was inaugurated in 2017 and is based in Bengaluru. “With the utilisation and volume of projects we are currently undertaking, we foresee a need for a more elaborate state-of-the-art R&D and test facilities, which will also be based in Bengaluru,” reveals Babu. This new facility will be part of the ₹900 crore investment in EV technology.
Beyond India, Mahindra Electric’s offerings are also present in Nepal and Sri Lanka. In 2014, this writer was invited by the company to be part of the e2O launch in Bhutan, the neighbouring hill kingdom, which is keen on pushing for clean air mobility alternatives.
In addition, Mahindra Electric will be supplying the EV powertrain SsangYong, which it acquired in 2011. This may end up being the big breakthrough in global markets where the Korean auto brand is well established. Likewise, there is every possibility of another exciting chapter happening in EVs with Ford where the partners are still discussing the contours of their alliance.
Nagpur fiasco
Yet, not everything is hunky-dory going by recent media reports on the Nagpur e-mobility drive with Ola, which has apparently ended up being a damp squib with drivers disgruntled with the state of affairs.
When asked if the company has been discouraged by the Ola experiment in Nagpur, Babu responds that from a product perspective, the company’s cars have run more than two million kilometres with “positive feedback from the drivers and customers who have used the vehicles”.
It is also his view that the EV ecosystem needs some “initial learnings and adoption that we believe was faster and quicker in case of Nagpur”. His response indicates that the experiment is not quite as disastrous as the reports have made it out to be.
“We are confident that the electric vehicle ecosystem will evolve soon with the initiatives already taken by all stakeholders and the learnings from the pilots,” reiterates Babu.
The other reality to be factored in is the Centre’s decision to keep its EV policy on hold after all the initial bluster. Is there really a reason then for Mahindra Electric (and other auto-makers) to go flat out, especially when infrastructure constraints, in the form of charging stations, still remain?
A bold vision
“We invested in EVs back in 2010 because we believe in the need for sustainable mobility,” replies Babu. As he reminds you, the Centre had expressed a “bold vision” to go all electric by 2030 and the EV policy was part of that initiative.
“We believe that the NITI Aayog report on Transformative Mobility Solutions for All sets a clear direction on what India needs to do in the mobility space,” continues Babu. Based on the report, action plans have already been made by various ministries to support e-mobility.
This, of course, includes the release of the world’s largest EV tender for 10,000 vehicles by EESL (where Tata Motors also participated in the exercise along with Mahindra Electric) and the Power Ministry’s intervention to declare charging services exempt from the restriction on resale of electricity.
It, of course, remains to be seen if this EESL order will now be history with the scrapping of the EV policy.
Babu, clearly, does not share this pessimistic outlook. He points out that the company has already completed the delivery of 150 vehicles as part of the Phase I requirements and has now bid for Phase II. Further, a new tender for an additional 10,000 vehicles was announced earlier this month.
”With these developments, it is clear that the intention and action to adopt EVs in government departments is running strong,” he says. “There are indications that the FAME scheme will be extended again past March 31, which was expected and is towards a positive direction.”"
91,2018-03-22,Mahindra Mahindra,"Mahindra Group, FordMotor to jointly develop SUVs, e-vehicle
Mahindra Group and Ford Motor Company have decided to jointly develop new SUVs, and a small electric vehicle as part of their partnership that has been formalised with multiple pacts.
The two companies signed five new memoranda of understanding (MoUs) to strengthen their strategic alliance and accelerate the development of vehicles for India and emerging markets. 
“Today’s announcement is the next step in the collaboration between Mahindra and Ford,” said Dr Pawan Goenka, Managing Director, Mahindra & Mahindra Ltd.
The MoUs, which are non-binding, mark the progress made by the two companies since announcing their alliance in September 2017, according to a statement.
Both will leverage their strengths in the utility vehicle space to co-develop a mid-size sports utility vehicle (C-SUV).
Built on the Mahindra platform, the new SUV will drive engineering and commercial efficiencies and will be sold independently by both companies as separate brands.
Mahindra and Ford agreed to evaluate co-development of a compact SUV and electric vehicle, along with sharing powertrain portfolios, including the supply of Mahindra powertrains to extend Ford’s product range.
Key focus areas
They also announced plans to co-develop a suite of connected car solutions for consumers.
“Ford is committed to offering the best vehicles, technologies and services that fit the lifestyles and preferences of Indian consumers. With utility vehicles and electrification as key focus areas, we are glad to see the progress our two companies have made,” said Jim Farley, Ford Executive Vice-President and President of Global Markets.
Global reach
The strategic alliance between the two companies continues to focus on leveraging the benefits of Ford’s global reach and expertise and Mahindra’s scale in India and its successful operating model.
Teams from both companies will continue to work together, for a period of up to three years, to develop further avenues of strategic co-operation and that will include extension of support for Mahindra in global emerging markets, including Ford’s manufacturing and distribution network as also to address future mobility needs."
89,2018-03-27,Mahindra Mahindra,"Need our own Facebook: Anand Mahindra


Anand Mahindra
   -  Rajeev Bhatt




Anand Mahindra
   -  Rajeev Bhatt


As Facebook’s data breach issue rocks the countries, Mahindra group Chairman Anand Mahindra has asked Indian start-ups to work on a native social media. In a Tweet on Tuesday, he offered to provide seed fund if any start-up comes forward to work on such a project.
“Beginning to wonder if it’s time to consider having our own social networking company that is very widely owned, professionally managed and willingly regulated. Any relevant Indian start-ups out there? If any young teams have such plans, I’d like to see if I can assist with seed capital,” he said in the Tweet.
What followed is a flood of comments with project ideas in various stages of development and suggestions on how an indigenous social network should look like. This post went viral with over 1,600 people re-tweeting it by the evening.
“Look forward to work with you and selected teams to build a next gen #social3.0 network, out of India,” Jaspreet Bindra, a start-up advisor who has been asked to receive the ideas, said.
He felt that using Blockchain in a social network would make it secure from breaches.
“I have developed a social networking platform that not only provides to share content but also makes advertising and sales a lot more accessible to the general audience,” a fledgling entrepreneur said."
88,2018-04-05,Mahindra Mahindra,"Mahindra to sell Trakstar tractors in six more States
Mahindra & Mahindra plans to launch its Trakstar range of tractors in six more States as part of its Phase II growth plans.
The company introduced its new range of tractors under Trakstar, the third tractor brand of Mahindra, across Uttar Pradesh, Bihar, Jharkhand, Orissa and West Bengal in September 2017. The new brand comes from Gromax Agri Equipment, a subsidiary of Mahindra.
“The tractors have been well-received and the feedback from dealers and customers has been positive. We are expanding the sales to more States that will include Madhya Pradesh, Maharashtra, Chhattisgarh, Gujarat, Rajasthan and Assam,” Harish Chavan, Chief of International Operations, Farm Equipment Sector, M&M, told BusinessLine.
“We are targeting farmers looking for affordable mechanisation solutions. The Trakstar range will be present across 30-50HP category. The company also has enhanced its portfolio with the Trakmate range of implements which includes cultivators and rotavators,” he added.
M&M is seeing an increase in market share in the 30-50HP category since launch and it hopes to maintain the momentum with network expansion in the coming months.
“We plan to increase the footprint of Trakstar tractors and Trakmate implements in focussed States through new retail points and expanding dealer network,” he said.
Industry analysts point out that with the product range covering 80 per cent of the market, it would help M&M garner 3-4 per cent market share, with gains coming from the lower end non-premium segment.
“Cannibalisation from Trakstar would be limited, as there would be no Mahindra branding. Also, the target segment is the price-conscious buyer, who wouldn’t have considered the Mahindra or Swaraj brands in the first place,” a report of financial services company Prabhudas Lilladher said."
87,2018-04-11,Mahindra Mahindra,"Mahindra Defence inks pacts with Japanese, Israeli firms for UAVs and seaplanes 


SP Shukla, Group President — Aerospace, Defence and Steel, Mahindra Group and Chairman, Mahindra Aerospace
   -  BusinessLine




SP Shukla, Group President — Aerospace, Defence and Steel, Mahindra Group and Chairman, Mahindra Aerospace
   -  BusinessLine


 The Mahindra Group announced two partnerships for its foray into new areas in the Defence business – one with Israeli company Aeronautics for naval shipborne UAVs (unmanned aerial vehicles) and the other with Japan-based ShinMaywa Industries Ltd for naval seaplanes.
Aeronautics and Mahindra plans to supply UAV system that can be launched and recovered from Indian warships.
“It’s our first foray into UAVs (popularly called as drones). Aeronautics is a leading manufacturer of UAVs and its products are sold in nearly 55 countries,” SP Shukla, Group President, Aerospace & Defence Sector, Mahindra Group and Chairman, Mahindra Defence, told BusinessLine.
“It’s our first venture in India. We were looking for this kind of partnership and discussed with many other companies. But we found an ideal partner in Mahindra,” said Amos Mathan, CEO, Aeronautics.
Together, they will be bid for the projects that are expected to come from the Indian Navy.
“The partnership covers all aspects of ‘Make in India’ programme that includes transfer of technology, indigenisation and assembly of products in India,” he said.
But other things such as investment, assembly unit, structure of the partnership will be decided after the tenders floated by the Navy.
Explaining USPs of the UAVs, Shukla said Israeli firm’s products offered the most-advanced technologies and UAVs can land even in a small ship. “It has sensors and cameras which are absolutely cutting edge and they light in weight,” he added.
Seaplane partnership 
Mahindra Group and ShinMaywa Industries Ltd of Japan have decided to join together to supply US-2 amphibian aircraft (seaplane) for the Indian Navy.
US-2, manufactured by ShinMaywa Industries, is a modern heavy amphibious aircraft. It has the state of art equipment, lake landing capability, long endurance and extended radius of operations with large payload capacity. It can operate in very rough sea operations.
India and Japan are now discussing the methodology of procurement of Amphibian Aircraft US-2 requirements of the Indian Navy. 
“Our understanding covers an exclusive partnership between the two organisations. Depending on the size which Navy chooses to buy, we will be in a position to indigenise at different levels. Larger the number, more indigenisation can be done. MRO and pilot training have to be done in India notwithstanding the number of planes. We already have pilot training for two major OEMs in India. Navy will have to decide its requirements. But we are ready to serve the country with our products which are ideally suited for their requirements,” said Shukla."
86,2018-04-12,Mahindra Mahindra,"Boeing joins hands with HAL, Mahindra to manufacture F/A-18 fighter jets 


(from left) Pratyush Kumar, President, Boeing India; T Suvarna Raju, CMD, Hindustan Aeronautics Ltd; and SP Shukla, Group President, Aerospace and Defence, Mahindra Group, at an MoU signing ceremony
   -  Bijoy Ghosh




(from left) Pratyush Kumar, President, Boeing India; T Suvarna Raju, CMD, Hindustan Aeronautics Ltd; and SP Shukla, Group President, Aerospace and Defence, Mahindra Group, at an MoU signing ceremony
   -  Bijoy Ghosh


 American aerospace giant Boeing announced its tie-up with Hindustan Aeronautics Ltd and Mahindra Defence Systems to manufacture F/A-18 Super Hornet fighter jets in India.
The announcement comes at a time when the Indian Air Force is looking to procure 110 fighters jets under a $15-billion deal and the Indian Navy is in advanced stages to purchase 57 multi-role carrier borne fighters (MRCBF) for around $12 billion.
“Boeing is excited to team up with India’s only company that manufactures combat fighters, HAL, and India’s only company that manufactures small commercial airplanes, Mahindra. This partnership brings the best of Indian public and private enterprises together in partnership with the world’s largest aerospace company, Boeing, to accelerate a contemporary 21st century ecosystem for aerospace & defence manufacturing in India,” said Pratyush Kumar, President, Boeing India, said here. Boeing had been in talks with HAL and Mahindra for more than a year now for the F/A-18 Super Hornet project. Its partnership with HAL, which already has the competency to build warplanes, is expected to drastically bring down the cost of each F/A-18, which might not be a positive news for the Russians who are looking to offer the advanced MiG-35 at a lower cost compared to others.
“Our partnership with HAL and Mahindra will enable us to optimise the full potential of India’s public and private sector to deliver next-generation F/A-18 fighter capabilities. Together we can deliver an affordable, combat-proven fighter platform for India, while adding growth momentum to the Indian aerospace ecosystem with manufacturing, skill development, innovation and engineering and job creation,” Kumar added.
‘Make in India’ drive
Boeing also said the Super Hornet ‘Make in India’ proposal is to build an entirely new production facility that can be utilised for other programmes such as India’s Advanced Medium Combat Aircraft.
T Suvarna Raju, Chairman and Managing Director, HAL said the partnership with “will create an opportunity to develop capabilities of the aerospace industry and strengthen indigenous platforms in India thereby contributing to the Make-in-India activities.”
Boeing also said the future production with Indian partners will involve maximising indigenous content and producing the F/A-18 in India for its armed forces to create a 21st century aerospace ecosystem.
Future production with Indian partners will involve maximising indigenous content and producing the F/A-18 in India for its armed forces to create a 21st century aerospace ecosystem, the company said in a statement. Companies like Lockheed Martin and SAAB have already announced their joint-venture with Tatas and Adani Group respectively for building the F-16 and Gripen E in India."
