,Date,Company,Article
90,2018-04-26,Maruti,"Maruti gains on S-Cross relaunch 
The country’s top passenger vehicle maker Maruti Suzuki has reaped significant benefits after the relaunch of its SUV S-Cross in October 2017. 
In its all-new avatar with premium looks and host of other features, S-Cross has helped Maruti not only increase the monthly sales but also strengthen company’s presence in the UV segment. 
The average monthly sales of S-Cross were about 3,700 units in the last six months compared with sub-2,000 unit levels earlier.
“We captured the customer demands and addressed them in the new S-Cross. We are glad that customers have liked the all-new S-Cross that features a new fascia which is bold and aggressive. Not just a global design but S-Cross is also equipped with the green Smart Hybrid technology. It is the flagship model of Nexa channel,” RS Kalsi, Senior Executive Director, (Marketing and Sales), Maruti Suzuki India, told BusinessLine.
In 2017-18, S-Cross registered a 44.4 per cent growth in sales with 30,923 units compared with 21,417 units sold in 2016-17. Since the launch in August 2015, the company has sold over 76,400 units of S-Cross.
“S-Cross features best of sedan and a SUV in a single car. It looks like a SUV and drives like a sedan. The interiors have also been upgraded, a soft-touch dashboard and new-age technologies also complement the all-new S-Cross,” said a company official.
S-Cross is retailed through Maruti’s 316 NEXA outlets and the company expects the sales momentum to continue for S-Cross. With strong sales number of Vitara Brezza, Maruti’s other compact SUV, which has been maintaining monthly volumes of more than 11,000 units, and increased volumes of S-Cross have helped Maruti dislodge Mahindra & Mahindra as the top UV maker in the country in 2017-18. 
Vitara Brezza’s sales grew 37 per cent at 148,162 units in FY18 against 108,640 units in FY17. In the UV segment, Maruti sold 253,759 units, which was higher than Mahindra’s volumes of 233,915 units during 2017-18.
“Maruti has been one of the major beneficiaries of consumer preference shift towards SUV, which they have capitalised by launching Vitara Brezza and also relaunching S-Cross last year,” said an auto analyst in a brokerage firm."
89,2018-04-29,Maruti,"Seven of top 10 cos add ₹69,918 cr in m-cap
 Seven of the 10 most valued Indian companies together added ₹ 69,917.79 crore in market valuation last week, with RIL emerging as the biggest gainer.
 While Tata Consultancy Services (TCS), Reliance Industries Ltd (RIL), ITC, HUL, HDFC, Infosys and Kotak Mahindra Bank saw rise in their market valuation for the week ended Friday, HDFC Bank, Maruti Suzuki India and ONGC suffered losses. 
Among gainers, RIL’s valuation zoomed ₹42,255.18 crore to ₹6,30,185.08 crore. The market capitalisation (m-cap) of TCS jumped ₹9,265.16 crore to ₹6,61,348.08 crore and that of Kotak Mahindra Bank soared ₹6,513.29 crore to ₹2,26,510.88 crore.
 IT bellwether TCS on Thursday became the first Indian company to close the trading session with over USD 100 billion market valuation. HDFC’s m-cap advanced by ₹4,390.79 crore to ₹3,11,352.38 crore and that of ITC gained ₹4,027.42 crore to ₹3,40,804.94 crore. The m-cap of Hindustan Unilever Ltd (HUL) rose by ₹1,958.9 crore to₹ 3,19,170.59 crore and that of Infosys went up by ₹ 1,507.05 crore to ₹ 2,58,851.82 crore.
 In contrast, HDFC Bank’s market cap slumped ₹9,887.3 crore to ₹4,98,996.93 crore. Maruti lost ₹7,831.42 crore to ₹2,65,164.37 crore and ONGC shed ₹2,053.31 crore to ₹2,31,960.73 crore in m-cap.
 In the ranking of top-10 firms, TCS stood at number one position, followed by RIL, HDFC Bank, ITC, HUL, HDFC, Maruti, Infosys, ONGC and Kotak Mahindra Bank. Over the last week, the Sensex surged 554.12 points, or 1.61 per cent to end at 34,969.70."
88,2018-04-30,Maruti,"Q4 results of Maruti, Bajaj Corp point to operational efficiency 
Performance of companies such as Bajaj Corp and Maruti Suzuki in the March 2018 quarter, especially on the operational front, has been encouraging.
Growth of 8 per cent year-on-year each in net sales and operating profit of Bajaj Corp in Q4FY18 has been in line with analysts’ expectations and was backed by good volume growth (overall 6 per cent) and control over operating costs.
Maruti’s topline growth of 15.4 per cent was led by strong volume growth (including healthy rural demand) and better product mix (higher share of petrol version). However, the company’s operating performance was affected by higher-than expected increase in employee costs and other expenses.
While Bajaj Corp’s management highlighted green-shoots of recovery in rural demand, it does not expect FY19 to see meaningful recovery in sales. However, it said rural sales will outpace urban sales for the third consecutive quarter.
Against this, Maruti sees double-digit volume growth in FY19 compared to high single-digit growth for the industry on strong demand in both rural and urban markets. In FY18, rural volumes increased by 15 per cent and rural market accounted for 36 per cent of Maruti’s domestic volumes.
Good performance along with the optimistic outlook by Maruti bodes well for most other companies in the automobile sector as almost all segments are doing well."
87,2018-05-02,Maruti,"Auto stocks vroom on strong April sales


Tata Motors' April domestic sales of commercial and passenger vehicles surged 86 per cent.




Tata Motors' April domestic sales of commercial and passenger vehicles surged 86 per cent.


 Shares of Indian auto companies rose on strong April sales. Tata Motors Ltd jumped as much as 3.3 per cent, and Maruti Suzuki India gained as much as 2.1 per cent. TVS Motor Co, Mahindra and Mahindra Ltd and Bajaj Auto rose between 0.7 per cent and 1.2 per cent.
Tata Motors' April domestic sales of commercial and passenger vehicles surged 86 per cent, with medium and heavy commercial truck segment jumping 317 per cent, helped by government’s focus on infrastructure development and road construction.
Maruti Suzuki India's April sales jumped 14.4 per cent. Sales of TVS Motor, Mahindra and Mahindra, and Bajaj Auto rose 22-26 per cent. Eicher Motors' April motorcycles sales rose 27 per cent, while trucks and buses sales climb 28 per cent.
JP Morgan analysts say 6-10 per cent growth “across segments is achievable” going into FY19. Macquarie analysts are optimistic on the auto industry to sustain healthy growth in 2018, “led by higher income growth, rural demand revival and rise in infrastructure spend”.
Maruti has remained as the top pick for at least two brokerages, Nomura and Macquarie, given its high volume visibility and market leading growth."
86,2018-05-09,Maruti,"Maruti rolls out Vitara Brezza with AGS starting at ₹8.54 lakh


Maruti Suzuki India (MSIL) has introduced its Vitara Brezza with a new, enhanced look, and with the option of auto gear shift, priced between ₹8.54 lakh and ₹10.49 lakh (ex-showroom, Delhi).
The SUV launched on Wednesday will give tough competition to the likes of Ford EcoSport, Tata Nexon and Mahindra TUV300 who are already offering such technology in their vehicles. 
The exterior and interior features have been given a makeover. 
The new alloy wheels add sportiness to the SUV's muscular wheel arches, the company said.
To complement the premium look, the front door chrome grille and back door chrome garnish have been made standard across all variants. The interiors have been refreshed with an all-black colour scheme and complementing accents, it said.
“Vitara Brezza has been a game-changer for India’s SUV market. We have enhanced its allure to meet the aspirations of our young customers. They now have the option of auto gear shift, the acclaimed two-pedal technology, for enhanced convenience. AGS has been very well accepted by customers, and sales of AGS variants in the Maruti Suzuki portfolio have tripled in three years,"" said RS Kalsi, Senior Executive Director (Marketing and Sales).
Launched in 2016, Vitara Brezza had garnered cumulative sales of around 2.75 lakh units. 
In 2017-18, the company had sold 1,48,462 units. Its average monthly sales stands at over 12,300 units. Top variants (Z/Z+) contribute 56 per cent of its total sales, the company said.
Vitara Brezza now complies with advanced safety regulations, including pedestrian safety, ahead of regulation timelines. 
The refreshed Vitara Brezza comes with new safety features comprising ISOFIX child restraint system, high speed warning alert, dual air bags, ABS with EBD, reverse parking sensors and front seat belt pre-tensioners and force limiters, the company added."
84,2018-05-31,Maruti,"Tata Motors shares underperform four-wheeler peers 
Tata Motors’ shares have underperformed its four-wheeler peers namely Maruti Suzuki and M&M over the last decade. While Tata Motors’ market capitalisation has grown around four times, those of Maruti and M&M grew 12 and 7 times, respectively as on May 30, according to data provided by Capitaline.
The market capitalisation of Maruti Suzuki is now almost triple that of Tata Motors (in 2008, Tata Motors was ahead of Maruti Suzuki by ₹382 crore). The valuation gap between Tata Motors and Maruti Suzuki has exploded because of superior financial performance by the latter, thanks to a boom in the domestic passenger vehicles market, Maruti’s continued market leadership and successful launches.
Compounded annual growth rate in sales and adjusted net profit of Maruti have seen it outperform Tata Motors on three-, five-, and 10-year basis (ending FY17) .
In FY18, Maruti’s topline growth of 17 per cent exceeded Tata Motors’ 9 per cent, but profit growth of 5 per cent was lesser than that of Tata Motors.
The gap between Tata Motors and M&M was 1.5 times in 2008 but the latter was able to bridge the gap and surpassed Tata Motors on April 25 this year.
In FY18, M&M’s performance was better than Tata Motors, with the former registering sales and adjusted net profit growth of 10 per cent and 59 per cent, compared to 9 per cent and 15 per cent by the latter.
Eicher comes closer
Not only four-wheelers, but the market capitalisation of two-wheeler major Eicher Motors (best-performing automobile stock) too, is now close to Tata Motors.
The gap in market capitalisation has reduced dramatically — from 25 times to 1.1 times in a decade.
This is because Eicher Motors has exhibited stupendous jump in profitability consistently in the last decade (ending FY17) — best among automobile companies — though topline growth has underperformed Tata Motors.
Based on average target prices estimated by analysts, the Tata Motors stock provides the highest upside potential of 37 per cent among the four stocks mentioned above, only because of its huge past underperformance and lowest FY20 price-to-earnings multiple of around 10 times.
Otherwise, the outlook on business is worrisome. “Undemanding valuation post steep correction makes the risk-reward favourable in our view. Near-term demand outlook for JLR remains challenging due to weakness in key markets of the UK, Europe and the US. For standalone business though, outlook is strong, helped by strong macro and likely improvement in market share trends,” said Jefferies on Tata Motors.
M&M, analysts’ favourite
Analysts unanimously vote for M&M due to reasonable valuation amid good fundamentals. Analysts expect 13 per cent rise in its stock price. There are mixed views on Eicher Motors, which is trading at 25-30 times FY20 estimated earnings. According to analysts’ target price, there is a potential for gains of 16-18 per cent in Maruti and Eicher. “We continue to like Maruti’s unique moats, though valuation (23x FY20E versuss five- and 10-year median at 17/20x) leaves little upside,” said HDFC Securities, which has a neutral rating. Elara Capital recommends to accumulate the Maruti Suzuki stock."
83,2018-06-04,Maruti,"WagonR EV in 2020 will be Maruti’s first


Decision on plant location MSIL sources said there were “many options” in respect of the manufacturing facility




Decision on plant location MSIL sources said there were “many options” in respect of the manufacturing facility


Maruti Suzuki India (MSIL) is likely to launch its first electric car in 2020 with an e-version of WagonR, being developed in partnership with Toyota.
According to industry sources, Suzuki will convert the tested WagonR, which has had a great run for two decades.
“WagonR EV will be the first electric car to be launched by the company, in 2020. It will most likely be manufactured at Suzuki’s plant in Gujarat as the battery manufacturing facility of the partnership among Suzuki, Toshiba and Denso (a Toyota Company) is also coming up there,” a person in the know told BusinessLine.
‘Many options’
Sources at Maruti Suzuki India Ltd (MSIL) said the manufacturing facility has not been decided yet.
“There are many options. People think it will be the Gujarat factory because the battery plant is there, but it can be from any of the plants in Manesar or Gurugram (in Haryana),” said an MSIL official.
The Gurugram factory
Currently, the WagonR is manufactured at the Gurugram factory; that may continue in the future too even if the the battery and related parts are sourced from Gujarat. Most other parts are sourced from the Gurugram-Manesar belt for the petrol and CNG versions of the car.
Launched in 1999, the WagonR has proved popular with buyers; MSIL has sold more than 20-lakh units of the car, which is available in both manual and auto-gear shift versions.
“It makes sense for the company to make an electric version of WagonR as it is a five-seater and can hold the weight of the battery better than the Alto. The company has to fit the battery, controller and motor, but all the other parts can remain the same,” another person aware of the development said.
BusinessLine sought confirmation of the e-vehicle launch from both MSIL and Toyota Kirloskar Motor (TKM).
‘No comments for now’
Both companies declined to deny or confirm the development, merely saying, “As a matter of policy, we do not comment on future product plans or strategy, till they are ready for announcement.”
According to industry experts, the Suzuki-Toyota joint venture is a win-win deal for both the companies and for users too.
“With this partnership, Indians can get access to future technology at an affordable price. Toyota, a top world player, will provide technology, and Suzuki will build it at scale with its expertise in India,” Puneet Gupta, Associate Director at IHS Markit, said.
By 2020, India is expected to have better EV infrastructure, and since MSIL has the maximum number of selling outlets in India, the market for EVs is expected to meet the government’s 2030 target for EVs.
Suzuki-Toyota pact
Suzuki and Toyota had agreed in February 2017 to jointly develop future products and sell in the Indian market, and also make India a manufacturing base to export future products to Africa and other markets.
According to their latest announcement, Denso Corporation and Toyota will provide Suzuki with technological support for a compact, ultra high-efficiency power train too, to be developed by Suzuki.
Also, while TKM will sell Baleno and Vitara Brezza made by Suzuki from its outlets, MSIL will sell Corolla Altis through Maruti’s network across India."
82,2018-07-05,Maruti,"Maruti Suzuki hits near 3-month high
 Shares of Maruti Suzuki India Ltd gained as much as 1.12 per cent to Rs 9,324.4, their highest since April 11.
The stock broke above a resistance at Rs 9,249, the 14.6 per cent Fibonacci projection level of the uptrend from February 29, 2016, low to December 20, 2017 high. As long as support at Rs 9,249 holds, stock may test resistance at Rs 9,861, the 23.6 per cent projection level.
Trend intensity indicator has risen to 15, indicating the start of a new uptrend, MACD is also positive and above its signal line. The stock’s wave pattern suggests it is in the final wave of a five-wave cycle. The stock was up 5.4 per cent in the last one month as of previous close. It has outperformed broader NSE Index’s 1.33 per cent gain."
81,2018-07-25,Maruti,"Maruti Suzuki preparing for the next stage — Design in India, says CEO


RC Bhargava, Chairman, Maruti Suzuki India




RC Bhargava, Chairman, Maruti Suzuki India


Maruti Suzuki India is confident of selling two million vehicles by fiscal 2019-20, up from 1.64 million (domestic sales) in 2017-18. It hopes to sell three million units by 2025.
“We hope that the two-million mark will be reached in the next financial year and the next goal is three million cars a year by 2025,” RC Bhargava, Chairman, said in the company’s 2017-18 annual report.
In FY18, Maruti outperformed the industry growth for the sixth year in a row. For FY19, it has projected a double-digit growth, higher than the expected industry growth of 8-9 per cent.
In the last three years, there has been a noticeable shift towards petrol vehicles, primarily in the compact segment. 
Within passenger vehicles, the company’s sales grew16.8 per cent in the petrol segment and 7.1 per cent in the diesel segment, said the report.
Bhargava said the contract manufacturing arrangement with Suzuki Motors Gujarat is working satisfactorily. 
The first production line is in full swing and the second line will be commissioned early in 2019. 
Work has started on a third line expected to be commissioned by early 2020.
He said the country’s car market is unique in that 75 per cent of the cars sold are below 4 metres in length and cost under ₹6.5 lakh at the factory level.
“As we gradually increase the percentage of electrified vehicles, a very large number of internal combustion engine vehicles would also be produced to meet the total demand. It would be better to use alternative technologies and fuels that reduce the consumption of petrol and diesel, rather than produce only electric cars and internal combustion cars,” he said.
He felt that it would be a good intermediate step to expand the usage of clean fuel such as CNG.
Kenichi Ayukawa, Managing Director & CEO, said, in the report, that the company’s R&D centre at Rohtak was building capabilities for future needs and the company would like to proceed to the next stage - Design in India."
80,2018-07-26,Maruti,"Maruti Q1 net up 27% 
The country's largest passenger car manufacturer Maruti Suzuki India (MSIL) on Thursday reported a net profit of ₹1,975 crore for the first quarter ended June 30, up 27 per cent compared with ₹1,556 crore in the corresponding period last year.
Total income also rose by 11 per cent year-on-year (YoY) to ₹22,731 crore during the April-June quarter, up 11 per cent against ₹20,460 crore in the same period in 2017.
The company sold a total of 4,90,479 vehicles during the quarter, a growth of 24 per cent over the same period in the previous year. Sales in the domestic market stood at 4,63,840 units, a growth of 26 per cent. Exports were at 26,639 units, the company said. “While the industry grew by 19.9 per cent, we grew by 25.9 per cent,” Ajay Seth, Chief Financial Officer, MSIL, told analysts, adding that demand for petrol vehicles also continued to outstrip those of diesel heavily.
“For the industry, the demand for petrol vehicles is 62 per cent of the total sales, but for us it is 72 per cent,” he said. Seth added that during the first quarter, increase in commodity prices, especially that of steel, had an impact. “Since the fourth quarter last fiscal, there has been an uptick in commodity prices. Especially, steel has seen a sizeable increase and some of the impact of that is getting reflected in the first quarter,"" he added.
RS Kalsi, Senior Executive Director (Marketing and Sales), said that more demand was coming in from the rural markets following good monsoon and increase in MSP of crops by the government.
The company’s scrip closed at ₹9396.65 on the BSE on Thursday, down 3.70 per cent from the previous close."
77,2018-08-01,Maruti,"Japanese picture-book to offer kids a sweep of good-living ideas


Students of Girls Govt Primary School in Manesar, Gurugram, learn the principles of ‘Reduce, Reuse, Recycle and Respect




Students of Girls Govt Primary School in Manesar, Gurugram, learn the principles of ‘Reduce, Reuse, Recycle and Respect


Japan’s ‘Mottainai Grandma’ a picture book by Japanese publication, Kodansha, has come to India with the objective of promoting the ‘Clean India’ mission by creating environmental awareness among students.
School children between 9-12 years will take part in the activity and learn the values of cleanliness, use of resources and consciousness towards the environment. The inaugural session was conducted on Tuesday at the Girls Government Primary School in Manesar.
The story-telling sessions are being conducted by Maruti Suzuki India Ltd along with the Japan International Cooperation Agency (JICA). The book is adapted in Hindi and English in collaboration with the National Book Trust (NBT).
“Mottainai is a thoughtful Japanese word which means ‘Do not Waste’. The interactive method reinforces the age old practice of story-telling in India. With Mottainai Grandma, these students will retain the lessons for life. We are confident that this activity will strengthen our community development projects by driving behavioural change and contribute to the government’s Swachh Bharat Mission,” said Ajay Tomer, Executive Director, Corporate Planning, Maruti Suzuki India Ltd.
“Among many things, Japan promotes the culture of cleanliness and respect for natural resources, which aligns with the concept of ‘Mottainai’ - Reduce, Reuse, Recycle plus Respect - are perhaps the most important values that Japan continues to contribute to the rest of the world,” said Kubo Eiji, Director, Private Sector Partnership Division and Finance Dept, JICA.
A caravan, a Maruti Suzuki Super Carry, loaded with over 300 books will accompany the story-telling troop as a mobile library. The troop will visit 30 schools in Delhi, Gurugram and Manesar."
78,2018-08-01,Maruti,"Maruti Suzuki falls over 2% on lower sales
Shares of the country's largest passenger car manufacturer, Maruti Suzuki India, fell as much as 2.1 per cent to Rs 9,308.55 against the previous close of Rs 9,506.40.
After opening strong at Rs 9,512, the stock touched intraday high of Rs 9,590 and a low of Rs 9,308.55 on the BSE. On the NSE, the stock hit intraday high of Rs 9,587.75 and a low of Rs 9,301.40. 
At 11.45 am, the company shares were 1.87 per cent at Rs 9,328.90 on the BSE. On the NSE, the stock was down 2.14 per cent at Rs 9,316.40. In terms of equity volume, 0.27 lakh shares changed hands on the BSE. 
The company has reported domestic sales of 1,52,427 units of passenger vehicles in July, marginally down compared with 1,53,298 units in the same month last year. The compact segment (like Swift, Dzire, Baleno) contributed the most to the numbers with 74,373 units (63,116 units).
Click here to read more"
79,2018-08-02,Maruti,"Maruti Suzuki: Facing roadblocks 
Volume growth of 25 per cent, along with a 2 per cent rise in realisations due to a superior product mix, helped Maruti Suzuki record a 27.3 per cent year-on-year rise in revenues to ₹21,811 crore in the quarter-ended June 2018. The company saw some pressure on operating margins from the depreciation of the rupee versus the yen and a rise in input prices.
Yet, cost-control efforts, along with lower advertising expenses, helped margins expand to 14.9 per cent from 13.3 per cent a year ago. Operating profits grew by 43 per cent to ₹3,351 crore. Lower other income, which dropped 60 per cent, as well as a 22 per cent rise in taxes prevented this robust performance from reaching the bottomline. Thus, despite a strong show on the operational front, net profits grew only by 27 per cent to ₹1,975 crore. Given the rise in commodity prices and the rupee depreciation, operating profits and margins may come under pressure in the coming quarters. While many automakers have announced price hikes to cover cost increases, Maruti is yet to bit the bullet.








 
With the stock climbing steadily upwards, thanks to robust performance in the last few quarters as well as strong growth expectations, the trailing PE stands at 34.5 times higher than the three-year average of 29 times.
Lower-than-expected profit growth already prompted a 3.7 per cent fall in the stock last Thursday after the results announcement."
