,Date,Company,Article
30,2019-05-04,NTPC,"NTPC: High on power
India’s largest coal-based power producer — NTPC — is one of the few power companies that will add new thermal capacity over the next three years. Given its robust position in the power segment, stable plant load factor (PLF) and attractive valuation, investors with a two to three-year horizon can buy the company’s shares. It also has a near-monopoly in thermal power production and is the largest power utility company in India. It delivers solid dividend yield to investors consistently, which makes it an attractive proposition.
NTPC’s coal-fired power plants had the highest PLF in the industry of 77.70 per cent for the quarter ended December 2018, according to data from Central Energy Authority.
The company’s trailing 12-month price-to-earnings multiple or PE ratio of 12.41 times is in line with its three-year average. The price-to-book value ratio of 1.27 is still inexpensive. Though not strictly comparable, JSW Energy trades at triple-digit trailing price-earning multiples.
The stock corrected over 25 per cent from its peak last year, before rallying smartly once again over the past few months to its current price level of ₹134.
It is a relatively stable and a somewhat defensive bet. NTPC pays dividend consistently and yields were above 4 per cent over the past few years, making it an attractive bet for medium-risk investors.
As India’s leading power producer, NTPC is poised to benefit from the increase in demand for electricity. The peak power demand in FY19 stood at 177 GW (1GW=1,000 MW) and is expected to reach 225.75 GW by the end of FY22. NTPC is one of the few power producers investing in new thermal capacity and has coal linkages for most of its power plants; any shortage of coal from Coal India Ltd will be made up through imports. For the quarter ended December 31 2018, domestic coal (from Coal India and captive mines) made up nearly 99.6 per cent of its total fuel intake. NTPC’s regulated cost-plus and return-on-equity model provides enough predictability to cash flows. The company can charge a rate of return over and above its cost and is assured a fixed ROE from its plants, provided it achieves a certain PAF (plat availability factor).
The new Central Electricity Regulatory Commission’s norms for 2019-2024 maintained a base case return on equity (ROE) at 15.5 per cent, but capped the equity to be considered for ROE calculation for plants above 25 years old at 30 per cent, which is lower than expected. The plant availability factor (PAF) threshold — the amount of time the power plant is available to generate electricity — is 83 per cent under the norms. Maintenance shut-downs will not be taken into consideration to calculate the PAF.
This will help cushion base PAF. Fixing a standard loss of 85 Kcal/kg on coal when received by thermal power producers, will reduce raw material cost, thus boosting the ROE. However, splitting fixed cost recovery into peak and off-peak periods, along with stringent working capital norms, evens out any gains that would have accrued. The new norms are balanced for NTPC.
India’s move towards cleaner power production will not have much impact on NTPC. The company has most of its upcoming commercial capacity addition linked with long-term power purchase agreements with state discoms (distribution companies). As of December 31, 2018, the NTPC Group had total installed power capacity of 53,166 MW, of which commercially available capacity is 51,706 MW. NTPC has a pipeline of 30,000 MW of thermal power projects, which will go on stream over the new few years.
NTPC recently bid and won an 85 MW solar project from Uttar Pradesh. By 2032, it plans to have 32,000 MW of renewable energy capacity.
Delays in clearing bills by discoms have weighed on most power producers, and NTPC is no different. The company is working with State Governments to make sure its dues are cleared. Andhra Pradesh undertook a bond issue in February to clear some of its overdue power bills.
On overdues above 60 days, NTPC will earn a penalty from discoms of 1.5 per cent a month. As of March 2019, overdues above 60 days amounted to ₹5,985 crore out of a total of ₹10,260 crore, according to the Centre’s Praapti portal.
Maintaining the PAF above 83 per cent will allow NTPC to recover fixed costs through tariff; else, it will lead to under-recoveries. It works in two ways; the power plant is either not available for production due to maintenance, repairs or there isn’t enough fuel available to ensure the PAF above the prescribed threshold. NTPC expects the under-recovery in FY19 to be around ₹750 crore, nearly half the ₹1,400 crore figure in FY18. It has also made efforts to tie-up fuel for its power plants.
NTPC reported a net profit of nearly ₹7,400 crore for the nine months ended December 31 2018, down 0.2 per cent compared with the same period in FY18. Revenues were ₹69,085 crore, up 14.5 per cent. Under-recovery in Q3FY19 dragged the company’s profitability down a little; this is expected to reduce from Q4FY19 onwards. As of September 30 2018, NTPC had a cash balance of around ₹4,359 crore.
The company has a reasonably low debt-to-equity ratio of 1.15, while long-term debt to equity ratio is 1.04 as of March 31 2018."
29,2019-06-17,NTPC,"Five girls from NTPC’s Super 30 Girls programme crack JEE


A total of five girls of power generating company NTPC’s ‘Super 30 girls’- programme have cracked the JEE (Advanced) exam 2019.
The objective of the year-long residential programme is to coach girl students from economically weaker families for the IIT- JEE.
As part of this initiative, rolled out in association with the Centre for Social Responsibility and Leadership (CSRL), NTPC bears the entire cost of boarding, lodging and coaching for the girl students belonging to underprivileged families, said the statement.
Started on July 1, 2018 the programme had 25 girls studying at the ‘NTPC Super 30 Girls’ centre in Varanasi. These students were selected from various Government schools in Varanasi and Lucknow.
After an MoU was signed by the NTPC Northern Region Headquarter in Lucknow and CSRL, New Delhi, NTPC and CSRL jointly initiated the Rs 77.03 lakh-programme for 30 girls selected from families living in the vicinity of NTPC plants in the northern region.
During the tenure of the project, the students were provided free stay and food and were imparted coaching and training to sit for the entrance examinations (IIT/JEE/NIT) that would help them gain admission to eminent institutes in the country."
28,2019-06-19,NTPC,"Dispute resolution panel to be set up for solar, wind projects implemented by SECI, NTPC 


Solar and wind power industries have been demanding setting up such a dispute resolution mechanism




Solar and wind power industries have been demanding setting up such a dispute resolution mechanism


 The Ministry of New and Renewable Energy (MNRE) has decided to set up a three-member dispute resolution committee (DRC) to look into disputes beyond contractual agreements between solar or wind power developers and Solar Energy Corporation of India (SECI) or state-run power giant NTPC.
This mechanism will cover all those projects that would be implemented through or by SECI and NTPC.
Solar and wind power industries have been demanding such a dispute resolution mechanism.
 “It is felt that there is need to erect a transparent, unbiased dispute resolution mechanism, consisting of an independent, transparent and unbiased DRC), for resolving the unforeseen disputes that may arise in implementation of contractual agreements and also for dealing with issues which are beyond the scope of contractual agreements between solar power developers/ wind power developers and SECI / NTPC,” an MNRE office order said.
According to the order, a three-member DRC will be set up with the approval of the new and renewable energy minister, consisting of eminent persons of impeccable integrity. The upper age for the DRC members shall be 70 years, and its members shall be chosen from the eminent persons located in Delhi-NCR to avoid expenditure on air travel and accommodation.
 The selection of the DRC members would be such that there is no conflict of interest involved. The mechanism of DRC will be applicable for all solar or wind schemes, programmes and projects being implemented through or by SECI and NTPC.
 The DRC will consider cases including appeal against decisions given by SECI on extension of time requests based on terms of contract and all requests of extension of time not covered under the terms of contract.
 It will examine all such cases referred to it, including the cases where the developer is not satisfied with the decision of SECI or NTPC and it decides to appeal after paying the required fee. The order said the recommendations of the DRC, along with the MNRE’s observations, will be placed before the new and renewable energy minister for final decision.
To arrive at any decision, the Committee will be free to interact with the relevant parties of the case and shall record their views. No lawyer shall be permitted to present the case before the DRC, it added."
27,2019-06-20,NTPC,"NTPC bags 160 MW solar order from Rajasthan
NTPC, which participated in the 750-MW tender floated by Solar Energy Corporation of India (SECI) for Rajasthan, has won 160 MW of solar capacities at a levelised tariff of ₹2.50/unit, applicable for 25 years. The project would be developed by NTPC under the EPC mode and shall add to the installed capacity of NTPC. Shares of NTPC closed flat at ₹134.55 on the BSE."
26,2019-06-25,NTPC,"NTPC wins 40-MW solar project in UP


File photo




File photo


NTPC, which participated in the UPNEDA’s tender for 500-MW solar capacity, on Tuesday won bids for 40-MW of solar capacity. The company had bid for two 20-MW each at Auraiya and Rihand. The reverse auction was carried out on Tuesday and NTPC won the entire 40-MW of solar capacity bid at a levelised tariff of ₹3.02/kWh applicable for 25 years. These projects would be set up by NTPC under the EPC mode. Shareholders will closely monitor the execution by NTPC."
25,2019-06-26,NTPC,"NTPC hits 3-month high; technicals suggest more upside


An aerial view NTPC Thermal Power Station. File Photo
   -  K R Deepak




An aerial view NTPC Thermal Power Station. File Photo
   -  K R Deepak


Shares of NTPC Ltd gain as much as 2.5 per cent to ₹141.9, their highest since March 26. The stock breaks a resistance at ₹140.06, the 50 per cent Fibonacci projection level on the uptrend from February 13 low to March 26 high.
At 10.20 am, the stock of NTPC was trading 1.58 per cent higher at ₹141.10.
The breakout suggests, in a couple of days, stock may test the next resistance at ₹144.23, the 61.8 per cent projection level. The stock had cut above its parabolic SAR on Monday, seen supportive of further gains.
MACD turns positive and is above its signal line. Wave pattern suggests the stock is in the third wave; typically the longest wave of a five-wave uptrend.
The stock is up 11.47 per cent this year, as of last close, compared with the broader NSE Index's 8.6 per cent gains in the same period."
24,2019-06-27,NTPC,"Anil Swarup, M F Farooqui, A K Dubey to form MNRE’s three member-dispute resolution committee


The Power Minister has formed a dispute resolution committee to resolve unforeseen disputes between renewable energy players and government agencies. It will address disputes between the solar/wind power developers and the Solar Energy Corporation of India/NTPC.
This committee is comprised of three former civil servants, MF Farooqui (former DOT Secretary/ Heavy Industry Secretary), Anil Swarup (former Coal Secretary/School Education Secretary) and A K Dubey (former Sports Secretary).
The decision to set up the committee was announced earlier this month. This mechanism covers all those projects that would be implemented through or by SECI and NTPC.
“It is felt that there is need to erect a transparent, unbiased dispute resolution mechanism, consisting of an independent, transparent and unbiased DRC), for resolving the unforeseen disputes that may arise in implementation of contractual agreements and also for dealing with issues which are beyond the scope of contractual agreements between solar power developers/ wind power developers and SECI / NTPC,” an MNRE office order had said.
The DRC will examine all such cases referred to it, including the cases where the developer is not satisfied with the decision of SECI or NTPC and it decides to appeal after paying the required fee. The order said the recommendations of the DRC, along with the MNRE’s observations, will be placed before the new and renewable energy minister for final decision.
To arrive at any decision, the Committee will be free to interact with the relevant parties of the case and shall record their views. No lawyer shall be permitted to present the case before the DRC, the MNRE order added."
23,2019-07-01,NTPC,"NTPC at over 9-month high, may rise further 
 


Shares of NTPC has gained as much as 2.72 per cent to ₹145.2, their highest since September 18, 2018
The stock broke above a resistance at ₹144.23, the 61.8 per cent Fibonacci projection level on the uptrend from February 13 low to March 26 high. A close above this level may lead to further rise towards a resistance at ₹149.39, the 76.4 per cent projection level, in the near term.
The wave pattern suggests that the index is in the third wave, typically the longest wave of a five-wave uptrend. 
The trend intensity(TI) indicator rises two points to 22, suggests that prices are trending upwards. The MACD is positive and above its signal line, seen favourable for the index.
The stock up 13.8 per cent this year, as of last close, compared with the broader NSE Index's 8.5 per cent gains in the same period."
22,2019-07-28,NTPC,"Discoms make a beeline for cheaper power supplied by NTPC under SCED system 
 A large number of discoms are making a beeline for the power supplied by NTPC under the SCED system which facilitates supply of cheaper electricity on priority, industry sources said.
 Under SCED (Security Constrained Economic Dispatch), implemented over a year ago, power generating companies raise capacity utilisation of more efficient plants or of those units which are located closer to coal mines and thus have lower freight cost. 
 As a result, the cost of power production goes down, which benefits both the distribution companies (discoms) and end consumers.
 The mechanism then pools supply from selected stations on a national-level ‘merit order’, under which power is first dispatched from lower fuel cost units whenever any state seeks electricity from the central pool.
“A large number of discoms are availing benefit under the SCED system to get cheaper power supplies,” a source said.
“Power purchase cost of cash strapped power distribution companies has started to come down under the new SCED programme,” the source added.
 According to an estimate, discoms are expected to save as much as Rs 2.5 crore per day due to this mechanism that allows states to access cheaper power first.
 There are currently 49 thermal power plants as part of the SCED pilot project with a total installed capacity of 56 GW.
All stations of NTPC are contributing to the central pool. This optimisation scheme has a cost saving potential of around Rs 3,000 crore per year if all coal stations of the IPPs (independent power producers) and state generation companies are brought under its ambit.
 The arrangement where POSOCO (Power System Operation Corporation) has been given the flexibility to reschedule power from lower fuel cost units first means that even after adding transmission charges, the final tariff is still lower than most of the contracts signed by these entities.
 NTPC is best equipped to offer power at lower cost to the central pool since a number of its units have lower fuel costs and have been operational for decades now, which translates into lower fixed cost as well, another source said.
 The gross power generation of the the NTPC Group for 2018-19 was 305.90 billion units (BUs) as against 294.27 BUs during the previous year. The average power tariff of the firm was Rs 3.38 per unit in 2018-19."
21,2019-09-01,NTPC,"NTPC: Generating power 
NTPC’s shares have been volatile since the announcement of the June quarter results. The broader market volatility also played its part, but some element of pessimism seems to have crept in after the results came in.
There were many one-off items that depressed the company’s profits. This left the street wondering whether there is more pain in store.
But a pipeline of projects that will come on stream over the course of 2019-20 and till 2021-22 (nearly 15 GW) makes its current valuation look attractive. The stock trades at eight times its trailing 12-month earnings as against its historical three-year average of 12 times.
NTPC’s possible acquisition of the government’s stake in SJVN and NHPC has also weighed heavily on the stock.
The fear among investors seems to be that if NTPC buys NHPC or SJVN to fund the government’s disinvestment targets, it could curtail its dividend. NTPC is currently a high dividend- paying PSU (dividend yield of 4-5 per cent).
 








 
 
While these are concerns, the pessimism may be slightly overdone. The pipeline of projects, offering good revenue visibility, lends comfort to earnings over the next three years.
The net profit in the June quarter at the standalone level was flat at ₹2,603 crore. Revenue from operations grew just 7 per cent to ₹24,193 crore.
At the consolidated level, profit after tax (PAT) was ₹2,840 crore. The standalone profit for the quarter was impacted by a one-time impact of an additional charge under the old deviation- settlement mechanism that occurred in the June quarter.
This had a ₹150- crore impact on the June quarter’s profits. However, since the regulator has exempted power producers from paying this charge henceforth, there will not be any impact in the ensuing quarters.
Additionally, there was a ₹150- crore one-time impact due to use of older inventory of coal at some power plants in the Vindhyachal belt (Uttar Pradesh), which had a low gross calorific value (GCV). This meant the loss of GCV was higher than that permitted by the power regulator’s norms.
Hence, NTPC’s tariffs charged to power distributors were depressed to that extent. This is not expected to recur in the subsequent quarters as the company has fresh coal stocks available.








 
 
Contribution to earnings from NTPC’s subsidiaries and joint ventures is also likely to go up as more projects near commercial operations. The company has also set up a coal subsidiary to undertake all its coal mining activities and sell surplus coal to third-parties.
While concerns over NTPC acquiring the government’s stake in SJVN and NHPC have also weighed on the stock, the management has clarified that discussions with the Centre on an SJVN stake buy had taken place two years ago.
Also, there has been no talk so far of NTPC buying stake in NHPC.
NTPC is still interested in buying SJVN because it would help boost its non-fossil fuel-based power-generation portfolio, and not particularly on account of the government’s insistence alone.
The company has plans of non-fossil fuel-based power to contribute nearly 30 per cent of its 130 GW planned installed capacity by 2032.
There was some apprehension that a strike at one of Coal India’s subsidiaries would hamper power production at three plants, but NTPC says it has signed a long-term fuel supply arrangement with Coal India for an annual contracted quantity of 172 million tonnes per annum. The company’s plan to add nearly 5 GW of installed capacity every financial year till 2021-22 will automatically give a boost to its profits.
This comes at the back of muted commercial capacity addition in 2018-19.
The equity that is currently tied up in the capital work-in-progress or projects under construction will be freed and start earning returns for the company.
At the end of March 2019, the regulated equity base (REB) in projects commissioned stood at ₹53,989 crore; the management expects this to cross ₹ 60,000 crore by the end of 2019-20.
By the end of 2021-22, REB is expected to touch nearly ₹ 86,000 crore.
As more projects are commissioned, the investments made by NTPC in them will start earning returns and add to the cash balance."
19,2019-09-25,NTPC,"NTPC executives to take a call on strike after Navratri: NEFI Chairman
 
The NTPC Executive Federation of India (NEFI) is worried about Modi Government’s proposed plans to dilute the equity in NTPC Ltd below 51 per cent. In a protest against this, 13,000 executives of NEFI could go on a strike after October 7, said NEFI Chairman V K Sharma.
In a telephonic interaction with BusinessLine, Sharma said the strike will affect all the standalone power and joint venture power plants of the company. A call for the strike would be taken by the national council body of NEFI after Navratri celebration, he said.
Sharma also pointed out that the NTPC top management is keeping a studied silence over the matter but NEFI has learnt that the Power Ministry is considering the equity dilution plan.
Navratri celebration ends on October 7 and Dussehra on October 8, power plant shut down would mar the Diwali celebration across the country as NTPC is the largest power in the country.
An NTPC officer told BusinessLine on condition of anonymity that the equity dilution will lead to easy hire and fire policy, it will put a cap on the medical benefits and will negatively affect the company.
NTPC has an installed capacity of 55,786 MW (including 7,801 MW through JVs/Subsidiaries) comprising of 53 NTPC power plants. The company has 22 coal-based plants, seven combined cycle gas and liquid fuel based stations, two Hydro based and one wind-based power plant. It has ten JV stations and 11 other renewable energy projects.
Sharma in a letter addressed to Prime Minister Modi said that “Considering above, NTPC executives are seriously worried about the future of the company in the present context of proposed privatisation/disinvestment/stake sell, which they have built over 44 years with their untiring efforts.”
“Being chief of the nation, it is our earnest submission to your good self to kindly look into the matter and while taking into consideration the strategic importance of core sector CPSEs like NTPC Ltd, we would humbly request your good self to kindly review and shelve Government's plan regarding further disinvestment of government's stake in NTPC Ltd in the larger interest of the country…,” Sharma said.
In an earlier email (August 23) with BusinessLine, the NTPC management had said that the CMD, Gurdeep Singh had met some executives at the Darlipalli power project in Orissa, after media reports had mentioned about the dilution.
It was clarified to them that at present NTPC has no official communication on this issue from the government and employees should not be apprehensive on some unverified media reports."
20,2019-09-26,NTPC,"NTPC commissions first unit of Nabinagar plant
NTPC has announced that Unit-1 of 660 MW of Nabinagar Super Thermal Power Project (3 x 660 MW) of Nabinagar Power Generating Co Ltd (a wholly owned subsidiary of the company) will be declared on commercial operation from September 6. 
The unit-I is the first coal-fired unit, which would be made commercially operational. Work on the second and third units is in progress. The first and second units are expected to go on stream in the current and the next financial years, respectively. 
Shares of NTPC surged 3.26 per cent at ₹123.35 on the BSE."
18,2019-09-29,NTPC,"NTPC’s Unit-I of Lara power project to be operational from October 1 


File photo
   -  The Hindu




File photo
   -  The Hindu


 State-run power giant NTPC on Sunday said its 800 MW Unit-I of Lara Super Thermal Power Station in Chhattisgarh will become commercially operational on Monday midnight.
Earlier last week, the company had said the unit would be commercially operational from Sunday midnight.
 “In partial modification of our disclosure on September 27, 2019 regarding ...we hereby inform that, Unit-1 of 800 MW of Lara Super Thermal Power Station (2 x 800 MW) will now be declared on commercial operation w.e.f 00:00 Hrs of October 1, 2019 instead of 00:00 Hrs of September 30, 2019,” a company statement said.
 With the addition of this unit, the commercial capacity of Lara Super Thermal Power Station, NTPC and NTPC Group will become 800 MW, 47,325 MW and 55,786 MW, respectively, it added.
 The second 800 MW unit of Lara power project is under construction and is expected to go on stream in the next financial year.
 NTPC currently operates 53 power stations (22 coal, 7 combined cycle gas/liquid fuel, 2 hydro, 1 wind and 11 solar projects). Further, it has 9 coal and 1 gas station, owned by joint ventures or subsidiaries. The company aims to achieve total installed capacity of 130 GW by 2032."
17,2019-10-03,NTPC,"NTPC to bring 2,210 MW of thermal power this festive season


File photo
   -  The Hindu




File photo
   -  The Hindu


The forthcoming festive season would be brighter for the national electricity grid and power consumers across the country with the NTPC bringing 2,210 MW of thermal power in a little over 30 days.
The company has managed to bring in 2,210 MW, which works out to about 5 per cent of its total commissioned capacity of 48,074 MW of thermal power. The company operates 22 standalone coal-fired plants and 9 through joint ventures.
A senior NTPC official said that the first unit of 660 MW at the Khargone power plant in Madhya Pradesh is already commissioned and by Dussehra it is likely to be commercially operational. An 800 MW unit at Lara in Chhattisgarh has also commenced commercial operations on Sunday, while one unit, of 660 MW, at Nabinagar in Bihar was commissioned on September 6.
The official added that sufficient quantities of coal are being supplied from Pakri Barwadih mines in Jharkhand. The second unit of 660MW at the plant, which is under construction is also expected to go into commercial operations by the end of the current fiscal."
16,2019-10-09,NTPC,"Broker's call: NTPC (Buy)
Emkay Global
NTPC (Buy)
CMP: ₹117.35
Target: ₹146
NTPC’s plant availability factor (PAF) was impacted at few stations in Q2FY20 due to coal supply issues emanating from heavy monsoon and strikes at Coal India (CIL) mines. Its average PAF fell to 85.4 per cent in Q2FY20 from 91.4 per cent in Q1FY20 and 85.5 per cent in Q2FY19.
The PAF decline was attributed to the prolonged strike at Talcher mine and four days of all India strike by CIL workers to protest against 100 per cent FDI in coal mining. Heavy monsoon in eastern parts of the country also affected coal production and supply.
 Under-recovery in Q2FY20 is expected to be ₹320 crore versus ₹110 crore in Q1FY20 and ₹270 crore in Q2FY19. We now believe that NTPC will face an under-recovery of ₹400-500 crore in FY20E. Factoring in this, we prune our FY20/21E EPS by 4 per cent/3.6 per cent.
Furthermore, in our view, the divestment risk in NTPC has increased after the government’s recent tax sops. Hence, we cut our target price to ₹146 from ₹157 but maintain BUY rating on attractive valuations. We remain OVERWEIGHT on the name in our sector EAP."
