,Date,Company,Article
76,2018-04-03,ONGC,"GIC Re bags ONGC contract
State-owned re-insurer GIC Re has once again won the contract for the reinsurance of Oil & Natural Gas Corporation’s Offshore Package Policy programme 2018-2020.
This is a prestigious account as ONGC is the nation’s largest oil exploration and production company.
As a domestic re-insurer, GIC Re is entitled to a 5 per cent share in any reinsurance contract. But the placement was won after going through an international bidding process as mega risks cannot be fully absorbed in the domestic market alone and require placement in international markets for a better spread of risks. GIC Re, as the lead re-insurer, will have a 15 per cent share in the programme while the balance will be done by a number of international re-insurers. About 30 re-insurers had participated in the previous year’s programme. The reinsurance programme extends comprehensive coverage to ONGC’s upstream offshore assets valued at more than $40 billion. Upstream offshore assets include platforms, rigs, production complexes and pipelines.
The total reinsurance policy premium for the programme is $12.62 million, a senior official of the GIC Re said. GIC Re will earn 15 per cent of this as its share.
The premium has come down by about 7.5 per cent as compared to the previous year’s premium because of the attractive claims history of ONGC, the official said."
75,2018-04-29,ONGC,"Seven of top 10 cos add ₹69,918 cr in m-cap
 Seven of the 10 most valued Indian companies together added ₹ 69,917.79 crore in market valuation last week, with RIL emerging as the biggest gainer.
 While Tata Consultancy Services (TCS), Reliance Industries Ltd (RIL), ITC, HUL, HDFC, Infosys and Kotak Mahindra Bank saw rise in their market valuation for the week ended Friday, HDFC Bank, Maruti Suzuki India and ONGC suffered losses. 
Among gainers, RIL’s valuation zoomed ₹42,255.18 crore to ₹6,30,185.08 crore. The market capitalisation (m-cap) of TCS jumped ₹9,265.16 crore to ₹6,61,348.08 crore and that of Kotak Mahindra Bank soared ₹6,513.29 crore to ₹2,26,510.88 crore.
 IT bellwether TCS on Thursday became the first Indian company to close the trading session with over USD 100 billion market valuation. HDFC’s m-cap advanced by ₹4,390.79 crore to ₹3,11,352.38 crore and that of ITC gained ₹4,027.42 crore to ₹3,40,804.94 crore. The m-cap of Hindustan Unilever Ltd (HUL) rose by ₹1,958.9 crore to₹ 3,19,170.59 crore and that of Infosys went up by ₹ 1,507.05 crore to ₹ 2,58,851.82 crore.
 In contrast, HDFC Bank’s market cap slumped ₹9,887.3 crore to ₹4,98,996.93 crore. Maruti lost ₹7,831.42 crore to ₹2,65,164.37 crore and ONGC shed ₹2,053.31 crore to ₹2,31,960.73 crore in m-cap.
 In the ranking of top-10 firms, TCS stood at number one position, followed by RIL, HDFC Bank, ITC, HUL, HDFC, Maruti, Infosys, ONGC and Kotak Mahindra Bank. Over the last week, the Sensex surged 554.12 points, or 1.61 per cent to end at 34,969.70."
74,2018-05-02,ONGC,"Oil block sale: ONGC, Vedanta top bidders; foreign firms missing


Way forward The bids will now be evaluated on the basis of the minimum work programme and revenue offered to the government
   -  Getty Images/iStockphoto




Way forward The bids will now be evaluated on the basis of the minimum work programme and revenue offered to the government
   -  Getty Images/iStockphoto


Foreign companies gave India’s oil and gas exploration business a miss, yet again. In the first round of auctions under the Open Acreage License Policy (OALP) for the hydrocarbon blocks, it was public sector giant ONGC and Anil Agarwal’s Vedanta Ltd that put in the highest number of bids.
Vedanta has bid for all the 55 blocks on offer while ONGC has put in 37 bids. Oil India has put in 18 bids, while GAIL (India)put in 6.
IndianOil and Bharat Petroresources also bid for the blocks, taking the total number of PSUs or their subsidiaries that participated in the auction to 5.
In an official statement, the Directorate General of Hydrocarbons said 110 bids have been received for the 55 blocks on offer. Four Indian private companies, Vedanta, Selan Exploration, Hindustan Oil Exploration and Sun Petrochemicals, have also bid for the blocks.
There were 46 onland blocks and 9 offshore blocks on offer. For the onland blocks, 92 bids were received while 18 bids came for the offshore blocks.
Blocks CB-ONHP-2017/11 and CB-ONHP-2017/12 have secured maximum bids (3 bids each) during the round. Both these blocks are in the Cambay Basin.
Two blocks have received a single bid, these are RJ-ONHP-2017/6 in Rajasthan and CB-ONHP-2017/1 in the Cambay Basin. Since Vedanta has bid for all the blocks on offer, the only bids here are theirs.
The bids will now be evaluated on the basis of the minimum work programme and revenue offered to the government.
A DGH statement said, “The government endeavours to award these blocks by June to expedite the exploration activities to establish some part of the huge prognosticated conventional hydrocarbon resources of the order of 230 barrels of oil and oil equivalent gas in the ‘yet to find’ category in India.”"
73,2018-05-22,ONGC,"Moody's sees ONGC and OIL sharing burden for subsidising fuel price
Moody’s Investors Service has assessed that as oil prices rise, Oil and Natural Gas Corporation (ONGC) and Oil India Ltd (OIL) are facing an increasing risk that the Government will once again require them to share in the country's fuel-subsidy burden.
Vikas Halan, a Moody's Senior Vice-President said, “Because of the government's widening fiscal deficit, ONGC and OIL could be asked to bear part of the government's fuel subsidy for oil, if prices stay above $60 per barrel for the fiscal year ending March 2019.”
Moody's notes that if ONGC and OIL are obligated to contribute the entire subsidized amount exceeding the government's budgeted figure for the fiscal year ending March 2019, such a requirement would constrain their net realised prices to $52-$56 per barrel, which is only marginally lower than or equal to the $56 for financial year 2017-2018.
Moody's estimates that fuel subsidies could total ₹ 340 to ₹ 530 billion in financial year 2018-2019, the highest since financial year 2014-2015, assuming Brent crude oil prices average between $60-$80 per barrel.
The government has budgeted for ₹250 billion of fuel subsidies in the current financial year, leaving a shortfall of ₹90-280 billion, which could be met by ONGC and OIL entirely, or in part, if the government increases the budget allocation for these subsidies."
72,2018-05-22,ONGC,"ONGC to double natural gas production in next 3-4 years 
ONGC plans to double natural gas production from the present 24 BCM (billion cubic meters) to roughly 50 BCM in the next three to four years and the Krishna-Godavari basin in Andhra Pradesh plays a crucial role in the endeavour to secure the energy security of the country, according to the Chairman and Managing Director, Shashi Shanker.
He told the media here on Tuesday that a month ago, the Union Minister for Oil and Natural Gas, Dharmendra Pradhan, had kick-started the offshore project, off Kakinada in East Godavari district.
""Gas production from NELP Block KG-DWN-98/2 in deep waters off Kakinada is expected to commence from 2019 and ONGC would produce 25.87 mt of oil and 45.28 BCM of gas by 2034-35 from the field,"" he said, adding that Rs 33,000 crore would be spent on developing the offshore fields in the K-G
The Chairman said the acquisition of 51.1 per cent stake in HPCL by ONGC was a very beneficial move, in view of the synergies between the two PSU companies, and ""it makes ONGC a truly vertically integrated company. We are also working on the merger of HPCL and MRPL, another ONGC subsidiary, but it may take some time’’.
Shanker also spoke about the projects being taken up by ONGC abroad, in Abu Dhabi and Russia and elsewhere. In response to a question on shale gas, he said preliminary exploratory efforts were being made in Gujarat, but they were still at a very nascent stage. He said ONGC had spent Rs 66 crore in Andhra Pradesh on CSR activities during the last financial year.
Later in the afternoon, the CMD inaugurated the Nagayalanka onshore project taken up in Krishna district along with Cairn Energy India Ltd. Peak oil and gas production from the project is expected to be 2931 BOPD (barrels of oil per day) and 1.5 LCMD (lakh cubic meters of natural gas per day).
D M R Sekhar, Executive Director and asset manager of Rajahmundry, also spoke on the occasion."
71,2018-05-24,ONGC,"Oil stocks tumble 11% on tax woes
 Oil stocks tumbled up to 11 per cent today following reports that the government may levy a windfall tax on oil producers like ONGC as part of a permanent solution it is working on for moderating the spiralling retail prices of petrol and diesel.
Shares of Oil & Natural Gas Corporation tanked 11.44 per cent to Rs 155.45 on the BSE. Oil India Ltd tumbled 11.23 per cent to Rs 204.65.
The tax, which may come in the form of a cess, will kick in the moment oil prices cross $70 per barrel, sources privy to the development said.
Under the scheme, oil producers, who get paid international rates for the oil they produce from domestic fields, would have to part with any revenue they earn from prices crossing $70 per barrel mark. 
Petrol and diesel prices were raised for the 11th day in succession today as the state-owned oil firms gradually passed on to the consumer the increased cost of international oil that had accumulated since a 19-day freeze was imposed just before Karnataka elections."
70,2018-05-29,ONGC,"ONGC nominates one director on HPCL board


File photo of the logo of ONGC.
   -  Reuters




File photo of the logo of ONGC.
   -  Reuters


 State-owned Oil and Natural Gas Corp (ONGC) has replaced a government nominee director on board of Hindustan Petroleum Corp Ltd (HPCL) with its nominee as it consolidates control over the company it had recently acquired.
ONGC, which had in January completed the acquisition of the government’s 51.11 per cent stake in HPCL for Rs 36,915 crore, has appointed its Director (Finance) Subhash Kumar on the company board, sources said. He has replaced Sushma Taishete Rath, Joint Secretary in Ministry of Petroleum and Natural Gas.
Till now HPCL had two government nominee directors - Rath and Sandeep Poundrik, Joint Secretary (Refineries) of the oil ministry. After the appointment of Kumar, there remains only one government nominee director on HPCL. The sources said ONGC wants the one government nominee director on HPCL board to be the same person as on its board.
ONGC Board has two government directors - Amar Nath, Joint Secretary - Exploration in the Oil Ministry, and Rajiv Bansal, Additional Secretary & Financial Adviser in the ministry. It wants Bansal to be appointed on HPCL board in place of Poundrik to have a common link between the two boards, they said.
After acquiring government’s stake, HPCL is now a subsidiary of ONGC. Like its other major subsidiaries -- Mangalore Refinery and Petrochemicals Ltd (MRPL) and ONGC Videsh Ltd, ONGC decided to nominate just one director on the board of HPCL, sources said.
HPCL board currently has four functional directors besides the Chairman and Managing Director. It also has two government nominee directors and six independent directors. Sources said the Articles of Association of HPCL provide for the board to be made up of a maximum of 20 directors, including independent ones.
ONGC could theoretically speaking, nominate more than one director but such nomination would have to be matched by an appointment of an equal number of independent directors. So, while ONGC can nominate 3 directors, it decided to name only one, they added. MRPL and OVL both have just the ONGC Chairman and Managing Director on their board. Both MRPL and OVL have Managing Director and functional directors.
Since HPCL by virtue of 51 per cent shareholding of ONGC, continues to be a central public sector enterprise (CPSE), its board members would continue to be appointed by the government. Sources said the only question that remains is of the status of HPCL Chairman and Managing Director.
While ONGC’s present subsidiaries MRPL and OVL are headed by Managing Directors with ONGC Chairman being the company chairman, there is a thought that HPCL Chairman and Managing Director Mukesh Kumar Surana may be allowed to hold his designation and the Coal India Ltd (CIL) model for governance of subsidiaries is followed.
CIL, the world’s largest coal producer, is the holding company whose board is headed by a Chairman and Managing Director. It has eight subsidiaries like Eastern Coalfields Ltd and Bharat Coking Coal Ltd, all of which have a board headed by Chairman and Managing Director. The CMDs of the subsidiaries report to CIL head. 
ources said if this model is followed, Surana will continue as Chairman and Managing Director of HPCL who would report to ONGC head Shashi Shanker. Prior to the stake sale, the government made it clear that HPCL would continue to be a central public sector enterprise (CPSE), retaining its separate identity and brand and will be independently run by its board.
The alternate governance model has been thrown up as a large section in ONGC feels that HPCL should be governed on lines of the company’s other subsidiaries like ONGC Videsh Ltd, which have an independent board and a Managing Director or CEO as heads. These heads of subsidiaries report to ONGC Chairman and Managing Director.
Sources said following the CIL-model of governance will save Surana, who is senior to Shanker, from a designation downgrade."
69,2018-05-30,ONGC,"ONGC profit surges 36% in Q4 on spurt in crude oil prices


File photo of the logo of ONGC.
   -  Reuters




File photo of the logo of ONGC.
   -  Reuters


Riding on spurt in crude oil prices, public sector undertaking Oil and Natural Gas Corporation (ONGC) has reported a ₹5,915-crore profit after tax for the last quarter of the financial year 2017-2018. 
This is 36.3 per cent higher than the ₹4,340-crore net profit reported in the same quarter of the financial year 2016-2017.
The company board also recommended a final dividend of ₹1.35 per equity share of ₹5 each for the financial tear 2017-18..
The company posted an increase in profit on the back of better per-barrel realisation (average price at which ONGC sold the products it produced). 
For crude oil produced from nominated fields, ONGC’s price realisation stood at $66.71 a barrel during the last quarter of the financial year 2017-2018. 
This was 21.5 per cent higher than the $54.91 a barrel price realised during the same quarter of the financial year 2016-2017.
Price realisation of crude oil from joint venture projects was up 23.2 per cent (compared to the quarter ending March 2017) at $60.03 a barrel during the quarter ended March 2018.
Compared to the January-March 2017 quarter, price realisation from natural gas production too, was higher by 15.6 per cent during January-March 2018 at $2.89 per million British thermal units.
During the full financial year 2017-2018, gross revenue stood at ₹85,004 crore up 9.1 per cent from the financial year 2016-2017. 
Profit after tax for the financial year 2017-2018 was 11.4 per cent higher at ₹19,945 crore."
68,2018-05-31,ONGC,"ONGC hits 1-week on Q4 results
 Shares of ONGC jumped to one-week high on Q4 results. The oil and gas explorer's shares gained as much as 3.7 per cent to Rs 180.35, their highest in over a week.
Riding on spurt in crude oil prices, public sector undertaking Oil and Natural Gas Corporation has reported a Rs 5,915-crore profit after tax for the last quarter of the financial year 2017-2018. This is 36.3 per cent higher than the Rs 4,340-crore net profit reported in the same quarter of the financial year 2016-2017.
Click here to read more
According to analysts at Kotak Institutional Equities, Q4 profit was impacted by higher operating costs, statutory levies and exploratory write-offs.
Nomura analysts say high dividend income, impairment reversal and lower tax helped the company to post y-o-y rise in profit. FY18 gas production was up 6 per cent, and the company expects similar production increase in FY19, they add.
More than 7.3 million shares change hands vs the 30-day moving average of 6.5 million shares. About 25 of 32 brokerages rate the stock “buy” or higher, 6 “hold”; their median price target is Rs 225, according to Thomson Reuters data.
Up to Wednesday's close, the stock had fallen 10.9 per cent compared with a 6 per cent decline in Nifty Energy index."
67,2018-05-31,ONGC,"No communication to bear subsidy for fuel: ONGC chief


ONGC CMD Shashi Shankar addressing a press conference along with OVL MD NK Verma in New Delhi on Thursday
   -  BusinessLine




ONGC CMD Shashi Shankar addressing a press conference along with OVL MD NK Verma in New Delhi on Thursday
   -  BusinessLine


The Centre has not yet officially asked Oil and Natural Gas Corporation (ONGC) to bear a subsidy on auto fuel, a top ONGC official has said..
“There has been no communication with regards to subsidy sharing as far as ONGC is concerned,” Shashi Shankar, ONGC Chairman and Managing Director, told a press conference here.
Stock markets were jittery on reports stating public sector upstream companies, namely ONGC and Oil India, will be asked to bear a subsidy on petrol and diesel.
The possibilities for the same gained momentum as crude oil prices zoomed and auto fuel prices rallied to record high levels.
Before fuel price deregulation, PSU oil companies bore the burden on petrol, diesel, kerosene and LPG.
But when crude oil prices crashed, the government stopped asking them to bear the subsidy burden.
ONGC yesterday reported a ₹5,915-crore profit after tax for the last quarter of FY18. This was 36.3 per cent higher than the ₹4,340-crore net profit reported in Q4 of FY17.
The company board also recommended a final dividend of ₹1.35 per equity share of ₹5 each for FY18."
