,Date,Company,Article
17,,Phosphorus Limited,
16,2018-11-21,Phosphorus Limited,"Company news: UPL Corporation
UPL Corporation, Mauritius, a wholly-owned subsidiary of UPL, on Wednesday said that it has signed a definitive agreement to acquire directly or through its subsidiaries 100 per cent of the shares of Industrias Bioquim Centroamericana, Sociedad An Nima, a Costa Rica-based company, and certain other group companies situated in the Caribbean and Central American Region (collectively Bioquim group). The group is engaged in the business of producing, selling and marketing of agro-chemicals and crop protection products in Costa Rica and certain countries in the Caribbean and Central American Region. However, the transaction is subject to the satisfaction of customary closing conditions and regulatory approvals. Shares of UPL gained 2.49 per cent at ₹778.65 on the BSE."
15,2018-12-06,Phosphorus Limited,"UPL CEO to lead Arysta operations
 UPL Ltd, an agro-chemical company, has appointed a new executive team under Jai Shroff, its current Global CEO, to lead operations post completion of a deal to acquire Arysta Life Science Inc. In July, UPL had announced that its wholly-owned subsidiary UPL Corp had signed an agreement with New York Stock Exchange-listed Platform Specialty Products Corporation to acquire Arysta Life Science Inc and its subsidiaries."
14,2019-01-24,Phosphorus Limited,"Road clear for UPL to buy Arysta LifeScience


UPL has received all regulatory approvals for the acquisition of Arysta LifeScience Inc and its subsidiaries from Platform Speciality Products Corporation, an entity listed in the US. The transaction is expected to be completed on January 31, UPL said in a notice to the exchanges. In July 2018, UPL (formerly United Phosphates) teamed up with Abu Dhabi Investment Authority and TPG to snap up Florida-based Arysta LifeScience for $4.2 billion in an all-cash deal."
13,2019-01-30,Phosphorus Limited,"Five things to watch out for on January 31, 2019


The budget session of Parliament is likely to begin from January 31. File Photo
   -  PTI




The budget session of Parliament is likely to begin from January 31. File Photo
   -  PTI


The budget session of Parliament will start from January 31 and will last till February 3. The government will present the interim budget on February 1. This will be the last session of the parliament before it dissolves for the Lok Sabha elections. The Budget will be presented by interim Finance Minister Piyush Goyal.
NCLT Ahmedabad, onThursday will likely pronounce the verdict on the maintainability of the settlement proposal by Essar Steel Asia Holdings Ltd (ESAHL) to clear its entire debt of ₹54,000 crore under the Insolvency and Bankruptcy Code. If NCLT fails to pass the order, then NCLAT will take up the matter on February 4.
Spotify is likely to be launched in India on January 31. The company has also signed  a global deal with T-Series to bring in a catalogue of over 1,60,000 Indian songs which includes regional and Bollywood songs, non-movie albums and songs among others. Spotify had announced plans to launch in India, a year ago. 
Dabur, Hero Motocorp, Emami, UPL, Yatra Online, Inc. and Indiabulls Housing Finance are the list of companies that are set to release their quarterly results on January 31. The stocks of these companies will be in focus during thursday's trading session.
The fourth one-day-international (ODI) cricket match between India and New Zealand will take place on January 31 at the Seddon Park in Hamilton, New Zealand. The men in blue had secured a seven-wicket win over the Kiwis in the third ODI on Monday. This is will be the 200th ODI for Rohit Sharma."
12,2019-02-04,Phosphorus Limited,"UPL completes acquisition of Us-based Arysta LifeScience for $4.2 billion
Agri-chemicals major UPL Ltd on Monday announced the completion of its acquisition of New York-based Arysta LifeScience Inc for $4.2 billion.
The acquisition will elevate UPL’s position in the global agricultural solutions market with $5 billion in combined sales and EBITDA of around $1 billion. UPL had started the acquisition process in July 2018, a senior company official said.
Vikram Shroff, Executive Director, UPL Ltd, told mediapersons that the transaction will be carried out by UPL Corp, which is a subsidiary of UPL Ltd. It is UPL Corp, which has acquired Arysta by raising a $3 billion bank loan and $1.2 billion equity investment from Abu Dhabi Investment Authority and TPG, a leading global alternative asset firm, he said.
UPL is strong in regions such as India, Americas, Western Europe and Arysta’s strength is in Africa, Russia and Eastern Europe market, therefore the new acquisition will provide a global platform for 13,000 products of the new entity,
Shroff added that the transaction has received unconditional regulatory approvals from authorities across the globe. The company has already announced global, regional and country leadership teams for the integrated entity and the integration process is running ahead of plan."
11,2019-02-25,Phosphorus Limited,"UPL hits near 16-month high; chart suggests more upside


The Indian economy is on track to maintain a high growth rate in the current global environment.
   -  Getty Images/iStockphoto




The Indian economy is on track to maintain a high growth rate in the current global environment.
   -  Getty Images/iStockphoto


Shares of agrochemicals maker, UPL Ltd, gained as much as 1.53 per cent to Rs 840, the highest since October 30, 2017.
The stock breaks above a resistance at Rs 834.23, the 123.6 per cent Fibonacci projection level of the uptrend from the July 19, 2018 low to the September 14, 2018 high (wave1).
Breakout suggests that in the near term, the stock may test the next resistance at Rs 863.67, the 138.2 per cent projection level.
The trend intensity (TI) indicator at 24 suggests prices are trending upwards, MACD is positive and above its signal line.
The stock was up 9.11 per cent this year as of the last close, while the broader NSE Index is down 0.65 per cent in the same period.
The stock closed Monday's session at Rs 848.30, up Rs 21.30 (+2.58%) on the BSE."
10,2019-03-26,Phosphorus Limited,"UPL hits near 2-week low; chart suggests more downside
Shares of agrochemicals maker UPL Ltd fall as much as 1.2 per cent to Rs 901.75, lowest since March 14.
The stock breaks below a support at Rs 911.25, the 161.8 per cent Fibonacci projection level of the uptrend from July 19, 2018 low to September 14, 2018 high (wave 1). The stock's wave pattern suggests it has completed wave 3 of a five-wave uptrend and it's now in a corrective wave 4.
The stock price cuts below its parabolic SAR, suggesting a reversal of the uptrend is possible. Trend intensity (TI) indicator falls two points to 43, suggesting uptrend is loosing momentum. MACD cuts below its signal line, a bearish sign
In the near-term, stock has support at Rs 887.45, the 150 per cent projection level and at its 20-day exponential moving average. The stock was trading up 20.4 per cent this year as of last close, compared with the broader NSE Index's 4.5 per cent gain.
At 10.15 am, the stocks of UPL Ltd was trading lower by 1.21 per cent at Rs 902.75"
9,2019-05-07,Phosphorus Limited,"UPL hits two-week low; chart suggests more downside
 Shares of agrochemicals maker UPL Limited fell as much as 1.66 per cent to Rs 934.05, their lowest since April 23.
The stock broke below a support at Rs 947.93. It also broke below its 20-day exponential moving average
This suggests that in a couple of days the stock of UPL Ltd may test the next support at Rs 918.27.
The stock was up 25.3 per cent this year as of last close and is so far the best performer among the NSE Index's constituent members."
8,2019-05-16,Phosphorus Limited,"UPL board to meet for result, bonus
The board of directors of UPL is scheduled to meet on Friday to consider and take on record the audited standalone and consolidated financial results of the company for the year ended March 31, 2019, dividend on equity shares, and issue of bonus shares. If approved, it would be the second bonus issue from the company. In 2008, it had rewarded its shareholders with 1:1 bonus shares. Apart from the results, shareholders will closely monitor the bonus pronouncements."
