,Date,Company,Article
45,2018-06-29,Reddy,"Indivior gets breather after US court extends order blocking launch of generic drug by Dr Reddy's 
 Indivior Plc got a breather on Friday as a US court extended a restraining order blocking a rival from launching a generic version of its best-selling opioid addiction treatment in the US. Dr Reddy's and US-based Mylan NV received approval from the Food and Drug Administration (FDA) earlier this month to launch a generic version of Suboxone Film, which generates 80 per cent of Indivior's revenue, forcing the UK company to file an injunction against the decision.
Indivior said its temporary restraining order (TRO) issued on June 15 had been extended for another 14 days, during which time the US court for the District of New Jersey will consider the application and issue a ruling on the injunction. Shares of Indivior, which was spun out from Reckitt Benckiser in 2014, rose as much as 1.9 per cent in early trading, but had edged back to stand little changed by 0730 GMT.
Both Morgan Stanley and Jefferies analysts said the extension was a positive, though the final ruling remained unpredictable. The stock had lost about a third of its value after Dr Reddy's said earlier this month it would launch its new drug regardless of the legal stand-off.
The company warned earlier that the Dr Reddy's launch could result in a rapid and material loss of US market share for Suboxone Film, which is placed under the tongue to suppress cravings. The market share of the drug had declined to 55 per cent by the end of April from 60 per cent last year, the British firm said last month.
Generic rivals in tablet form are already on the US market, which is grappling with an opioid addiction epidemic that killed 33,000 people in 2015. Indivior said it would consider a potential launch of its own generic product if Dr Reddy's launched a copycat version.
Indivior's contingency plans would also focus on optimising the launch of Sublocade, a once-a-month injectable drug to suppress opioid craving launched in the US in February. It tempered expectations for initial sales of Sublocade at the launch, saying it did not want investors to be unrealistic about its prospects in its first year.
The company stuck to its 2018 revenue guidance despite Dr Reddy's getting the go-ahead for its product launch, but said it would revisit the forecast if the move goes ahead. Indivior is set to report first-half results on July 25. Jefferies analysts said reassurance from the company on the progress of Sublocade will be key to sentiment and share price support."
44,2018-07-01,Reddy,"Dr Reddy’s recalls 2.36 lakh bottles of cholesterol lowering tablets from US 
 Dr Reddy’s Laboratories is recalling from the US over 2.36 lakh bottles of Atorvastatin Calcium tablets used for lowering cholesterol, according to a report by the US health regulator. Dr Reddy’s Labs Inc is recalling 2.30 lakh bottles of the calcium tablets on account of “failed impurities/degradation specifications,” regulator USFDA said in its Enforcement Report. 
These recalled tablets are in the strengths of 10 mg, 20 mg and 40 mg. Of the total bottles being recalled, 55,126 are of 10 mg strength, 44,894 bottles of 20 mg and 1,30,081 bottles of 40 mg, it added. 
The firm is also recalling 6,397 bottles of 80 mg on account of “presence of foreign substance: A product complaint was received for a defective tablet with an embedded foreign object observed in a bottle,” the report said. The tablets were manufactured by Dr Reddy’s Labs at its Srikakulam facility, it said.
The voluntary recall for the 10 mg, 20 mg and 40 mg tablets from the US and Puerto Rico s a class III recall, it added. For the 80 mg tablets, the recall is of class II, USFDA said. 
According to USFDA, a class II recall is initiated in a “situation in which use of, or exposure to, a violative product may cause temporary or medically reversible adverse health consequences or where the probability of serious adverse health consequences is remote.” 
A class III recall is initiated in a situation in which use of, or exposure to, a violative product is not likely to cause adverse health consequences."
42,2018-07-02,Reddy,"Lipid-lowering drug from Dr Reddys
 
 
Pharma major Dr Reddy’s Laboratories Ltd has launched Repatha (evolocumab) the first and only PCSK9 Inhibitor available in India as approved by the Drug Controller General India (DCGI). PCSK9 Inhibitors are a new class of lipid lowering drugs. They target and inactivate a specific protein in the liver called proprotein convertase subtilisin kexin 9. This leads to dramatic reduction in the amount of harmful LDL cholesterol circulating in the bloodstream. Repatha (evolocumab) is a patented product of Amgen global, indicated for the treatment of adult patients with primary hypercholesterolaemia or mixed dyslipidaemia. It In India, Repatha is distributed by Dr Reddy’s and manufactured by Amgen, according to a release issued here on Monday. Our Bureau"
43,2018-07-02,Reddy,"Can new drug launch add strength to DRL?
 
Dr Reddy’s Laboratories on Monday announced the launch in the country of Repatha (evolocumab), a drug used for lowering bad cholesterol. Repatha is a patented product of Amgen and is distributed by Dr Reddy’s in India, the company said in a notice to the stock exchanges. 
The launch of Repatha is another significant addition to Dr Reddy’s cardiovascular portfolio, the company added. Shareholders of Dr Reddy’s Labs will closely monitor the development."
41,2018-07-05,Reddy,"Difficult to predict end of pricing pressure in US: Dr Reddy’s 
It is difficult to predict how long pricing pressures in the US market will continue, according to K Satish Reddy, Chairman, Dr Reddy’s Laboratories Ltd.
In a joint letter to the investors along with Co-Chairman and CEO GV Prasad, Reddy said the company’s task is to overcome this reality.
“The only way of doing so is to have a strong pipeline of difficult to manufacture complex formulations that address key therapeutic needs,” he said, adding that such launches should step-up to combat the price erosion in some products. 
During FY2018, the Hyderabad-based drug-maker filed 19 new Abbreviated New Drug Applications (ANDAs) and new drug application with the US Food and Drug Administration (USFDA).
As on March 31, 2018, the company had 110 generic filings pending approval from the US regulator comprising 107 ANDAs and three NDAs. “Out of these 107, 63 are Para IV of which we believe 30 have first-to-file status,” he said.
Regulatory issues
While saying that the company was “fully committed” to standards of quality, Reddy said in the recent past the company had “significantly enhanced” the standards and procedures.
It has also requested the USFDA to schedule an inspection of the oncology formulation manufacturing facility at Duvvada.
Dr Reddy’s sees opportunities in the emerging markets which are now on the long-term upswing.
“We should be able to increase revenues from these geographies through greater sales of simple and complex generics as well as hospital and institutional sales of oncological biosimilars,’’ he said."
40,2018-07-09,Reddy,"Dr Reddy’s ties up with UCB to market epilepsy drug in India 
 Dr Reddy’s Laboratories Ltd and UCB, a biopharmaceutical company, today announced they have entered into a distribution and co-promotion agreement for Briviact (Brivaracetam) for India.
According to a press release issued by Dr Reddys, the agreement grants it the exclusive right to distribute Briviact in India.
The drug is approved as an adjunctive therapy for the treatment of partial-onset seizures in epilepsy patients who are 16 years of age and older.
Dr Reddy’s CEO - Branded Markets (India and Emerging Markets), M V Ramana, said “In our endeavour to make innovative medicines accessible to patients in India, we are excited to partner with UCB India for Briviact, a novel treatment for epilepsy that will make a difference to the lives of patients living with epilepsy.” 
UCB Neurology Patient Value Unit, head of International Markets, Max Bricchi said “This partnership is another important step towards us providing value together to patients by making Briviact available as an additional treatment choice for epilepsy.” 
Epilepsy is the second most common neurological conditionand as per a recent study, an estimated 70 million people suffer from it worldwide while there are over 12 million people suffering from epilepsy in India, which contributes to nearly one-sixth of the global burden, the release said.
Dr Reddys share closed at Rs 2329.80, up by 2.80 per cent over previous close on the BSE. ‘"
39,2018-07-09,Reddy,"Dr Reddy’s, UCB in distribution pact for epilepsy drug
 Dr Reddy’s Laboratories Ltd and UCB, a biopharmaceutical company, have entered into a distribution and co-promotion agreement for Briviact, a brand of brivaracetam. 
The agreement gives the Hyderabad-based Dr Reddy’s the exclusive right to distribute Briviact in India.
Briviact is approved as an adjunctive therapy for the treatment of partial-onset seizures in epilepsy patients who are 16 years and older. 
“We are excited to partner with UCB India for Briviact, a novel treatment for epilepsy that will make a difference to the lives of patients living with epilepsy,’’ MV Ramana, CEO - Branded Markets (India and Emerging Markets), said in a release issued here on Monday.
According to Max Bricchi, Head of International Markets, UCB Neurology Patient Value Unit, this partnership will make Briviact available as an additional treatment choice for epilepsy.
Epilepsy is the second most common neurological condition as per a recent study. An estimated 70 million suffer from it worldwide. In India, over 12 million people are afflicted, which is about one-sixth of the global burden."
38,2018-07-11,Reddy,"Dr Reddy’s launches hydroxychloroquine sulfate tablets in US 
 Dr Reddy’s Laboratories Ltd has launched hydroxychloroquine sulfate tablets, a therapeutic equivalent generic version of Plaquenil (hydroxychloroquine sulfate) tablets, in the US market.
The Plaquenil brand, trademark Concordia International Corp, and generic had US sales of approximately $215 million for the most recent 12 months ending in May 2018, according to IMS Health.
Dr Reddy’s hydroxychloroquine sulfate tablets are available in 200 mg tablets in bottle count sizes of 100 and 500, according to a release."
37,2018-07-14,Reddy,"Dr Reddy's to appeal US court decision on buprenorphine, naloxone sublingual film
 Dr Reddy’s Laboratories Ltd will appeal the decision made by the US District Court for the District of New Jersey in a preliminary injunction hearing with respect to further sales and commercialisation of Dr Reddy’s Buprenorphine and Naloxone Sublingual Film within the US.
“The company disagrees with the court’s decision, and will vigorously appeal it,’’ it said in a release issued here on Saturday. Dr Reddy’s had announced the receipt of the approval on June 15, 2018 by one of its wholly-owned subsidiaries, from the US Food and Drug Administration (USFDA) for its Buprenorphine and Naloxone Sublingual film.
It’s an equivalent generic version of Suboxone (buprenorphine and naloxone) sublingual film in the US market."
36,2018-07-16,Reddy,"Dr Reddy's plunges to 5-week low
Shares of Dr Reddy's Laboratories plunged as Indivior has won a preliminary injunction against the company. The stock nosedived as much as 10.8 per cent to a five-week low of Rs 2,069.95.
A US court has granted Indivior a preliminary injunction blocking Dr Reddy’s Laboratories from selling cut-price versions of the British drugmaker’s best-selling opioid addiction treatment in the United States.
The ruling comes days after Indivior scrapped its full-year guidance citing an “accelerated” loss in US market share to the cheaper version of star drug Suboxone launched by the Indian firm. Dr Reddy's and the US-based Mylan NV had received USFDA's nod last month to sell versions of Indivior's opioid addiction treatment Suboxone Film.
The injunction would adversely impact Dr Reddy's as the company would have to await an appeals court's decision. By that time, more competitors could gain approval, says Nomura. It has retained “buy” rating and a price target of Rs 2,704.
Jefferies analysts say that the injunction is a negative surprise for Dr Reddy's and the risks for FY20-22 EPS estimates have increased after the ruling. The brokerage has retained “underperform” rating, and it has cut the price target to Rs 1,850 from Rs 1,910.
The brokerage adds that the injunction also raises concerns on the company winning '305 patent case’ which will impact FY20/21 EPS for which Suboxone contributes more than Rs 20, in its estimates. Dr Reddy’s stock had fallen 3.9 per cent this year as of last close."
35,2018-07-20,Reddy,"Dr Reddy’s launches Esomeprazole capsules
 Dr Reddy’s Laboratories Ltd has launched Esomeprazole Magnesium Delayed-Release Capsules in the US market. This is an over-the-counter (OTC) therapeutic equivalent generic version of Nexium capsules.
Esomeprazole Magnesium Delayed-Release Capsules is an OTC proton pump inhibitor used to treat frequent heartburn occurring two or more days in a week in adults.
""This launch continues to demonstrate our R&D and manufacturing capabilities to bring newer store-brand OTC medications to the market,” Milan Kalawadia, Vice President and Head, US OTC and Speciality Rx businesses, Dr. Reddy’s Laboratories, said in a release.
The combined market of Nexium capsules and private label OTC Esomeprazole Magnesium products had US sales of approximately $311 million for the most recent 12 months ended May 2018, according to IRI. 
The company shares were trading up by 1.71 per cent at Rs 2,065.65 on the BSE."
34,2018-07-24,Reddy,"Dr Reddy’s retrenches ‘hundreds’ across locations


Revenues from India also showed 1 per cent YoY growth at ₹2,330 cr




Revenues from India also showed 1 per cent YoY growth at ₹2,330 cr




 Pharma major Dr Reddy’s Laboratories has retrenched a couple of hundred employees in the past few months.
According to sources, those who lost their jobs were mostly from the mid-manager level upwards, including high salaried executives. Those given the pink slip were also from across units and geographical locations. Performance-related issues and cost-cutting were the key reasons cited for the retrenchments.
Falling revenue
The Hyderabad-based company has been facing pressure from falling revenues in the US and on the pricing front there. For instance, the revenues from the US declined to ₹6,360 crore in FY17 from ₹7,545 crore during FY16. 
In addition, it has been at the receiving end of several regulatory issues, especially with the US Food and Drug Administration including inspections of production units..
The company also had a relatively muted fourth-quarter performance. According to GV Prasad, CEO & Co-Chairman, this was mainly on account of the headwinds in the US markets and a temporary drop in sales in Russia, attributable to a shift in the channel purchasing pattern.
Revenues from India, too, showed 1 per cent YoY growth at ₹2,330 crore.
In an effort to handle these challenges, the company appointed a top executive from Teva, Erez Israeli, as the COO in April. He succeeded Abhijit Mukherjee, who retired after a 15-year tenure.
Dr Reddy’s HR issues have been drawing attention with the many exits and retirements “creating some gaps in management team,’’ according to an investor who did not want to be named. However, while responding to queries recently, Prasad said: “I don’t think that we ever had a gap in our team. We replaced the people who left, with even better people.’’
Last year, Chandrasekhar Sripada, President & Global Head of HR, quit Dr Reddy’s. The position was filled by Archana Bhaskar, who is now Chief Human Resources Officer. 
Company’s response 
When asked about retrenchments, Dr Reddy’s spokesperson said: “We are focussing on optimising costs as an organisational priority in multiple areas of our operations. We would not like to comment on the specifics of these initiatives at this point in time.’’
The number of employees on the rolls of the company, however, had gone up to 23,524 as on March 31, 2018 (including 904 on contract) compared to 22,681 in the previous year."
31,2018-07-26,Reddy,"Near 8-fold jump in Dr Reddy’s Q1 profit 
Pharma major Dr Reddy’s Laboratories’ consolidated net profit increased to ₹456 crore in the first quarter ended June 30, 2018, compared with ₹59 crore in the same period last year as per the International Financial Reporting Standards. 
The revenue has gone up by 12 per cent to ₹3,721 crore, its Chief Financial Officer Saumen Chakraborti told newspersons here on Thursday.
“The contribution from generic Suboxone in the US market, forex gain and operative leverage of manufacturing drove growth,’’ he said, adding that the business was in the “right direction”.
G V Prasad, Chairman and Chief Executive Officer, said focus on operational efficiencies had helped improve margins significantly. 
As part of “organisational redesigning’’, the drug-maker identified about 150 to 200 senior employees for retrenchment, the process was on, he added. During the period under review, revenues from North America increased 10 per cent at ₹1,590 crore driven by contribution from new products primarily Suboxone (at about $15 million, according to market reports as company did not disclose) and partly offset by competitive pressures on some key molecules. 
The revenue from emerging markets increased 16 per cent at ₹664 crore, while in India, it had increased 30 per cent at ₹607 crore. In Europe, price erosion led to 3 per cent dip in revenue. 
R&D spend
The Research & Development (R&D) expenditure in the quarter was little lower at ₹416 crore. “But absolute R&D spend will be at historical levels,’’ Prasad said.
As on June 30, 2018, cumulatively 112 generic filing were pending with the US Food and Drug Administration (USFDA) including 109 ANDAs and three New Drug Applications. Out of 109 ANDAs, 61 are Para IV, out of which 30 have ‘First to File’ status.
Outlook
Going forward, Dr Reddy’s will give priority to a favourable judgement in the ongoing Suboxone litigation, new products, successful resolution of issues with USFDA (on Duvvada Plant) and cost efficiencies.
The company is now waiting to hear from the US regulator after inspection of the plant. 
It had to stop selling Suboxone after three days of sales in the US when it was temporarily restrained by a US court. Over margin trend is “positive’’, according to Prasad."
32,2018-07-26,Reddy,"Dr Reddy’s Q1 net surges to Rs 456 cr on healthy sales
 Pharma major Dr Reddy’s Laboratories today reported a nearly eight-fold jump in consolidated net profit to Rs 456.1 crore for the first quarter of 2018-19 year mainly on account of robust sales. The company had posted a net profit of Rs 59.1 crore for the corresponding period of the previous fiscal, Dr Reddy’s Laboratories said in a filing to BSE.
 Consolidated revenue stood at Rs 3,720.7 crore in the April-June quarter this year against Rs 3,315.9 crore for the same period year ago. Dr Reddy’s Co-Chairman and CEO, G.V. Prasad, said the first quarter results were boosted by the launch of ‘gSuboxone’, which is indicated for treatment of opioid dependence. The company’s focus on operational efficiencies has helped in significantly improving its margin profile, he added.
“Looking ahead, while we may continue to experience price erosion in the North America generics market, we will also continue to drive growth and cost efficiencies, at the same time, enhancing our quality management systems and building healthy portfolios across the markets we serve,” Prasad said.
Shares of Dr Reddy’s Laboratories were today trading at Rs 2,137.95 per scrip on the BSE, up 2.34 per cent from its previous close."
33,2018-07-26,Reddy,"Dr Reddy’s launches breast cancer drug 
 Dr Reddy’s Laboratories Ltd has launched Hervycta (Trastuzumab), a biosimilar of Roche’s Herceptin in India, indicated for the treatment of HER2-positive cancer (early breast cancer, metastatic breast cancer and metastatic gastric cancer). 
Dr. Reddy’s Hervycta is available in strengths of 150 mg and 440 mg multiple dose vials.
Commenting on the launch, MV Ramana, CEO- Branded Markets (India and Emerging Markets), Dr Reddy’s Laboratories, said, “ Hervycta is a step forward in our effort to accelerate access to cancer patients in India in the oncology biosimilar space.”
Raymond De Vré, Senior Vice President and Head, Biologics, Dr Reddy’s Laboratories added “The launch of Hervycta will immensely benefit women in India who are suffering from HER2-positive breast cancer and are in need of access to high quality, affordable and innovative medicines.”
Herceptin (marketed as Herclon in India) and its biosimilars had India sales of approximately Rs 290 crore for the most recent 12 months ended December 2017, according to India Tandem Oncology Monitor 2017.
Dr Reddy’s currently has four biosimilar products commercialised in India and various emerging markets, and an active pipeline of several biosimilar products in the oncology and immunology space."
30,2018-07-27,Reddy,"Dr Reddy’s Laboratories: Boosted by launches
Pharma major Dr Reddy’s has delivered a stable set of numbers in the first quarter of 2018-19, primarily driven by strong sale of newly launched products in the US coupled with healthy performance in emerging markets. 
Year-on-year, the company’s consolidated net profit for the quarter grew 672 per cent to ₹456 crore from ₹59 crore in the same period last year, thanks to the low base in the same quarter last year due to GST disruption and windfall gain from the sale of Suboxone drug in the US now. 
Consolidated total revenue of the company rose 12 per cent to ₹ 3,721 crore during the quarter from ₹3,326 crore in the year-ago period.
The company’s US business, that contributes 43 per cent to the overall revenue, grew 6 per cent Y-o-Y during the quarter. The new launches particularly, Suboxone, drove growth in the US. This partly offset the pricing pressure in the base business.
In mid-June 2018, the company had launched the Suboxone generic drug (indicated for the treatment of opioid dependence) in the US and enjoyed a windfall gain of $15-20 million till the company received a temporary restraining order from the US court. 
The US District Court of New Jersey had granted a preliminary injunction against Dr Reddy’s, preventing it from selling Suboxone drug in the US while a patent-infringement lawsuit is pending. 
Though the company appeals against the order, the delay in monetisation would lower its revenue in future quarters as more competitors are likely to enter the market.
 
The company’s domestic business that contributes around 16 per cent of the overall revenue, reported a strong growth of 30 per cent Y-o-Y in the first quarter due to a low base of last year, which was impacted on the back of GST implementation. 
Revenue from the emerging markets, including Russia, registered 16 per cent Y-o-Y growth during the quarter, primarily driven by new launches and volume traction in some of the key molecules.
Consolidated operating profit margin expanded significantly to 20 per cent during the quarter against 9 per cent in the first quarter of FY18 due to better product mix and higher Suboxone sales.
The company has guided for 15 more generic drugs approvals in the US in FY19. However, there seems to be a low visibility on lucrative product launches in the near term in the US due to delay in key product launches such as Nuvaring and Copaxone as well as the restraint on Suboxone. 
On the regulatory front, while the company has requested USFDA for inspection at Duvvada facility, the data investigation and analysis at Srikakulam site are expected to be completed by September 2018. On the domestic front, the company expects double-digit growth in India business. The company also plans to grow its biosimilar portfolio in the Indian market."
28,2018-08-13,Reddy,"Dr Reddy’s eyeing European market for cancer drug 
Natco Pharma today said its co-development and marketing partner Dr Reddys Laboratories Ltd has filed an application with the European Medicines Agency for marketing a cancer drug in Europe.
In a press release here, Natco said the duxorubicinhydrochloride liposome injection, a therapeutic equivalent to the generic version of Jessens Doxil, is for intravenous use for treating metastatic breast cancer, advanced ovarian cancer and progressive multiple myeloma.
The Doxil brand of 2mg/ml had sales of approximately $ 130.5 million in Europe, for the 12 months ending December 31, 2017, Natco said citing market reports.
The shares of Natco closed at Rs 769.35 per share down 1.12 per cent while Dr Reddys closed at Rs 2247. 15 up at 1.49 per cent over the previous close on BSE."
29,2018-08-14,Reddy,"Natco Pharma partner files for doxorubicin hydrochloride injection in Europe
 
Hyderabad-based NATCO Pharma Ltd has announced that its co-development and marketing partner, Dr Reddy’s Laboratories Ltd, has filed for registration of doxorubicin hydrochloride liposome injection for intravenous use, in the European markets.
It is the therapeutic equivalent generic version of Janssen’s brand, Doxil, which is predominantly used for the treatment of metastatic breast cancer, advanced ovarian cancer and progressive multiple myeloma.
The Doxil brand, 2mg/ml, had sales of approximately $130.5 million in Europe for the 12 months ending December 31, 2017, according to Quintiles IMS."
27,2018-08-23,Reddy,"Dr Reddy’s Labs gets EIR from USFDA for Srikakulam unit 
 Dr Reddy’s Laboratories today said it has received an Establishment Inspection Report (EIR) from the US health regulator for its Srikakulam facility in Andhra Pradesh. The Srikakulam unit manufactures active pharmaceutical ingredients (APIs).
The EIR from the United States Food and Drug Administration (USFDA) indicates closure of the audit of the plant, Dr Reddy’s Labs said in a BSE filing. 
In an earlier filing on June 2, 2018, the company had said the audit of the Srikakulam plant (SEZ) by USFDA had been completed with no observations. 
Shares of Dr Reddy’s Labs were trading at Rs 2,467.05 per scrip on BSE, up 2.26 per cent from the previous close."
26,2018-08-23,Reddy,"Dr Reddy's Labs climbs to 7-month high
 Shares of Dr Reddy's Labs climbed as much as 4.5 per cent to Rs 2,520, their highest since January 25. The stock posted its biggest intraday percentage gain in nearly one month, and was the top boost on Nifty Pharma index and top percentage gainer on NSE index.
The company’s active pharmaceutical ingredients plant at Srikakulam in Andhra Pradesh has got the establishment inspection report from the US Food and Drug Administration (FDA), indicating closure of audit.
The plant was one of the company’s main production facilities but the output was hit after the regulator had issued a warning over inadequate quality control practices in 2015.
Nearly 2 million shares changed hands, 1.3 times the 30-day average of 918,000."
25,2018-09-12,Reddy,"Dr Reddy’s launches neostigmine methylsulfate injection in US
 Dr Reddy’s Laboratories Ltd has launched Neostigmine Methylsulfate Injection, a therapeutic equivalent generic version of Bloxiverz (NeostigmineMethylsulfate) injection, approved by the U.S. Food and Drug Administration (USFDA). 
The Bloxiverz brand and generic had U.S. sales of approximately $111 million for the most recent twelve months ending in July 2018 according to IMS Health, the Hyderabad-based company said in a release.
Bloxiverz is a registered trademark of Avadel Legacy Pharmaceuticals LLC."
24,2018-09-12,Reddy,"Will Dr Reddy’s new launch inject fresh life?
Dr Reddy’s Laboratories on Wednesday announced the launch of its Neostigmine Methylsulfate Injection, USP, a therapeutic equivalent generic version of Bloxiverz Injection, approved by the US Food and Drug Administration. 
The Bloxiverz brand and generic had US sales of approximately $111 million (MAT) for the most recent 12 months ending in July 2018, according to IMS Health. Dr Reddy’s injection will be available in 5 mg/10 ml and 10mg/10 ml multi-dose vials."
23,2018-10-01,Reddy,"Dr Reddy’s completes sale of antibiotic manufacturing unit in Bristol
 Dr Reddy’s Laboratories Ltd has closed the sale of its antibiotic manufacturing facility and related assets in Bristol, Tennessee to Neopharma Inc., a wholly owned subsidiary of the UAE’s largest pharmaceutical manufacturer headquartered in Abu Dhabi. 
Under the terms of the agreement, the Hyderabad-based company sold all the issued and outstanding membership interests in Dr Reddy’s Laboratories Tennessee, LLC and certain related assets.
“This sale is in line with our stated priority to streamline and optimise our global cost structures and help us focus on other business priorities to drive growth,"" Erez Israeli, Chief Operating Officer, Dr Reddy’s, said in a release issued here on Monday.
The agreement may provide continued employment opportunities for many of the experienced employees at the site, he added.
Suresh Nandiraju, Chief Operating Officer of Neopharma Inc., said, “This acquisition is synergetic and will strengthen our product portfolio for driving long-term, sustainable growth by leveraging our global presence.”
The plant and associated facilities focus on manufacturing or packaging amoxicillin-based products, which include a semi-synthetic penicillin. The 390,000-square-foot facility is dedicated to manufacturing/packaging of secondary oral-solid dose penicillin, and it includes processing, packaging, development, printing, and warehouse spaces. A separate 24,000-square-foot plastics-processing facility in Bristol is also included in the transaction.
The company also announced the termination of the licence granted to Armis Biopharma, Inc. (formerly known as CHD Bioscience, Inc.) for its investigational antibacterial product, DFA-02, for prophylaxis of surgical site infections.
As a result of the termination, Dr Reddy's has regained worldwide rights to DFA-02, and is currently evaluating its options to take the programme forward. 
The pharma major also launched Imatinib Mesylate tablets, a therapeutic equivalent generic version of Gleevec (imatinib mesylate) tablets in the US market. These tablets are approved by the US Food and Drug Administration (USFDA).
According to IMS Health, the Gleevec brand and its generic version had US sales of approximately $868 million MAT for the most recent 12 months ended in July 2018. Gleevec is a trademark of Novartis Pharmaceuticals Corporation."
22,2018-10-02,Reddy,"Dr Reddy’s sells Cloderm Cream franchise to EPI Health 


Dr Reddy’s Laboratories Ltd, the Hyderabad-based pharmaceutical major, has announced that its wholly owned subsidiary Promius Pharma, LLC, has sold its rights of Cloderm (clocortolone pivalate) Cream, 0.1% and its authorised generic to EPI Health, LLC, an affiliate of EPI Group, LLC.
Under the terms of the agreement, Promius Pharma is eligible to receive an upfront payment followed by future royalties as the consideration for Cloderm Cream and its authorised generic in the United States, effective immediately.
Ron Owens, President of EPI Health, said, “We are very pleased to have completed this agreement with Dr. Reddy’s to acquire Cloderm Cream in the United States. Cloderm Cream, and its authorised generic, are widely recognised and time-tested among the dermatology community. The addition of this product to our growing portfolio will support our ongoing efforts to build a successful prescription branded franchise in the United States while contributing to EPI Health’s goal of becoming a leader in medical dermatology.""
EPI Group, LLC is a privately held company, headquartered in Charleston, South Carolina, with over 2,000 employees."
21,2018-10-09,Reddy,"Dr Reddy’s products for US
Dr Reddy’s Laboratories Ltd. has announced the launch of Colesevelam HCl Tablets, USP, a therapeutic equivalent generic version of WELCHOL (colesevelam HCl) tablets in the United States market approved by the US Food and Drug Administration (USFDA). The WELCHOL brand and generic had an US sales of approximately $ 471 million for the most recent twelve months ending in August 2018 according to IMS Health. Dr Reddy’s Colesevelam Hydrochloride Tablets is available in 625 mg with 180 count bottle size. WELCHOL is a registered trademark of Daiichi Sankyo."
20,2018-10-15,Reddy,"Dr Reddy’s sells API unit to Therapiva 
 Dr. Reddy’s Laboratories Ltd has entered into a definitive agreement for sale of its API manufacturing business unit located in Jeedimetla, Hyderabad, to Therapiva Private Ltd, an emerging generics pharmaceutical company. 
This divestiture is being done by way of slump sale (as a going concern) and includes all related fixed assets (land and building), current assets, current liabilities, and its employees.
“The divestiture of our API manufacturing business unit is a step towards streamlining our manufacturing operations and optimizing our cost structures,” Sanjay Sharma, Executive Vice President & Head, Global Manufacturing Operations said in a release issued here on Monday.
Therapiva Private Limited is a joint venture between Omnicare Drugs India Private Limited (100% subsidiary of Neopharma LLC, Abu Dhabi) and Laxai Life Sciences Private Ltd.
“This acquisition represents a unique opportunity to further strengthen Therapiva’s position as a premier supplier of APIs. There is a strong cultural fit between our companies and we are excited to welcome the employees of Dr. Reddy’s to accelerate our ambitious growth plans.” said Vamsi Maddipatla, CEO of Therapiva and Laxai Life Sciences.
“ This is a key milestone in our acquisition strategy over the next few years to increase Neopharma’s presence in the global generics space"" said BR Shetty, Chairman of Neopharma LLC, Abu Dhabi."
19,2018-10-15,Reddy,"Dr Reddy's breaks resistance at Rs 2,517, may test Rs 2,631


Shares of Dr Reddy's Laboratories Ltd rose as much as 4.02 per cent to Rs 2,548.95, breaking a resistance at Rs 2,517.




Shares of Dr Reddy's Laboratories Ltd rose as much as 4.02 per cent to Rs 2,548.95, breaking a resistance at Rs 2,517.


Shares of Dr Reddy's Laboratories Ltd rose as much as 4.02 per cent to Rs 2,548.95, breaking a resistance at Rs 2,517. The company has signed a deal to sell its API manufacturing business in Hyderabad.
Resistance at Rs 2,517 is identified as the 23.6 per cent Fibonacci projection level of the uptrend from May 21 low to September 21 high. The breakout suggests that in the near-term the stock may rise up to the next resistance at Rs 2,631.4, the 38.2 per cent projection level.
The wave pattern suggests that the stock is in the final wave of a five-wave uptrend that started in May; this uptrend is expected to be the initial wave of a higher degree uptrend. The stock crossed above the 20-day simple moving average and also moved above the Parabolic SAR, both positive signs.
Dr Reddy’s stock had gone up 1.5 per cent this year as of its last close, while the broader NSE Index had fallen 0.55 per cent in the same period."
