,Date,Company,Article
255,2018-01-08,Reliance,"RJio eyes incumbent telcos’ next bastion — enterprise services


Reliance Jio has reportedly had a soft launch of the enterpriseservices, with commercial rollout expected to follow




Reliance Jio has reportedly had a soft launch of the enterpriseservices, with commercial rollout expected to follow


After capturing the mobile data market, Reliance Jio Infocomm is looking to enter the next major bastion held by incumbent telecom operators — enterprise services.
RJio has reportedly had a soft launch of the services, with commercial rollout expected to follow. This will result in a head-on collision with the existing players, who have already blamed the new entrant for the sector’s mounting debt and losses.
“RJio is in the final phases of testing its enterprise offering, which is the definite logical step in its growth path. With most of the infrastructure, including optical fibre cables (OFC), towers and data centres, in place, it’s only a matter of time before the services go live,” a source close to the development told BusinessLine.
RJio, a wholly-owned subsidiary of Reliance Industries, conducted a soft launch of the services this week and demonstrated the services, said another source.
The company is looking to offer unified communications, Multiprotocol Label Switching (a protocol for high-speed telecom traffic) networks, Internet Protocol-Virtual Private Networks , cloud services and managed video-conferencing, among others.
RJio, which already has about 1 lakh telecom towers and more than 2 lakh route km of fibre, will use these infrastructure to service corporate clients, which are mainly customers with high average revenue per user (ARPU).
Further, the company will also utilise the recently acquired assets of Reliance Communications for its enterprise foray. Industry sources and certain channel partners also confirmed Rjio’s enterprise foray, while that of the soft launch could not be separately verified. An email sent to RJio went unanswered as of press time on Friday.
On December 28, 2017, Mukesh Ambani-led RJio had announced the acquisition of the wireless assets of debt-laden RCom, controlled by his younger sibling Anil.
RJio bought more than 43,000 towers, 1.78-lakh route km of OFC network, spectrum in 800, 900, 1,800 and 2,100 MHz bands, and 248 Media Convergence Nodes.
On Friday, RJio slashed tariffs by ₹50 for its 1 GB per day pack, and announced 50 per cent additional data on its 1.5 GB per day packs.
With the reduction, Jio’s unlimited monthly pack will now be priced at ₹149, the lowest tariff in the industry. The company is also providing 50 per cent more data benefits on its ₹198, ₹398, ₹448 and ₹498 packs."
254,2018-01-08,Reliance,"Seven of 10 most valued companies see Rs 26,971-cr drop in m-cap
The combined market valuation of seven of the 10 most valued companies dropped by Rs 26,970.7 crore last week. At the end of the trading week on Friday, Tata Consultancy Services (TCS), HDFC Bank, ITC, HUL, Maruti Suzuki India, SBI and Infosys were the ones to suffer losses in their market valuation, while Reliance Industries Ltd (RIL), HDFC and ONGC made gains.
Maruti’s market capitalisation (m-cap) plunged Rs 8,980.84 crore to Rs 2,84,983.84 crore. The m-cap of Infosys slumped Rs 5,940.34 crore to Rs 2,21,037.56 crore and that of HDFC Bank dipped Rs 3,393.06 crore to Rs 4,81,879.55 crore. TCS’s valuation slipped by Rs 3,053.29 crore to Rs 5,13,880.93 crore and that of SBI declined by Rs 2,848.57 crore to Rs 2,64,313.49 crore. The m-cap of Hindustan Unilever Ltd (HUL) fell by Rs 2,510.79 crore to Rs 2,93,611.52 crore and that of ITC went down by Rs 243.81 crore to Rs 3,20,487.11 crore.
On the other hand, ONGC added Rs 3,914.14 crore to reach Rs 2,53,713.06 crore in valuation. HDFC’s mcap jumped Rs 2,484.25 crore to Rs 2,75,736.30 crore and that of RIL advanced Rs 1,235.03 crore to Rs 5,84,582.37 crore.
In the ranking of top-10 firms, RIL stood at number one position, followed by TCS, HDFC Bank, ITC, HUL, Maruti, HDFC, SBI, ONGC and Infosys. During the first week of 2018, the Sensex notched up a rise of 97.02 points, or 0.28 per cent, while the broader Nifty gained 28.15 points, or 0.26 per cent."
253,2018-01-08,Reliance,"Weekly Trading Guide: SBI, ITC, Infosys, Tata Steel, RIL


ITC seeks for a direction


ITC is stuck in a narrow range for the third consecutive week. The support at ₹260 and resistance at ₹267 are key levels to watch in the coming days. A breakout on either side of these two levels will decide the next leg of move for the stock and give a cue on the upcoming trend. If the stock sustains above ₹260 and breaks above ₹267 decisively, the downside pressure will ease. Such a break can take it higher to ₹272 and will also give an early indication that the downtrend that has been in place since July 2017 could be ending. A decisive break and close above ₹272 will confirm the trend reversal and can target ₹277 and ₹280 thereafter. But if ITC declines below ₹260, it can dip to test the significant support level of ₹257. A further fall below ₹257 will then increase the possibility of the stock extending its down-move towards ₹252. Traders can hold the long positions and accumulate on dips at ₹257. Retain the stop-loss at ₹254 for the target of ₹275. Revise the stop-loss higher to ₹265 as soon as the stock moves up to ₹270.


Infosys can dip ahead of results


After a strong rally for four consecutive weeks, Infosys fell sharply last week by 2.6 per cent. Support is at ₹1,010. A break below it will increase the likelihood of the stock extending its current down-move to ₹980 or ₹975 this week, well ahead of the third quarter results announcement on Friday. The outcome of the quarterly results will then determine the next trend for the stock. If Infosys manages to bounce from ₹980-₹975, an upmove to ₹1,010 will be possible. But a fall below ₹975 can drag the stock further lower to ₹950 levels. On the other hand, if the stock sustains above ₹1,010 this week, a bounce to ₹1,035 and ₹1,045 is possible again. In such a scenario, a range-bound move between ₹1,010 and ₹1,045 can be seen for some time. A strong break and a decisive weekly close above ₹1,045 is now needed for the stock to gain fresh momentum and rally further. The next target above ₹1,045 is ₹1,070. Investors can hold the long positions and can accumulate if the stock falls towards ₹980 in the coming days.


RIL is stuck in a narrow range


RIL has been stuck in a narrow range over the last couple of weeks. The immediate outlook is unclear. Support is at ₹908 and resistance is at ₹937. A breakout on either side of ₹908 or ₹937 will determine the next trend. Until then the stock can continue to trade sideways between ₹908 and ₹937. A strong break above ₹937 can ease the downside pressure. Such a break can take the stock higher to the crucial resistance level of ₹960. A strong break above ₹960 can boost the momentum and take the stock further higher to ₹1,000 levels thereafter. On the other hand, if RIL declines below ₹937 in the coming days, a fall to ₹895 or ₹890 is possible. A break below ₹890 will then increase the likelihood of the stock extending its down-move to ₹880 or ₹875. As being reiterated over the last few weeks, the region between ₹880 and ₹875 is a crucial support zone. A decisive break below ₹875 will increase the possibility of a double-top reversal pattern on the chart. In such a scenario, the possibility of the stock falling to ₹854 will increase.


Short-term view is bearish for SBI


SBI fell last week as expected to touch a low of ₹301.65. Though it managed to reverse higher from the week’s low, the bounce-back move lacks strength. The stock made a high of ₹311.8 on Friday and came off from there to close 1 per cent lower. The short-term outlook remains bearish. A cluster of resistances in the broad ₹310-₹320 region can cap the upside in the short term. An intermediate bounce to this resistance zone if seen can see fresh sellers coming into the market. A fall to ₹294 or ₹292 is likely in the coming days. A strong break below ₹292 will increase the likelihood of the stock extending its fall to ₹285. Traders who have taken short positions last week can hold them. Add more short positions at ₹314 if an intermediate bounce breaking above ₹310 is seen in the near term. Retain the stop-loss at ₹317 for the target of ₹294. Revise the stop-loss lower to ₹305 as soon as the stock moves down to ₹299. The outlook will turn positive only on a strong break above ₹320. But such a strong move looks less probable.


Uptrend is intact in Tata Steel


Tata Steel rose for the third consecutive week and was up over 5 per cent last week. The strong surge rally last week strengthens the overall uptrend. Support at ₹735 can limit the downside in the near term. Dips to this support may find fresh buyers coming into the market. The downside could be limited to the next significant support levels of ₹715 and ₹690 even if the stock declines, breaking below ₹735. But such a fall looks less likely. As such, the possibility of the stock sustaining above ₹735 is high . A rally to ₹800 is likely. A strong break above ₹800 will increase the likelihood of the up-move extending to ₹825 and ₹850 levels. An intermediate pull-back move from ₹850 levels to ₹800 or ₹750 cannot be ruled out. But the overall uptrend will continue to remain intact. Tata Steel is now all set to revisit ₹930 and ₹950 levels from a medium to long-term perspective. Investors can hold the long positions. Revise the stop-loss higher to ₹640. Consider booking partial profits around ₹900 levels."
252,2018-01-14,Reliance,"Weekly trading guide: SBI, ITC, Infosys, RIL, Tata Steel
SBI (₹301.8) fell for the third consecutive week. The stock was down 1.4 per cent last week. The near-term outlook remains bearish. A fall below ₹300 towards ₹296 and ₹294 is likely in the coming days. If SBI manages to reverse higher from around ₹294, a relief rally to ₹300 is possible initially. A break above ₹300 will ease the downside pressure and take the stock higher to ₹305 or even ₹310 thereafter. But if SBI breaks decisively below ₹294, there is a strong likelihood of the downmove extending further to ₹285. The region around ₹285 is a key short-term support with the potential to halt the current downmove. A strong upward reversal from around ₹285 will increase the possibility of the stock rallying towards ₹300 or even higher thereafter. As such the price action around ₹285 will need a close watch to get a cue on the next leg of move. Traders can hold the short positions. Revise the stop-loss lower to ₹310. Move the stop-loss further lower to ₹303 as soon as the stock moves down to ₹299 for the target of ₹294.
ITC (₹267.5) surged over 4 per cent intra-week, breaking above the key resistance level of ₹267 and made a high of ₹273.8 last week. However, it fell back from the week’s high giving back most of the gains to close the week just 1.7 per cent higher. Immediate support is at ₹266. If ITC manages to reverse higher again from this support in the coming days, it can strengthen the bullish momentum and go to ₹272 and ₹273 levels again. A strong break and a decisive close above ₹273 will then pave the way for the next target of ₹280. Even if the stock breaks below ₹266 this week, the next significant supports between ₹264 and ₹263 and then at ₹260 can limit the downside. The outlook will turn bearish only if ITC declines decisively below ₹260, which looks less probable at the moment. Traders can hold the long positions with the revised stop-loss at ₹265 for the target of ₹275. Revise the stop-loss higher to ₹268 as soon as the stock moves up to ₹272. Short-term traders who do not hold any positions can initiate fresh long positions at current levels and also accumulate on dips at ₹264. Keep the stop-loss at ₹259 for the target of ₹280. Revise the stop-loss higher to ₹270 as soon as the stock moves up to ₹274.
The prolonged wait is over. Infosys (₹1,078.4) finally cleared the key hurdle of ₹1,045 after struggling for over 14 months. The stock surged over 6 per cent last week to close on a strong note above ₹1,045. This gives an initial confirmation that the downtrend that was in place since June 2016 has reversed. Infosys is now all set to target ₹1,350 over the long-term. A near-term dip to ₹1,050-₹1,045 cannot be ruled out before the stock extends its upmove. Strong support is now available in the broad ₹1,045-₹1,000 region. Only a decisive fall below ₹1,000 will turn the outlook bearish. But such a break is unlikely as any intermediate dips in the stock will now attract fresh buyers. Next resistance is at ₹1,120 which is likely to be tested in the short-term. A strong break above ₹1,120 will then clear the way for the next target of ₹1,200 over the medium-term. Investors can hold the long positions. Traders with a medium-term perspective can go long on dips at ₹1,060 and accumulate at ₹1,050. Keep the stop-loss at ₹980 for the target of ₹1,180.
RIL (₹946.7) surged breaking above the key resistance level of ₹937 last week. The stock was up 2.6 per cent last week. The region between ₹937 and ₹935 will now serve as a strong support for the stock in the near-term. As long as the stock remains above this support zone, there is a strong likelihood of it rallying to test the crucial resistance level of ₹960 in the coming days. Whether it breaks above ₹960 or not will then determine the next move. A strong break above ₹960 will boost the momentum. Such a break will pave the way for RIL to target the psychological ₹1,000 mark going forward. It will also wipe out the threat of the double-top reversal pattern formation on the chart that we have been reiterating in this column over the last few weeks. But if the stock reverses lower from ₹960 it can fall to ₹940 or ₹935 again. The possibility of the stock extending its downmove towards ₹910 or even ₹900 cannot be ruled out. In such a scenario, RIL can remain in the ₹880-₹960 sideways range for some more time.
After a strong surge for three consecutive weeks, the rally in Tata Steel (₹771) paused last week. The stock was stuck in a narrow range between ₹760 and ₹780 last week. Resistance is around ₹785. As long as the stock remains below this hurdle, an intermediate dip to ₹745 or ₹740 cannot be ruled out. Further fall below ₹740 looks less probable at the moment. A range bound move with a bullish bias between ₹740 and ₹785 can be seen for some time in such a scenario. An eventual break and a decisive weekly close above ₹785 will boost the momentum. Such a break will take the stock higher to the next targets of ₹830 and ₹850. It will also increase the possibility of the stock targeting ₹930 and ₹950 over the long-term. Investors can hold the long positions. Retain the stop-loss at ₹640 and revise it higher to ₹680 as soon as the stock moves up to ₹800. As mentioned last week, investors can consider booking partial profits around ₹900 levels. A trendline support at ₹710 and the 100-day moving average at ₹694 are the key supports for Tata Steel. The outlook will turn negative only if it declines below ₹694 decisively, which looks unlikely at the moment.
₹1102 • HDFC Bank S1S2R1R2COMMENT 1088107411161130 Initiate fresh long ...
SBI (₹184.7)The stock of SBI ended last week on a flat note. Though it ...
₹1089 • HDFC Bank S1S2R1R2COMMENT 1077106211061120 Fresh long positions ...
₹1085 • HDFC Bank S1S2R1R2COMMENT 1070105511001115 Fresh long positions ...
₹1065 • HDFC Bank S1S2R1R2COMMENT 1050103510781090 Initiate fresh long ...
₹1076 • HDFC Bank S1S2R1R2COMMENT 1060104510851100 As the stock has ...
SBI (₹184.6)The stock of SBI, which opened on a positive note last week, ...
₹1028 • HDFC Bank S1S2R1R2COMMENT 1015100010401055 Consider initiating ...
₹1032 • HDFC Bank S1S2R1R2COMMENT 1025101010551070 Fresh long positions ...
₹1040 • HDFC Bank S1S2R1R2COMMENT 1025101010551070 Fresh long positions ...
₹1102 • HDFC Bank S1S2R1R2COMMENT 1088107411161130 Initiate fresh long ...
SBI (₹184.7)The stock of SBI ended last week on a flat note. Though it ...
₹1089 • HDFC Bank S1S2R1R2COMMENT 1077106211061120 Fresh long positions ...
₹1085 • HDFC Bank S1S2R1R2COMMENT 1070105511001115 Fresh long positions ...
₹1065 • HDFC Bank S1S2R1R2COMMENT 1050103510781090 Initiate fresh long ...
₹1076 • HDFC Bank S1S2R1R2COMMENT 1060104510851100 As the stock has ...
SBI (₹184.6)The stock of SBI, which opened on a positive note last week, ...
₹1028 • HDFC Bank S1S2R1R2COMMENT 1015100010401055 Consider initiating ...
₹1032 • HDFC Bank S1S2R1R2COMMENT 1025101010551070 Fresh long positions ...
₹1040 • HDFC Bank S1S2R1R2COMMENT 1025101010551070 Fresh long positions ...
Nikon introduced the D750 in 2014, a super versatile full-frame camera that is best for serious enthusiasts ...
Anuradha Reddy recounts how she became an aviation historian instead, and gave her dream wings
‘Travel corridors’ enable resumption of flights between select destinations and are a good way to restart ...
Consark offers the entire gamut of financial, tax and risk advisory services through guaranteed partner-time
As temperatures go higher outside, the thoughts of many home owners turn to solar power. While the idea seems ...
The firm can ride out the auto slowdown with its presence in after-market sales
 Favipiravir’s potential is unclear; challengesin the US business need a watch 
On April 1, four years back, piqued by the incessant jokes in the village at his expense, Bandu Barve decided ...


Life in Mawsynram, known as the wettest place in the world, is shaped by the monsoon rains
A season that showered bountiful melodies, some lost, others still in vogue 
On July 4, 1845, Henry David Thoreau moved into a small cabin on Walden Pond in Concord. His account of his ...
Marketers and brands should know when it won’t do to talk but listen to customers
Brands could use positivity during crisis times
On the Creative Trail
Hygiene mask must engineer a cultural shift, to co-exist with Mukhaota, ghunghat 
The Centre’s moves to step up loan delivery to MSMEs and relax repayment terms may not be enough. Reverse ...
Pune district has over 1.3 lakh registered MSMEs and 650-700 large-scale units. Together, they employ 17 lakh ...
Done in by the coronavirus-induced lockdown, restaurants, travel agencies and small businesses have shut shop, ...
“There is no protection, across the world, for money against market investments; misinformation or violation ...


Big Story | Covid-19 market crash: Is the worst behind us?






 Subscribe to The Hindu BusinessLine to read more and understand from our trusted experts. 


Avail Invitation Pricing Now
. Offer closes soon.


More




Companies






TRENDING TODAY




TRENDING THIS WEEK




LATEST NEWS




SECTIONS




GROUP TOP TRENDS




The Hindu




Sportstar"
251,2018-01-17,Reliance,"Mukesh Ambani promises Rs 5k cr investment in W Bengal


West Bengal Chief Minister Mamata Banerjee inaugurating the Bengal Business Global Summit in West Bengal on Tuesday.




West Bengal Chief Minister Mamata Banerjee inaugurating the Bengal Business Global Summit in West Bengal on Tuesday.


Reliance Industries will invest Rs 5,000 crore in the next three years in ""non-Jio"" businesses in Bengal, its Chairman, Mukesh Ambani said here today.
According to him, the investments will come through areas such as retail petroleum outlets.
This could mean setting up on new petrol pumps or making operarional some of the existing ones that have remained shut for quite sometime now.
""We will invest Rs 5,000 crore in the non-Jio business in West Bengal in the areas of retail petroleum outlets in the state in the next three years"", Ambani said while speaking at the Bengal Business Global Summit - the annual investors meet organised by the West Bengal government.
According to him, Reliance Industries is also planning an electronics manufacturing facility in Bengal. The facility would look at mobile phone making and also manufacturing of set top boxes (STBs) and television sets.
""We plan to have a next gen electronics making facility for mobiles, STBs and TVs,"" Ambani said.
With the diversified conglomerate interested in participating in the ""Bengal growth story""; Ambani promised expansion of Jio services in the state.
Apart from better connectivity in villages, Jio's increased optic fibre network will ensure coverage and connectivity across all educational institutions including schools, colleges and universities.
""We intend to cover all 100 per cent of villages in Bengal through our fibre network by 2019. We will also connect all educational institutions and healthcare facilities in the state,"" Ambani said.
Against a commited investment (in its backend infrastructure) of Rs 4,500 crore; Reliance has already invested Rs 15,000 crore in the last two years. Investments were primarily towards setting up the Jio network.
In that sense, Reliance had emerged as one of the largest investor in the state.
Priority would also be given to push West Bengal as a priority destination for greater penetration of Jio phones for better 4G adiption.
Of a near 9 billion population in Bengal, nearly 1.2 crore are Jio users.
Reliance would also look at setting up 'Jio Digital Service centres' that would look at providing goverment-to-consumer (G2C) services.
These service centres - much on the lines of a common service centre concept, as was once mooted by the Centre - would provide fillip to rural entrepreneurship and can also be leveraged for e-commerce purposes.
These will also support agri and MSMEs in rural areas.
""We will start with five districts in the state on a pilot basis and on an immediate basis. Later, we will scale them to all districts of Bengal,"" he said.
Also on cards was a cloud-based point-of-sale offering and digital billing solutions at a retailer level. ""We are moving towards faster adoption of digital services especially over the Jio network,"" Ambani said.
He also announced a chair in the honour of scientist of SN Bose in a prestigious university."
250,2018-01-19,Reliance,"RJio logs first net profit of ₹504 cr in Dec quarter
Reliance Jio today posted its first-ever net profit of ₹504 crore for the three-month period ended December 2017, the second quarter of commercial operations.
The company had incurred a loss of ₹271 crore in the September quarter.
The revenue from operations stood at ₹6,879 crore, 11.9 per cent growth over the previous quarter.
The earnings before interest, tax, depreciation and amortisation (EBITDA) — at ₹2,628 crore — was 82.1 per cent more than the sequential quarter. The operating profit margin improved quarter-over-quarter to 38.2 per cent. RJio’s subscriber base as on December 31, 2017 stood at 160.1 million, a company release said."
249,2018-01-24,Reliance,"RIL: Strong show
In the December 2017 quarter, the consolidated profit of Reliance Industries grew 25 per cent y-o-y to ₹9,423 crore. This strong show was led by the petrochemicals segment — healthy volume growth and better margins translated into operating profit growth of 73 per cent y-o-y to ₹5,753 crore.
This offset the marginal fall in operating profit in the refining segment to ₹6,165 crore due to dip in crude volumes refined. Besides these mainstays, the digital business (RJio) established itself as a profit driver, posting its first quarterly net profit (₹504 crore) aided by subscriber additions and cut in interconnectivity usage charges.
The organised retail business also delivered with operating profit more than doubling. Oil and gas exploration though struggled with losses continuing due to production challenges. The results vindicate key expectations — path to profit of RJio and expansion-led gains in core businesses — that have driven the stock’s 80 per cent rally over last year."
248,2018-01-30,Reliance,"MediaTek, RJio working on Android Go Oreo handsets 


Taiwenese firm is focussing on bringing more premium features
   -  Bloomberg




Taiwenese firm is focussing on bringing more premium features
   -  Bloomberg


Taiwanese firm MediaTek today said it is working with Reliance Jio for using its chipset that is designed for entry-level Android Go Oreo edition smartphones.
MediaTek General Manager (Wireless Communications BU) TL Lee said the devices are expected to be rolled out in the first quarter of the year.
“In addition to their own 4G feature phone, RJio is working hard with not only MediaTek but also Google for smartphone devices... entry level Android Go,” he told reporters here.
Lee said the company is focussed on bringing more premium features such as support for face unlock, 18:9 display and dual 4G VoLTE on entry and mid-level smartphones in the country.
Besides, MediaTek has designed ‘Sensio’ — a 6-in-1 biosensor module that can allow users to monitor health parameters like blood pressure and oxygen levels through their smartphones.
The company is engaged in dialogue with multiple players globally in the health ecosystem for deploying the module."
247,2018-02-02,Reliance,"RJio tops chart with peak 4G speed of 25.6 Mbps in Nov: TRAI 
Reliance Jio topped the chart of 4G broadband service providers for the 11th straight month by recording a peak download speed of 25.6 Mbps for November 2017, data published by telecom regulator TRAI showed today.
Vodafone, the closest competitor to RJio, registered a top download speed of 10 Mbps followed by Bharti Airtel 9.8 Mbps and Idea Cellular 7 Mbps in November 2017, as per TRAI data. In October, RJio had registered a top speed of 21.8 Mbps.
 








 
 
The Telecom Regulatory Authority of India collects and computes data download speed with the help of its ’MySpeed’ application on a real-time basis. In terms of upload speed, Vodafone overtook Idea Cellular in November by registering a speed of 6.9 Mbps. Idea logged a peak upload speed of 6.6 Mbps, followed by RJio which registered a speed of 4.9 Mbps. Airtel recorded an upload speed of 4 Mbps. In October, Idea had topped the chart by registering the highest upload speed of 7.1 Mbps."
246,2018-02-08,Reliance,"Amid sell-off, brokerages bet on Reliance, Maruti, Motherson Sumi 
Even though the Indian economy is forecast to witness a slight improvement in macro-economic fundamentals, namely crude oil prices, inflation and GST revenues (mostly expected in the second half), the equity market is likely to continue to be on a bumpy road in the medium term. This is mainly due to improvement in global economic outlook and rising US bond yields followed by domestic factors such as imposition of long-term capital gains tax and uncertainty over improvement in corporate performance.
Kotak Institutional Equities still finds valuation of the Indian market rich and the quality of earnings growth still poor. “The pressure on equity multiples is likely to continue if the current macro-economic conditions sustain, even without further deterioration. It is imperative that earnings do not disappoint in case India’s macro continues to be subdued or deteriorates further.
“A large portion of the incremental profits of the Nifty 50 Index and KIE Universe Coverage are coming from sectors such as PSU banks, metals & mining, oil & gas and utilities, which should logically trade at lower multiples (10-12X given the low return on equity of the businesses and/or high profitability in the case of commodities),” it said.
Benchmark index Nifty 50 is down 5.3 per cent from its all-time high of 11,171.55 on January 29 and is flat on year-to-date basis.
Every dip should be seen as a buying opportunity by long-term investors, according to experts.








 
 
IDFC Securities has maintained its Nifty target for March 2018 at 11,300. “The current dip seems a healthy correction and makes us re-emphasise buying on such dips,” it said.
While mid- and small-cap stocks are prone to corrections amid any sell-off, risk-averse investors are better off focussing on large-caps stocks for now.








 
Reliance Industries, Maruti Suzuki and Motherson Sumi Systems are the common top picks among large-cap stocks recommended by brokerages such as BNP Paribas, IDFC Securities and Kotak Institutional Equities. These stocks have gained 46-76 per cent in the last one year. ICICI Bank, HPCL, Hindalco and HDFC Bank are some more picks of brokerages. Among the mid-caps, stocks such as Kajaria Ceramics, SpiceJet, Ashoka Buildcon, Greenply Industries, Ashok Leyland, Bharat Electronics and Aurobindo Pharma are the preferred picks. Except Aurobindo (down 14 per cent), the above stocks have risen 4-115 per cent."
