,Date,Company,Article
332,2018-02-15,State Bank,"Some SBI customers see a/cs shifted to other branches without prior consent
If you have an account with State Bank of India (SBI), it’s time you double-checked the address of your branch.
In an unprecedented move the bank has been shifting some accounts from existing branches to other locations without prior information or consent.
“I was shocked to see a text message from SBI that my account has been shifted from the RP Road branch to Secunderabad with a new IFSC code. I feel I should have been asked for my consent,” a businessman, who did not want to be identified, told BusinessLine here on Thursday.
Our enquiries have revealed that accounts of many customers have been shifted and information was sent to them only after the process was over. While the top executives of SBI preferred not to respond to queries from BusinessLine, the information gathered from the branches revealed that the process was taken up nationally in view of the merger of the associate banks with SBI last year and the drive to contain operational expenses.
Not happy
The customers, however, are unhappy.
“We open accounts based on a variety of factors such as proximity and ease of transactions.
You cannot simply shift my account as per your choice,” complained V Viswanatham, an SBI customer whose account has also been shifted.
Many retail customers and businessmen regularly conduct cash transactions and, hence, proximity of branch and the time taken to complete transaction are factored in while choosing branches.
The ‘unilateral’ shifting of branches may work against this, he added.
SBI is containing operating expenses by “continuing rationalisation of administrative offices and branches” as per the recent presentation on the third quarter ended December 31, 2017.
The number of branches were reduced to 22,584 from 24,017.
The rationale behind rationalisation is not only cost-cutting but also promotion of digital channels.
The share of branch transactions decreased to 21 per cent in December 2017 from 25 per cent in the year-ago period.
There is a continued migration of transactions to digital channels.
From 36 per cent (up 8 per cent year-on-year) share now, the target is 65 per cent in the medium term, SBI said.
But what remains to be seen is whether this move will distance SBI from the common man who still prefers to use branch-based cash transactions?"
329,2018-02-16,State Bank,"SBI has a $212-m exposure to PNB’s LoU deals, says Chairman 


Rajnish Kumar, SBI Chairman
   -  PTI




Rajnish Kumar, SBI Chairman
   -  PTI


State Bank of India Chairman Rajnish Kumar on Friday clarified that the bank has no direct exposure to the controversial diamond dealer Nirav Modi, but admitted to some transactions with Punjab National Bank in this case.
PNB has reportedly been defrauded of ₹11,300 crore through fraudulent issuance of letters of undertaking in a scam whose dimensions are still unfolding.
‘Onus on PNB’
On the sidelines of a press meet in Kochi, Rajnish Kumar revealed that the SBI has over $200 million exposure to PNB connected with the LoU transactions with Modi; of this, $90 million was made through SBI’s Mauritius subsidiary.
“Our exposure to PNB alone was $212 million. There has been absolutely no lapse on our part and we have followed all standard operating procedures. The onus is now on PNB and we are confident of fully recovering the amount.”
The Chairman was clarifying SBI’s position that it would contest PNB’s claim that the 30 banks who are involved were also responsible as they did not follow due procedure.
Earlier, he said banking is a risky business and banks adhere to certain regulations to manage those risks. “How you manage the risk is vital. If there is a breach of trust, banks have several areas for detection like surprise checks, regular audits, and so on.”
Rajnish Kumar was here in connection with the opening of the bank’s Global NRI centre.
SBI has undertaken elaborate risk-management practices and has an internal audit system which is well-recognised, he said. One of the practices is job rotation from sensitive positions every three years. SBI’s exposure to the gems and jewellery sector is hardly 1 cent of disbursements, he said.
“The notion that the majority of the loans goes to the corporate sector is wrong. Of the total loan portfolio, 60 per cent is retail,” he added.
Meanwhile, the CBI on Friday registered an FIR against Modi’s uncle Mehul Choksi and his Gitanjali Group of companies based on a February 13 complaint by PNB. The FIR, according to sources, named three companies owned by Choksi — Gitanjali Gems, Gili India and Nakshatra Brand.
Also read p6, Edit"
331,2018-02-16,State Bank,"Nirav Modi case: SBI discloses $212-mn exposure through PNB 


State Bank of India Chairman Rajnish Kumar (file pic)




State Bank of India Chairman Rajnish Kumar (file pic)


 The country’s largest lender SBI today said it has an exposure of $212 million (about Rs 1,360 crore) in respect of a letter of undertaking issued by Punjab National Bank to Nirav Modi, but does not have any direct exposure to the absconding jewellery designer. “We don’t have any direct exposure on Nirav Modi but we do have some exposure on Punjab National Bank,” State Bank of India Chairman Rajnish Kumar told presspersons here today.
He said the bank has lent $212 million to Modi on the basis of an LoU issued by PNB. Kumar, however, said the bank has some exposure to Gitanjali Gems, owned by Mehul Choksi, uncle of Nirav Modi. “Our exposure to Gitanjali is small we and we are not worried,” Kumar said.
When asked about the lender’s exposure to the entire gems and jewellery sector, he said it is less than 1 per cent of the total domestic loan book. “My domestic loan book is Rs 16 lakh crore and gems and jewellery sector exposure is less than Rs 13,000 crore, which is less than 1 per cent,” he said. He said the bank is careful as far as the gems and jewellery industry is concerned and has been taking steps to put a lot of risk mitigation measures for accounts from the sector.
He said SBI has an elaborate system of risk management and internal audit and the robustness of that system is well recognised. “One of the risk management practises we follow is job rotation. We don’t keep a person for more than three years at one position. There are certain positions which are sensitive and we monitor those positions closely,” Kumar said.
He said the Swift system and the core banking system in SBI are integrated. Banking is a risky business and risks are of various nature such as credit risks, operational risks, market risks and foreign currency risks. “Operational risk is always an unknown risk. Credit risk a calculated risk ... you know during the appraisal about the probability of default,” he said.
Banks need to manage the risks by creating awareness about the risks, having standard operating procedures, strict compliance of these procedures and having a strong oversight. “Ultimately, we are human beings who do the transactions and banks run on trust. But, if there is a breach of trust by any individual, you have to have a process for detection,” he said.
Review of the risk assessment processes and plugging of gaps should be a continuous process banks need to do. Talking about Axis Bank selling exposure, he said, “They might have sold to other banks but whether we have bought or any other bank has bought, ultimately the exposure is on the bank that issued the letter of undertaking."
330,2018-02-16,State Bank,"SBI: Eyes on fund infusion by govt
 
State Bank of India will raise ₹8,800 crore through preferential allotment of 29.253 crore shares to the government at ₹300.82 a share. In a notice to the stock exchanges, SBI said the fund-raising exercise is part of the government’s recapitalisation programme, aggregating to ₹2.11 lakh crore, of State-owned banks. 
In an another statement, SBI said it does not have any direct exposure to Nirav Modi (accused in the Punjab National Bank fraud), but only marginal exposure with PNB."
328,2018-02-27,State Bank,"Google ties up with SBI for mobile payments app Tez 
 
Internet giant Google has tied up with State Bank of India (SBI) for its mobile payments app Tez. Through this partnership, Google Tez will allow users to create an SBI UPI Id - @oksbi and get access to exclusive offers for SBI customers. The partnership will focus on building unique propositions for users and merchants, including specially curated offers. 
Rajnish Kumar, Chairman, SBI said “We are committed to creating an enabling environment to promote digital payments for more Indians. We already have a multitude of services, including e-commerce and m-commerce, and this partnership with Google Tez will drive innovation and deliver exciting new opportunities for our 40-crore-plus customer base. Our shared commitment to excellence in customer service and bringing simple and secure payments for all will boost adoption of UPI and is a significant step forward in the digitisation of cash.”
Diana Layfield, Vice-President, Head of Finance & Commerce Products, Next Billion Users, said, “We are excited about the growth of Tez and our partnership with State Bank of India. We’re delighted to be working together to build unique propositions for users and create innovative solutions for merchants to go digital. We are still in the early stages of building a vibrant digital payments ecosystem that brings together millions of smartphone users, small merchants, large businesses, and financial institutions. This is an important step forward in that journey.”
Tez, since its launch in September 2017, has processed over 250 million transactions and has over 13.5 million monthly active users across India, from the major cities to Kashmir and Kanyakumari.
Tez is built on the Indian government-supported Unified Payments Interface (UPI), allowing users to make big or small payments free of charge, straight from their bank accounts to the accounts of others from over 70 UPI-enabled banks. The app was built for India, working on the vast majority of the country’s smartphones and is available in English and seven Indian languages (Hindi, Bengali, Gujrati, Kannada, Marathi, Tamil, and Telugu)."
326,2018-03-01,State Bank,"SBI hikes lending rates by up to 20 bps to 8.15% 
 The largest lender State Bank today raised its lending rates by 0.20 percentage point (20 basis points) to 8.15 per cent, with immediate effect, setting the tone for the industry to follow suit.
This is the first lending revision by the bank since April 2016 and comes a day after it massively raised the retail and bulk deposit rates.
Prior to this, the one year-MCLR (marginal cost of funds based lending rate, on which most of the lending is based now, was at 7.95 per cent.
The six-month MCLR has been raised by 10 basis points to 8 per cent, while the three-year loan pricing goes up by 25 basis points to 8.35 per cent.
For the third consecutive time since November, the bank yesterday raised its retail and bulk term deposit rates for various maturities by up to 75 basis points.
For retail deposits, below Rs 1 crore, the rate was increased by up to 0.50 per cent, while for deposits maturing in one year to less than two years, it was hiked by 0.15 per cent to 6.40 per cent."
327,2018-03-01,State Bank,"SBI hikes deposit rates by up to 50 bps across tenors 
 
State Bank of India has upped interest rates on domestic retail term deposits (up to Rs 1 crore) by up to 50 basis points across tenors with effect from today. With India’s largest bank hiking retail deposit rates, other banks are likely to follow suit.
The maximum increase of 50 basis points is in four maturity buckets – 7 days to 45 days; 2 years to less than 3 years; 3 years to less than 5 years; 5 years and up to 10 years. The new interest rate on the 7 days to 45 days maturity bucket is 5.75 per cent (5.25 per cent earlier). On the three maturity buckets above two years, the new interest rate is 6.50 per cent (6 per cent earlier).
The bank has upped deposit rates on four maturity buckets – 211 days to less than 1 year; 1 year; above 1 year to 455 days; 456 days to less than 2 years - by 15 basis points. The new interest rate on deposits in these maturity buckets is 6.40 per cent against 6.25 per cent earlier. 
In the 180 days to 210 days maturity bucket, the bank now offers 6.35 per cent interest against 6.25 per cent earlier. On the 46 days to 179 days maturity bucket, the interest rate is unchanged at 6.25 per cent."
325,2018-03-03,State Bank,"Borrowers play fraud on SBI; misuse car loan for producing Tamil film 
 In yet another fraud on a public sector bank, as many as 13 persons including a kabaddi player got a loan of ₹ 3.29 crore for buying top-end cars, but ‘misused’ the money for producing a Tamil film.
 When the fraud came to light, the Madras High Court, on a plea from the State Bank of India (SBI), granted an interim injunction against the movie’s release.
The fraud was done with the connivance of an auto loan counsellor who allegedly hacked the bank’s computers to facilitate the loan sanction and its disbursement.
 Justice C V Karthikeyan passed the interim order on a civil suit of the lender restraining White Screen Productions (WSP) from releasing the movie till March 16, 2018.
 The production house is represented by kabaddi player Raja and he is among the 13 borrowers.
 According to the SBI, 13 persons including Raja of WSP got a total loan of Rs 3,29,71,000 for purchase of various types of cars.
 The loan papers were submitted through an auto loan counsellor, D Chitra, who handed over the relevant documents including the KYC (know your customer) of the applicants to the lender.
 According to the bank, Chitra gained confidence of the branch officials and got acquainted with the loan sanction and disbursement norms. She submitted misleading facts and dubious documents to the authorities.
 Through fraudulent methods, she accessed the operating system of the computers by hacking the user ID and password of the officials.
 Also, she fraudulently diverted the loan amount directly to the borrowers instead of crediting it to the account of the car dealers.
 Subsequently, the loan proceeds were misused for film production by the borrowers and no cars were purchased by the people who procured loans through her.
 Fraud comes to light 
During a routine check, SBI’s branch manager at Velachery in the city found abnormalities in the loans recommended by Chitra and on verification noticed irregularities in such loan accounts and reported the matter to higher authorities for further probe.
 On investigation, it was noticed that Chitra had hacked the URL of Loan Originating Software.
 Though the high court directed the police to register a case against all the 13 borrowers, including the producer and actor of the film, the police did not act and hence, the bank filed a civil suit, the bank submitted in its plea.
 In its suit, the bank had sought an injunction to restrain the producers who are all the debtors from releasing the movie.
 The PSU lender had also sought a declaration from the court that it is entitled to have a ‘first charge’ from the sale proceeds of the movie and rights over the film like DVD and satellite rights."
324,2018-03-04,State Bank,"Five of top-10 companies lose Rs 26,641 cr in m-cap, SBI takes biggest hit 
 Five of the 10 most valued Indian companies saw a combined erosion of Rs 26,641.48 crore in market valuation last week, with the country’s largest lender State Bank of India (SBI) taking the steepest hit. The other firms which witnessed a decline in their market capitalisation (m-cap) for the week ended Thursday were TCS, ITC, ONGC and HDFC Bank. On the other hand, RIL, Maruti Suzuki, HDFC, Infosys and HUL finished the week with gains. 
The m-cap of SBI dived by Rs 11,696.44 crore to Rs 2,26,634.57 crore. The valuation of TCS plunged Rs 7,618.87 crore to Rs 5,81,388.28 crore and that of ITC tanked Rs 6,535.69 crore to Rs 3,21,521.62 crore. ONGC’s m-cap dropped to Rs 2,43,253.97 crore, a decline of Rs 577.50 crore, while HDFC Bank saw its valuation dip by Rs 212.98 crore to Rs 4,87,043.44 crore.
 In contrast, the m-cap of RIL surged by Rs 8,677.76 crore to Rs 6,00,285.50 crore. The valuation of Maruti Suzuki India soared by Rs 5,159.53 crore to Rs 2,68,129.28 crore and that of HDFC jumped by Rs 3,819.56 crore to Rs 2,99,923.16 crore. The m-cap of Infosys increased by Rs 1,004.69 crore to Rs 2,53,411.72 crore, while that of HUL spurted by Rs 573.59 crore to Rs 2,86,934.10 crore. 
In the ranking of top-10 firms, RIL stood at the numero uno position, followed by TCS, HDFC Bank, ITC, HDFC, HUL, Maruti Suzuki India, Infosys, ONGC and SBI. Over the last week, the flagship Sensex recorded a fall of 95.21 points or 0.27 per cent."
323,2018-03-04,State Bank,"NCLT admits SBI's insolvency proceedings against IVRCL
 
State bank of India has taken the debt trapped Hyderabad-based construction and infrastructure company IVRCL Limited to the National Company Law Tribunal.
The Hyderabad-branch of the NCLT, while admitting the SBI petition, against IVRCL, which is amongst 28 accounts on the Reserve Bank of India list of large non performing assets, appointed Sutanu Sinha as the interim resolution professional.
As per the provisions of Insolvency and Bankruptcy Code, the powers of the Board of Directors of IVRCL stand suspended and such powers shall be vested with the Sutanu Sinha, the IRP, appointed by the NCLT.
Henceforth, the management of affairs of the Corporate debt vests in the IRP, the Board powers suspended and exercised by IRP, the officers and managers of the corporate debtor shall report to the IRP and provide access to documents and records of IVRCL. With this, IRP has been empowered to do all acts and documents in the name of the corporate debtor.
While admitting the SBI petition, Justice Rajeswara Rao Vittanala and Justice Ravikumar Doraiswamy have directed the personnel of IVRCL, its promoters or any persons associated with the management of the company to assist and co-operate with the Interim Resolution Professional to provide access to documents and records and management of affairs of the company.
According to SBI, as of October 2017, Rs 604 crore is due by IVRCL to the bank extended as under various facilities.
The NCLT declared a moratorium against the institution of suits or continuation of pending suits or proceedings against the corporate debtor including execution of any judgement, decree or order in any court of law tribunal, arbitration panel or other authority.
In its order NCLT also observed though IDBI Capital Markets and Securities Limited, an operational creditor filed a Company petition under IBC against IVRCL for a claim of Rs 3.15 crore, wherein the corporate debtor raised various defects in application claimed, in the present case debt is high and default is established. “Therefore, we have taken the present petition for initiating the Corporate Insolvency Resolution Process (CIRP),” the Judges observed in their order."
