,Date,Company,Article
58,2018-09-07,Sun Pharma,"Sun Pharma gets regulatory observations from USFDA 
Drugmaker Sun Pharma has got six regulatory observations on its Halol factory in Gujarat from the US Food and Drug Administration, the company said, adding that it would respond in two weeks.
“The USFDA conducted a pre-approval inspection (PAI) of Sun Pharmaceutical Industries’ Halol facility from August 27, 2018 to August 31, 2018,” the company said, adding that the inspection concluded with the regulator issuing a Form 483 with six observations. 
The US regulator makes Form 483 observations when companies don’t adhere to procedures outlined in the Current Good Manufacturing Practices (CGMP) norms. Companies are expected to revert with their remedial action. But the issue could escalate if the action does not meet with the approval of the regulator. And Halol being an important plant for Sun Pharma, the regulatory action brings in an element of uncertainty. 
Earlier this week, the USFDA Commissioner Scott Gottlieb outlined his agency’s efforts to ensure that quality products got into the US market from foreign drug manufacturing facilities. “Over the past 25 years, globalisation of drug manufacturing has prompted the FDA to change its regulatory landscape,” he said, and as manufacturing of drugs and their components shifted to overseas production facilities, it brought in new complexities. “The FDA took steps to keep pace,” he added. 
“We’ve established a framework to assure that all drug products meet the same high-quality standards, regardless of where they’re manufactured; and whether they’re brand-name or generic products, or prescription or over-the-counter drugs,” he said.
To bring in greater transparency around its site selection model, the agency is publishing a policy on how manufacturing facilities are prioritised and scheduled for surveillance inspections. “Our policy explains how a facility’s compliance history, recall trends, time since last inspection, inherent risk of the drug being manufactured, processing complexity and other factors are all weighed and considered,” he said.
In the financial year 2017, there were about 5,063 human pharmaceutical sites worldwide, subject to routine surveillance inspection — 3,025 of those were foreign-based. For that year, the FDA conducted 1,453 drug surveillance inspections, including 762 on foreign soil to ensure manufacturers were followingCGMP requirements and maintaining high quality standards, the note said."
57,2018-09-10,Sun Pharma,"Sun Pharma arm to acquire shares of Israeli firm Tarsius Pharma


Sun Pharmaceutical Industries Ltd. File Photo
   -  REUTERS




Sun Pharmaceutical Industries Ltd. File Photo
   -  REUTERS


 Drug major Sun Pharmaceutical Industries Monday said it has agreed to acquire 18.75 per cent shares of Israel-based Tarsius Pharma for a cash consideration of USD 3 million (over Rs 21 crore).
 One of the company’s wholly-owned subsidiaries has agreed to acquire 3,45,622 ordinary shares of Tarsius Pharma, of nominal value of NIS 0.01 each by way of subscription, representing 18.75 per cent of shares of Tarsius on a fully diluted basis, Sun Pharma said in a filing to BSE.
 “Cost of acquisition is USD 3 million,” it added.
 Indicative time period for completion of the acquisition is before September 15, 2018, Sun Pharma said.
 Tarsius is an early stage research and development company focusing on development of drug candidates in the field of ophthalmology, it added.
 Shares of Sun Pharmaceutical Industries closed at Rs 639.50 per scrip on BSE, down 3.72 per cent from its previous close."
56,2018-09-14,Sun Pharma,"Sun Pharma, SPARC get USFDA approval for XELPROS


SPARC is also eligible for milestone payments and royalties on commercialisation of XELPROS in the US.




SPARC is also eligible for milestone payments and royalties on commercialisation of XELPROS in the US.


 Sun Pharma and its research arm Sun Pharma Advanced Research Company Ltd (SPARC) on Friday announced the USFDA approval for its new drug application of XELPROS, which is used to reduce open-angle glaucoma or ocular hypertension.
 “This approval is from Sun Pharma’s Halol (Gujarat) facility. Sun Pharma in-licensed XELPROS from SPARC in June 2015 and this approval will trigger a milestone payment to SPARC,” Sun Pharma and SPARC said in a joint statement.
SPARC is also eligible for milestone payments and royalties on commercialisation of XELPROS in the US, the statement added.
“This approval, coming less than one month following the approval of CEQUA (cyclosporine ophthalmic solution) 0.09 per cent, reaffirms the strength of Sun Pharma’s fast-growing ophthalmics division and its commitment to serving the needs of patients with ocular disorders,” Sun Pharma CEO North America Abhay Gandhi said.
XELPROS will be commercialised in the US by Sun Ophthalmics, the branded ophthalmic division of Sun Pharmaceutical Industries Ltd’s wholly-owned subsidiary. Shares of Sun Pharma were trading 2.11 per cent higher at Rs 663.55 apiece on the BSE."
55,2018-09-21,Sun Pharma,"Sun Pharma gets Australian health regulator’s nod for plaque psoriasis drug
 Drug major Sun Pharmaceutical Industries on Friday said it has received approval from the Australian health regulator, the Therapeutic Goods Administration (TGA), for its speciality product, ILUMYA (tildrakizumab), used for the treatment of adults with plaque psoriasis.
“We are pleased to have received this approval and look forward to bringing ILUMYA to dermatologists and patients in Australia,” Sun Pharma Business Head, Western Europe and Australia, Hellen De Kloet, said in a statement.
The company said ILUMYA is contraindicated in patients with a previous serious hypersensitivity reaction to tildrakizumab or to any of the excipients in ILUMYA, and in patients with clinically important active infections such as active tuberculosis.
“We are launching a patient support programme to assist patients prescribed with ILUMYA. The programme is designed to supplement the support offered by doctors in their practice or in hospital departments,” she added.
ILUMYA is one of the key speciality products of Sun Pharma and it was approved by the US health regulator, USFDA, in March 2018, while the European Commission approved it in September 2018.
Sun Pharma said, in Australia, the number of severe chronic plaque psoriasis patients receiving treatment through the Pharmaceutical Benefit Scheme (PBS) with biologics, increased by more than 60 per cent between 2014 and 2016.
However, the number treated was less than 30 per cent of the severely affected population. The total PBS expenditure on biologicals for chronic plaque psoriasis (at published prices) was Australian dollars 121 million in 2016. Shares of Sun Pharma were trading 1.02 per cent lower at Rs 640.70 apiece on BSE."
54,2018-10-02,Sun Pharma,"Sun Pharma expects India business to stabilise this fiscal
 Sun Pharma expects its India business to stabilise in the current fiscal leading to “reasonable volume growth” after witnessing disruptions in 2017-18 due to GST implementation, a top company official said.
 In a message to shareholders in the company’s Annual Report for 2017-18, Sun Pharma Managing Director Dilip Shanghvi however said the government’s enforced price cuts and policy changes are potential risk factors for the business.
 “We expect normalisation of the India business in 2018-19 post the disruption in 2017-18 due to GST implementation. Favourable demographics will ensure reasonable volume growth in India,” Shanghvi said.
 However, government-mandated price reductions/policy changes continue to be potential risks for this business, he added. 
The company’s India business revenues stood at Rs 8,029 crore in 2017-18, a growth of 4 per cent over 2016-17. 
 Shanghvi said the short-term outlook for the US generics market continues to be challenging given the pricing pressures.
 “We are also expecting reasonable growth in our emerging markets business, however, as always, currency fluctuations continue to be a risk,” he added.
The Mumbai-based drug firm posted consolidated revenues of Rs 26,489.46 crore for 2017-18.
 Shanghvi said the company’s consolidated R&D investments for 2018-19 will be about 8-9 per cent of its revenues."
53,2018-10-13,Sun Pharma,"Sun Pharma to invest Rs 200 cr more in Assam plant 
 Assam government on Saturday said medicine firm Sun Pharma will invest an additional Rs 200 crore at its plant in the state to augment operations.
 Assam Chief Minister Sarbananda Sonowal on Saturday inaugurated a new production line at Sun Pharma’s facility in Palashbari.
 “The company has already invested Rs 700 crore in this manufacturing facility in the state and another Rs 200 crore is going to be invested,” an official release from Chief Minister’s Office said.
 The company has invested Rs 120 crore to set up this new production line, which will boost the capacity to manufacture liquid vials, injectables, eye drops and tablets among others, the release said.
 “The company is providing employment to 595 people and 62 per cent of this workforce is from the state,” it added.
 Speaking on the occasion, Sun Pharma MD Dilip Shanghvi said that this plant is expected to become one of the largest facilities in next few years in the company’s network to manufacture sterile products.
 Sun Pharma claims that the unit operates under ‘Zero Discharge’ norms, meaning the treated effluent is 100 per cent recycled within the site for gardening, cooling tower and toilet flushing system.
 As part of its CSR commitment to improve the health of rural communities, Sun Pharma will shortly start a Mobile Medical Unit (MMU) in Guwahati to provide free medicines, health check-ups and counselling to around 40,000 people across 24 villages."
52,2018-10-23,Sun Pharma,"Sun Pharma launches psoriasis treatment drug in US 
Sun Pharmaceutical Industries has launched its plaque psoriasis treatment drug Ilumya (tildrakizumab-asmn) in the strength of 100 mg/mL in the US market.
“The availability of Ilumya is an important milestone for Sun Pharma as we expand our speciality medicine portfolio in the US,” Sun Pharma North America CEO Abhay Gandhi said.
Ilumya offers a new, safe and effective treatment option for people who are still struggling to manage their moderate-to-severe plaque psoriasis, he added.
“We understand the importance of patient and physician choice, and are committed to making Ilumya among the most cost-effective treatments in the market today,” Gandhi said.
The company is working closely with relevant stakeholders to ensure that Ilumya, a monoclonal antibody, is accessible to patients across the US who may benefit from this new treatment option. Shares of Sun Pharma Tuesday ended lower by 5.07 per cent at Rs 576.30 per scrip on the BSE."
51,2018-11-13,Sun Pharma,"Sun Pharma Q2 net loss at Rs 219 cr due to provisions for US antitrust case 
 Drug major Sun Pharmaceutical Industries Tuesday reported a consolidated net loss of Rs 218.82 crore for the July-September quarter on account of a Rs 1,214-crore provision for the settlement of the Modafinil antitrust case in the US. 
 The company had posted a net profit of Rs 912.12 crore for the corresponding period of the previous fiscal, company said in a BSE filing.
 After accounting for the provision of Rs 1,214 crore for the estimated settlement amount payable to all the remaining plaintiffs related to the Modafinil antitrust litigation in the US, the net loss for the quarter was at Rs 219 crore, it said.
 The company had entered into settlement with some complainants in the antitrust case last year.
Adjusted net profit for the second quarter of FY19 was at Rs 996 crore with resulting adjusted net profit margin at 14.5 per cent.
 Consolidated revenue from operations of the company stood at Rs 6,846.48 crore for the quarter under consideration. It was Rs 6,590.06 crore for the same period a year ago.
 On the results, Sun Pharma MD Dilip Shanghvi said: “Our soft Q2 performance is not a reflection of the underlying health of the overall business. We continue to focus on strengthening our core operations and enhancing our overall efficiencies. We are fairly positive on our performance for the rest of the year. We are excited with the successful launch of Ilumya in the US.” 
Sale of branded formulations in India for the second quarter of FY19 was at Rs 1,860 crore, down by 16 per cent mainly due to a planned one-time inventory reduction in the supply chain coupled with a higher base of second quarter last year, Sun Pharma said. 
 Sales in the US were at $342 million (around Rs 2,484 crore) for the quarter, a growth of 11 per cent over same period last year and accounting for 35 per cent of the total sales for the quarter, it added.
 The company’s sales in emerging markets were at $195 million (around 1,416 crore) for the quarter under consideration, flat over same quarter last year, Sun Pharma said.
 Formulation sales in Rest of World (ROW) markets excluding US and emerging markets were at $108 million (around Rs 784 crore) in second quarter of FY19, a de-growth of 2 per cent from the same qurter last year, it added.
“Our API business imparts benefits of vertical integration for our formulations business. We continue to increase the API supply for captive consumption for key products. For Q2 FY19, external sales of API were at Rs 426 crore, up by 10 per cent over Q2 last year,” Sun Pharma said.
 Consolidated research and development expense for the second quarter of the current fiscal was Rs 452 crore, 6.6 per cent of sales compared to Rs 511 crore (7.7 per cent) of sales for the second quarter of the last year, it added. 
 Shares of Sun Pharmaceutical Industries today closed at Rs 561.70 on BSE, down 4.72 per cent from their previous close."
50,2018-11-14,Sun Pharma,"Sun Pharma falls to 4-month low


Shares of Sun Pharmaceutical Industries, India's largest drugmaker by market capitalisation, fell as much as 4.1 per cent to Rs 538.65, their lowest since July 17




Shares of Sun Pharmaceutical Industries, India's largest drugmaker by market capitalisation, fell as much as 4.1 per cent to Rs 538.65, their lowest since July 17


Shares of Sun Pharmaceutical Industries, India's largest drugmaker by market capitalisation, fell as much as 4.1 per cent to Rs 538.65, their lowest since July 17. The stock was the top percentage loser on the NSE index, which is up 0.21 per cent as of 0413 GMT.
The company had on Tuesday posted a surprise second-quarter loss of Rs 219 crore ($30.38 million) on Tuesday due to a provision of Rs 1,214 crore for estimated settlements with remaining plaintiffs in a US antitrust litigation related to its sleep disorder drug Modafinil.
This was the company's first quarterly loss in five. “We believe that the investments needed to achieve (US) market share will be high. This could put pressure on near-term margins,” Jefferies said.
Jefferies has cut the price target to Rs 535 from Rs 605, and has retained 'hold' rating. “Going ahead, Sun expects sequential progress in US/domestic formulations but we remain cautious about the margins performance due to higher spend on specialty,” Phillip Capital said in a note.
About 6 million shares were traded compared with the 30-day moving average of around 4.6 million shares ($1 = 72.0900 Indian rupees)."
49,2018-11-26,Sun Pharma,"Sun Pharma to acquire Japan’s Pola Pharma for $1 mn 


Sun Pharma forayed into the Japanese prescription market in 2016, with the acquisition of 14 established prescription brands from Novartis
   -  File photo




Sun Pharma forayed into the Japanese prescription market in 2016, with the acquisition of 14 established prescription brands from Novartis
   -  File photo


 Sun Pharma said it will acquire Japan-based Pola Pharma for around $1 million to strengthen its presence in dermatology segment across the globe.
 The company has entered into a definitive agreement to acquire Pola Pharma, which is engaged in research and development, manufacture, sale and distribution of branded and generic products in Japan, Sun Pharmaceutical Industries said in a statement.
 Pola Pharma’s portfolio mainly comprises dermatology products. It has two manufacturing facilities in Saitama with capabilities to manufacture topical products and injectables.
 It also has R&D capabilities to develop new technologies and formulations.
“This acquisition is in line with our strategy to strengthen our global dermatology presence. Pola Pharma is a leading dermatology company and it will help us launch our speciality and generic dermatology products in the Japanese market in future,” Sun Pharma Executive Vice-President Kirti Ganorkar said.
 Sun Pharma Japan Country Head, Junichi Nakamichisaid, said that by combining its global strengths with Pola Pharma’s local expertise, the company will have a great opportunity to further strengthen its presence in Japan, especially in dermatology.
 Pola Pharma had an annual revenue of around $108 million and net loss of $7 million for the 12 months ended December 2017 on consolidated basis.
“The equity consideration, on debt-free and cash-free basis, for the 100 per cent stake in Pola Pharma is around $1 million,” Sun Pharma said.
 The transaction is expected to close on or before January 31, 2019, subject to completion of closing conditions, it added.
 Sun Pharma forayed into the Japanese prescription market in 2016, with the acquisition of 14 established prescription brands from Novartis. The size of the Japanese pharmaceutical market is estimated at USD 84.8 billion, accounting for around 7.5 per cent of the $1.13-trillion global pharmaceutical market.
 Sun Pharma shares Monday ended 2.88 per cent down at Rs 510.65 on the BSE."
