,Date,Company,Article
150,2018-03-13,TCS,"TCS shares fall over 5%; m-cap dips by Rs 30,513 cr
Shares of Tata Consultancy Services declined over 5 per cent today following reports that Tata Sons is planning to raise around Rs 8,200 crore by selling stake in the IT major. The stock dropped 5.22 per cent to end at Rs 2,892.45 on the BSE. During the day, it slipped 5.49 per cent to Rs 2,884.10.
On the NSE, shares of the company slipped 5.41 per cent to close at Rs 2,886.80.
Led by the drop in the stock, the company's market valuation tumbled Rs 30,512.89 crore to Rs 5,53,698.11 crore.
In terms of equity volume, 21.98 lakh shares of the company were traded on BSE and over 4 crore shares changed hands on NSE during the day.
The stock was the worst hit among the bluechips on both Sensex and Nifty during the day.
Tata Sons, the promoter of major operating companies of the Tata group, is planning to raise around Rs 8,200 crore by selling stake in IT major TCS, according to investment banking sources.
Tata Sons is looking to sell around 2.83 crore shares amounting to about 1.48 per cent stake in TCS and the transaction is likely to be happen this week, the sources added.
When contacted, Tata Sons declined to comment.
After the proposed share sale, Tata Sons' holding in Tata Consultancy Services (TCS) will come down to around 72 per cent from 73.52 per cent as on December, 2017."
149,2018-04-12,TCS,"IT stocks jump on hopes of positive earnings, weak rupee


Infosys Ltd which is due to report results on Friday, rose as much as 2.9 per cent to Rs 1,156.25, its biggest intraday percentage gain in over 6 weeks.




Infosys Ltd which is due to report results on Friday, rose as much as 2.9 per cent to Rs 1,156.25, its biggest intraday percentage gain in over 6 weeks.


 IT stocks rose, with the Nifty IT index gaining as much as 2.9 per cent to its highest level since February 2.
The stocks gained on expectations of positive results from IT companies while a weaker rupee is also helping, an analyst with a domestic brokerage said.
The rupee slipped to a fresh 5-month low against the dollar in early trade, tracking weak global risk appetite, a sustained rally in oil prices and dollar buying across several foreign and private banks, news agency NewsRise Financial reported.
Infosys Ltd which is due to report results on Friday, rose as much as 2.9 per cent to Rs 1,156.25, its biggest intraday percentage gain in over 6 weeks. 
Tata Consultancy Services gained as much as 3.5 per cent to Rs 3,119.80, its highest since March 6; the stock posted biggest intraday gain since February 21. The index, up for a third straight session, posts its biggest intraday percentage rise since January 24.
TCS and Infosys were among the top percentage gainers on both the NSE and the BSE indexes."
148,2018-04-17,TCS,"TCS opens North America Insurance Hub in Iowa 
 Tata Consultancy Services (TCS) today said it has opened North America Insurance hub for business operations in Cedar Rapids, Iowa.
The move, part of a multi-year deal between TCS and Transamerica announced in January this year, will transform the administration of Transferal’s US insurance and annuity business lines, TCS said in a statement.
It will also accelerate the enhancement of Transamerica’s digital capabilities and modernise its platforms to service all lines of its business customers, the statement added.
“Iowa is proud to welcome the TCS North America Insurance hub to Cedar Rapids. This move is a positive one, not only for the local business environment, but also for our state’s leadership on the national stage in the insurance industry,” Iowa Governor Kim Reynolds said.
As part of the over USD 2 billion deal, TCS will now administer Transamerica’s life insurance, annuity, supplemental health insurance, and workplace voluntary benefits products, and manage the administration of more than 10 million policies.
The Mumbai-based company also plans to expand its ‘goIT’ and ‘Ignite My Future in School’ programmes into Cedar Rapids in 2018 and beyond to engage with students and teachers to pursue computer science education and digital skills.
TCS has invested nearly USD 3 billion in the US over the past three years and is among the top two job creators in IT services in America, the statement said."
147,2018-04-18,TCS,"Will TCS better street expectations?
Tata Consultancy Services will declare results for Q4 and full-year ended March 2018 on Thursday. Though Infosys posted results on expected lines, its shares fell close to 4 per cent since the results, as the company lowered its margin guidance to 22-24 per cent for FY19 from 23-25 per cent in FY18. Most analysts expect TCS’ results to be better than Infosys. Analysts also expect the largest market-cap company to announce a margin guidance of over 25 per cent."
144,2018-04-19,TCS,"In Q4, TCS outperforms Infy across parameters
K Venkatasubramanian TCS has yet again outpaced Infosys across parameters, with the March quarter results widening the gulf between the two IT giants.
Of course, Infosys is just finding its feet again with a new CEO and is expected to stabilise soon. But, if the trends in the growth trajectory of the two blue chip companies sustain, TCS will clearly continue to command a large valuation premium over Infosys.
In a seasonally weak quarter, TCS beat market expectations and delivered much better revenue and profit growth figures. Margins and metrics such as attrition too were better for TCS.
TCS delivered a 3.9 per cent sequential increase in revenues for the fourth quarter of FY18, while Infosys managed just 1.8 per cent. 
TCS witnessed a 2 per cent increase in volumes (person months billed), indicating client traction even in a traditionally weak quarter for the industry. Infosys managed a 1.1 per cent increase in volumes.
TCS added one client in the $100-million category and three in the $50-million bucket during the quarter.
Leading the pack
The Tata Group firm reported an operating margin of 25.4 per cent in the March quarter, which was a percentage point more than what Infosys managed. Though the difference does not seem large, it does become significant when considering the fact that TCS has a 75 per cent larger revenue base.
Attrition too was under control for TCS, at 11 per cent, compared to Infosys’ 19.5 per cent.
In terms of digital offerings though, Infosys (25.5 per cent of revenues) has done better than TCS (21.2 per cent).
TCS does not give guidance, but its CEO has said that the company is ‘committed to double-digit growth’, while Infosys has guided for a 7-9 per cent increase in revenues this year. 
Sign of revival
For the industry, it may be an early sign of revival, as the two leading lights may deliver at the upper end of trade body Nasscom’s projected growth rate of 7-9 per cent in FY19.
The TCS stock will command a premium, given its superior performance. The trailing 12 months price-earnings multiple for TCS is 24 times, while Infosys trades at 16 times, according to Bloomberg."
143,2018-04-19,TCS,"Digital deals help TCS post 4.5% rise in Q4 net


Rajesh Gopinathan, CEO and Managing Director of TCS, announcing the company’s results in Mumbai on Thursday
   -  SHASHI ASHIWAL




Rajesh Gopinathan, CEO and Managing Director of TCS, announcing the company’s results in Mumbai on Thursday
   -  SHASHI ASHIWAL


  New deal wins helped India’s largest software exporter TCS report a 4.5 per cent growth in its consolidated net profit at ₹6,904 crore for the March 2018 quarter against ₹6,608 crore in the same period last fiscal.
The Mumbai-headquartered company reported a revenue growth of 8.2 per cent at ₹32,075 crore for the quarter, up from ₹29,642 crore a year ago. “Strong demand in digital across all industry verticals and large transformational deal wins have made this one of our best fourth quarters in recent years. The strong exit allows us to start the new fiscal on a confident note. This is our highest incremental dollar growth in our history,” TCS CEO and Managing Director Rajesh Gopinathan said.
The company has declared a dividend of ₹29 per share and its board recommended a 1:1 bonus share issue.
Greater adoption of digital technologies by customers resulted in several large, multi- practice integrated deal wins, TCS said. Digital revenue accounted for 23.8 per cent of overall revenues in the quarter and grew by 42.8 per cent year-on-year.
Strong deal wins and a good pipeline positions TCS very well in the new fiscal, TCS Chief Operating Officer and Executive Director N Ganapathy Subramaniam said.
More reports p7"
146,2018-04-19,TCS,"TCS Q4 net profit up 4.4% at Rs 6,904 cr
The country’s largest software exporter TCS today reported a 4.4 per cent growth in its consolidated net profit at Rs 6,904 crore for the March 2018 quarter and its board recommended a 1:1 bonus share issue.
The company had reported a net profit of Rs 6,608 crore in the same period last fiscal, TCS said in a regulatory filing.
The Tata Group company, which accounts for a lion’s share of the group’s overall profit, reported a revenue growth of 8.2 per cent at Rs 32,075 crore for the said quarter, up from Rs 29,642 crore a year earlier.
“Strong demand in digital across all industry verticals and large transformational deal wins have made this one of our best fourth quarters in recent years. The strong exit allows us to start the new fiscal on a confident note,” TCS CEO and MD Rajesh Gopinathan said.
Strong deal wins and a good pipeline positions TCS very well in the new fiscal, TCS Chief Operating Officer and Executive Director N Ganapathy Subramaniam said.
Digital revenue accounted for 23.8 per cent of the revenue, up 42.8 per cent year-on-year.
For the entire 2017-18, TCS saw its net profit dipping 1.7 per cent to Rs 25,826 crore, while revenue rose 4.3 per cent to Rs 1.23 lakh crore.
At the end of March 2018, TCS had 3,94,998 employees with attrition rate at 11 per cent in IT services."
142,2018-04-20,TCS,"TCS spikes 6.5% to record high of Rs 3,400


New deal wins helped India’s largest software exporter TCS report a 4.5 per cent growth in its consolidated net profit at Rs 6,904 crore for the March 2018 quarter against Rs 6,608 crore in the same period last fiscal.
   -  Reuters




New deal wins helped India’s largest software exporter TCS report a 4.5 per cent growth in its consolidated net profit at Rs 6,904 crore for the March 2018 quarter against Rs 6,608 crore in the same period last fiscal.
   -  Reuters


Shares of Tata Consultancy Services Ltd rose as much as 6.5 per cent to a record high of Rs 3,399.90. The stock posted biggest intraday percentage gain since April 12.
New deal wins helped India’s largest software exporter TCS report a 4.5 per cent growth in its consolidated net profit at Rs 6,904 crore for the March 2018 quarter against Rs 6,608 crore in the same period last fiscal. The Mumbai-headquartered company reported a revenue growth of 8.2 per cent at Rs 32,075 crore for the quarter, up from Rs 29,642 crore a year ago.
TCS has also approved a 1:1 bonus issue and recommended a final dividend of Rs 29 per share.
Read more
Credit Suisse says the company has registered solid Q4 with a revenue beat and a slight miss on margins.
Jefferies says management commentary of strong growth in retail in FY19 and green shoots in Banking Financial Services and Insurance (BFSI) support its view of an acceleration in growth going forward.
Commentary on BFSI was more tempered though it did indicate some green shoots in the key North American market which has been key to the sluggish growth in the sector, it says.
IDBI Capital says “more confident of TCS seeing the best improvement in FY19 revenue growth (organic) amongst IT large-caps”.
Jefferies has maintained 'hold' on stock. It says most of the improved outlook is already priced into stock price. TCS stock has risen 18 per cent this year up to Thursday versus a 14 per cent gain in the NSE IT index."
141,2018-04-22,TCS,"TCS bets on Business 4.0 to push digital revenue to over $ 5 bn this year 


Rajesh Gopinathan, CEO and Managing Director of TCS.




Rajesh Gopinathan, CEO and Managing Director of TCS.


 TCS is betting big on its ‘Business 4.0’ strategy to propel its revenues from new age-technologies like automation, cloud and Internet of Things (IoT) to over USD 5 billion this year.
 Speaking to PTI, TCS CEO and Managing Director Rajesh Gopinathan said Business 4.0 is thought leadership framework to help customers leverage digital technologies to address their growth and transformation agendas. 
“There are many components to digital technologies, there is cloud, automation, analytics, IoT. People have been looking at various technologies, each of which is powerful and valuable in its own right but the point has been how do you stitch it together to help businesses,” he said.
 He added that Business 4.0 provides an integrated and holistic framework to help customers address issues and focus on growth in an agile manner.
 Gopinathan said the “digital opportunity” globally runs in the billions as these new technologies are becoming increasingly entrenched across the table at an enterprise.
 “Last year, we had crossed $ 3 billion (in digital revenue)...It has grown 35 per cent, it has grown faster than it had grown last year. We have crossed $ 4 billion in digital revenues... Run rate-wise, it is close to $ 4.7 billion,” Gopinathan said.
TCS Chief Operating Officer N Ganapathy Subramaniam said Business 4.0 has worked for the company and that the strategy has the potential to drive large-scale transformation across sectors like retail, travel and hospitality, utilities etc.
 He added that there has been a steady increase in the number and size of digital assignments clients are providing. 
In FY2018, over 2.45 lakh TCS employees were trained on digital, and more than 2 lakh employees have now been trained at various stages of ‘Agile’ methodologies."
145,2018-04-23,TCS,"Continental Europe, UK fuel growth for TCS
TCS, which reported a 4.5 per cent growth in its consolidated net profit in Q4, saw certain verticals growing in double digits YoY. Growth was led by the Energy & Utilities vertical, which grew 33.7 per cent in the quarter, followed by Travel & Hospitality, which registered a 25.4 per cent growth.
In terms of markets, Continental Europe and UK turned out to be big growth contributors in the fourth quarter.
MD and CEO Rajesh Gopinathan said that increased demand in the region coupled with the company’s ability to package different digital solutions together helped TCS capture new projects in the region. Overall, Continental Europe grew 19.1 per cent, UK grew 10.7 per cent, while the Asia-Pacific market registered a 8.6 per cent growth for the IT services firm. North America, the biggest market for TCS, grew by 4.9% YoY.
Operating margins at 25.4 per cent fell into TCS’ stated targeted band of 25-27 per cent. However, for the full year, operating margins fell short of the target at 24.8 per cent.
“We’re glad to announce we’re back to double digit trajectory on dollar revenue growth, UK has been leading with a strong growth of over 10 per cent year-on-year,” said Gopinathan.
This helped TCS add three new customers in the above-$50 million category during the quarter.
Full-year profit dips
For FY18, TCS saw its net profit dipping 1.7 per cent to ₹25,826 crore, while revenue rose 4.3 per cent to ₹1,23,104 crore.
The IT services attrition rate for TCS fell by 0.1 per cent in the quarter to 11 per cent, while the total attrition rate (including BPS) fell to 11.8 per cent. TCS added 4,118 net new employees in the quarter.
“Post 4QFY18 performance, we are encouraged by renewed traction in TCS’ business,” said Harit Shah, Analyst (IT), Reliance Securities. “Apart from BFSI and retail, other verticals achieved results either in line with or better than the company average growth. The company also issued a bonus of 1:1 which, along with the share buyback, is likely to improve sentiment. Given these factors, we believe the stock will be able to command a higher multiple.”"
140,2018-04-23,TCS,"TCS becomes first listed Indian co to hit $100-bn market capitalisation


TCS market capitalisation swelled to Rs 6,80,912.10 crore




TCS market capitalisation swelled to Rs 6,80,912.10 crore


Shares of Tata Consultancy Services (TCS) today surged over 4 per cent, following which the IT major became the first listed Indian company to hit a market capitalisation of over $100 billion (Rs 6,80,912.10 crore).
After opening the session at Rs 3,429, the stock jumped 4.39 per cent to touch an intra-day high of Rs 3,557 on the BSE. Following the uptick in the counter, the market capitalisation of the company swelled to Rs 6,80,912.10 crore.
On the NSE, the stock jumped 4.56 per cent to Rs 3,557.90.However, the company shares ended down by 0.2 per cent at Rs 3,395.90. On the BSE, the stock closed up by 0.26 per cent at Rs 3,415.20.
At the end of Friday’s trading session the the IT major commanded a m-cap, which was Rs 7,917.08 crore, just short of the $100-billion milestone at Rs 6,52,082.92 crore. The stock was the biggest gainer on both benchmark indices -- BSE and NSE.
The country’s largest software exporter had on April 19 reported a 4.4 per cent rise in March quarter net profit at Rs 6,904 crore.
The Tata group flagship, which contributes around 85 per cent of the group’s profit, reported a revenue growth of 8.2 per cent at Rs 32,075 crore for the three months to March. In dollar terms, the company had its highest revenue growth in 14 quarters at 11.7 per cent.
“With robust deal wins and green-shoots in banking, financial services and insurance (BFSI) sector, there is a definite possibility of double-digit revenue growth. With growth acceleration, scale-up in digital and support from currency, margins are ready for uptick as well, implying return of double-digit revenue/earnings growth after 3 years,” Edelweiss Research said in a note.
TCS also announced a 1:1 bonus of shares and a dividend of Rs 29 a share, taking the total payout to shareholders at Rs 50 for the year. It has given out close to Rs 26,000 crore to the shareholders via dividend and bonus."
139,2018-04-23,TCS,"Adapting to change
An unexpectedly strong performance by Tata Consultancy Services (TCS) in the fourth quarter of FY18 has secured a $100-billion market capitalisation for the company and pushed up the BSE IT index. For a market inured to disappointments from the IT majors in the last couple of years, their recent numbers have come as a pleasant surprise. TCS’ strong sequential growth rates — 3.8 per cent in revenues, 5.7 per cent in net profits — and its improving business mix enthused investors. Infosys, while delivering lower growth, beat expectations on deal wins and traction in new businesses. Management commentary from both IT firms has been unusually optimistic too, with the TCS CEO ‘committed to double-digit growth’ and Infosys guiding for a 7-9 per cent expansion.
As the IT industry’s growth rate spiralled down from 15-20 per cent to about 7 per cent in FY16, it attracted considerable criticism for clinging to archaic business models. Indian players were perceived as one-trick ponies over-reliant on just one geography (North America, 60 per cent of revenues) and one vertical (BFSI, 40 per cent). As automation made rapid inroads and protectionism reared its head, traditional services such as application development and maintenance, and software testing, which thrived mainly on labour cost arbitrage, hit a wall too. But the significant business transformation that the IT majors have wrought in just a year, shows that the dire prognoses about their survival were over-blown. Riding the tailwinds of global recovery, these firms have managed to expand their European footprints (25 per cent of revenues). With new deal wins in utilities, life sciences, manufacturing and retail, the BFSI vertical (33 per cent of revenues) is no longer the sole bread-winner. Digital offerings have made rapid strides, chipping in with a fourth of the service mix in the latest quarter. Embracing automation, they have pruned wage bills by hiking utilisation rates, re-skilling the workforce and drastically reducing new hires. TCS and Infosys made net additions of just 7,775 and 3,743 employees to their mammoth workforce of 3.9 lakh and 2 lakh respectively in FY18.
True, building on this transformation entails challenges and not all domestic players will be up to it. Bruising competition in the new areas is likely to pressure profit margins and force more on-site hiring. Nor does all this imply that the industry can get back to the 15-20 per cent growth rates it saw during its heydays. For a maturing industry with a revenue base of $150 billion plus, even a 10 per cent growth would be an achievement. But while the fittest in the industry may yet survive, it is India’s policymakers who now have to scrounge around for new ideas to deliver on white-collar employment and services exports, two critical components of the India growth story."
138,2018-04-23,TCS,"TCS becomes first $100-b IT company
Varun Aggarwal Fourteen years after it listed its shares, IT behemoth Tata Consultancy Services has become the first and only Indian company in the sector to cross market capitalisation of $100 billion.
The crown jewel of the Tata Group has surpassed its global rival in the IT services space, Accenture, in market valuation.
TCS, which listed on August 25, 2004, had a stellar debut, claiming a 27 per cent premium to its issue price of ₹850. Even at listing, the company was worth over $10 billion, with revenues of over $1 billion.
Rebasing the listing price to adjust for two bonus issues, in July 2006 and June 2009, each in the ratio of 1:1, the stock has given returns of around 1,260 per cent in about 14 years.
 








 
After posting staggering fourth-quarter results on Thursday, TCS made history, with its market-cap soaring to ₹6,79,332 crore in intra-day trade on Monday before closing at ₹6,53,767 crore.
“It is a very proud moment for all of us,” Tata Sons Chairman N Chandrasekaran said in a statement. “TCS has been able to create value consistently by making the right investments, not only in terms of technology, but also in terms of creating capabilities, building leadership and talent, seeding new markets and developing scalable world-class solutions. I would like to thank our shareholders for their continued support.”
 








 
As organisations are transforming into real-time enterprises driven by data, analytics and automation irrespective of their business, TCS is well positioned to make an impact and continue to deliver value, he added.
According to PTI, TCS is the country’s most valued firm, followed by RIL with a market capitalisation of ₹5,92,428 crore, HDFC Bank (₹5,01,644 crore), ITC (₹3,35,801 crore) and Hindustan Unilever Ltd (₹3,14,939 crore) in the top-five list."
137,2018-04-23,TCS,"TCS: On a stellar run since 2004 listing
IT services giant Tata Consultancy Services, which on Monday became the first Indian IT company to cross a market capitalisation of $100 billion, has had a stellar run since its listing on August 25, 2004.
Rebasing the listing price to adjust for two bonus issues, in July 2006 and June 2009, each in the ratio of 1:1, the TCS stock has given returns of around 1,260 per cent in about 14 years.
Consistent performance
“With its consistently superior financial performances, it is no surprise that the stock has been rewarded by the street, particularly for its consistency,” said Harit Shah, Senior Analyst - IT, Reliance Securities.
“Over the past five-odd years, TCS’ average forward PE multiple stands at 19.3x vs 16x for Infosys, implying an average PE premium of over 20 per cent for Tata Consultancy Services.
“For such a large firm in a maturing industry to be able to maintain and even enhance profitability over so many years, and to be able to deliver well above industry revenue growth, is no mean feat. We expect the IT major’s strong processes, execution engine and operational efficiency to drive its performances going forward as well, given that these factors are structural and give it a competitive advantage versus its peers.”
 
 








 
The TCS stock rose 6.8 per cent last Friday, after the company reported a positive business outlook for FY19, along with stable margins.
“With robust deal wins and greenshoots in the banking, financial services and insurance (BFSI) sector, there is the definite possibility of double-digit revenue growth,” Edelweiss Research said in a note.
“With growth acceleration, scale up in digital and support from currency, margins are ready for uptick as well, implying the return of double-digit revenue/earnings growth after three years,” it said."
136,2018-04-24,TCS,"TCS m-cap drops below $100-bn mark


TCS became the first Indian technology co to enter the elite league, powered by record quarterly profit and weaker rupee.




TCS became the first Indian technology co to enter the elite league, powered by record quarterly profit and weaker rupee.


 Shares of Tata Consultancy Services Ltd fell 1 per cent to Rs 3,369.8, and the company’s market capitalisation stayed below the $100-billion mark hit on Monday.
TCS became the first Indian technology co to enter the elite league, powered by record quarterly profit and weaker rupee.
Energy-to-telecom conglomerate Reliance Industries Ltd could possibly be the next Indian firm to hit the $100-billion mark, provided it gains about 12 per cent from Monday's close of Rs 936. Reliance shares rose nearly 2 per cent to Rs 958.50.
TCS has risen about 26 per cent this year, while Reliance has gained only 1.6 per cent this year until Monday. 
Reliance is estimated to report a record quarterly consolidated profit of about Rs 9,500 crore ($1.43 billion) this Friday, according to estimates from analysts covered by Thomson Reuters, about 18 per cent higher than last year.
Reliance, led by India's richest man Mukesh Ambani, had earlier breached the $100-billion mark way back in 2007, when the rupee was stronger at around 40 per dollar.
The market caps of TCS' smaller rivals, including Wipro Ltd and Infosys Ltd, are below $50 billion.
Of the 38 analysts covering Reliance, 28 recommended 'buy' or higher ratings with a median target price of Rs 1,053, according to Thomson Reuters Eikon data, while 19 out of 45 analysts have 'buy' or higher rating for TCS with median a target price of Rs 3,215."
135,2018-04-29,TCS,"Seven of top 10 cos add ₹69,918 cr in m-cap
 Seven of the 10 most valued Indian companies together added ₹ 69,917.79 crore in market valuation last week, with RIL emerging as the biggest gainer.
 While Tata Consultancy Services (TCS), Reliance Industries Ltd (RIL), ITC, HUL, HDFC, Infosys and Kotak Mahindra Bank saw rise in their market valuation for the week ended Friday, HDFC Bank, Maruti Suzuki India and ONGC suffered losses. 
Among gainers, RIL’s valuation zoomed ₹42,255.18 crore to ₹6,30,185.08 crore. The market capitalisation (m-cap) of TCS jumped ₹9,265.16 crore to ₹6,61,348.08 crore and that of Kotak Mahindra Bank soared ₹6,513.29 crore to ₹2,26,510.88 crore.
 IT bellwether TCS on Thursday became the first Indian company to close the trading session with over USD 100 billion market valuation. HDFC’s m-cap advanced by ₹4,390.79 crore to ₹3,11,352.38 crore and that of ITC gained ₹4,027.42 crore to ₹3,40,804.94 crore. The m-cap of Hindustan Unilever Ltd (HUL) rose by ₹1,958.9 crore to₹ 3,19,170.59 crore and that of Infosys went up by ₹ 1,507.05 crore to ₹ 2,58,851.82 crore.
 In contrast, HDFC Bank’s market cap slumped ₹9,887.3 crore to ₹4,98,996.93 crore. Maruti lost ₹7,831.42 crore to ₹2,65,164.37 crore and ONGC shed ₹2,053.31 crore to ₹2,31,960.73 crore in m-cap.
 In the ranking of top-10 firms, TCS stood at number one position, followed by RIL, HDFC Bank, ITC, HUL, HDFC, Maruti, Infosys, ONGC and Kotak Mahindra Bank. Over the last week, the Sensex surged 554.12 points, or 1.61 per cent to end at 34,969.70."
134,2018-05-07,TCS,"For biggies, in-house training makes sense


software
   -  Business Line




software
   -  Business Line


Taking four lakh people back to the classroom isn’t an easy task, even for a cash-rich company like Tata Consultancy Services, the $100-billion (market cap) IT services company.
Is it easier for TCS to hire skilled workforce from the outside? Not really. The skills required are not to be found. So, TCS embarked on its reskilling journey a few years ago, where it decided to train its entire workforce. More than 2,40,000 have already been trained.
In the Mysuru campus of Infosys, trainees have to go through a six-month training programme which includes studying of three programming languages, instead of one earlier. Additionally, courses on analytics and cloud computing are taught. According to Infosys COO UB Pravin Rao, the company is looking to replicate this training model in the US.
“Unless we make sure our people have the technical capabilities, we will not be able to serve our customers. Moreover, it isn’t viable to rehire and let go of existing people,” Ajoy Mukherjee, Chief HR Officer at TCS, told BusinessLine. However, the unanswered issue is the extent to which the industry will sustain investments in reskilling at a time of shrinking margins. According to Mukherjee, even if it were possible to hire enough talent from outside, it would be hard to replicate customer relationships, organisation-fit and the industry knowledge base that existing employees have.
Capgemini is taking a ‘going back to basics’ approach to retrain its workforce. “Compared to what is traditionally done, digital services (or the gamut of new skills needed) create a very different skill requirement as well as different ways of working,” says Ashwin Yardi, COO-India, Capgemini.








 
 
Tackling cost
Companies also provide training through internal online portals and mobile apps that make it easier to train at low cost.
“We track the competency of individuals at 4 levels — E0 to E3. Based on that, we expose them to the new technology. With four lakh people, classroom training for everyone is not possible and learning has to use digital technologies. Our virtual classrooms offer gamified learning. From this platform, you should be able to log into a server where you can solve problems by actually developing code on newer technologies,” says Mukherjee.
IBM has created a massive open online course platform for its one-lakh odd employees in India. “It has broken down learning into byte size. Most people have day jobs, so time becomes an issue. So with byte size modules, they can learn at their pace,” says Chaitanya N Sreenivas, Vice-President & HR Head, at IBM India/South Asia.
Companies such as TCS are open to hiring professionals with any educational background, provided they’ve spent time in new technology areas. Google, Amazon and IBM often don’t stress academic credentials either; proficiency in coding, and in areas where skills are in short supply, holds the key."
133,2018-05-25,TCS,"TCS market capitalisation surges past Rs 7 lakh cr mark 


tcs




tcs


 Tata Consultancy Services’ market valuation surged past the Rs 7 lakh crore mark today, making it the first company to achieve this milestone.
Buoyed by a rally in its share price, the market valuation of TCS jumped to Rs 7,03,309 crore in intraday session on the BSE. The m-cap has been calculated from its 52-week high price of Rs 3,674 hit today on the exchange.
TCS shares rose 1.91 per cent to Rs 3,674 today. The company shares have gained nearly 35 per cent so far this year.
Tata Consultancy Services’ market valuation had earlier this year surged past the Rs 6 lakh crore mark, making it the second company to achieve the milestone after Reliance Industries.
IT bellwether TCS had last month became the first Indian company to close the trading session with over $100-billion market valuation.
TCS is the country’s most valued firm, followed by Reliance Industries with a market capitalisation (m-cap) of Rs 5,83,908.87 crore, HDFC Bank (Rs 5,19,654.83 crore), HUL (Rs 3,42,244.47 crore) and ITC (Rs 3,30,919.46 crore) in the top five list.
The nation’s largest software exporter TCS had on April 19 reported a 4.4 per cent rise in March quarter net profit at Rs 6,904 crore."
132,2018-05-29,TCS,"TCS to turn ex-bonus on Thursday
 
Shares of Tata Consultancy Services will turn ex-bonus on Thursday. TCS announced a 1:1 bonus for its shareholders on its 50th anniversary even as its brand value crossed $10 billion. Investors wishing to receive the bonus shares need own TCS shares by Wednesday and the company has set June 2 as the record date. This will be the third bonus offering by the company since its listing in 2004. F&O of TCS will also adjust to the price from Thursday."
