,Date,Company,Article
173,2018-02-09,Tata Motors,"Riding on aspirations


Unveiling the future (From left) Guenter Butschek, CEO & MD, Tata Motors, N. Chandrasekaran, Chairman, Tata Sons and Tata Motors, and Mayank Pareek, President, Passenger Vehicle Business Unit, Tata Motors, at the debut of the H5X concept at the Auto Expo – The Motor Show 2018. At left is the 45X.




Unveiling the future (From left) Guenter Butschek, CEO & MD, Tata Motors, N. Chandrasekaran, Chairman, Tata Sons and Tata Motors, and Mayank Pareek, President, Passenger Vehicle Business Unit, Tata Motors, at the debut of the H5X concept at the Auto Expo – The Motor Show 2018. At left is the 45X.


The crowds come to see the cars and bikes and what the future holds for the roads. From that perspective, the big story of the 14th edition of the Auto Expo was green mobility, with over 50 electric vehicles on show. The other big story was Kia Motors roaring into India, wooing consumers by inviting them to take selfies with brand ambassador Rafael Nadal (no, he was not there – just some trick photography) and crowdsourcing names for its first car in India.
But from a marketing perspective, making an impact at Auto Expo 2018 which kicked off on February 8 at Greater Noida was Tata Motors’ new corporate brand positioning of Connecting Aspirations.
Unifying identity
It came together beautifully at its sprawling pavilion with the theme of Smart Mobility, Smart Cities that painted a future of electric vehicles and a green commuting ecosystem.
The storytelling and thought behind the branding and theme was a refreshing change from its rather clumsy ‘Made Of Great’ campaign in the previous edition. But then it’s the group’s 150th year, and it also fits into the grander Tata celebrations around a 150 years of nation-building.
It was in August last year that Tata Motors had unveiled its new unified brand promise of Connecting Aspirations that would encompass both its commercial vehicles and passenger vehicles divisions.
Drafting in consultancy Futurebrands, Tata Motors took some time to arrive at this positioning, keeping in mind its vision for the present and the future.
“Though we hired a brand consultant, a lot of it was our own intuition really, ” says Vivek Srivatsa, Head, Marketing, Domestic Passenger Vehicles Business, Tata Motors.
A symbolic tagline, Connecting Aspirations represents the brand as an interconnected system of mobility solutions that are intelligent, perceptive, warm and expressive. This certainly shone through at the pavilion, which had buses designed to suit the differently-abled, had an environment focus, and so on.
The idea behind the new brand positioning, explains Srivatsa, was that even though Tata Motors had been selling commercial vehicles for over 60 years and passenger vehicles for nearly 20 years there was no core philosophy to connect the customers buying the brand.
“Also, we needed a unified message that was relevant to both categories,” he points out. Commercial vehicles (CV) are all about making money, earning a livelihood and ROI (return on investment). Passenger vehicles (PV), on the other hand, are driven by emotion. “On the CV side it is making business dreams come true. On the PV side, it was about fulfilling the design aspirations.”
Explains Srivatsa, “We constantly track RTB (reason to buy). We found that design had become the compelling feature to buy a passenger vehicle. Earlier cost and fuel efficiency were the top two reasons. But in the last two or three years the top RTB was design.”
Design-driven
The minute design becomes the top RTB, emotions come in, and the future also becomes important. “We find that the consumer, even as she is buying a vehicle is thinking about what to buy after five years. So we had to keep this in mind too,” he says.
The two new cars that were unveiled at the AutoExpo - the H5X concept, a luxury 5-seater SUV and 45X concept, a premium hatchback – are built on Tata’s new design language of Impact 2.0, says Srivatsa.
Once Tata Motors had established that design was grabbing the attention of Indian customers, even in mass segments, it launched its Impact Design language in 2016. Tiago, Tigor, Hexa and Nexon were built on Impact Design philosophy.
Now, the company has stepped up a gear with Impact 2.0. “The technology architecture of both these launches (H5X and 45X) is future-ready,” says Srivatsa. So the electronic engineering that goes into it allows voice-activated control. This means when you get in, you can tell the car “take me home” and the car will auto-switch the GPS navigation to home instantly.
Future pillars
Srivatsa says three pillars driving Tata Motors in developing passenger vehicles are design, safety and infotainment. So on offer will be handsome cars with high-quality infotainment in a connected environment with special focus on safety, such as insistent beepers if you don’t put on safety belts. Srivatsa says segments such as hatchbacks and sedans are getting sub-segmented. So precise marketing is necessary to get the right customers. Therefore, Connecting Aspirations will be the umbrella brand tag line. Each car will have its product-specific positioning for the targeted customer profile.
He points to how Hexa, which should logically be getting older consumers given its higher price point, is attracting younger customers who, one would imagine, would choose entry-level cars. “We are selling over 1,200 Hexa units a month,” he says.
Brand consultant Giraj Sharma says that as a thought Connecting Aspirations is apt as it is a show of intent. “From a brand purist point of view I will say, it is a nice, clean thought. As an internal motivator it will charge employees.” However, he is not so sure about how it will resonate with consumers and feels it will need some more messaging.
Santosh Desai, MD & CEO of Futurebrands India, says ‘Connecting Aspirations’ actually came up after extensive engagement with consumers of all categories and hearing their expectations. “The intent is already being translated into delivery in terms of product development,” he says. Consumers have to see Connecting Aspirations manifesting in the product experience. “We have started seeing product rollouts with a different mindset already,” he points out.
 
From the Nano to the H5X concept due to be launched a year later, Tata Motors has travelled a long way – and it’s not always been a smooth journey. Will the future offer a better ride? Certainly, there is clear direction now."
172,2018-02-09,Tata Motors,"Tata Motors global sales up 20 per cent in January 


bl09_tatamotors_GUD42C8LN.1+BL09VIDYA-EVOQUE.jpg




bl09_tatamotors_GUD42C8LN.1+BL09VIDYA-EVOQUE.jpg


 Tata Motors today reported 20 per cent increase in global sales, including that of Jaguar Land Rover, at 1,14,797 units.
The company had sold a total of 95,081 units in the same month last year.
Global wholesale of all Tata Motors’ commercial vehicles and Tata Daewoo range in January 2018 stood at 44,828 units, up 32 per cent fromthe same month last year, the company said in a statement. It had sold 34,013 units in the same month last year.
 The company’s global sales of all passenger vehicles in January this year were at 69,969 units, higher by 13 per cent from 61,918 units in the same month last year.
 Global sales for Jaguar Land Rover were 49,631 vehicles. Jaguar sales for the month stood at 16,108 units while Land Rover sales for the month were at 33,523 units."
171,2018-03-01,Tata Motors,"Tata Motors’ Feb domestic sales up 38% 


tata-motors




tata-motors


 Tata Motors today reported 38 per cent jump in domestic sales at 58,993 units in February, led by continued strong sales in commercial and passenger vehicle (PV) segments in the domestic market. The company had sold 42,679 units during the same month last year, Tata Motors said in a statement.
 Domestic sales of commercial vehicles in the month grew 36 per cent to 41,222 units compared to 30,407 units in the year-ago period, fuelled by robust infrastructural developments, fresh tenders in car carriers, coal movement and the petroleum sector. Passenger vehicle (PV) sales stood at 17,771 units as against 12,272 units in February 2017, up 45 per cent.
 The company said the jump in PV sales was due to increasing demand of Tiago and Tigor along with Nexon and Hexa gaining traction in the steadily growing UV segment.“The passenger car segment registered a strong growth of 17 per cent while the UV segment grew 165 per cent, clearly showing a trend of growing customer base across segments,” Tata Motors said.
 However, sales from exports in February 2018 declined 3 per cent to 4,768 units over last year. 
 With regard to spike in commercial vehicle sales, it said the growth was also bolstered by increasing demand from construction, growing logistics, e-commerce and FMCG applications."
170,2018-03-02,Tata Motors,"With prices skidding, electric buses on road to making a mark


The first ebus received by the Telangana State Road Transport Corporation in Hyderabad. - NAGARA GOPAL
   -  Nagara Gopal




The first ebus received by the Telangana State Road Transport Corporation in Hyderabad. - NAGARA GOPAL
   -  Nagara Gopal


Aggressive bids by Tata Motors for supply of electric buses for city transport saw the prices of the vehicles drop significantly.
The nine-metre-long electric buses quoted as low as ₹85 lakh and the 12-metre ones at ₹98 lakh, against the normal listed price of ₹1.6 crore and ₹2.1 crore, respectively.
The prices of the winning quotes of e-buses are close to that of luxury diesel-powered inter-State transport buses.
If the current prices are any indication, electric bus sourcing is in for a major shift, according to auto industry sources.
With these quotes, Tata Motors has become L1 bidder in six cities, and the Goldstone-BYD combine bagged three cities for supply of electric buses in nine of the 11 chosen for pilot multi-modal public transport project under FAME (Faster Adoption and Manufacturing of Electric Vehicles) India.
The Ministry of Heavy Industries and Public Enterprises had extended a subsidy of ₹437 crore to 11 cities under the FAME India for the launch of electric vehicles to encourage the States to invite tenders.
Gross cost contract
In the tenders floated by nine of the 11 cities with one million-plus population, Tata Motors has bagged six cities — Indore, Lucknow, Jaipur, Kolkata, Guwahati and Jammu — five of which are outright sale, and one on gross cost contract (GCC). Goldstone-BYD has bagged all the three — Bengaluru, Hyderabad and Mumbai — under GCC.
In the tenders opened on February 28, these two companies outbid others, which included M&M, Ashok Leyland, Eicher Motors, sources close to the development told BusinessLine.
While Tata Motors will supply 190 electric buses, Goldstone, which partnered Chinese major BYD, will provide 290 buses.
It was proposed to offer 40 buses for each city under the pilot project. However, TSRTC in Hyderabad has decided to take 100 buses, Bengaluru is considering 150 buses, and Mumbai is sticking to 40.
While Ahmedabad is in the process of finalising, in the case of Delhi, where the courts have directed it to consider EVs, they are likely to come up with a much larger tender of procuring about 1,000 buses, another source requesting anonymity said.
In the case of outright purchase, the Centre provides 60 per cent subsidy and the rest is provided by the State road transport corporations. With most of the RTCs under financial stress, they are looking at GCC, where the buses would be operated and maintained by the supplier at a fixed cost per km.
The Bangalore Metropolitan Transport Corporation (BMTC) has finalised Goldstone-BYD, where six others were in fray, for 40 buses, where the corporation will pay ₹37.5 per km. Just to compare this with other luxury bus service, it works out to about ₹50 a km. Likewise, TSRTC has also chosen Goldstone for supply of 40 buses in Hyderabad, also under GCC.
The buses are being offered in two configurations of nine and 12 meters, with the latter having the capacity to seat 42 passengers.
The BMTC had invited tenders for 150 e-buses and it expects to get ₹1 crore as subsidy per bus from the Centre.
A source pointed out that while at ₹85 lakh, the EVs’ cost compares with some of the luxury diesel buses, their durability has to be tested in tough Indian conditions.
“If these manage to achieve similar reliability and durability, in major metros like Delhi, where there is growing concern about vehicular pollution, the entire fleet may be upgraded to EVs. We believe they are robust and durable as they have far less moving parts,” the source pointed out.
These buses may be deployed in a phased manner over the next three to six months."
168,2018-03-06,Tata Motors,"Tata Motors bets on new models, network expansion to sustain double-digit growth


Tata Motors net jumps over 11-fold. File Photo
   -  Reuters




Tata Motors net jumps over 11-fold. File Photo
   -  Reuters


 
Tata Motors is confident of maintaining double-digit growth in its passenger vehicles sales in the coming quarters.
The company’s passenger vehicle sales have grown by 18 per cent at 167,208 units during the April 2017 and January 2018 period compared with industry growth of eight per cent. In February, Tata’s PV volumes posted a whopping 45 per cent (at 17,771 units).
S N Barman, Vice-President – Sales and Network, Passenger Vehicle Business Unit, Tata Motors told BusinessLine on the sidelines of the launch of Zest Premio (priced at ₹746,800, ex-showroom, Chennai), a special edition of its compact sedan Zest, “All our recent launches – Tiago, Tigor, Hexa and Nexon – are doing well. Sales of each model have been increasing gradually.”.
Its compact SUV Nexon is reported to be doing well as per the company’s plans. Its current sales rate is over 4,000 units a month and the company sees an opportunity to increase it to over 6,000 units in the near term and more later.
With Nexon, Tata’s UV sales have zoomed to 38,020 units in the 10-month period of this fiscal against 13,946 units in the year-ago period.
Also, hatchback Tiago’s monthly volumes have grown to 7,000-7,500 units now from 3,500-4,000 units at launch in 2016.
With the new Zest Premio, Tata Motors hopes to increase the monthly sales from the present 2,500-3,000 units. Zest is 4-star rated for safety by the Global NCAP, a UK-based safety and testing organisation.
Barman said the expansion of its dealer network and changes at the existing dealerships will also support the growth.
Presently, about 84 per cent of its sales is in the personal transportation segment, while the rest are sold in the fleet segment. The ratio was the reverse before the launch of new models."
167,2018-03-06,Tata Motors,"WhatsApp leak case: SEBI directs Tata Motors to conduct internal probe 
After Axis Bank and HDFC Bank, SEBI on Tuesday directed Tata Motors to conduct an internal inquiry into leakage of unpublished price-sensitive information related to its quarterly financial results through WhatsApp. SEBI may ask two more companies to conduct internal probes on the subject, sources told BusinessLine.
In a detailed order, SEBI said that prima facie it appeared that the results of Tata Motors for the quarter ended December 2015 were finalised on or before February 9, 2016, prior to the circulation of the WhatsApp message on February 11, 2016. “It is observed that the financial figures pertaining to the quarterly results of Tata Motors were matching with the figures that were in circulation prior to its official announcement by the company,” the order noted. “Such resemblance of information circulated on WhatsApp with the actual financial results prima facie indicates that the financial figures of Tata Motors, were in circulation prior to official announcement...,” it added. Tata Motors will have to conduct an internal inquiry into the leakage within three months."
169,2018-03-06,Tata Motors,"Tata Motors unveils EV concept at Geneva


(from left-right) Tata Group Chairman-Emeritus Ratan Tata, Tata Motors CEO Guenter Butschek, Tata Sons Chairman N Chandrasekaran and Tata Motors Passenger Vehicles Chief Mayank Parekh. - PTI




(from left-right) Tata Group Chairman-Emeritus Ratan Tata, Tata Motors CEO Guenter Butschek, Tata Sons Chairman N Chandrasekaran and Tata Motors Passenger Vehicles Chief Mayank Parekh. - PTI


 Auto major Tata Motors today unveiled an electric concept with long range and class defining interiors as part of its plans to consolidate its green mobility portfolio.
 Built on a modified OMEGA (Optimal Modular Efficient Global Advanced) EV architecture, the ‘E-Vision Sedan Concept’ is capable of attaining a top speed of 200 km/hr.
 It can also race to 0-100 km/hr in less than 7 seconds, the company claimed.
 “We are committed to the mission of electric mobility and are working to build sustainable future,” Tata Motors CEO and Managing Director Guenter Butschek said at the world premiere of the model here.
 Tata group chairman N Chandrasekaran and group patriarch Ratan Tata were also present on the occasion.
 The concept is modular, scalable and flexible to address the range of performance attributes for long range travel with class defining interiors, Butschek said.
 “It powers our electric aspirations. It is one of the most definitive and aspirational product by an Indian OEM and will be a game changer, reiterating our commitment to offer world-class design, technology and drive the EV revolution to build a sustainable future,” Butschek said.
 The concept comes with both slow charging (AC) and fast charging (DC) options. Tata Motors however did not share details about the planned timeline for the introduction of the model.
 Sources, however, confirmed that the new concept would be presented to the board later this month while the production ready model based on the concept is likely to be introduced between 2020-22.
 Tata Motors, which marked its 20th year at the Geneva Motor Show this year, also showcased the ‘H5X concept’ - a 5-seater premium SUV and ‘45X concept’ - a premium hatchback.
 Both H5X and the 45X concepts are globally benchmarked cars that will create future international business opportunities for Tata Motors."
166,2018-03-17,Tata Motors,"Tata's urged to set up new assembling unit in Bangladesh to cater NE markets


bl28_caprb_Tata+GLA2C7JHB.3.jpg.jpg




bl28_caprb_Tata+GLA2C7JHB.3.jpg.jpg


 Nitol-Niloy Group, importer of Tata vehicles in Dhaka, on Saturday invited Tata Motors to set up Tata Ace assembling unit in Bangladesh to cater to North Eastern India and Myanmar markets.
Abdul Matlub Ahmad, Chairman of the Nitol-Niloy Group, wants Tata Motors to leverage their existing JV, Nita Co, to add the assembling unit.
Nita Co, the sole distributor of Tata Motors’ trucks in Bangladesh, and has an assembling unit for medium and heavy-duty vehicles.
According to Matlub, a mere 25 per cent localisation can help the JV to earn 20 per cent export subsidy on engineering products. This, coupled with zero duty imports to India, can make Bangladesh a cheaper destination for Tata Motors to source original equipment for Indian operations.
 “It would be more viable, both logistically and production-cost wise, if Tata Motors can leverage the Bangladesh facility to cater to the North East of India and also to Myanmar,” he told reporters on the sidelines of CII’s eastern regional meeting here in the city.
In case Tata Motors agree to this arrangement, Ahmad will have to add a capacity of nearly 50,000 vehicles annually. Investments towards capacity expansion in Bangladesh will be made by the Nitol-Niloy Group."
165,2018-03-18,Tata Motors,"Nitol-Niloy Group invites Tata Motors to set up unit in Bangladesh


Abdul Matlub Ahmad, Chairman, Nitol-Niloy Group




Abdul Matlub Ahmad, Chairman, Nitol-Niloy Group


Nitol-Niloy Group, importer of Tata vehicles in Dhaka, has invited Tata Motors to set up Tata Ace assembling unit in Bangladesh to cater to north-eastern India and Myanmar markets.
Abdul Matlub Ahmad, Chairman, Nitol-Niloy Group, wants Tata Motors to leverage their existing JV, Nita Co, to add the assembling unit.
Nita Co, the sole distributor of Tata Motors’ trucks in Bangladesh, has an assembling unit for medium and heavy-duty vehicles.
According to Matlub, a mere 25 per cent localisation can help the JV to earn 20 per cent export subsidy on engineering products. 
This, coupled with zero-duty imports to India, can make Bangladesh a cheaper destination for Tata Motors to source original equipment for Indian operations.
“It would be more viable, both logistically and production-cost wise, if Tata Motors can leverage the Bangladesh facility to cater to the North-East of India and also to Myanmar,” he told reporters on the sidelines of CII’s eastern regional meeting here.
In case Tata Motors agrees to this arrangement, Ahmad will have to add a capacity of nearly 50,000 vehicles annually. 
Investments towards capacity expansion in Bangladesh will be made by the Nitol-Niloy Group."
164,2018-03-20,Tata Motors,"Tata Motors to hike passenger vehicle prices by up to Rs 60K from April 1 
 Tata Motors today said it would hike prices of its passenger vehicles (PV) by up to Rs 60,000 from April 1 to offset rising input costs. The company sells a range of passenger vehicles beginning with the Gen X Nano at a starting price of Rs 2.28 lakh to the premium SUV Hexa with prices going up to Rs 17.42 lakh (ex-showroom Delhi).
“The rising input costs, changing market conditions and various external economic factors, have compelled us to consider the price increase,” Tata Motors President, Passenger Vehicle Business, Mayank Pareek said. He however said the company is optimistic about maintaining its growth trajectory in the coming year on the back of a “robust product portfolio like Tiago, Hexa, Tigor and Nexon”.
Last week, German luxury carmaker Audi announced a price hike in the range of Rs 1-9 lakh, effective April 1 to pass on the impact of increased customs duty in the Budget."
