,Date,Company,Article
179,,Tata Steel,
164,2018-01-08,Tata Steel,"Weekly Trading Guide: SBI, ITC, Infosys, Tata Steel, RIL


ITC seeks for a direction


ITC is stuck in a narrow range for the third consecutive week. The support at ₹260 and resistance at ₹267 are key levels to watch in the coming days. A breakout on either side of these two levels will decide the next leg of move for the stock and give a cue on the upcoming trend. If the stock sustains above ₹260 and breaks above ₹267 decisively, the downside pressure will ease. Such a break can take it higher to ₹272 and will also give an early indication that the downtrend that has been in place since July 2017 could be ending. A decisive break and close above ₹272 will confirm the trend reversal and can target ₹277 and ₹280 thereafter. But if ITC declines below ₹260, it can dip to test the significant support level of ₹257. A further fall below ₹257 will then increase the possibility of the stock extending its down-move towards ₹252. Traders can hold the long positions and accumulate on dips at ₹257. Retain the stop-loss at ₹254 for the target of ₹275. Revise the stop-loss higher to ₹265 as soon as the stock moves up to ₹270.


Infosys can dip ahead of results


After a strong rally for four consecutive weeks, Infosys fell sharply last week by 2.6 per cent. Support is at ₹1,010. A break below it will increase the likelihood of the stock extending its current down-move to ₹980 or ₹975 this week, well ahead of the third quarter results announcement on Friday. The outcome of the quarterly results will then determine the next trend for the stock. If Infosys manages to bounce from ₹980-₹975, an upmove to ₹1,010 will be possible. But a fall below ₹975 can drag the stock further lower to ₹950 levels. On the other hand, if the stock sustains above ₹1,010 this week, a bounce to ₹1,035 and ₹1,045 is possible again. In such a scenario, a range-bound move between ₹1,010 and ₹1,045 can be seen for some time. A strong break and a decisive weekly close above ₹1,045 is now needed for the stock to gain fresh momentum and rally further. The next target above ₹1,045 is ₹1,070. Investors can hold the long positions and can accumulate if the stock falls towards ₹980 in the coming days.


RIL is stuck in a narrow range


RIL has been stuck in a narrow range over the last couple of weeks. The immediate outlook is unclear. Support is at ₹908 and resistance is at ₹937. A breakout on either side of ₹908 or ₹937 will determine the next trend. Until then the stock can continue to trade sideways between ₹908 and ₹937. A strong break above ₹937 can ease the downside pressure. Such a break can take the stock higher to the crucial resistance level of ₹960. A strong break above ₹960 can boost the momentum and take the stock further higher to ₹1,000 levels thereafter. On the other hand, if RIL declines below ₹937 in the coming days, a fall to ₹895 or ₹890 is possible. A break below ₹890 will then increase the likelihood of the stock extending its down-move to ₹880 or ₹875. As being reiterated over the last few weeks, the region between ₹880 and ₹875 is a crucial support zone. A decisive break below ₹875 will increase the possibility of a double-top reversal pattern on the chart. In such a scenario, the possibility of the stock falling to ₹854 will increase.


Short-term view is bearish for SBI


SBI fell last week as expected to touch a low of ₹301.65. Though it managed to reverse higher from the week’s low, the bounce-back move lacks strength. The stock made a high of ₹311.8 on Friday and came off from there to close 1 per cent lower. The short-term outlook remains bearish. A cluster of resistances in the broad ₹310-₹320 region can cap the upside in the short term. An intermediate bounce to this resistance zone if seen can see fresh sellers coming into the market. A fall to ₹294 or ₹292 is likely in the coming days. A strong break below ₹292 will increase the likelihood of the stock extending its fall to ₹285. Traders who have taken short positions last week can hold them. Add more short positions at ₹314 if an intermediate bounce breaking above ₹310 is seen in the near term. Retain the stop-loss at ₹317 for the target of ₹294. Revise the stop-loss lower to ₹305 as soon as the stock moves down to ₹299. The outlook will turn positive only on a strong break above ₹320. But such a strong move looks less probable.


Uptrend is intact in Tata Steel


Tata Steel rose for the third consecutive week and was up over 5 per cent last week. The strong surge rally last week strengthens the overall uptrend. Support at ₹735 can limit the downside in the near term. Dips to this support may find fresh buyers coming into the market. The downside could be limited to the next significant support levels of ₹715 and ₹690 even if the stock declines, breaking below ₹735. But such a fall looks less likely. As such, the possibility of the stock sustaining above ₹735 is high . A rally to ₹800 is likely. A strong break above ₹800 will increase the likelihood of the up-move extending to ₹825 and ₹850 levels. An intermediate pull-back move from ₹850 levels to ₹800 or ₹750 cannot be ruled out. But the overall uptrend will continue to remain intact. Tata Steel is now all set to revisit ₹930 and ₹950 levels from a medium to long-term perspective. Investors can hold the long positions. Revise the stop-loss higher to ₹640. Consider booking partial profits around ₹900 levels."
165,2018-01-08,Tata Steel,"2018 expected to be better for steel industry: Tata Steel CEO


TV Narendran, CEO and MD, Tata Steel




TV Narendran, CEO and MD, Tata Steel


Tata Steel on Monday expressed hope that the new year will be slightly better compared to the last two years as stability has returned to the steel sector globally.
Addressing a gathering on the new year, TV Narendran, CEO and Managing Director of Tata Steel, said 2017 was better compared to the preceding two years despite challenges.


Past challenges


In 2014, he said, Tata Steel had dealt with some challenges relating to closure of its mines because of change in regulations, while in 2015, China had increased its export volumes globally, including to India, which created a challenging atmosphere. However, Tata Steel continued to perform and grew during this period despite the odds, he said.
“Despite these challenges in the last two years, Tata Steel has continued to invest and has grown not only in the works but also in the township of Jamshedpur to improve facilities during this period,” Narendran said.
Recently, he said, the Tata Group Chairman and board members had visited Jamshedpur and they were “quite happy” with what they saw.
Emphasising on the need for competitiveness, he said that going forward, the competitiveness of the Jamshedpur plant will get challenged after 2030, when the mines it has at its disposal today would be put up for auction.


Global scenario


Later, talking to reporters, Narendran said there is stability in the steel sector globally and import of steel from China has come down to five million tonnes from 10 million tonnes because of anti-dumping duty and other temporary measures taken by the government.
Referring to the Kalinganagar project in Odisha, Narendran said the board has given its green signal to start the second phase of work there, which has achieved 100 per cent production level within a year of commission.
Describing the government’s action as positive in view of demand, he said, the consumption of steel would increase with infrastructure development in the country, and also the logistics cost, which was currently on the higher side compared to other countries, would come down with improvement in infrastructure.
On completion of three years by the Raghubar Das-led government in Jharkhand, Narendran said the government was successful in creating a name for the mineral-rich State during the period."
167,2018-01-09,Tata Steel,"Tata Chief's New Year message to staff: Focus on simplification, synergy and scale
Nearly 10 months after taking charge as the Chairman of Tata Sons, N Chandrasekaran has spelt out ‘simplification, synergy and scale’ as the focus areas for the group going forward. This includes reducing complexity across businesses, leveraging collaboration between group companies and scaling up through growth, consolidation and collaboration.
“In order to achieve peak performance, we must focus on three things: simplification, synergy and scale,” Chandra said in a New Year message to group employees. “To thrive in a world of rapid change, we need to reduce complexity across businesses and simplify. This will help us respond and react faster. It will also bring agility and spur faster decision-making across the group. We must make our management and organisation structures simpler and impactful.”


Chandra, who took up his new role in February, has taken some tough decisions including exiting the mobile services business and removing cross-holding between group companies.He has been pushing for driving synergies between group companies through the ‘One Tata’ concept. “One Tata, to my mind, is a mindset that brings the best of the group together for every opportunity. It is a journey that will allow us to discover the art of the possible when we work together. We are privileged to have a large and unique ecosystem to leverage ideas, knowledge, expertise and scale as well as work together to create disruptions. To grow and innovate consistently, we must anticipate synchronicity,” he said.
Chandra added that as a group, there is potential to scale up some of the businesses. “We must nurture the best talent amongst our associates and be agile in our thinking and execution, remaining strongly aligned to our motto ‘Leadership with Trust’.”
Commenting on the global economy, he said, “Globally, we find ourselves living in a time of deep transformation, with many exciting new developments, coupled with a heightened sense of uncertainty. On balance, I am firmly optimistic: the global economy is set to grow at 4 per cent YoY in 2018—the fastest pace since 2011.” “Global expansion in this coming phase of the cycle will rotate increasingly towards developing markets—especially India. The House of Tata remains a cornerstone of India’s growth story, and will continue to play an influential role on the global stage,” he said."
169,2018-01-09,Tata Steel,"Tata Steel sets eyes on raising ₹12,800 crore via rights issue
Tata Steel is planning to raise ₹12,800 crore through a rights issue to fund expansion of steel capacity to eight million tonnes a year from three million tonnes at its Kalinganagar plant in Odisha.
Besides using the capital for capacity expansion, Tata Steel will also utilise it to deleverage its balance sheet and scout for organic and inorganic growth, said a company statement on Tuesday.
Tata Steel is in the race for buying Essar Steel, which is being auctioned under NCLT-driven bad debt resolution process.
The board of directors of the company met here over the last two days to approve the fund-raising and capacity expansion proposals, said Tata Steel.
The company plans to complete the expansion project at Kalinganagar with an investment of ₹23,500 crore.
The project is expected to be completed in 48 months from the date of start of the project.
Tata Steel, with an annual capacity of 13 million tonnes, is currently logging in capacity utilisation of 98 per cent despite a marked slowdown in demand.
The company is raising production capabilities to meet the requirements of automotive, general engineering and other value-added segments.
The cost for ramping up the Kalinganagar facility includes raw material capacity expansion, upstream and midstream plants and a cold-rolling complex, it added. Though the demand is yet to revive in India, steel companies are betting on Prime Minister Narendra Modi’s plans to build roads, ports and power plants.
The company is focussing on the Indian market after selling some of the unprofitable assets in the UK and agreeing to merge its European operations with Thyssenkrupp AG.
With Tata Steel’s European business set to be transferred to the proposed 50:50 joint venture with German industrial major Thyssenkrupp AG, the former will be looking to restructure the remaining debt on its balance sheet to more sustainable levels.
However, the proposal is awaiting regulatory clearances."
171,2018-01-09,Tata Steel,"Tata Steel Joda Mine gets Golden Peacock Innovation Award


tatasteel




tatasteel


Joda East Iron Mine (JEIM) of Tata Steel has been honoured with the prestigious Golden Peacock Innovation Management Award for the year 2017 for driving innovation in mines.
The coveted award, given in recognition of innovation management, was received by Debashis Jena, Chief Joda, Tata Steel at Institute of Directors India’s 2nd Global Convention held at Singapore recently, a Tata Steel release said today.
Golden Peacock Awards Secretariat receives over 1,000 entries per year for various awards, from over 25 countries worldwide. The award provides not only worldwide recognition and prestige, but a competitive advantage in driving business, it said.
Joda East Iron Mine of Tata Steel is one of the fully mechanised captive iron mines of Tata Steel. It is rated five star category mines by the Government for doing sustainable mining.
Some of the innovations implemented in JEIM include digitisation in excavation of iron ore, use of iron waste for sustainable mining.
“We make every attempt to adopt best practices, modern technologies and innovation to ensure that our mining activities are efficient and sustainable having a positive impact on the triple bottom line. This recognition is a testimony to our commitment in pursuing excellence across our operations,” said Pankaj Satija, General Manager (Ore Mines & Quarries), Tata Steel."
178,2018-01-09,Tata Steel,"No market will beat India’s growth: Chandra
N Chandrasekaran, Chairman, Tata Sons, has asked Group companies to focus on the opportunities in the Indian market.
He also said that apart from Tata Steel, Tata Motors and Tata Consultancy Services, the group wants an improved play in financial services, infrastructure, consumer businesses, and in travel and hospitality.
In an interview given to Tata Review, the in-house magazine of the Tata Group, Chandrasekaran said: “The opportunity for many of our businesses in India is fantastic. They should use this opportunity to make investments and participate in and contribute to India’s growth story. I’m quite bullish about the country’s economic prospects.”
“No other market, I believe, is going to grow faster than India in the next 10-20 years. Considering our demographic profile, we will have a consumer population that is going to have higher spending power. It’s a massive market, the biggest game in town,” he added.




On the issue of having too many companies within the Tata fold, Chandrasekaran said: “We have far too many companies in the Tata Group and some level of consolidation is essential. Our aim should be to achieve the optimal level of consolidation without losing the entrepreneurial spirit that we are famous for. We have not worked out all the details. We have our thoughts on this and we will consider them carefully.”
Chandrasekaran, who was appointed as the Chairman of Tata Sons after the acrimonious exit of Cyrus Mistry, said that he is driving synergies within the group through the ‘One Tata’ concept. “One Tata will certainly have a financial impact. In addition, it will also be beneficial for our employees, their career paths as well as the wider community. A fundamental element of One Tata is to affect the thinking of our senior leaders and to ensure that they cascade it down the line to their teams. It’s not rocket science; it’s a shift in thinking and mindset,” he said.
On the issue of pruning unprofitable businesses, Chandrasekaran said hard decisions are inevitable.
“In a business group, you constantly have to take decisions that make financial sense. I have clearly stated the emphasis on returns and capital allocation, but that does not mean we will exit a business that does not meet our targets. We will always work hard together to realise the potential of every Tata business. There will be times, though, when hard decisions are inevitable.”
He said that businesses will have to strive for top performance and will be held accountable.
“We have to be performing at the highest level in every business we are in. If we have underperformed the competition, while the market or that industry has potential, then we must be held accountable. It’s not good enough to say this year was better than last year.”"
173,2018-01-09,Tata Steel,"Thyssenkrupp prepared to make workers offer for Tata Steel deal: media


Thyssenkrupp is prepared to offer workers commitments on jobs and investments to get union backing. File Photo
   -  Reuters




Thyssenkrupp is prepared to offer workers commitments on jobs and investments to get union backing. File Photo
   -  Reuters


Thyssenkrupp is prepared to offer workers commitments on jobs and investments to get union backing for its deal with Tata Steel to merge their European steel operations, German weekly Bild am Sonntag reported, citing an internal memo.
“We are prepared to make wide-ranging commitments on the topics that are most important to our employees,” the paper quoted Thyssenkrupp personnel chief Oliver Burkhard as telling managers in the memo. “That concerns for instance securing sites, future investments and job security. With our proposal, we want to secure jobs at the future joint venture into the next decade,” he said. Thyssenkrupp declined to comment on the report.
German labour union IG Metall had given Thyssenkrupp until December 22 to agree to guarantees on jobs, plants and investments, putting further pressure on Chief Executive Heinrich Hiesinger, who has said he wants the approval of shop stewards for the merger plan.
Hiesinger hopes to reach a final deal with Tata Steel in early 2018 but that depends on whether he can get it passed by Thyssenkrupp's supervisory board, where workers' representatives have called for jobs and plants to be secure for 10 years.
Labour leaders hold half of the 20 seats on Thyssenkrupp's supervisory board, and while a deal can still be pushed through without their consent, their approval could significantly smooth the transaction."
174,2018-01-09,Tata Steel,"Sebi levies Rs 10 lakh fine on Tata Steel
Capital markets regulator Sebi has levied a fine of Rs 10 lakh on Tata Steel for delay in disclosing the increase in its shareholding in Tinplate Company of India, a group company.
In September 2009, Tinplate had announced rights issue of 4.32 crore equity shares to its existing shareholders. Along with this it had also issued 1.80 crore fully convertible debentures in the ratio of 5 debentures for every eight equity shares.
In its order pronounce on Thursday, Sebi observed that Tata Steel had subscribed to and was allotted 1.33 crore equity shares and 55.46 lakh fully convertible debentures as part of the equity and debenture issuance. This apart, Tata Steel was also subscribed to an additional 86.73 lakh equity shares and 1.17 crore fully convertible debentures.
Post allotment of equity shares, Tata Steel stake in Tinplate increased from 30.82 per cent to 42.88 per cent. Upon this increase, it was supposed to make the necessary disclosures within two working days to Tinplate as required under Sebi regulations. However, Tata Steel disclosured belatedly on July 2, 2012.
Further, on April 1, 2011, Tinplate again allotted 3.14 crore equity shares to Tata Steel pursuant to the rights issue and in terms of the letter of offer dated September 3, 2009. This led to further increase in Tata Steel holding to 59.44 per cent from 42.88 per cent. This disclosure was also delayed and made only on May 13, 2011.
Subsequently, Tata Steel’s stake in Tinplate rose to 73.44 per cent in September 2012 following an open offer, and further to 74.96 per cent in May 2014 pursuant to a scheme of amalgamation.
Tata Steel made a submission to Sebi that the lapse on its part was technical in nature and the same should be condoned or a nominal penalty may be imposed on it. Sebi imposed Rs 10 lakh fine, saying it is commensurate with the defaults committed by the company."
176,2018-01-09,Tata Steel,"Tata Steel: Will BPPL buy add strength?
Shares of Tata Steel will remain in investors’ focus, as the steel major acquires 74 per cent stake in Bhubaneshwar Power Private Ltd (BPPL) from JL Power Ventures Private Ltd for ₹255 crore to ramp up its captive source of power. The acquisition will provide an opportunity to meet its growing power demand, Tata Steel added. The acquisition will require an approval from the Odisha Industrial Infrastructure Development Corporation."
