,Date,Company,Article
89,,Tech Mahindra,
80,2018-01-08,Tech Mahindra,"TechM files petitions against RCom, subsidiaries over dues
Reliance Communications today said IT services major Tech Mahindra has filed insolvency petitions against the company and its two subsidiaries for recovering dues.
The quality of service and amounts billed are disputed, RCom said in a regulatory filing terming the petitions as “misconceived, premature and motivated by extraneous considerations“.
“We wish to inform you that Tech Mahindra Ltd, a vendor for call centre services, has filed petitions, as an unsecured operational creditor under IBC (Insolvency and Bankruptcy Code against the company, Reliance Telecom and Reliance Big TV, subsidiaries of the company for certain bills submitted by them for services allegedly rendered,” the Anil Ambani company said.
Noting that the aggregate amount of Tech Mahindra’s claim against all the three companies worked out to Rs 8.20 crore, RCom said “the claim amount is not considered material by respective companies concerned“.
“We submit that the petitions are misconceived, premature and motivated by extraneous considerations,” it added.
Reliance Communications, which is reeling under a debt burden of about Rs 46,000 crore, recently called off merger talks with Aircel, citing “legal and regulatory” delays.
RCom and Aircel had signed binding agreements in September 2016 for the merger of mobile business.
RCom’s Rs 11,000 crore tower deal with Brookfield is also being reworked following termination of wireless merger talks with Aircel.
Aircel tenancy would have been a sweetener for Brookfield in the tower deal, but the recent collapse of merger talks (between RCom and Aircel) prompted a renegotiation on contours of the deal between the Anil Ambani company and the Canadian firm."
79,2018-01-08,Tech Mahindra,"Tech Mahindra announces partnership with US medical equipment firm
Software services major Tech Mahindra on Monday said it has become one of the tech partners of US-based medical devices company Terumo BCT.
As Terumo’s global Innovation and Development (I&D) partner, Tech Mahindra will provide medical device engineering services out of a dedicated Offshore Development Centre (ODC) at its Bengaluru campus, a statement today said.
This partnership extends Tech Mahindra’s existing relationship with Terumo BCT, it added.
“This initiative with Tech Mahindra is designed to extend Terumo BCT’s global development capabilities with a particular focus on India,” the statement said.
No financial details of the partnership were disclosed."
78,2018-01-08,Tech Mahindra,"TechM to set up centre for US firm Terumo
Software services major Tech Mahindra has become one of the tech partners of US-based medical devices company, Terumo BCT.
As Terumo’s global Innovation and Development (I&D) partner, Tech Mahindra will provide medical device engineering services out of a dedicated Offshore Development Centre (ODC) at its Bengaluru campus, a statement today said.
This partnership extends Tech Mahindra’s existing relationship with Terumo BCT, it added.
“This initiative with Tech Mahindra is designed to complement and extend Terumo BCT’s global development capabilities with a particular focus on the India market,” the statement said.
Terumo BCT is headquartered in Lakewood, Colorado and serves customers across 130 countries."
74,2018-01-08,Tech Mahindra,"Wipro, TechM among 15 companies shortlisted by SEBI for IT services
Markets regulator SEBI has shortlisted 15 entities, including Tata Communications, Wipro and Tech Mahindra for two separate services — identify and classify security holes in IT infrastructure, as well as protect against security threats.
To provide these services, SEBI in September had issued separate notices, inviting expression of interest (EoI) from the interested parties.
The service is related to identify and classify security holes in its entire information technology infrastructure and suggest measures to mitigate such risks.
The second service pertains to set up a ‘network and security operation centre’, which will enable it to detect and protect against security threats, including from ransomware.
Now, SEBI has shortlisted seven bidders — Wipro, Ernst & Young LLP, Pricewaterhouse, Sumeru Software Solutions, Digital Age Strategies, AAA Technologies, Auditime Information Systems (India) Ltd — to identify and classify security holes in its entire information technology infrastructure and suggest measures to mitigate such risks.
Besides, Tata Communications, Wipro, Tech Mahindra, IBM India, Sify Technologies, Pricewaterhouse, Dimension Data India Pvt Ltd and Netmagic Solutions are among the eight companies that have been shortlisted to set-up a ‘network and security operation centre’




 With regard to information technology infrastructure, the Securities and Exchange Board of India said that selected bidder will be responsible for carrying out an assessment of threat and vulnerabilities and assess the risks in its IT infrastructure.
This will include identifying existing threats and suggest remedial solutions and recommendations on the same to mitigate all identified risks and enhance the security of information systems.
Information system infrastructure includes networking systems, security devices, servers and databases. Besides, the agency will be responsible for carrying out enterprise-wide system audit focussed on configuration, security aspects, risk assessment, deployment, administration, access control, back up and business continuity.
The audit will also cover review of standard operating procedures, automation and monitoring of all IT assets.
With respect to ‘network and security operation centre’, SEBI said that selected company will be responsible for all the activities related to information security, including anti-phishing, anti-malware, anti-trojan, anti-ransom and implementation of security solutions such as content filter and virtual browsing solutions at the regulator."
73,2018-01-09,Tech Mahindra,"TechM partners edX to re-skill workforce
IT major Tech Mahindra on Tuesday said it has partnered with e-learning platform edX to facilitate re-skilling of its 1.17 lakh workforce in emerging areas such as Internet of Things, data analytics, artificial intelligence and cyber security.
Founded by Harvard University and MIT in 2012, edX counts India as its second-largest learner base with over 15 lakh people enrolled.
“Today’s disruptive business landscape demands for our talent to be future-ready, and it is our responsibility to ensure that the right tools and innovative pathways are made available to them,” said Tech Mahindra CEO and MD CP Gurnani.
He explained that the chosen 10 areas are technologies that clients are increasingly focussing on.
“We are working together with Tech Mahindra to offer learners the tools they need to gain knowledge in the said areas in order to fast-track their careers and secure in-demand jobs,” said Anant Agarwal, edX CEO and MIT Professor.
The employees will be offered these courses, which are priced $50-1,000, at discounted rates that will be reimbursed on successful completion of the course.
Besides, the IT firm will offer opportunities for pre-identified learners enrolled in edX’s MicroMasters programme.
For anyone who completes these programmes and meets the minimum criteria of education and work experience, Tech Mahindra will assure a job interview with the company, Agarwal said.
Over the past few years, edX has witnessed 96 per cent growth in its Indian learner base, with the country constituting 11 per cent of the platform’s overall learner base.
According to a recent EY report, commissioned by Ficci and Nasscom, the IT-BPM sector is expected to be impacted the most by digital and automation trends, with 70-75 per cent of the jobs in 2022 requiring new skill sets.
It said, of the 4.5 million jobs in 2022, 10-20 per cent will be new roles such as 3D designer, AI research scientist and language processing specialist."
84,2018-01-09,Tech Mahindra,"Tech Mahindra soars over 7% on Q1 profit
Shares of Tech Mahindra jumped on better-than-expected Q1 profit. The stock rose as much as 7.3 per cent to Rs 413.90, its biggest intraday percentage gain since May 25, 2016.
The company had reported a better-than-expected 7 per cent rise in Q1 profit on Monday, helped by new clients for its digital services business.
The performance in Q1 allays fears of earnings downgrades, with reported revenues and margins being better than expectations - Investec says.
It has raises the rating to 'buy' from 'hold', with a price target of Rs 460.
It adds that the management continues to be cautiously optimistic on growth; however, Tech Mahindra is likely to see q-o-q growth going forward after two quarters of consecutive declines.
As of Monday's close, the stock had fallen 21.1 per cent this year."
83,2018-01-09,Tech Mahindra,"Tech Mahindra fails to deliver


techm1




techm1


Three quarters ago, it seemed like the worst was over for Tech Mahindra and its telecom vertical (that contributes over half of its revenue) was set to recover. But much to investors' disappointment, the company has failed to deliver as per expectations.
In the recent June quarter, Tech Mahindra’s dollar revenue grew 0.6 per cent sequentially. This is the lowest growth figure among all the top-tier IT companies that have declared their results so far.
The telecom (communication) vertical has lost momentum. From a sequential growth (in dollars) of 2.27 per cent in the September quarter last year, the segment’s growth dropped to 1.71 per cent in the December quarter. It further slipped to a negative of 0.79 per cent in the March quarter. In the latest June quarter, the vertical has recorded a sharper decline of 1.8 per cent.
The number of active clients with the company increased to 864 in the June quarter from 843 in the March quarter. However, most of the additions were in the $1 million-plus (less than $5 million deals) bucket. Revenue from top five clients declined to 25.9 per cent from 26.6 per cent in the previous quarter.
The total employee base shrunk by 1,713 employees to 1,17,693.
The company has however managed a 36 per cent sequential profit growth, thanks to forex gains and increase in other income. Operating profit margins increased by 70 basis points to 12.7 per cent. The increase though not very significant, has found favour with investors. The stock has gained 5 per cent in bourses today.


Outlook


In the post results commentary yesterday, the management had sounded optimistic of the prospects in the current year with all recent acquisitions expected to pay off.
It expects LCC (Lightbridge Communications Corporation), a global network services company, acquired in 2014, to break-even in the coming quarters as the restructuring is over.
On the margin front too, there may be an improvement, said the company, as it works on possible levers – employee utilisation, automation and improving profitability at LCC. In the September quarter, though, there may be some impact on margins because of wage hikes.
Only if the new acquisitions made by the company in the last one year, start to add to revenues materially, the company can bridge its gap with peers in the coming quarters."
82,2018-01-09,Tech Mahindra,"Eight IT companies launched in Vizag
Andhra Pradesh IT Minister and the son of Chief Minister N Chandrababu Naidu, N Lokesh, inaugurated eight IT companies here on Thursday on the premises of Techmahindra.
The building - Tech Hub - has been taken on lease by the AP Government from Techmahindra to provide space to the companies.


The companies


The eight companies are Amzur, Digipub Apex, ID Analytics, Insurance Box, Inventrax, VGS - Provigil, Virtual Offshore, and Vismaya Premedia. Together, they will generate 900 jobs.
The minister said on the occasion that in the next two years one lakh jobs would be generated in the State in the IT sector, 70,000 of them in Visakhapanam alone.
“The State Government is making all-out efforts to increase the IT exports from the State, currently at ₹2,000 crore, ten-fold in the coming few years,” he said. He said the State Government had formulated suitable IT policies such as the new designated technology policy to incentivise both IT space developers and IT companies. “Kapulauppada here will be developed as a major IT city by 2019, with residential and other facilities for the IT personnel,” he said.
On the occasion, two MoUs were signed with WNS Global and Patra BPO for starting operations in the Tech Hub. WNS Global will add 1600 employees to its current workforce of 900 in the city and Patra BPO will generate 800 more jobs in addition to the existing 1600.
The minister also released an IT product - XaTTaX, a GST filing and reconciliation solution - developed by Sailotech, a local IT company.
JA Chowdary, the IT adviser to the AP Government, also spoke on the occasion."
81,2018-01-09,Tech Mahindra,"TechM’s ‘Dial 100’ system proves a hit in UP


Sujit Baksi, President, India Business, Tech Mahindra




Sujit Baksi, President, India Business, Tech Mahindra


Tech Mahindra’s police emergency response management system — UP Dial 100 — for the 220 million citizens of Uttar Pradesh, has saved 460 lives in the past three months and a total of 800 lives since November, the company said.
The project is jointly implemented by Tech Mahindra and Mahindra Defence Systems.
The company claims this is the world’s largest integrated emergency response management platform and is unique in that the citizen response call centre at Lucknow is manned by an all-women team of 400, who receive 100,000 calls every day, 98 per cent of which are responded to in five seconds.
The languages supported are eight local dialects, 18 national languages and 16 foreign languages.
“Usually, police are concentrated at district headquarters; therefore, people in remote villages face huge issues with safety, especially women,” Sujit Baksi, President, India Business, Tech Mahindra, told BusinessLine.
“The Emergency Response Management System went live in September last year and helps people across 2,40,948 sq km in 75 districts, 689 cities and towns, 1,07,452 villages, and 1,530 police stations. Of the one lakh calls received by our team daily, 15,000 are of dire distress and the rest are for loss of passport, vehicles and so on.”
He explained that when a person in distress dials 100, the exact location of the caller is identified immediately, and the police station within the jurisdiction of the location of the call is intimated and action taken within 15 minutes.
A GPS system identifies the nearest location of the Police Emergency Response vehicle and the police are able to reach the caller within 15 minutes.
The convenience of lodging an FIR on the spot is also provided. Citizens can also access police help through social media platforms such as Facebook, Twitter and Whatsapp.
“Unlike most other call centres where call time is limited, we encourage our team to engage with the caller till the police arrives on the scene. All calls are recorded for accuracy and transparency; provisions for communicating with persons with special needs have been made and crime data analytics are generated for the police to take proactive action. We have saved 800 lives, majority are women,” Baksi said.
Two more all-women call centres are being set up in Allahabad and Noida. On why they chose to have an all-women team, Baksi said: “Women are far more empathetic to people in distress.”
Tech Mahindra on July 25 also set up a Tech Support Centre for the Central Government at Noida, manned by 400 chartered accountants and commerce graduates, to help with GST registration and filing tax returns online.
“At present, the India business contributes just 3 per cent to our turnover. The aim is to take it to 10 per cent in the next three years” said Baksi. Tech Mahindra notched up revenues of ₹29,141 crore in FY2017, a 10 per cent growth over the previous year."
77,2018-01-09,Tech Mahindra,"Tech Mahindra Q2 net rises 30% as operational performance improves


VINEET NAYYAR, Vice-Chairman, Tech Mahindra




Tech Mahindra CEO and MD, C.P. Gurnani (file pic)




VINEET NAYYAR, Vice-Chairman, Tech Mahindra




Tech Mahindra CEO and MD, C.P. Gurnani (file pic)


IT services firm Tech Mahindra’s second quarter consolidated net profit grew 29.7 per cent year-on-year to ₹836 crore from ₹644.73 crore in the July-September quarter last year, backed by improvement in operational performance.
The company’s revenue from operations was up 6.1 per cent at ₹7,606.38 crore during the quarter as compared with ₹ 7,167.41 crore in the same period last year. In dollar terms, the net profit was up nearly 34 per cent to $129.3 million, while revenue was up 10 per cent to $1.17 billion in the second quarter.
“We took a serious look at our dipping EBITDA and have made significant changes in the ways we run the company. We are on the right path in terms of growth and profitability,” said Tech Mahindra Vice-Chairman Vineet Nayyar.
Tech Mahindra has been able to improve on its dipping EBITDA margins in the last two quarters, taking it back to where it was a year ago at 14.5 per cent. However, CEO and MD CP Gurnani acknowledged that current margin levels are still not impressive and there is room for improvement.


Aggressive on new tech


The company is getting aggressive on new age technologies and has trained 11,000 employees on automation technologies. It also plans to train additional 10,000 people in areas such as artificial intelligence, machine learning and automation.
In the said quarter, Tech Mahindra added 21 active clients, taking its overall active client base to 885.
The company added 7 clients under $10 million category, 8 in $5 million band and 13 in $1 million band.


Attrition rate down


Attrition rate (LTM) for the quarter declined to 16 per cent from 17 per cent in previous quarter, it added. Tech Mahindra added 1,250 employees in the quarter.
IT utilisation in the second quarter improved to 81 per cent from 77 per cent on sequential basis while IT utilisation (excluding trainees) was unchanged at 81 per cent quarter on quarter.
Tech Mahindra’s cash and cash equivalents stood at ₹5,961 crore as of September 2017. “With our DAVID (digitalisation, automation, verticalisation, innovation, disruption) strategy at play, we have posted reasonably good growth in the quarter across revenue, profit and new business,” Gurnani said."
