,Date,Company,Article
80,,UltraTech,
69,2018-01-08,UltraTech,"UltraTech Cement net dives 31% on plant buy, higher depreciation
UltraTech Cement, an Aditya Birla Group company, reported a 31 per cent drop in net profit in the September quarter to ₹423 crore against ₹614 crore due to one-time investment in 21 million tonne per annum (mtpa) newly acquired JP Cement plants and higher depreciation.
Net sales increased 20 per cent to ₹6,840 crore against ₹5,708 crore in the same period last year.
Depreciation increased 56 per cent to ₹522 crore against ₹334 crore. Interest cost during the quarter almost doubled to ₹388 crore (₹150 crore) due to cost involving new cement plant acquisition.
The company's production capacity has gone up to 93 mtpa with addition of fresh capacity.
The acquisition will enhance the company’s footprint into high growth markets such as central India, Himachal Pradesh, eastern UP and coastal Andhra Pradesh where it has been focussing to increase its presence, said UltraTech Cement in a statement.
This being the first quarter of operations post-acquisition, the company has injected the much-needed working capital to improve and stabilise the quality of cement being manufactured at these plants. Towards this, initial one-time expenses were undertaken for improving efficiencies and plant maintenance, it said.
In parallel, new dealers have been appointed to penetrate into new markets and completed transition of the acquired cement plants to the ‘UltraTech’ brand, it said.
The company plans to invest ₹194 crore to put up a wall care putty plant of 4 lakh tonne to cater to the rising demand. The plant is expected to be commissioned in the second-half of FY-20."
70,2018-01-08,UltraTech,"UltraTech Cement, NIIT Tech results today
Alfred Herbert (India), NIIT Technologies, Sil Investments and UltraTech Cement will announce their quarterly and half-yearly results for the period ended September on Wednesday. All eyes will be on UltraTech Cement, after ACC on Tuesday posted a two-fold increase in consolidated net profit for the September quarter at ₹180 crore over the year-ago period and 9.6 per cent rise in total revenue at ₹3,120 crore during the quarter."
66,2018-01-09,UltraTech,"UltraTech Cement surges 2%; M-cap rises by Rs 2,477 cr


BL19_ULTRATECH1
   -  REUTERS




BL19_ULTRATECH1
   -  REUTERS


Shares of UltraTech Cement rose 2 per cent on Monday after the Aditya Birla group firm said it will set up a new plant in Rajasthan with a proposed investment of Rs 1,850 crore.
Following the uptick on the counter, market capitalisation of the company improved by Rs 2,477 crore to Rs 1,16,519.84 crore.
The plant, which will have a capacity of 3.5 million tonnes per annum (mtpa), is expected to commence commercial production by June 2020.
Following the announcement on December 9, shares of the company opened on a bullish note at Rs 4,198 and surged further to touch an intra-day high of Rs 4,253.90, up 2.40 per cent over their previous close. The stock ended higher at Rs 4,244, up 2.17 per cent on the BSE.
On NSE, the stock opened at Rs 4,189, then touched an intra-day high of Rs 4,257.95 and finally ended at Rs 4,230, up 1.55 per cent.
With this expansion UltraTech will have a foot print across the country with 50 plant locations.
Meanwhile, UltraTech also informed that its board has also approved a proposal “to increase the investment limits by RPFI, including FIIs, from the existing limit of 30 per cent of the paid-up equity share capital to up to 40 per cent of the paid-up equity share capital of the company“.
This would make availability of more space for registered foreign portfolio investors (RPFI) to invest into the equity of the company."
67,2018-01-09,UltraTech,"UltraTech to invest ₹1,850 crore in new cement plant in Rajasthan


Workers walk in front of an UltraTech concrete mixture truck at the construction site of a commercial complex on the outskirts of the western Indian city of Ahmedabad April 22, 2013. UltraTech Cement Ltd, India's biggest cement producer, reported a 16.3 percent year-on-year fall in profit for the quarter ended March 31. REUTERS/Amit Dave (INDIA - Tags: BUSINESS CONSTRUCTION EMPLOYMENT)




Workers walk in front of an UltraTech concrete mixture truck at the construction site of a commercial complex on the outskirts of the western Indian city of Ahmedabad April 22, 2013. UltraTech Cement Ltd, India's biggest cement producer, reported a 16.3 percent year-on-year fall in profit for the quarter ended March 31. REUTERS/Amit Dave (INDIA - Tags: BUSINESS CONSTRUCTION EMPLOYMENT)


UltraTech Cement, an Aditya Birla Group company, plans to set up a 3.5-million-tonne-per-annum integrated cement plant in Rajasthan with an investment ₹1,850 crore.
The plant is expected to commence commercial production by June 2020. The group’s bet on a new cement plant comes even when the current demand remains lacklustre and with production cost going up substantially with the Supreme Court banning use of pet coke and furnace oil in Rajasthan, Delhi, Uttar Pradesh and Haryana.
The board of directors has approved the setting up the plant at Pali in Rajasthan, the company said a statement on Saturday.
The plant is being set up in one of the fastest- growing markets in the country and the highest cement-consuming State in the North zone, it added.
UltraTech Cement is one of the few companies in the sector which has a strong balance sheet even after taking over 17 million tonnes of JP Group’s stressed assets for ₹16,100 crore.
The plant will cater to the Western Rajasthan market, where the firm does not have a significant presence.
With this expansion, the company will have a foot print across the country with 50 plant locations, along with 103 ready-mix concrete plants.




The Board also approved a proposal to increase investment limits by Registered Foreign Portfolio Investors, including Foreign Institutional Investors, from the existing 30 per cent of the paid-up equity share capital, to 40 per cent, it said.
This is subject to the approval of the shareholders and other statutory approvals. The increase will make available more space for the RFPIs to invest in the equity share capital of the company, the firm said."
68,2018-01-09,UltraTech,"UltraTech to set up Rs 1,850 cr cement plant in Rajasthan


ultratech_cement




ultratech_cement


Aditya Birla group firm UltraTech Cement today said it will set up a new plant in Rajasthan with a proposed investment of Rs 1,850 crore. The plant, which will have a capacity of 3.5 million tonnes per annum (MTPA), is expected to commence commercial production by June, 2020.
“The board of directors at its meeting held today have approved setting up a 3.5 MTPA integrated plant at Pali, Rajasthan at an investment of Rs 1,850 crore,” said UltraTech in a regulatory updates. With this expansion UltraTech will have a foot print across the country with 50 plant locations, it added.
This plant is being set up in one of the fastest growing markets in the country and the highest cement consuming states in the North Zone. “It will cater to the markets in Western Rajasthan where Ultratech does not have significant presence,” it added.
Meanwhile, UltraTech also informed that its board has also approved a proposal “to increase in the investment limits by RPFI, including FIIs, from the existing limit of 30 per cent of the paid-up equity share capital to up to 40 per cent of the paid-up equity share capital of the company“.
This would make availability of more space for registered foreign portfolio investors (RPFI) to invest into the equity of the company. However, the decision will be subject to approval from the share holders and other regulatory clearances."
71,2018-01-09,UltraTech,"UltraTech cement launched in AP
UltraTech Cement announced here on Wednesday the formal launch of its brand in the Andhra market. UltraTech launched its brand in Vijayawada recently. “The company’s new wave of expansion is aligned with the government’s infrastructure development goals,” said KK Maheshwari, Managing Director of UltraTech Cement Ltd. “Andhra Pradesh market enjoys the first mover advantage. The launch here strengthens our foothold in the southern region.”"
79,2018-01-11,UltraTech,"UltraTech Cement Limited
Aditya Birla Group firm UltraTech Cement on Friday said it has commissioned a 0.3 mtpa slag cement manufacturing capacity at its existing facilities in Patliputra, Bihar. “This will bolster our capabilities to meet the growing demand for slag cement from the markets of eastern India,” it added. With the commissioning of this manufacturing capacity, the company’s cement capacity now stands at 70.6 mtpa. Shares of UltraTech Cement edged down 0.18 per cent at ₹4,404.35 on the NSE."
73,2018-01-11,UltraTech,"It will take 3 months to re-brand, market Jaypee cement products
It will take at least another three months before UltraTech Cement re-brands and markets product from the recently acquired Jaypee cement plants, an official in the company told BusinessLine.
“There’s a significant quality difference in the cement produced by UltraTech and Jaypee. Also, coal supply issues have to be sorted out at these plants and it will take at least another quarter before production reaches market,” the official who did not wish to be named said.
In June, UltraTech closed its ₹16,189 crore acquisition of the cement plants of Jaiprakash Associates Ltd and Jaypee Cement Corporation Ltd.
These are spread across Himachal Pradesh, Uttar Pradesh, Uttarakhand, Madhya Pradesh and Andhra Pradesh, with a capacity of 21.2 million tonnes.
After the acquisition, UltraTech has 18 integrated plants, one clinkerisation unit, 25 grinding units and seven bulk terminals, augmenting its grey cement manufacturing capacity to 93 million tonnes a year. This makes UltraTech among the largest cement producers globally.
The UltraTech takeover of the bulk of Jaypee’s assets hauled the latter from under its massive debt burden and working capital shortages at its cement plants.
The official at UltraTech said that the former Jaypee assets – now with the Aditya Birla group – are operating at about 10 per cent capacity, against an industry average of roughly 70 per cent. UltraTech’s operating revenues per tonne of cement produced will also be lower till the plants match in capacity utilisation.
At UltraTech’s annual shareholder meeting here on Tuesday, Kumar Mangalam Birla, Chairman, said it would take about three years before the acquisition – the largest deal so far in India – begins to boost the company’s earnings per share."
74,2018-01-11,UltraTech,"UltraTech Cement plans to raise ₹9,000 cr for funding capex, reduce debt


ultratech_cement




UltraTech_cement_Logo




ultratech_cement




UltraTech_cement_Logo


UltraTech Cement, an Aditya Birla group company, plans to raise ₹9,000 crore through issue of non-convertible debentures through private placement for funding its ongoing expansion projects and refinance high cost debt.
The company has recently taken over debt-ridden 21 million tonne per annum cement capacity of Jaiprakash Associates and Jayee Cement for ₹16,189 crore.
Addressing shareholders at the company’s 17th annual general meeting on Tuesday, Kumar Mangalam Birla, Chairman, said the company will be investing ₹2,200 crore on de-bottlenecking projects, regulatory requirements, plant infrastructure and routine maintenance.
The company plans to turnaround Jaypee assets into EPS accretive in three years by improving operational efficiency and bringing down the cost of operations, he said.
The operations will also be strengthened by process and technological upgradation leading to enhancement of capacity utilisation, creating synergies in manufacturing, distribution and logistics, said Birla.
Further, he said economies of scale and reduced lead-time to markets will be achieved.
The company plans to set up 3.5 million tonnes per annum plant at Dhar in Madhya Pradesh with investment of ₹2,600 crore and the project will be completed by the fourth quarter of FY-19.
The new plant will cater to south-west Madhya Pradesh and enhance presence in central India, he said. The company has commissioned cement grinding unit at Nagpur in Maharashtra and Patliputra in Bihar.
The greenfield expansion and acquisition of Jaiprakash assets will take the company’s cement capacity to 96.5 mtpa, including overseas operations in the UAE, Birla said, and added the company had spent ₹2,200 crore last fiscal in expansion projects."
