,Date,Company,Article
19,2018-12-07,Unilever,"Paul Polman: A ‘tempered radical’ bows out 


Paul Polman Sustainable vision
   -  JEENAH MOON




Paul Polman Sustainable vision
   -  JEENAH MOON


Earlier this year, the Saïd Business School at Oxford asked its MBA students to pick a business that would best describe their institution: “Are we the Microsoft of Business Schools, are we the Goldman Sachs or the Uber?”
The students concluded that their aspiration was to be the Unilever of Business Schools. The Saïd Dean recounted that conversation in the presence of Paul Polman, an indication of the kind of influence the CEO of Unilever has had as the champion of the triple bottomline approach that he pushed at his company.
This year-end, Polman’s decade-long journey at Unilever comes to an end amid circumstances that have pitted shareholders against his attempt to simplify the corporate structure and shift the headquarters of the company from London to Rotterdam. A shift would have made it near-impossible for a hostile takeover attempt of the kind mounted last year by Kraft Heinz.
The move to shift failed and Polman decided to retire, a less-than-happy exit for a leader who has stood out as one of the most important voices on sustainability in the thick of a highly competitive business. But how sustainable is Polman’s way, which he executed through what he called the Unilever Sustainable Living Plan that promised to cut the Unilever footprint by half and grow the business at the same time.
He achieved this rather obliquely by de-emphasising the share price and refusing to give out quarterly numbers, building on it with a sharp focus on sustainable actions and none of the ruthless cutbacks and aggressive takeovers that the Kraft Heinz Company is known for.
Yet, fund managers and shareholders work with a different agenda governed more by higher profits and rising stock prices in the near term, not necessarily the long-term view that Polman brought into fashion at Unilever.
Despite growing awareness of sustainability, consumption patterns remain unsustainable especially in developed markets.
Unilever reports that over half of all consumers already buy or want to buy sustainably. Unilever’s sustainable brands have outperformed the average growth rate over the last four years and in 2017 they delivered 70 per cent of turnover growth.
A lot of that turnover is increasingly coming from the emerging markets that are a magnet for MNCs looking for the next wave of growth. As these markets (including India) push GDP growth, they offer opportunities unavailable in developed economies. Unilever says 58 per cent of its business is in emerging markets. But competition is fierce. The opportunities and pressures have stretched the meaning of the term innovation, leading to some very unsustainable ideas.
For example, Unilever once marketed food products in India called “Amaze”, promoting it as “brain food” for the “mental and physical development of children” until the regulator stepped in. Fair & Lovely builds on the very unsustainable idea of selling fair skin as desirable.
One way to look at Polman’s work is to say there is only so much a large company can do. It was bold for its time but not bold enough to fire up the markets about a new set of consumers who demand from companies a new order and new respect for the planet and her resources.
Polman promoted sustainability and in return took home a package that reportedly amounted to £10.3 million, one of the reasons cited by the investors unhappy with his performance. Such high packages are among the reason that investors have lost trust in big business. In that sense, Polman played with the new but was ensconced in the old — a “tempered radical” who, as the term goes, “identifies with and is committed to the organisation, and is also committed to a cause, community, or ideology that is fundamentally different from, and possibly at odds with the dominant culture of the organisation.”
The next level of sustainable businesses will demand fundamentally different models that can work with and echo the demands of deep ecology, which in the words of authors Fritjof Capra and Pier Luisi “asks profound questions about the very foundations of our modern, scientific, industrial, growth-oriented, materialistic worldview and way of life.
The business model that captures this spirit is a long way off. But whenever it emerges, it will have Polman to thank as one of its early pioneers, a leader who was bold enough to act and go on record: “We are at a turning point. Only businesses that help people and planet thrive will succeed. We have to scale our impact through partnership, collaboration and trust.”
The writer is a journalist and faculty member at SPJIMR. Views are personal. (Through The Billion Press)"
18,2018-12-09,Unilever,"A healthy deal 
The merger of Glaxo SmithKline Consumer (GSK Consumer) with Hindustan Unilever (HUL) is a good deal for shareholders of both entities. Following the buyout of GSK Consumer by HUL for ₹31,700 crore, shareholders of the former will get 4.39 shares of HUL for every share held in GSK Consumer. The deal comes at a time when FMCG stocks have rallied over the last two years, thanks to the revival in demand, after the demonetisation and GST changeover.
Besides, the market volatility this year has also led to investors taking to FMCG stocks as a defensive bet. GSK Consumer shares have moved up by 50 per cent over the last two years, while HUL shares have more than doubled.
In this backdrop, GSK Consumer shareholders can take comfort in the fact that HUL is paying almost the market price of the shares as on date of announcement to acquire the company. The deal is valued at around 7.5 times GSK Consumer’s revenue of ₹4,300 crore for 2017 -18. In comparison, the recent acquisition of Heinz brands such as Complan , Glucon-D, Nycil and Sampriti by Zydus Wellness (which, however, are much smaller than GSK’s flagship Horlicks) was valued at four times the revenues of these brands.








 
 
Once the approvals (expected in a year) are got, shareholders of GSK Consumer, as on the record date, will be allotted HUL shares. With a diversified product portfolio across home care, personal care and foods, and market leadership in several categories, HUL is a probably a must-have bluechip stock for the long-term in any portfolio. Its wide reach as well as differentiated products across price points are a big positive. Expansion of product line from time to time to include premium products as well as the company’s pricing power to pass on any cost increases, constantly drive improvement in realisations and margins for the company.
Although HUL has perhaps paid top dollar for GSK Consumer, HUL investors can take comfort in the fact that the acquisition will be immediately EPS-accretive, despite the equity dilution from the share swap. Taking Bloomberg consensus earnings estimates for 2019-20 for both the companies, the EPS of the merged entity is expected to come in at ₹34.96.
Despite the equity dilution to the extent of 8 per cent at HUL following the merger, this expected EPS post-merger is higher than the ₹33.34 expected for HUL alone, without considering the merger.
Thus, the buyout is EPS-accretive, even without considering the synergies such as shared distribution network. Both companies enjoy overall operating margins of 18-20 per cent now. Synergies could further drive margins up. The GSK Consumer brands will give HUL a foot hold in a category it is not currently present in.
But even as GSK Consumer boasts of good volume growth of 8-16 per cent in recent quarters, the concern is that the growth in the health drinks industry (in which Horlicks is the market leader) is slowing.
 








 
The heath food drinks category has seen only 6 per cent growth annually in 2014-17, a slowdown from the 16 per cent annual growth in 2009-14, going by reports from several market research agencies. HUL, however, can turn the tide in its favour by improving the reach of GSK’s products, as it has three times wider reach than GSK Consumer’s.
The all-India penetration for drinks such as Horlicks is still only 24 per cent, with rural penetration being lower at 14 per cent. HUL also plans to leverage on the growing demand for premium health drinks through products such as Horlicks Cardia Plus or Horlicks Protein Plus.
Following the acquisition of GSK Consumer by Hindustan Unilever, shareholders of the former will get 4.39 shares of HUL for every share held."
17,2018-12-10,Unilever,"All you wanted to know about share swap
Last week, Hindustan Unilever (HUL) announced the merger of Glaxo SmithKline Consumer (GSK Consumer) with it, in a deal valuing the latter at ₹31,700 crore. The deal has been structured as a share swap, with shareholders of GSK Consumer being eligible to exchange each one of their shares for 4.39 shares in HUL on a decided record date.
What is it?
When a company pays for an acquisition by issuing its own shares to the shareholders of the target company, this is known as a share swap. The number of shares to be issued in lieu of their existing holdings in the target company — called the swap ratio — is determined by valuing the target company after looking into metrics such as its revenues and profits, as well as its market price. If the target company is listed, the market value of its shares is often a key consideration to arrive at the right price to be paid. Paying a premium to the market usually indicates healthy prospects and high potential, while a discount could indicate a distress sale.
The HUL-GSK Consumer deal is not the only one in recent times to be structured as a share swap. 
Why is it important?
A share swap has its advantages. As shareholders of the target company will also be shareholders of the merged entity, the risks and benefits of the expected synergy from the merger will be shared by both the parties. In a cash deal, if the acquirer has paid a premium and the synergies don’t materialise, shareholders of the acquiring company alone bear the fallout.
In a share swap, there is no cash outgo involved for the acquirer, saving the acquirer borrowing costs. Cash rich companies can put their cash to use for investments in the business or for other buyouts. On the flip side, issuing fresh shares could lead to reduction in promoter holding and dilution in earnings for shareholders of the acquiring company. However, the acquiring company can benefit from lower taxes, if there is goodwill created out of the merger which it writes off over the years. Goodwill arises when the acquisition price is higher than the value of assets and liabilities of the acquired company.
Why should I care?
If you are a shareholder in any of the companies that is part of such mergers or acquisitions, you then need to take a fresh look at the prospects of the stocks after the swap is announced. Take the HUL-GSK Consumer merger for instance. In this case, HUL is paying close to the market price of the GSK Consumer stock after consumer goods stocks have had a good run in the market. With a diversified product portfolio and market leadership in several categories, HUL has good long-term prospects too. Hence, GSK Consumer shareholders have got a fair deal.
Although HUL has perhaps paid top dollar for GSK Consumer, HUL investors can take comfort in the fact that the consideration is being paid, not in cash, but in highly priced HUL shares. The acquisition will immediately add to the EPS despite the equity dilution of about 8 per cent from the share swap.
Generally, these transactions take about a year to complete, needing the approval of creditors, stock exchanges, shareholders, Competition Commission and National Company Law Tribunal. The tax aspect also needs your attention. In case of a share swap, when shareholders of the acquired company are given shares of the acquirer company as part of the deal, this is not considered a transfer of shares. Hence, capital gains tax will not arise in the hands of the shareholders (including minority shareholders) of the acquired company. The tax liability will arise only when the shares of the merged entity are sold.
The bottomline
Acquisitions are dicey, but share swaps sweeten the deal."
16,2019-01-17,Unilever,"Strong rural demand led to double-digit volume growth
Despite a higher base in the quarter ended December 2017, Hindustan Unilever has put up a strong show in the December 2018 quarter.
With rural demand continuing to outpace urban, HUL has recorded a 10 per cent volume growth in this period. This is the fifth consecutive quarter of double-digit volume growth for the company.
After recording a zero per cent volume growth in the June 2017 quarter due to the GST transition, HUL’s volumes have grown at 10-12 per cent in each of the quarters beginning December 2017.
As against the 10 per cent volumes growth in the latest quarter, revenues grew at a higher 13 per cent to ₹9,357 crore, aided by price increases and superior product mix.
The topline growth was driven by a good performance by both home care and beauty and personal care segments. These segments, which together bring over 75 per cent of the revenues for the company, saw a 15 per cent and 11 per cent growth in revenues respectively.
Shifting preference to premium products in fabric and personal wash led the growth here.
Raw material, as a percentage of sales, stood at 48.4 per cent as against 47.5 per cent. But the company was able to expand its margins by partially passing on the increases and by reigning in advertising spends.
Ad expenses, as a percentage of sales, came in at 12.6 per cent in the quarter as against 13.3 per cent a year ago. Thanks to these measures, operating margin expanded by 190 basis points over the three months ended December 2017 to 21.4 per cent now.
Thus, despite a sharp rise in taxes and a fall in other income, the good operational performance helped net profits grow by 9 per cent to ₹1,444 crore.
Though the base effect for volumes may begin catching up in the quarters to come, the company expects demand to continue to be stable in the near term.
Even if rural demand were to be moderate, increasing preference of the urban consumer for premium and natural products may keep the volumes coming.
Preference for defensive FMCG stocks in the market volatility in the last one year coupled with strong demand has seen the HUL stock gain 26 per cent in this period. But this has led to the stock’s valuation expanding sharply to 65 times its trailing earnings now, higher than its historical 3-year average of 53 times.
With the stock perched on a high valuation, the upside may not be high from hereon. Nevertheless, with long-term prospects remaining sanguine, corrections due to market volatility may create buying opportunities."
15,2019-03-19,Unilever,"Broker's call: Hindustan Unilever (Buy)
Motilal Oswal
Hindustan Unilever (Buy)
CMP: ₹1,699.6
Target: ₹2,125
We spoke to the management of Hindustan Unilever (HUL) for an update on the overall market conditions. Key takeaways:
a) A small short-term blip was seen in 4QFY19 demand. But, we had already built in 8 per cent volume growth for 4QFY19 versus double-digit growth of the preceding five quarters. 
b) Measures announced in the budget are expected to benefit demand from 1QFY20 onwards. We see no immediate threat to our FY20 forecast of 7.5 per cent volume growth.
c) We believe HUL will continue to outperform peers over the medium term.
 d) Material cost outlook remains benign, ad spends & promotion intensity have not picked up erratically and cost savings continue at the targeted pace.
 Valuation and view: There is no change to our forecasts. We expect its high multiples to sustain a) on combination of continued healthy volume growth versus peers; b) on better earnings growth versus its own past earnings; c) because of the company’s best-in-breed return ratios; and d) due to synergies from the GSKCH acquisition from FY21 (we are not building in benefit from the acquisition yet in our numbers). 
We maintain ‘buy’ rating on the stock with a target price of ₹2,125, target multiple of 52x FY2021 EPS (which is aout 15 per cent premium to three-year average due to significantly improving business fundamentals)."
14,2019-05-05,Unilever,"Reality Check: HUL hurt by low volumes 
After a healthy volume growth of 10-12 per cent over the last five quarters, Hindustan Unilever recorded a slower volume growth of 7 per cent in the March 2019 quarter (over March 2018 quarter). The high base of last year, along with the slowdown in rural demand, hurt the company. Yet, it managed an 8.9 per cent growth in sales to ₹9,809 crore and a 13.8 per cent growth in profits to ₹1,538 crore, aided by better realisations and product mix, as well as lower input costs and advertising expenses. Thanks to these savings, operating margin expanded by 80 basis points over the three months-ended March 2018 to 23.3 per cent now. In the quarters to come, the moderation in rural demand and the base effect may continue to impact volumes. The stock now trades at 60 times its trailing 12-month earnings. Considering the weakening volumes and high valuation, the upside for the stock may be limited."
13,2019-05-06,Unilever,"HUL slips on Q4 profit miss; Q1 FY20 to see volume deceleration, says ICICI securities


File photo




File photo


 Hindustan Unilever Limited (HUL) fell as much as 2.2 per cent Rs 1,656 on Monday, the lowest since April 5. 
The company, which owns brands such as Dove, Surf excel and Lakme, posted a 13.8 per cent jump in the March-quarter profit on Friday.
ICICI Securities said that the medium-term demand outlook remained stable and that the company is likely to see continued volume deceleration in Q1 FY20.
The stock went down nearly seven per cent this year as of last close."
12,2019-05-06,Unilever,"Broker's call: Hindustan Unilever (Accumulate)
Elara Capital
Hindustan Unilever (Accumulate)
CMP: ₹1,672.35
Target: ₹1,872
Hindustan Unilever is engaged in fast-moving consumer goods business comprising home and personal care, foods and refreshments. 
Hindustan Unilever’s net sales was up 9.3 per cent y-o-y at ₹9,940 crore, 2 per cent lower than estimates. The domestic business posted volume growth of +7 per cent y-o-y (versus our estimates of 8 per cent y-o-y) and value growth of +9 per cent y-o-y. Home care at 13 per cent y-o-y and largely volume-led and food & refreshments at +10 per cent y-o-y lifted growth while personal care (+7 per cent) lagged. Gross margin contracted 27 bps y-o-y on crude inflation and rupee devaluation against dollar by 9.8 per cent y-o-y. EBITDA was up 13.3 per cent y-o-y at ₹2,320 crore, 5.5 per cent lower than our estimates. EBITDA margin expanded 82.5 bps y-o-y on cost rationalisation: employee expenses were down 35 bps y-o-y, ad spend 63 bps y-o-y and other expenses 11 bps y-o-y.
Adjusted PAT was up 13.8 per cent y-o-y at ₹1,580 crore, 5.6 per cent lower than estimates. At a CMP HUL is trading at 45x FY21E P/E, almost giving no value to the Glaxo portfolio, as the merged entity will have an EPS of ₹41.2. We reiterate ‘Accumulate’ with a TP ₹ 1,872 on 45x merged EPS of ₹41.2."
11,2019-05-08,Unilever,"FMCG stocks turn sour as demand cools


Britannia Industries Limited grew seven per cent, versus 11 per cent. File photo
   -  REUTERS




Britannia Industries Limited grew seven per cent, versus 11 per cent. File photo
   -  REUTERS


Producers of household items have been India’s best stock market bets for years. But the consumption slowdown in the world's fastest-growing major economy is rubbing the sheen off these shares.
The 74-member S&P BSE Fast-Moving Consumer Goods Index, which has had only one down year since 2006, has bucked the gains in the nation's benchmark measure. Some of the biggest names in the gauge have accumulated double-digit losses five months into the year.
The consumption engine is sputtering as the cash crunch caused by the crisis in the shadow-banking sector has curbed spending even on staples after hurting demand for cars and homes. Hindustan Unilever Limited (HUL), whose soaps and detergents are used by nine out of 10 Indian households, in an analysts call on Friday pinned the deceleration on weak rural demand and said it is unable to say when the buoyancy of the past would return.
When a generally-measured management like HUL’s uses the term recession in its comments in the post-result presser, it generally is not a one-quarter blip, analysts led by Rohit Chordia at Kotak Institutional Equity Research wrote in a note on the weekend.
The company’s volume growth slowed to seven per cent in the March quarter after five straight quarters of double-digit expansion. Growth for Dabur India Limited during the period was 4.3 per cent compared with about eight per cent a year earlier. Britannia Industries Limited grew seven per cent, versus 11 per cent, and Godrej Consumer Products Limited posted a one per cent increase in its domestic branded-business volumes.
The market is repricing the growth outlook. HUL has declined 5.8 per cent in 2019, Godrej Consumer 21 per cent, Britannia 15 per cent and Dabur 11 per cent. The S&P BSE Fast-Moving Consumer Index trades at a 12-month blended forward price-to-earning of 32, higher than its five-year average, signaling potential for further contraction in values."
10,2019-06-04,Unilever,"Despite slowdown, India’s consumer story is positive: Aditya Birla Sun Life MF


MAHESH PATIL, Co-Chief Investment Officer, Aditya Birla Sun Life AMC




MAHESH PATIL, Co-Chief Investment Officer, Aditya Birla Sun Life AMC


Flagging Indian sales of products like toothpaste and hair oil have been a drag on the share prices of the nation’s consumer goods makers, but each dip is a buying opportunity for a fund manager who sees the slowdown in demand as temporary.
“The stocks offer stability and steady growth,” said Mahesh Patil, Co-chief Investment Officer at Aditya Birla Sun Life Mutual Fund, which oversees assets of about $13 billion. “We don’t expect valuations to correct too much for consumer companies. They may consolidate a bit, but in a correction, we would look at them.”
Companies such as ITC Ltd, Hindustan Unilever Ltd and Marico Ltd, which sell everything from grains to beverages to detergents, have lost their shine on the stock market as a cash squeeze caused by the crisis in some finance firms hurt demand even for staples."
