,Date,Company,Article
53,,Vedanta,
52,2018-01-09,Vedanta,"Vedanta hits 7-year high on Q2 results
Shares of Vedanta hit near 7-year high as the company had on Thursday reported 20 per cent increase in net profit at ₹2,986 crore for the quarter ended September 30, 2017, against ₹2,495 crore in the corresponding quarter of the previous year.
Shares of the diversified mining, metal and energy company rose as much as 1.6 per cent to Rs 346.40, their highest since January 2011.
Kuldip Kaura, CEO, Vedanta, said the company has managed to post better financials on the back of solid operational performance in zinc and copper businesses, supported by strong commodity prices.
He said that the company expects the second half of this fiscal to be more robust with continuing production ramp-up and strong balance-sheet.
“Access to bauxite mining, improved coal availability, reduction in net debt will be positive in medium to long term,"" Emkay Global Financial Services analysts wrote in a note
Vedanta is poised to benefit from bullish price outlook for zinc, according to Motilal Oswal analysts.
Eight of 21 brokerages covering the stock rated it “strong buy"", 12 “buy” and one “hold""; the median target price is Rs 350, according to Thomson Reuters data.
(With inputs from Reuters)"
51,2018-02-08,Vedanta,"Apex court cancelling Goa iron ore leases to have limited impact on Vedanta 
Shares of Vedanta, one of the largest producers and exporters of low-grade iron ore, did not react much after the Supreme Court cancelled the iron ore mining leases of 88 companies in Goa. 
While the company’s exports may be affected by the decision, the impact on domestic sales will be marginal as much of the iron ore mined from Goa gets exported to China. Profits from the exports are already subdued due to the unfavourable pricing environment.
The Supreme Court in 2014 lifted the ban on iron ore mining in Goa but capped production at 20 million tonnes per annum (mtpa). 
In 2015, the Goa government gave clearance for second renewal of iron ore mining leases to 88 companies. 
On Wednesday, the Supreme Court quashed the renewals given in 2015, stating that the State governments could only give fresh leases and not second renewals. However, it provided a reprieve for the companies by directing them to stop mining operations only after March 15 this year until fresh mining leases (not fresh renewals or other renewals) and fresh environmental clearances are granted.
Out of the 20 mtpa mining capacity in Goa, Vedanta operates 5.5 mtpa. In addition, 3 mt was allocated by the Goa government in the current financial year, there is some uncertainty regarding mine lease renewals for these mines. Apart from this, the company has 2.3 mtpa production capacity in Karnataka.
A significant portion of iron ore from the mines in Goa is exported due to the low proportion of iron content. Not surprisingly, in FY 2017, 65 per cent of Vedanta’s iron ore production, comprising low grade ore from Goa, was exported, notably to China. 
The mineral has contributed nearly 6 per cent to the consolidated operating profit of the company with margins at 31.6 per cent for the same period.
High quality ore
In the recent, third quarter of FY 2018, iron ore contributed up to 3 per cent to the operating profits. 
This amounts to ₹231 crore, or just half the contribution a year ago. This could be attributed to the lower production and sales volumes in the quarter due to lower margins in the export market, which is shifting to the usage of high quality iron ore. 
To overcome this impact, Vedanta has commenced production of high quality ore through beneficiation and blending, which will result in improved realisations and margins.
On account of extended monsoons and the lower pricing environment, the company’s production and sales volumes of ore were lower in the third quarter ending December 2017 compared to the same quarter the previous year. 
For the nine-month period, the company recorded sales and production of 3 mt and 3.4 mt from Goa.
 The company had planned 5.5 mtpa for FY 2018 from the Goa mines. But this now under a cloud. The companies are allowed to mine till March 15, after which they ought to cease operations. As the apex court has directed, companies can resume operations if fresh environmental clearances are given.
‘All options on table’
PTI adds:Talking to the media in Panaji, Goa Chief Minister Manohar Parrikar said his government will explore all options, including auction of mining leases, to ensure that the industry is not affected by the Supreme Court order setting aside the second renewal of 88 iron ore mining leases.
 “All possible ways including auction would be explored. I am not ruling out auction, but I am not confirming it (either). There are multiple options at this stage. We need to discuss it properly with relevant people,” said Parrikar.
 The Supreme Court has not prohibited export of ore, he noted.
 “Exports never happens directly from the mining lease. The ore is dumped at the jetty and then transported using a barge. There is no connection between export and extraction,” Parrikar said, adding that the setback caused by the apex court’s order would be temporary."
50,2018-03-11,Vedanta,"Vedanta moves in a sideways manner


This is the highest ever dividend paid by Vedanta in a financial year.
   -  REUTERS




This is the highest ever dividend paid by Vedanta in a financial year.
   -  REUTERS


Here are answers to readers’ queries on the performance of their stock holdings.
What are the medium-term prospects for Vedanta and Hindustan Zinc?
Wasudeo Pat
Vedanta (₹303.5): The stock of Vedanta has been in a long-term uptrend since taking support at ₹58 in February 2016. However, it encountered a key long-term resistance in the ₹340 and ₹350 band and is consolidating in a broad range between ₹280 and ₹350. This resistance band capped the stock's rally in late February.
Subsequently, the stock changed direction and began to decline. Last week, it tumbled 6 per cent, breaching the long-term uptrend line as well as an immediate support at ₹320. Moreover, the indicators in the weekly and monthly charts are displaying weakness, backing the stock’s trend reversal. Therefore, investors can consider taking partial profits off the table at this juncture.
A fall below the immediate support level of ₹300 can pull the stock down to the lower boundary of the sideways range at ₹280. Further fall below this base level will mitigate the medium-term uptrend and drag the stock down to ₹250 over the medium term.
That said, the long-term uptrend will remain in place as long as the stock trades above the significant support range of ₹200 and ₹210. Investors with a long-term perspective can stay invested as long as the stock trades above this support zone with a stop-loss at ₹190. If the key support at ₹280 cushions the stock, it can retain the sideways range for some more time. A decisive rally above ₹320 can take the stock higher to test the upper end of the range. But an emphatic breakthrough of ₹350 is needed to strengthen the bullish momentum and take the stock northwards to ₹380 and ₹410 over the long term.
Hindustan Zinc (₹314.1): Since encountering a key barrier at ₹330 in October 2017, the stock of Hindustan Zinc has been in a broad sideways move between ₹285 and ₹330. In late February, the stock tested the upper boundary at ₹330 and recorded a new high at ₹339. But the stock began to decline thereafter, triggered by weakness in the weekly and monthly indicators. It now tests near-term support at ₹310.
A plunge below this base can pull the stock down to ₹300 and then to ₹285 in the short to medium term. Further slump below the lower boundary at ₹285 will alter the sideways movement and drag the stock down to ₹270 and ₹260 over the medium term.
A break below ₹260 will strengthen the downtrend and pull the stock down to ₹240 and 230. The long-term uptrend will remain in place as long as the stock trades above a key support level of ₹210. Investors can hold the stock with a stop-loss at ₹200. A conclusive rally above ₹330 can take the stock higher to ₹350 and ₹370.
What are the prospects for Vascon Engineers?
P k Mahapatra
Vascon Engineers (₹34.4): The stock of Vascon Engineers met with key resistance at ₹52 in late December 2017 and started to decline. Since then, it has been in a medium-term downtrend. Short-term trend is also down. Last week, the stock tumbled 8 per cent, breaching a key support at ₹37.
Nevertheless, it has an immediate support at ₹32, which can provide some cushion in the near term. An upward reversal can keep the stock in the wide range between ₹32 and ₹40 for a while. That said, if the stock plunges below ₹32, the downtrend will strengthen and pull the stock lower to ₹30 and then to ₹26 in the medium term. Key resistances above ₹40 are at ₹45 and ₹50. Avoid taking positions in this stock.
Send your queries to techtrail@thehindu.co.in"
49,2018-03-13,Vedanta,"Vedanta declares record interim dividend of ₹7,881 cr 


This is the highest ever dividend paid by Vedanta in a financial year.
   -  REUTERS




This is the highest ever dividend paid by Vedanta in a financial year.
   -  REUTERS


 
The board of directors of Vedanta has approved an interim dividend of ₹21.20 per equity share for 2017-18. The record date for the payment of dividend is March 21, 2018.
The total payout is ₹7,881 crore, being the highest ever dividend paid by the company in a financial year. This represents a dividend yield of 7.20 per cent based on the company’s average share price year-to-date.
Further, the board has also approved a dividend of 7.5 per cent per annum for 2017-18 on preference shares of ₹3,010 crore issued last April pursuant to the scheme of arrangement between the shareholders and creditors of Vedanta and Cairn India. The record date for divdend payment to preference shareholders is March 21.
The total amount of dividend payout on both equity and preference shareholders is Rs 8,091 crore. Shares of the company was up 1.75 per cent at Rs 322.50 at 12.43 pm.
PTI  reported that the metals and mining giant Vedanta has appointed former SEBI chairman UK Sinha as an independent director on the company’s Board.  “The appointment of U K Sinha as an additional non-executive independent director on the Board for a fixed term from March 13, 2018 till August 10, 2021 (on recommendation of nomination and renumeration committee) to hold office till the ensuing AGM of the company,” Vedanta said in a filing to BSE.
 Sinha, who served as chairman of Securities and Exchange Board of India (SEBI) from February 2011 to March 1, 2017, has been instrumental in bringing about key capital market reforms, the company said in a statement. Prior to SEBI, he was chairman and MD of UTI Asset Management Company and has also worked for Department of Economic Affairs, Ministry of Finance. Sinha said, “In the current environment, with greater emphasis on disclosure and governance for corporate India, I am glad to contribute to Vedanta achieving greater levels in its corporate governance practices.”"
48,2018-03-13,Vedanta,"Vedanta shareholders to get ₹21.2 as interim; March 21 is record date 
Billionaire Anil Agarwal-owned Vedanta, a diversified natural resources company, has announced its highest-ever interim dividend of ₹21.20 an equity share, leading to an outflow of ₹7,881 crore in this financial year.
Similarly, the company will also pay a dividend of 7.5 per cent a year for this fiscal on the preference shares of ₹3,010 crore and allotted to shareholders of erstwhile Cairn India which was merged with Vedanta last April. The total dividend payout to both its equity and preference shareholders is ₹8,091 crore.
As part of consolidating its holding in India, Vedanta merged Cairn India with itself last year. Investors received for each equity share held in Cairn India one equity share and four redeemable preference shares in Vedanta.
The company has fixed March 21 as record date for both dividend payouts which help the parent company Vedanta Resources to reduce its debt of $18 billion as of last fiscal while the India subsidiary has a debt of $11 billion. However, both the companies have been repaying debt in the last few months.
The board of directors who met here on Tuesday also approved the appointment of former SEBI Chairman UK Sinha as a Non-Executive Independent Director.
Sinha was the Chairman of SEBI between February 2011 and March 2017 and was instrumental in bringing about key capital market reforms. Prior to SEBI, he was the CMD of UTI AMC and has also worked for the Department of Economic Affairs at the Ministry of Finance.
Navin Agarwal, Chairman, Vedanta, said Sinha is an architect of the strong regulatory regime of India’s capital markets.
Emphasis on disclosure
UK Sinha said he will contribute to Vedanta achieving greater levels in its corporate governance practices with emphasis on disclosure and governance for corporate India in the current environment.
Vedanta has business interests in oil & gas, zinc, lead, silver, aluminium, copper, iron ore and commercial power. The company has American Depository Receipts listed on the NYSE.
Shares of Vedanta gained 1 per cent to ₹321 on Tuesday."
47,2018-03-20,Vedanta,"Morgan Stanley cuts Hindalco to 'equalweight' as volumes peak
 Morgan Stanley has cuts Hindalco Industries to 'equalweight' from 'overweight' and price target to Rs 256 from Rs 292.
“Peaking of volumes, higher cost/tonne in the Indian business and potential downside risk to Novelis' (co's unit) margins from import duty on aluminium,” are reasons for downgrade, Morgan Stanley said. 
Vedanta
Brokerage remains constructive on Vedanta Ltd, focusing on volume growth and says potential cost efficiency will drive EBITDA growth in FY19. It has maintained 'overweight' on Vedanta and cut price target to Rs 386 from Rs 395.
Morgan Stanley has raised price target on Coal India Ltd to Rs 245 from Rs 221 rupees, and maintained 'underweight' rating saying there is lack of upside risk to earnings. Coal India's rising capex will slow down free cash flow, it added. 
Hindalco shares were down 0.19 per cent and Coal India down 0.18 per cent. Vedanta shares were 5.6 per cent lower as stock trades ex-dividend."
46,2018-03-23,Vedanta,"Vedanta plans to raise up to ₹4,500 cr thru NCD 
The board of Vedanta on Wednesday approved a proposal to raise up to ₹4,500 crore by issuing non-convertible debentures. The company, in a filing to the BSE, said that the board-appointed committee of directors in a meeting today approved issuing on private placement basis up to 4,500 secured, rated, non-cumulative, redeemable, non-convertible debentures of face value ₹10 lakh each. The stock of Vedanta closed at ₹276, down 5.4 per cent, on the NSE."
45,2018-03-27,Vedanta,"Vedanta unit in Tuticorin to be shut for ‘routine maintenance’
Vedanta’s copper smelting unit in Tuticorin will be shut for 15 days as part of a routine maintenance, according to information provided by the company to the BSE.
A senior company official told BusinessLine the four-lakh-tonne a year smelting unit is being shut to replace the refractory brick lining in the smelter, an exercise that is carried out every four years. The refining and copper rod production will continue.
Meanwhile, the ₹2,500-crore expansion project at the unit to double the capacity is on schedule, the official said. 
L&T has been awarded the EPC contract and is setting up the entire expanded facility, the official said. When completed in about a year’s time the annual capacity of the plant will go to 8 lakh tonnes of copper cathode, which is refined copper of 99.95 per cent purity.
For now, from the refined copper the unit makes about 2.5 lakh tonnes of copper rods for the domestic market and about 1.5 lakh tonnes of plates for domestic and export markets.
The raw material, copper concentrate is imported through the Tuticorin Port. 
In addition, the by products are about 10 lakh tonnes of sulphuric acid and nearly half this is used to make about 2 lakh tonnes of phosphoric acid. These are used by domestic industries, including chemicals and fertiliser units. With the expansion, the output of these acids will also go up. 
Protests in Tuticorin
On the protests in Tuticorin town against the expansion project, the company has launched an awareness campaign on the environment safety that is being addressed. All norms are being complied with and the project has been taken up with proper statutory clearances.
Officials said the unit is a zero liquid discharge unit that completely recycles the water. Even for the expansion facility, a 12 mld desalination plant will be set up and in addition, primary treated sewage water from Turicorin municipality will be bought and recycled at the company’s sewage treatment plant for water. Emission is continuously monitored online, live by pollution control agencies to ensure that all norms are followed, the official said. 
The expansion will generate about 5,000 direct jobs adding to the 4,500 already employed."
44,2018-04-01,Vedanta,"Electrosteel bid: Vedanta gets nod from committee of creditors 
Billionaire Anil Agarwal-owned Vedanta has emerged as the highest bidder for Electrosteel Steels. The globally diversified natural resources company, Vedanta was issued letter of intent as successful resolution applicant by the committee of creditors for acquisition of the stressed asset of Electrosteel which was put under the Corporate Insolvency Resolution Process of the Insolvency and Bankruptcy Code, 2016, to recover the defaulted amount.
Vedanta has accepted the terms of the LoI. The closure of the transaction will be subject to compliance with the applicable regulatory requirements and according to the final terms approved by the National Company Law Tribunal, Vedanta said in a statement on Saturday.
Vedanta has offered to pay a little over ₹5,000 crore for the distressed asset out on the block to recover ₹11,000 crore it had defaulted to lenders.
The highest bidder was selected by the committee of creditors through a scoring system combining various parameters.
Renaissance files suit
Tata Steel, Vedanta and Abhishek Dalmia-led Renaissance Steel India were the only contenders for Electrosteel. Renaissance Steel had filed two separate petitions in the Kolkata Bench of the National Company Law Tribunal claiming that Vedanta and Tata Steel are ineligible to bid under the Insolvency and Bankruptcy Code. However, this petition was rejected by NCLT. Possibility of Renaissance moving the National Company Law Appellate Tribunal is not ruled out.
Renaissance has claimed that Vedanta and Tata Steel have been found guilty of criminal offences that are punishable with two or more years in jail.
Under Section 29A of the IBC, companies or individuals convicted of such offences are barred from bidding for stressed assets.
Renaissance claimed that Tata Steel UK, a unit of the Indian steel-maker, had pleaded guilty of violating the UK Health and Safety at Work Act. The UK subsidiary faced multiple probes and was convicted each time. Though the offences were punishable with two years in jail, the UK authorities chose to impose fines, it claimed.
Similarly, it said Vedanta Resources Plc, holding company of Vedanta, had violated pollution norms in Zambia. Vedanta Resources-controlled Konkola Copper Mines had, in 2010, pleaded guilty to four charges brought against it by the Zambian authorities for violation of pollution norms. Some of these offences were punishable with three years in jail, it said."
