,Date,Company,Article
131,,Wipro,
114,2018-01-08,Wipro,"Wipro, TechM among 15 companies shortlisted by SEBI for IT services
Markets regulator SEBI has shortlisted 15 entities, including Tata Communications, Wipro and Tech Mahindra for two separate services — identify and classify security holes in IT infrastructure, as well as protect against security threats.
To provide these services, SEBI in September had issued separate notices, inviting expression of interest (EoI) from the interested parties.
The service is related to identify and classify security holes in its entire information technology infrastructure and suggest measures to mitigate such risks.
The second service pertains to set up a ‘network and security operation centre’, which will enable it to detect and protect against security threats, including from ransomware.
Now, SEBI has shortlisted seven bidders — Wipro, Ernst & Young LLP, Pricewaterhouse, Sumeru Software Solutions, Digital Age Strategies, AAA Technologies, Auditime Information Systems (India) Ltd — to identify and classify security holes in its entire information technology infrastructure and suggest measures to mitigate such risks.
Besides, Tata Communications, Wipro, Tech Mahindra, IBM India, Sify Technologies, Pricewaterhouse, Dimension Data India Pvt Ltd and Netmagic Solutions are among the eight companies that have been shortlisted to set-up a ‘network and security operation centre’




 With regard to information technology infrastructure, the Securities and Exchange Board of India said that selected bidder will be responsible for carrying out an assessment of threat and vulnerabilities and assess the risks in its IT infrastructure.
This will include identifying existing threats and suggest remedial solutions and recommendations on the same to mitigate all identified risks and enhance the security of information systems.
Information system infrastructure includes networking systems, security devices, servers and databases. Besides, the agency will be responsible for carrying out enterprise-wide system audit focussed on configuration, security aspects, risk assessment, deployment, administration, access control, back up and business continuity.
The audit will also cover review of standard operating procedures, automation and monitoring of all IT assets.
With respect to ‘network and security operation centre’, SEBI said that selected company will be responsible for all the activities related to information security, including anti-phishing, anti-malware, anti-trojan, anti-ransom and implementation of security solutions such as content filter and virtual browsing solutions at the regulator."
125,2018-01-08,Wipro,"Digital is pervasive across all customers: Wipro CFO


JATIN DALAL, CFO, Wipro




JATIN DALAL, CFO, Wipro


India’s third largest software exporter Wipro is confident of returning to industry growth rates but continued to maintain caution, which was reflected in its 0-2 per cent guidance for the third quarter. In the second quarter numbers, the software major is showing signs of getting back on track. Jatin Dalal, CFO, Wipro, spoke to BusinessLine on how it will get back to industry growth despite headwinds in some business areas and the way digital is shaping up for them. Excerpts:


Guidance for the December quarter suggests that growth will remain sluggish. How does this tie-in with Wipro’s stated vision of achieving $15 billion revenue by 2020 with 23 per cent margins?


If you see the trend since the last few quarters, we have been improving the trajectory of our outlook. In this (second) quarter, we have said that we can achieve industry growth this year. Beyond this, we cannot give a forward looking statement. Our confidence comes from the order book we have, client mining initiatives and additionally believe that there is a strong opportunity to gain wallet share in digital as clients look to evaluate vendors. If you plot it, we have made investments along all these areas to achieve the stated goal.


Analysts are not impressed with the guidance for Q3. What are the headwinds you see?


Overall, in a difficult industry, there is still some lumpiness owing to external macroeconomic conditions as well as the transitonary nature of deals. We believe that our recent acquisitions of companies like HealthPlan, Designit, Cooper will help. Already, we have stated that issues in healthcare related to the Affordable Care Act in the US, will start bottoming out after the next quarter.
We already are seeing positivity in banking, financial services and insurance. In energy and utilites, our performance dipped in the quarter due to slower growth from West Asia due to holidays in the region. The business is stable as oil prices have largely remained stable.


Why do you say healthcare will bottom out?


Some senators have signed an agreement to restore about $7 billion in annual payments to health insurers that the Trump administration recently halted. This means that for the next year, people will start enrolment. This would mandate that the people who are covered under Obamacare or others will again have to come under cover and would require IT systems to manage it all. In the past, for example when there is the uncertainty continuing that whether it will get replaced or not and when it will get replaced, clients were hesitant to invest in Obamacare again. Because it is not only the platform that we provide to do it, but customers also have to invest in their IT systems for integrating that with our platform and customers won’t make that investment.


It is a tough environment, and coupled with the kind of intense competition, are margins from traditional services continue to be under pressure?


We look at it differently. There is an uptick in new offering. The old work (of managing ERP software or monitoring technology networks of multinationals) is transforming itself to digital. This transformation will continue for the next few years.


You said that gains from automation have touched 250 customers, 2,500 engineers were redeployed due to automation. Do you have any metrics in mind?


For sure, automation provides a great platform to remain competitive in the market. It changes the software project delivery and transforms the business model of our client.
Now, digital is pervasive across all customers. We help customers design, deliver using different technologies. It is a way a project gets delivered now. Lot of digital growth is coming from transforming existing clients too. It plays a very critical role. One-fourth of our revenues come from digital and these clients will not go back to the old kind of systems. This also comes in with higher project margins. Currently, we use traditional levers like utilisation in combination with automation to help boost margins.


Is digital a part of a client’s discretionary technology spend?


The answer is yes and no. Digital has more discretionary spends. But in a sector like retail, we saw that they not spend in Q3. We can’t ascertain a clear trend line."
126,2018-01-08,Wipro,"Wipro shares gain over 3% after Q2 results
Shares of Wipro today rose by over 3 per cent after the company reported a 5.8 per cent rise in net profit for three months to September.
The stock jumped 3.16 per cent to ₹298.65 on BSE. At NSE, shares of the company went up by 3.19 per cent to ₹299.10.
Wipro Ltd, India’s third largest software firm, on Tuesday reported a 5.8 per cent rise in net profit for three months to September but gave a muted guidance for the third quarter earnings.
Its consolidated net profit (attributable to equity shareholders) in July-September at ₹2,191.8 crore, or ₹4.52 per share, was higher than ₹4.28 a share, in the same period a year before, the company said in a statement.
On a sequential basis, the profit was up 5.5 per cent, according to Indian Accounting Standards.
Its total income fell by about 1.9 per cent to ₹14,134.8 crore and the company said the healthcare segment “continues to be volatile.""
IT services revenue in dollar terms grew by 2.1 per cent quarter-on-quarter to $2.013 billion in July-September, while constant currency sequential growth was 0.3 per cent."
113,2018-01-08,Wipro,"Wipro awaits payback from digital push


Abidali Z Neemuchwala, CEO, Wipro




Abidali Z Neemuchwala, CEO, Wipro


The country’s third largest IT player, Wipro, has made investments worth over $1 billion during the last 18-24 months as it bets on the digital business to revive its growth.
Wipro is looking to match industry growth rates by the fourth quarter of FY18 on the back of better client mining with an increasing contribution from digital and demand across certain business segments. A Wipro spokesperson said that these investments were made during the last 24 months.
Peter Schumacher, CEO of the company’s Value Leadership Group, said developing a deeper understanding of customers and their requirements in the light of economic, end user behaviour and business shifts has never been more important.
In a note to investors, ICICI Securities said Wipro has invested over $1 billion in acquisitions in the last 18 months, with digital now contributing 24.1 per cent to revenues. Early signs on this front are visible with top 10 clients growing at 8.1 per cent YoY in Q2FY18 on top of 1.5 per cent YoY growth in Q1FY18 and after consistent negative growth from Q3FY15 to Q4FY17.
“On the demand side, the management sees strength in the BFSI vertical and stability in demand in the consumer verticals as these two verticals are adopting digital ahead of the industry.”
BV Naidu, Managing Partner, StartupXseedVentures LLP, a former Software Technology Parks of India (STPI) head, said digital is an area where companies across the globe are struggling and Indian outsourcers need to quickly align their services and workforce with the changing needs.
Wipro’s push for digital is resonating across cross-town rival Infosys as well as others such as TCS and Cognizant. Digital contributes in double digits to these companies’ revenues.
While industry watchers seem to be optimistic about the digital push, they are still to be convinced about outsourcing companies’ ability to navigate clients’ expectations. “With digital offerings, IT services companies also need to interact more effectively with their clients’ business teams, move faster, become more agile and take a collaborative approach,” said Schumacher. Taken together these challenges are tough to master for most firms, he added.




The note to the investors said adapting to changing industry trends, the company has embarked on its transformational journey by directing its strategy into six themes — digital, non-linearity, partner eco-system, integrated services, hyper automation and localisation.
On the margin front, Wipro’s IT services EBIT margin has declined from 23-24 per cent range in FY’14 to the approximately 17 per cent range currently on account of subdued growth and acquisitions.
However, with a revival in growth in topline and restructuring in India and West Asia operations, “we expect margins to witness gradual improvement. Wipro reported an IT service EBIT margin of 17.3 per cent in Q2FY18."
128,2018-01-08,Wipro,"Wipro Q2 profit rises 6% to ₹2,189 crore


Buoyed by BFSI: Abidali Z Neemuchwala (left), CEO, Wipro, and Saurabh Govil, Senior Vice-President and global head, HR, at a press conference to announce the company’s quarterly results in Bengaluru




Buoyed by BFSI: Abidali Z Neemuchwala (left), CEO, Wipro, and Saurabh Govil, Senior Vice-President and global head, HR, at a press conference to announce the company’s quarterly results in Bengaluru


India’s third largest IT services company Wipro has reported a 5.5 per cent growth in sequential and 6 per cent rise year-on-year in net profit to ₹2,189.50 crore for the September quarter because of increase in spending from BFSI clients.
The software services company also gave a guidance of $2.01-2.05 billion forecasting a growth of 0-2 per cent for the December quarter (Q3) revenue from IT services which was below street expectations. Wipro’s third quarter outlook has the seasonal impact of furloughs and higher leaves as the US and Europe enters holiday season, the company said.
The company’s consolidated revenues from operations for the second quarter on a q-o-q basis was ₹13,420 crore. On a quarter-on-quarter basis, the IT services segment grew 4 per cent to ₹2,280 crore for the September quarter. In dollar terms, the IT services’ revenue grew 2.1 per cent at $2.01 billion. Banking, Financial, Services and Insurance segment grew 27.6 per cent against 26.7 per cent on a sequential basis.
“We surpassed the milestone of $2 billion in quarterly revenues for IT services on the back of rigorous execution of our strategy,” said Abidali Z. Neemuchwala, Chief Executive Officer and Member of the Board.
He said the company will match industry growth rates this year which industry body Nasscom has said will be 7-8 per cent. “Our unique digital capabilities powered growth in top clients and position us well to drive our clients’ digital transformation.”


Digital revenues up


Digital revenues in the quarter contributed 24.1 per cent of revenues, an increase from 17.9 per cent more than a year ago. While performance in energy and utilities dipped in the quarter due to slower growth from West Asia, the company has said that the business is stable as oil prices have largely remained even.
“While the IT services revenue growth was a slight miss with the third quarter guidance, the improvement in EBIT margin was a surprise,” said Urmil Shah, analyst with IDBI Capital.
In the second quarter, Wipro trained 12,000 employees on digital skills. “We now have more than 80,000 technical employees trained on digital pods. Also, Holmes, its automation product, has been used across 250 customers and generated productivity equivalent to 2,500 people,” said Neemuchwala.
In terms of geography, US posted a dip of 0.1 per cent, Europe registered a growth of 1.3 per cent and the APAC and Other Emerging Markets grew 3.4 per cent all on a constant currency basis quarter on quarter.


Client addition


In terms of client addition, 41 clients were added, with 3 client additions happening in the $50million plus. In terms of operational efficiency, the gross utilisation was 72.9 per cent versus 72 per cent in the second quarter. In terms of attrition, the rate was 15.7 per cent versus 15.9 per cent in the first quarter."
129,2018-01-08,Wipro,"Wipro arm buys US-based Cooper in digital push
Wipro Digital, the digital business unit of software major Wipro, has acquired Cooper, a company that provides User Experience (UX), for an undisclosed sum, a move that could strengthen its capabilities in this emerging segment.
Cooper will become part of Designit, Wipro Digital’s strategic design arm. The acquisition strengthens Wipro Digital’s design capabilities, expands its reach in North America and adds capabilities in professional design education, as its customer increasingly look at design as a differentiator for their products or services.
Cooper, which was founded in 2002, counts companies such as Google, Bose, Starbucks and government organisations like NASA, Federal Reserve Bank as some of its clients. “With Cooper, an acknowledged leader and pioneer in the design community with roots on the East and West coast, we will now offer UX and interaction design solutions to our clients and coupled with Designit’s design services and our engineering capability, will allow us to support the digital journey for our clients,” said Rajan Kohli, Global Head and Senior Vice-President, Wipro Digital.


Access to Cooper staff


Wipro Digital and Designit serve clients from 16 offices around the world. With the acquisition, Wipro gets access to 35 employees of Cooper in San Francisco and New York.
India’s third largest software exporter in a statement also said that the acquisition is subject to customary closing conditions and is expected to be closed in the third quarter of fiscal 2017-18. This is the second such acquisition that the company has made in the UX segment, after it acquired DesignIT in 2015.
According to Peter Schumacher, CEO, Value Leadership Group, this acquisition will strengthen Wipro’s proposition in digital services.
While Indian engineers have strong technical knowhow, they are not quite adept at designing an experience for a product or service. “Engineers typically are not strong when it comes to right brain thinking, which is reflected in their design capabilities and hence companies acquire this talent from the West,” said Sanchit Vir Gogia, founder, Greyhound Research.
Other IT companies have also been trying to strengthen their UX areas. While cross-town rival Infosys acquired London-based Brilliant Basics, Tech Mahindra bought UK-based company BIO Agency in an all cash deal for £45 million."
127,2018-01-08,Wipro,"Wipro shares gain over 3% after Sept quarter results
Shares of Wipro today rose by over 3 per cent after the company reported a 5.8 per cent rise in net profit for the three months to September.
The stock jumped 3.16 per cent to Rs 298.65 on BSE.
At NSE, shares of the company went up by 3.19 per cent to Rs 299.10.
Wipro Ltd, India’s third largest software firm, yesterday reported a 5.8 per cent rise in net profit for three months to September but gave a muted guidance for the third quarter earnings.
Its consolidated net profit (attributable to equity shareholders) in July-September at Rs 2,191.8 crore, or Rs 4.52 per share, was higher than Rs 2,070.4 crore, or Rs 4.28 a share, in the same period a year before, the company said in a statement.
On a sequential basis, the profit was up 5.5 per cent, according to Indian Accounting Standards.
Its total income fell by about 1.9 per cent to Rs 14,134.8 crore and the company said the healthcare segment “continues to be volatile"".
IT services revenue in dollar terms grew by 2.1 per cent quarter-on-quarter to $2.013 billion in July-September, while constant currency sequential growth was 0.3 per cent."
124,2018-01-09,Wipro,"Wipro Consumer invests in online consumer product co Happily Unmarried
Wipro Consumer Care, a business unit of Wipro Enterprises, has made an undisclosed investment in Happily Unmarried Pvt Marketing Ltd (HUMPL), a New Delhi-based online consumer product firm.
HUMPL has built a portfolio of male and female grooming products under its umbrella brands of ‘Ustraa’ and ‘Happily Unmarried‘, the company said in a statement.
Further, HUMPL operates in the premium, youth-focused segments of the market. It gets most of its revenues through online channels -- its own online store and public marketplaces."
123,2018-01-09,Wipro,"Wipro Limited


Wipro on Friday informed the exchanges that it has received final comments from the Securities and Exchange Board of India by way of a letter dated November 15, 2017, with respect to the Draft Letter of Offer filed by the company. In accordance with SEBI Regulations, the company will dispatch the Letter of Offer for the buyback to eligible shareholders appearing on the record date of September 15, on or before November 22. Shares of Wipro slipped 0.84 per cent at ₹295.15 on the NSE."
