,Date,Company,Article
98,,Zee,
79,2018-01-08,Zee,"Zee Entertainment: Pretty picture


istock.com/gpetric
   -  gpetric




istock.com/gpetric
   -  gpetric


The media and entertainment industry is set to grow well in the coming years due to the changing consumption pattern, increasing penetration of television and digital media and higher surplus income with consumers. Zee Entertainment Enterprises’ (Zee) stock stands to benefit from this trend.
The stock has already been moving up sharply over the last five years, backed by strong growth in advertisement revenue from the popularity of Zee’s channels and content, and healthy business operations. The pending implementation of TRAI’s tariff order regulation is viewed as a concern for the industry as it could hamper subscription revenue growth.
But with Zee’s channels already leaders in various segments, the company is expected to benefit from higher transparency, and reduced revenue leakage resulting from the implementation of this order.
Investors with a long-term perspective can therefore buy this stock. The valuation of the company, while not cheap, is reasonable. Zee currently trades at ₹589, at a multiple of 40 times its twelve-month trailing earnings, slightly below its three-year average PE multiple of 45 times.


Nearly 57 per cent of Zee’s revenue is generated from domestic advertisements, which has grown at a healthy pace in recent quarters, despite GST-linked slowdown in various sectors. Domestic subscription accounts for 28 per cent, international subscription 7 per cent with other segments accounting for 8 per cent of the revenue. Zee also has a small presence in movie production and distribution, digital broadcasting and live events.
Advertisement revenue has recorded annual average growth of about 16 per cent between FY14 and FY17, subscription revenue grew at about 8 per cent.
Advertising growth is driven by the fact that Zee’s channels are well entrenched across genres and in various Indian languages. The network enjoys leadership in domestic broadcasting. It improved its market share to 18.3 per cent in the second quarter of FY18, up from 17 per cent in the previous quarter. Zee Cinema now holds about 30 per cent viewership in the Hindi movie segment, behind Sony Cinema. Zee Marathi is the market leader with 61 per cent viewership and Zee Bangla enjoys 35 per cent, trailing Star Jalsha that enjoys 60 per cent share. The popularity of some weekday shows such as Kumkum Bhagya, Kundali Bhagya in Zee TV and Mazhya Bavryachi Bayko in Zee Marathi has been attracting advertisers.
The Zee network, which currently produces about 500 hours of original content every week, has lined up to deliver better content in the coming months. The Zee TV channel is expected to increase original content to 30 hours a week in the next quarter from 27.5 hours currently. It further plans to increase original content to 32 hours per week by the end of FY18. All this will help in adding to subscription growth.
The company also has a presence in niche channels such as Zee Café and Zee Studio, delivering international content. Zee also broadcasts in regions such as Europe, the US and APAC.




With the digitisation of cable television yet to be completed in certain areas, the company stands to benefit from addition of subscribers. This, along with the implementation of TRAI’s tariff order, will have a positive impact. According to this order, broadcasters are required to offer their channels on a la carte basis, where Maximum Retail Price (MRP), excluding tax, for each pay channel should be disclosed.
However, for the half-year ending September 2017, subscription revenue declined 12 per cent year-on-year, mainly due to the delay in contract renewal negotiations with the operators owing to pending implementation of the tariff order regulation. This order, once implemented, will help improve subscription revenue as customers get to pick and choose instead of paying for a bouquet of channels. As Zee has significant market share in various regions, it will gain through the implementation of this order, which is under dispute in court.
In its movie segment, Zee holds one of the largest collections of movies and has acquired several movie and music rights in the last one year. It also intends to make 10-12 movies a year gradually. Zee’s theatrical revenue increased from ₹55 crore in FY16 to ₹112 crore in FY17.
With the acquisition of 9X Media last October for ₹160 crore, Zee will be adding six music channels to enjoy leading market share in the respective languages.




Zee has a presence in the digital space through its digital platform, ditto tv and OZEE. The company is set to combine both OZEE and ditto tv to launch Z5, offering a larger content catalogue to customers. Digital advertising is expected to grow at an annual average of 31 per cent from 2016 to 2021, as per the latest KPMG India-FICCI report.
However, the monetisation from its digital platform will take time as the OTT (over the top) — where content is delivered over the internet without an operator — platform is crowded with players such as YouTube, Facebook, Hotstar, Voot, and telecom companies and distribution platform owners such as Tata Sky.
Though the company plans to offer newer and differentiated content, the success and sustenance of the platform will have to be watched. This is evident from its digital (OZEE) video views, which registered over 75 million views as of March 2016 but only recorded 60 million monthly views during March 2017. The alliances with telecom players such as Airtel, Vodafone and Idea for integration of these applications should help grow its digital customer and advertisement base.




Zee’s consolidated revenue and adjusted profit grew at an annual average of 28.4 per cent and 29.6 per cent, respectively, over the five years from FY12 to FY17. Advertisement and subscription revenue grew 9 per cent and 10 per cent year-on-year, respectively, in FY17.
While revenue declined 4.4 per cent to ₹3,122 crore in the six months to September 2017, compared to the same period last year, adjusted profit grew about 65 per cent to ₹752 crore for the same period on improved operating efficiency and jump in other income. Revaluation of shares held in India Web Portal and Fly by Wire International Web Portal resulted in increasing other income. Operating margin improved to 29 per cent for the six months to September 2017, compared to 23 per cent in the six months to September 2016. The company’s debt-equity ratio is under 0.3 times, giving enough head-room for expansion.
Dear Readers, 
The coronavirus crisis has changed the world completely in the last few months. All of us have been locked into our homes, economic activity has come to a near standstill.
In these difficult times, we, at BusinessLine, are trying our best to ensure the newspaper reaches your hands every day. You can also access BusinessLine in the e-paper format – just as it appears in print. Our website and apps too, are updated every minute.
But all this comes at a heavy cost. As you are aware, the lockdowns have wiped out almost all our entire revenue stream. That we have managed so far is thanks to your support. I thank all our subscribers – print and digital – for your support.
I appeal to all our readers to help us navigate these challenging times and help sustain one of the truly independent and credible voices in the world of Indian journalism. You can help us by subscribing to our digital or e-paper editions. We offer several affordable subscription plans for our website, which includes Portfolio, our investment advisory section.
Our subscriptions start as low as Rs 199/- per month. A yearly package costs just Rs. 999 – a mere Rs 2.75 per day, less than a third the price of a cup of roadside chai..
A little help from you can make a huge difference to the cause of quality journalism!
On April 1, four years back, piqued by the incessant jokes in the village ...
Well-placed to tide over near-term Covid challenges as poultry demand is ...
Pent-up demand in rural and semi-urban pockets and firm prices bode well ...
Our business model ensures predictability of various annuity income ...
Weak demand and prices apart, huge impairment of assets weighed on the ...
On April 1, four years back, piqued by the incessant jokes in the village ...
The two-wheeler major is well-placed to cash-in on rural demand, value ...
Even as Mahindra & Mahindra (including MVML) posted a loss of ₹3,255 ...
Investors need to be cautious considering the proposed ban on 27 generic ...
On April 1, four years back, piqued by the incessant jokes in the village ...
On April 1, four years back, piqued by the incessant jokes in the village ...
Well-placed to tide over near-term Covid challenges as poultry demand is ...
Pent-up demand in rural and semi-urban pockets and firm prices bode well ...
Our business model ensures predictability of various annuity income ...
Weak demand and prices apart, huge impairment of assets weighed on the ...
On April 1, four years back, piqued by the incessant jokes in the village ...
The two-wheeler major is well-placed to cash-in on rural demand, value ...
Even as Mahindra & Mahindra (including MVML) posted a loss of ₹3,255 ...
Investors need to be cautious considering the proposed ban on 27 generic ...
On April 1, four years back, piqued by the incessant jokes in the village ...
From product launches to retail, it is online all the way
Turtle wax makes its India debut
Third-gen flagship bearing the 3-pointed star can deliver the thrilling ride you’ve always wanted to share ...
Italian automaker believes that de-risking is the best way forward 
At 7-7.25% per annum for tenures over six months, the bank’s rates are among the best in the commercial bank ...
₹1028 • HDFC Bank S1S2R1R2COMMENT 1015100010401055 Consider initiating fresh long positions with a fixed ...
The stock of Max Financial Services jumped 6 per cent accompanied by above average volume on Thursday, ...
With a clever mix of equity and debt, these funds are suitable for investors with a medium risk profile 
Why this pristine destination should be the first choice for travel in post-Covid-19 India
Extended lockdowns, school closures and restrictions on movement have left many children vulnerable to abuse
People’s pandemic survival strategy abounds with unhappy choices
The Covid-19 pandemic has revealed the utter necessity as well as the literary possibilities of being a ...
Marketers and brands should know when it won’t do to talk but listen to customers
Brands could use positivity during crisis times
On the Creative Trail
Hygiene mask must engineer a cultural shift, to co-exist with Mukhaota, ghunghat 
Done in by the coronavirus-induced lockdown, restaurants, travel agencies and small businesses have shut shop, ...
“There is no protection, across the world, for money against market investments; misinformation or violation ...
Whether it’s PMC, DHFL, CKP or Franklin Templeton, it’s a story of ordinary middle-class folk losing their ...
Covid-19 shut down schools and cancelled exams but learning didn’t stop for students of Kerala’s government ...


Big Story | India Inc’s battle against Covid-19






 Subscribe to The Hindu BusinessLine to read more and understand from our trusted experts. 


Avail Invitation Pricing Now
. Offer closes soon.


More




Companies






TRENDING TODAY




TRENDING THIS WEEK




LATEST NEWS




SECTIONS




GROUP TOP TRENDS




The Hindu




Sportstar"
82,2018-01-08,Zee,"Cyquator Media to acquire 1% stake in Zee Enterprises
Zee Entertainment Enterprises’ promoter group firm Cyquator Media Services will acquire a little over 1 per cent stake in the company from Essel Media Ventures for an estimated value of Rs 516 crore.
In a regulatory filing, Zee Entertainment Enterprises said Cyquator Media Services will acquire 99.32 lakh shares or 1.03 per cent stake on October 31 or within 90 days thereafter. Essel Media Ventures is also a part of the Zee Group.
The company said the acquisition price would not be higher by more than 25 per cent of weighted average price for a period of 60 days of Rs 519.82 per share.
Based on the weighted average price of Rs 519.82 per share, purchase of 99.32 lakh shares is estimated at Rs 516.33 crore.Shares of Zee Entertainment Enterprises were trading 0.66 per cent higher at Rs 528.95 apiece on the BSE."
83,2018-01-08,Zee,"Zee Entertainment shares rally nearly 9% on 2-fold jump in net profit
Shares of Zee Entertainment Enterprises jumped nearly 9 per cent on Tuesday as the company has reported over two-fold jump in consolidated net profit at Rs 590.80 crore for the second quarter ended September 30, 2017.
After a positive opening at Rs 498 against the previous close of Rs 492.85, the company shares touched an intraday high of 537.50 and a low of Rs 493 on the BSE. In terms of equity volume, 5.61 lakh shares were traded on the BSE in the afternoon session.
At 2.55 pm local time, the shares were trading higher by 8.28 per cent at Rs 533.65 on the BSE and up by 8.72 per cent at Rs 534.50 on the NSE.


PTI reports:


Zee Entertainment Enterprises Ltd (ZEEL) today reported over two-fold jump in consolidated net profit at Rs 590.80 crore for the second quarter ended September 30, 2017 against Rs 238.40 crore in the July-September quarter a year ago.
According to a BSE filing, total income on a consolidated basis was up 2.67 per cent at Rs 1,785.18 crore during the quarter under review against Rs 1,738.67 crore of the corresponding quarter last fiscal. Other income stood at Rs 203.13 crore (Rs 43.23 crore).
“During Q2 of FY 2017-18, the transaction for sale of sports broadcasting business of the bompany to Sony Pictures Networks India Pvt Ltd and its affiliates (SPNI) was consummated with remittance of the balance consideration by SPNI,” the company said.
ZEEL's total expenses were down 13.83 per cent at Rs 1,147.05 crore (Rs 1,331.26 crore). Revenues from advertising in the second quarter of 2017-18 stood at Rs 986.74 crore, up 2.87 per cent, against Rs 959.16 crore in the same period last fiscal.
However, its consolidated revenue from subscription was down 14.04 per cent to Rs 501.41 crore as against Rs 583.34 crore in the year-ago period."
86,2018-01-08,Zee,"Zee to acquire 9X Media, its arms for ₹160 cr
Zee Entertainment Enterprises Ltd today announced that it has entered into a definitive agreement to acquire 9X Media Pvt Ltd and its subsidiaries from New Silk Route and other shareholders for ₹160 crore.
9X Media, along with its subsidiaries, operates a bouquet of six music channels - 9XM (Latest Bollywood), 9X Jalwa (Evergreen Hindi), 9X Jhakaas (Marathi), 9X Tashan (Punjabi), 9XO (English), 9X Bajao (Hindi Classics). On completion of the acquisition, these channels will be added to ZEEL’s current portfolio of 33 channels.
Punit Goenka, MD & CEO, ZEEL said: “Continuing with our strategy of expanding into regional markets and niche genres, we are pleased to announce this acquisition which strengthens our music portfolio. 9X channels enjoy leading market shares in their respective segments and will benefit from our network’s strength to achieve higher growth potential and cost synergies.”"
85,2018-01-08,Zee,"Zee Media inks ₹160-crore INX deal
Zee Media Entertainment on Friday acquired 100 per cent stake in 9X Media and INX Music in a ₹160-crore deal.
The company has also bought the remaining 26 per cent stake in Zee Turner for ₹2.6 lakh. 9X Media operates five music channels — 9XM (Hindi), 9X Jalwa (Hindi), 9X Jhakkas (Marathi), 9XO (English) and 9X Bajao (Hindi). INX Music is a 70.85 per cent subsidiary of 9XM. Investors will watch the development."
84,2018-01-08,Zee,"Zee Tamizh to focus on women-centric original content
Tamil general entertainment channel Zee Tamizh is undergoing a brand refresh to be relevant to changing consumer preferences and attract a larger audience with original content. It will be launched on Monday.
In an interaction with BusinessLine, Siju Prabhakaran, Cluster Head – South Business, Zee Entertainment Enterprises Ltd, said the revamp will see content with more women-centric characters, reality shows that run for a shorter duration and better movie offerings. The channel recently acquired rights for Vijay-starrer Mersal and Rajinikanth’s 2.0.
The transformation, says Prabhakaran, is a result of a major shift the Tamil entertainment channels witnessed in the past two years.
The Tamil entertainment industry accounts for about ₹2,000 crore and is one of the largest regional players in the country. It is also a priority market for advertising for many retailers. But the kind of prime-time shows that were popular few years have undergone a change in the last two years, says Prabhakaran .


No more stereotyped ones


A decade ago most of the serials tended to take a conservative approach and stereotyped women. There were not many choices available for audience as well. But in the last two years, original content offered by the channels increased with strong women characters, who resonate with the current generation, says Prabhakaran.
In a market study the company carried out recently, it was found that women-centric serials and series that do not drag on for years tend to attract viewership. It also found that viewers look for variety more often as they lose interest on reality shows that run for months together. Movie offerings, too, play a significant role in attracting viewers as it garners significant viewership during weekends.


Spike in market share


The channel has been experimenting with new shows and serials in the past year and has seen its market share increase from less than 5 per cent to 15 per cent. “We want to increase our audience base further,” says Prabhakaran.
“To do that the brand refresh will take into account changing consumer needs and shows are designed-based on that,” he added.
To attract Tamil audiences overseas, the company also plans to strengthen its OTT (over-the-top) platform. The company is working on bringing more original content to the OTT-platform by the year-end. According to Prabhakaran, Tamil OTT platforms have a strong market in the US, Canada and Asia-Pacific region, where there is a significant Tamil population. “Going forward, those are the markets we want to strengthen,” he added."
80,2018-01-09,Zee,"Zee TV launches Dance India Dance merchandise
Taking the mass hysteria that surrounds Dance India Dance to an all-new high, Zee TV is collaborating with online retail store ‘The Souled Store’ to launch exclusive Dance India Dance merchandise.
The specially curated range of merchandise includes quirky t-shirts, mugs and badges with popular catchphrases from the show like ‘Kya Baat, Kya Baat, Kya Baat’ and appealing taglines like ‘Put Yourself In My Dancing Shoes’, ‘Soch Less Dance Zyada’ amongst others which capture the essence of #AllAboutDance and DID at large.
Deepak Rajadhyaksha, Deputy Business Head - Zee TV said, “The show also serves as a source of inspiration for the huge audience base who have watched it and its various franchises. Introducing specially branded DID merchandise is a conscious attempt to foster this unique bond that the audience shares DID cementing it with a more emotional connect.”"
81,2018-01-09,Zee,"Zee Entertainment jumps over 4%
Zee Entertainment Enterprises Ltd rose as much as 4.2 per cent to Rs 563, its highest since October 13, 2016.
Macquarie Research says there is an upside risk to its margin estimates of 31.5 per cent in FY19 and FY20. It adds that advertisement growth for H2 of FY18 will grow in mid-teens.
According to the brokerage, ZEEL has ample levers to continue its investments and still achieve 30 per cent plus margins.
The stock was the top percentage gainer on NSE index. The stock has risen 19.3 per cent this year until Tuesday, compared with a 26.2 per cent gain in the NSE index."
88,2018-01-09,Zee,"Zee to make content available for visually challenged, hearing impaired


A still from Amir Khan-starrer Dangal




A still from Amir Khan-starrer Dangal


Zee Entertainment Enterprise is looking to make content accessible to the visually and hearing impaired. To start with the company said it will telecast the Amir Khan-starrer Dangal with audio description.
Zee has the telecast rights for Dangal. Zee’s Hindi movie channel - Zee Cinema SD - will premiere the blockbuster. The film, which moved audiences in India and across the world, will also have subtitles for hearing impaired audiences.
“Zee Cinema will be the first movie channel in India to premiere a film curated for the visually impaired. It will also have subtitles for hearing-impaired audiences. We hope that the premiere of Dangal reaches out to the maximum number of such audiences in India. We are also exploring adding audio descriptions in other Indian regional languages in the future,” Punit Misra, CEO - Domestic Broadcast Business, Zee Entertainment Enterprises Ltd (ZEEL), said.
According to the World Health Organisation 2010 Report, India accounts for eight million blind persons, 54.5 million people with low vision and 62.6 million people with visual impairment, which makes India home to the second largest visually challenged population globally.
The objective is to ensure that the large population of the visually and hearing impaired have access to what is truly world class, inspiring entertainment.
Zee Cinema has also associated with the biggest associations for the visually impaired in the country, the National Association For The Blind (Mumbai, Indore, Chandigarh and Lucknow), National Association For The Blind - The Workshop for the Blind in Mumbai, Institution For The Blind in Delhi and the Patiala School of Blind & Deaf in Punjab.
Reaching out to over 109 million viewers each week, Zee Cinema’s premiere of Dangal with Audio Description and subtitles will surely change the accessibility landscape in India. The Audio Description feed will be available on Dish TV, Videocon, Tata Sky and Airtel. The subtitles will be in English language on HD and in Hindi language on SD.
Essentially, Audio Description conveys the most important visual aspects of the story by providing commentary during natural pauses and moments of quiet. It is voice-over narration that explains what’s happening on the screen, including physical actions made by various characters and other important visual elements. The narration is inserted between lines of dialogue. This Audio Description is recorded and made available as a separate audio track that can be selected by the audience on their remote."
